x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.01084 0.02112 0.05208 0.05723 0.00000 1.229 0.310 1568.021 0.01281
-0.01086 0.02115 0.05217 0.05734 0.00106 1.187 0.306 1568.058 0.01283
-0.01088 0.02119 0.05227 0.05744 0.00212 0.970 0.285 1568.094 0.01285
-0.01090 0.02123 0.05237 0.05755 0.00318 1.060 0.294 1568.131 0.01288
-0.01092 0.02127 0.05246 0.05766 0.00425 0.844 0.273 1568.168 0.01290
-0.01094 0.02131 0.05256 0.05776 0.00531 0.976 0.287 1568.204 0.01292
-0.01096 0.02135 0.05266 0.05787 0.00637 0.848 0.273 1568.241 0.01295
-0.01098 0.02139 0.05276 0.05798 0.00743 0.763 0.265 1568.278 0.01297
-0.01100 0.02143 0.05285 0.05808 0.00849 1.199 0.308 1568.315 0.01300
-0.01102 0.02147 0.05295 0.05819 0.00956 1.070 0.296 1568.351 0.01302
-0.01104 0.02151 0.05305 0.05830 0.01062 0.593 0.245 1568.388 0.01304
-0.01106 0.02155 0.05315 0.05841 0.01168 1.244 0.313 1568.425 0.01307
-0.01108 0.02159 0.05324 0.05851 0.01274 0.722 0.259 1568.462 0.01309
-0.01110 0.02163 0.05334 0.05862 0.01380 0.940 0.285 1568.498 0.01311
-0.01112 0.02167 0.05344 0.05873 0.01487 1.075 0.298 1568.535 0.01314
-0.01114 0.02171 0.05354 0.05883 0.01593 1.162 0.306 1568.572 0.01316
-0.01116 0.02175 0.05363 0.05894 0.01699 1.121 0.303 1568.608 0.01319
-0.01118 0.02179 0.05373 0.05905 0.01805 0.861 0.277 1568.645 0.01321
-0.01120 0.02183 0.05383 0.05916 0.01911 0.818 0.273 1568.682 0.01323
-0.01122 0.02187 0.05393 0.05926 0.02018 0.644 0.252 1568.719 0.01326
-0.01124 0.02191 0.05402 0.05937 0.02124 0.951 0.286 1568.755 0.01328
-0.01126 0.02194 0.05412 0.05948 0.02230 1.216 0.310 1568.792 0.01330
-0.01128 0.02198 0.05422 0.05958 0.02336 0.731 0.263 1568.829 0.01333
-0.01130 0.02202 0.05432 0.05969 0.02443 0.864 0.279 1568.865 0.01335
-0.01132 0.02206 0.05441 0.05980 0.02549 1.089 0.301 1568.902 0.01338
-0.01134 0.02210 0.05451 0.05991 0.02655 0.778 0.270 1568.939 0.01340
-0.01136 0.02214 0.05461 0.06001 0.02761 0.781 0.270 1568.976 0.01342
-0.01138 0.02218 0.05471 0.06012 0.02868 1.091 0.301 1569.012 0.01345
-0.01140 0.02222 0.05480 0.06023 0.02974 1.047 0.298 1569.049 0.01347
-0.01142 0.02226 0.05490 0.06033 0.03080 1.224 0.315 1569.086 0.01349
-0.01145 0.02230 0.05500 0.06044 0.03186 1.228 0.313 1569.122 0.01352
-0.01147 0.02234 0.05510 0.06055 0.03293 1.184 0.311 1569.159 0.01354
-0.01149 0.02238 0.05519 0.06066 0.03399 1.406 0.330 1569.196 0.01356
-0.01151 0.02242 0.05529 0.06076 0.03505 0.476 0.233 1569.233 0.01359
-0.01153 0.02246 0.05539 0.06087 0.03611 1.012 0.295 1569.269 0.01361
-0.01155 0.02250 0.05549 0.06098 0.03718 0.833 0.276 1569.306 0.01364
-0.01157 0.02254 0.05558 0.06108 0.03824 0.919 0.286 1569.343 0.01366
-0.01159 0.02258 0.05568 0.06119 0.03930 0.921 0.287 1569.380 0.01368
-0.01161 0.02262 0.05578 0.06130 0.04037 1.547 0.343 1569.416 0.01371
-0.01163 0.02266 0.05588 0.06141 0.04143 0.831 0.278 1569.453 0.01373
-0.01165 0.02270 0.05597 0.06151 0.04249 0.848 0.277 1569.490 0.01375
-0.01167 0.02274 0.05607 0.06162 0.04355 1.051 0.301 1569.526 0.01378
