x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.03718 0.00975 0.04241 0.05724 0.00000 1.047 0.080 1568.024 0.01281
-0.03725 0.00976 0.04249 0.05734 0.00106 0.929 0.076 1568.060 0.01283
-0.03732 0.00978 0.04257 0.05745 0.00212 1.068 0.081 1568.097 0.01285
-0.03739 0.00980 0.04265 0.05756 0.00318 1.074 0.082 1568.134 0.01288
-0.03746 0.00982 0.04272 0.05766 0.00425 0.904 0.075 1568.170 0.01290
-0.03753 0.00984 0.04280 0.05777 0.00531 0.958 0.077 1568.207 0.01293
-0.03760 0.00985 0.04288 0.05788 0.00637 0.904 0.075 1568.244 0.01295
-0.03767 0.00987 0.04296 0.05799 0.00743 0.963 0.077 1568.281 0.01297
-0.03774 0.00989 0.04304 0.05809 0.00849 0.947 0.077 1568.317 0.01300
-0.03781 0.00991 0.04312 0.05820 0.00956 1.046 0.081 1568.354 0.01302
-0.03788 0.00993 0.04320 0.05831 0.01062 0.899 0.075 1568.391 0.01304
-0.03795 0.00995 0.04328 0.05841 0.01168 0.972 0.078 1568.427 0.01307
-0.03802 0.00996 0.04336 0.05852 0.01274 0.912 0.075 1568.464 0.01309
-0.03809 0.00998 0.04344 0.05863 0.01380 0.804 0.071 1568.501 0.01312
-0.03816 0.01000 0.04352 0.05873 0.01487 0.854 0.073 1568.537 0.01314
-0.03823 0.01002 0.04360 0.05884 0.01593 0.910 0.075 1568.574 0.01316
-0.03830 0.01004 0.04368 0.05895 0.01699 1.100 0.083 1568.611 0.01319
-0.03837 0.01006 0.04376 0.05906 0.01805 0.900 0.075 1568.648 0.01321
-0.03844 0.01007 0.04384 0.05916 0.01911 0.866 0.074 1568.684 0.01323
-0.03850 0.01009 0.04391 0.05927 0.02018 0.975 0.078 1568.721 0.01326
-0.03857 0.01011 0.04399 0.05938 0.02124 1.013 0.080 1568.758 0.01328
-0.03864 0.01013 0.04407 0.05948 0.02230 0.953 0.077 1568.794 0.01331
-0.03871 0.01015 0.04415 0.05959 0.02336 0.997 0.079 1568.831 0.01333
-0.03878 0.01016 0.04423 0.05970 0.02443 0.830 0.072 1568.868 0.01335
-0.03885 0.01018 0.04431 0.05981 0.02549 1.003 0.080 1568.905 0.01338
-0.03892 0.01020 0.04439 0.05991 0.02655 0.933 0.077 1568.941 0.01340
-0.03899 0.01022 0.04447 0.06002 0.02761 0.889 0.075 1568.978 0.01342
-0.03906 0.01024 0.04455 0.06013 0.02868 0.896 0.075 1569.015 0.01345
-0.03913 0.01026 0.04463 0.06023 0.02974 1.109 0.084 1569.051 0.01347
-0.03920 0.01027 0.04471 0.06034 0.03080 0.890 0.075 1569.088 0.01350
-0.03927 0.01029 0.04479 0.06045 0.03186 0.995 0.079 1569.125 0.01352
-0.03934 0.01031 0.04487 0.06056 0.03293 0.911 0.076 1569.162 0.01354
-0.03941 0.01033 0.04495 0.06066 0.03399 1.010 0.080 1569.198 0.01357
-0.03948 0.01035 0.04503 0.06077 0.03505 0.926 0.077 1569.235 0.01359
-0.03955 0.01037 0.04510 0.06088 0.03611 0.836 0.073 1569.272 0.01361
-0.03962 0.01038 0.04518 0.06098 0.03718 0.921 0.077 1569.308 0.01364
-0.03969 0.01040 0.04526 0.06109 0.03824 0.855 0.074 1569.345 0.01366
-0.03976 0.01042 0.04534 0.06120 0.03930 0.864 0.074 1569.382 0.01368
-0.03983 0.01044 0.04542 0.06131 0.04037 0.963 0.078 1569.419 0.01371
-0.03990 0.01046 0.04550 0.06141 0.04143 0.860 0.074 1569.455 0.01373
-0.03997 0.01047 0.04558 0.06152 0.04249 0.984 0.079 1569.492 0.01376
-0.04004 0.01049 0.04566 0.06163 0.04355 0.970 0.079 1569.529 0.01378
-0.04011 0.01051 0.04574 0.06173 0.04462 1.124 0.085 1569.565 0.01380
-0.04017 0.01053 0.04582 0.06184 0.04568 0.977 0.079 1569.602 0.01383
-0.04024 0.01055 0.04590 0.06195 0.04674 0.894 0.076 1569.639 0.01385
-0.04031 0.01057 0.04598 0.06206 0.04781 0.911 0.076 1569.676 0.01387
-0.04038 0.01058 0.04606 0.06216 0.04887 0.969 0.079 1569.712 0.01390
-0.04045 0.01060 0.04614 0.06227 0.04993 0.965 0.079 1569.749 0.01392
-0.04052 0.01062 0.04622 0.06238 0.05100 1.054 0.082 1569.786 0.01395
-0.04059 0.01064 0.04630 0.06248 0.05206 1.089 0.084 1569.822 0.01397
-0.04066 0.01066 0.04638 0.06259 0.05312 1.009 0.081 1569.859 0.01399
-0.04073 0.01068 0.04645 0.06270 0.05419 0.856 0.078 1569.896 0.01402
-0.04080 0.01069 0.04653 0.06281 0.05525 0.871 0.078 1569.933 0.01404
-0.04087 0.01071 0.04661 0.06291 0.05631 0.840 0.082 1569.969 0.01406
-0.04094 0.01073 0.04669 0.06302 0.05738 0.859 0.089 1570.006 0.01409
-0.04101 0.01075 0.04677 0.06313 0.05844 1.072 0.101 1570.043 0.01411
-0.04108 0.01077 0.04685 0.06323 0.05951 0.976 0.092 1570.079 0.01414
-0.04115 0.01079 0.04693 0.06334 0.06057 1.013 0.093 1570.116 0.01416
-0.04122 0.01080 0.04701 0.06345 0.06163 1.005 0.093 1570.153 0.01418
-0.04129 0.01082 0.04709 0.06356 0.06270 0.908 0.094 1570.190 0.01421
-0.04136 0.01084 0.04717 0.06366 0.06376 0.892 0.093 1570.226 0.01423
-0.04143 0.01086 0.04725 0.06377 0.06482 0.875 0.087 1570.263 0.01425
-0.04150 0.01088 0.04733 0.06388 0.06589 1.080 0.097 1570.300 0.01428
-0.04157 0.01089 0.04741 0.06398 0.06695 0.860 0.086 1570.336 0.01430
-0.04164 0.01091 0.04749 0.06409 0.06802 0.949 0.091 1570.373 0.01433
-0.04171 0.01093 0.04757 0.06420 0.06908 0.879 0.087 1570.410 0.01435
-0.04178 0.01095 0.04765 0.06431 0.07014 1.110 0.098 1570.447 0.01437
-0.04185 0.01097 0.04773 0.06441 0.07121 0.960 0.091 1570.483 0.01440
-0.04192 0.01099 0.04781 0.06452 0.07227 1.040 0.095 1570.520 0.01442
-0.04199 0.01100 0.04788 0.06463 0.07334 0.962 0.097 1570.557 0.01444
-0.04206 0.01102 0.04796 0.06474 0.07440 0.989 0.093 1570.593 0.01447
-0.04212 0.01104 0.04804 0.06484 0.07546 0.892 0.088 1570.630 0.01449
-0.04219 0.01106 0.04812 0.06495 0.07653 0.904 0.094 1570.667 0.01451
-0.04226 0.01108 0.04820 0.06506 0.07759 0.896 0.088 1570.704 0.01454
-0.04233 0.01110 0.04828 0.06516 0.07866 0.918 0.090 1570.740 0.01456
-0.04240 0.01111 0.04836 0.06527 0.07972 0.976 0.092 1570.777 0.01459
-0.04247 0.01113 0.04844 0.06538 0.08079 0.878 0.088 1570.814 0.01461
-0.04254 0.01115 0.04852 0.06549 0.08185 0.933 0.096 1570.850 0.01463
-0.04261 0.01117 0.04860 0.06559 0.08291 1.065 0.097 1570.887 0.01466
-0.04268 0.01119 0.04868 0.06570 0.08398 1.145 0.100 1570.924 0.01468
-0.04275 0.01121 0.04876 0.06581 0.08504 0.879 0.093 1570.961 0.01470
-0.04282 0.01122 0.04884 0.06592 0.08611 0.921 0.090 1570.997 0.01473
-0.04289 0.01124 0.04892 0.06602 0.08717 1.153 0.101 1571.034 0.01475
-0.04296 0.01126 0.04900 0.06613 0.08824 0.955 0.092 1571.071 0.01478
-0.04303 0.01128 0.04908 0.06624 0.08930 0.998 0.094 1571.107 0.01480
-0.04310 0.01130 0.04916 0.06634 0.09037 0.963 0.092 1571.144 0.01482
-0.04317 0.01131 0.04924 0.06645 0.09143 0.802 0.089 1571.181 0.01485
-0.04324 0.01133 0.04932 0.06656 0.09250 0.999 0.099 1571.218 0.01487
-0.04331 0.01135 0.04940 0.06667 0.09356 0.896 0.094 1571.254 0.01489
-0.04338 0.01137 0.04947 0.06677 0.09463 1.009 0.094 1571.291 0.01492
-0.04345 0.01139 0.04955 0.06688 0.09569 0.912 0.095 1571.328 0.01494
-0.04352 0.01141 0.04963 0.06699 0.09676 1.085 0.098 1571.364 0.01497
-0.04359 0.01142 0.04971 0.06710 0.09782 1.014 0.095 1571.401 0.01499
-0.04366 0.01144 0.04979 0.06720 0.09889 0.959 0.097 1571.438 0.01501
-0.04373 0.01146 0.04987 0.06731 0.09995 0.869 0.093 1571.475 0.01504
-0.04380 0.01148 0.04995 0.06742 0.10102 1.042 0.096 1571.511 0.01506
-0.04387 0.01150 0.05003 0.06753 0.10208 1.034 0.101 1571.548 0.01508
-0.04394 0.01152 0.05011 0.06763 0.10315 0.907 0.090 1571.585 0.01511
-0.04401 0.01153 0.05019 0.06774 0.10421 1.071 0.098 1571.621 0.01513
-0.04408 0.01155 0.05027 0.06785 0.10528 1.127 0.100 1571.658 0.01516
-0.04415 0.01157 0.05035 0.06796 0.10634 1.055 0.097 1571.695 0.01518
-0.04422 0.01159 0.05043 0.06806 0.10741 1.056 0.097 1571.732 0.01520
-0.04429 0.01161 0.05051 0.06817 0.10847 1.120 0.100 1571.768 0.01523
-0.04436 0.01163 0.05059 0.06828 0.10954 0.975 0.093 1571.805 0.01525
-0.04443 0.01164 0.05067 0.06838 0.11060 1.140 0.101 1571.842 0.01527
-0.04450 0.01166 0.05075 0.06849 0.11167 1.095 0.099 1571.878 0.01530
-0.04457 0.01168 0.05083 0.06860 0.11273 0.886 0.095 1571.915 0.01532
-0.04464 0.01170 0.05091 0.06871 0.11380 0.895 0.095 1571.952 0.01534
-0.04471 0.01172 0.05099 0.06881 0.11487 1.068 0.098 1571.989 0.01537
-0.04477 0.01174 0.05107 0.06892 0.11593 0.958 0.093 1572.025 0.01539
-0.04484 0.01175 0.05115 0.06903 0.11700 0.895 0.095 1572.062 0.01542
-0.04491 0.01177 0.05122 0.06914 0.11806 1.133 0.101 1572.099 0.01544
-0.04498 0.01179 0.05130 0.06924 0.11913 0.841 0.093 1572.135 0.01546
-0.04505 0.01181 0.05138 0.06935 0.12019 0.942 0.103 1572.172 0.01549
-0.04512 0.01183 0.05146 0.06946 0.12126 0.979 0.094 1572.209 0.01551
-0.04519 0.01185 0.05154 0.06957 0.12233 0.760 0.094 1572.246 0.01553
-0.04526 0.01186 0.05162 0.06967 0.12339 0.944 0.098 1572.282 0.01556
-0.04533 0.01188 0.05170 0.06978 0.12446 0.826 0.098 1572.319 0.01558
-0.04540 0.01190 0.05178 0.06989 0.12552 0.973 0.094 1572.356 0.01561
-0.04547 0.01192 0.05186 0.07000 0.12659 1.140 0.101 1572.392 0.01563
-0.04554 0.01194 0.05194 0.07010 0.12766 1.003 0.100 1572.429 0.01565
-0.04561 0.01195 0.05202 0.07021 0.12872 0.885 0.095 1572.466 0.01568
-0.04568 0.01197 0.05210 0.07032 0.12979 1.108 0.100 1572.503 0.01570
-0.04575 0.01199 0.05218 0.07043 0.13085 1.038 0.097 1572.539 0.01572
-0.04582 0.01201 0.05226 0.07053 0.13192 0.919 0.097 1572.576 0.01575
-0.04589 0.01203 0.05234 0.07064 0.13299 1.111 0.100 1572.613 0.01577
-0.04596 0.01205 0.05242 0.07075 0.13405 0.989 0.100 1572.649 0.01580
-0.04603 0.01206 0.05250 0.07086 0.13512 1.014 0.096 1572.686 0.01582
-0.04610 0.01208 0.05258 0.07096 0.13618 1.178 0.103 1572.723 0.01584
-0.04617 0.01210 0.05266 0.07107 0.13725 1.096 0.100 1572.760 0.01587
-0.04624 0.01212 0.05274 0.07118 0.13832 1.038 0.102 1572.796 0.01589
-0.04631 0.01214 0.05282 0.07129 0.13938 1.286 0.108 1572.833 0.01591
-0.04638 0.01216 0.05290 0.07139 0.14045 0.836 0.098 1572.870 0.01594
-0.04645 0.01217 0.05298 0.07150 0.14152 0.895 0.096 1572.906 0.01596
-0.04652 0.01219 0.05306 0.07161 0.14258 1.052 0.103 1572.943 0.01599
-0.04659 0.01221 0.05314 0.07172 0.14365 1.033 0.097 1572.980 0.01601
-0.04666 0.01223 0.05322 0.07182 0.14472 0.926 0.103 1573.017 0.01603
-0.04673 0.01225 0.05329 0.07193 0.14578 0.983 0.100 1573.053 0.01606
-0.04680 0.01227 0.05337 0.07204 0.14685 0.916 0.097 1573.090 0.01608
-0.04687 0.01228 0.05345 0.07215 0.14792 1.103 0.100 1573.127 0.01610
-0.04694 0.01230 0.05353 0.07225 0.14898 1.001 0.096 1573.163 0.01613
-0.04701 0.01232 0.05361 0.07236 0.15005 0.872 0.095 1573.200 0.01615
-0.04708 0.01234 0.05369 0.07247 0.15112 0.920 0.097 1573.237 0.01617
-0.04715 0.01236 0.05377 0.07258 0.15218 0.995 0.101 1573.274 0.01620
-0.04722 0.01238 0.05385 0.07268 0.15325 0.903 0.097 1573.310 0.01622
-0.04729 0.01239 0.05393 0.07279 0.15432 1.016 0.097 1573.347 0.01625
-0.04736 0.01241 0.05401 0.07290 0.15538 0.941 0.098 1573.384 0.01627
-0.04743 0.01243 0.05409 0.07301 0.15645 0.980 0.095 1573.420 0.01629
-0.04750 0.01245 0.05417 0.07311 0.15752 0.934 0.093 1573.457 0.01632
-0.04757 0.01247 0.05425 0.07322 0.15859 0.746 0.094 1573.494 0.01634
-0.04764 0.01249 0.05433 0.07333 0.15965 0.859 0.095 1573.531 0.01636
-0.04771 0.01250 0.05441 0.07344 0.16072 0.925 0.092 1573.567 0.01639
-0.04778 0.01252 0.05449 0.07354 0.16179 0.747 0.095 1573.604 0.01641
-0.04785 0.01254 0.05457 0.07365 0.16285 1.105 0.101 1573.641 0.01644
-0.04792 0.01256 0.05465 0.07376 0.16392 0.936 0.093 1573.677 0.01646
-0.04799 0.01258 0.05473 0.07387 0.16499 1.031 0.098 1573.714 0.01648
-0.04806 0.01260 0.05481 0.07397 0.16606 1.003 0.102 1573.751 0.01651
-0.04813 0.01261 0.05489 0.07408 0.16712 0.994 0.096 1573.787 0.01653
-0.04820 0.01263 0.05497 0.07419 0.16819 1.032 0.098 1573.824 0.01655
-0.04827 0.01265 0.05505 0.07430 0.16926 0.759 0.095 1573.861 0.01658
