x y z dist_scaled dist_frac flux_norm
0.15349 0.01563 0.47844 0.50270 0.00000 0.886
0.15371 0.01566 0.47912 0.50342 0.00181 1.090
0.15393 0.01568 0.47980 0.50413 0.00362 1.171
0.15415 0.01570 0.48048 0.50485 0.00543 1.091
0.15437 0.01572 0.48117 0.50557 0.00724 0.807
0.15459 0.01575 0.48185 0.50629 0.00906 0.948
0.15481 0.01577 0.48253 0.50700 0.01087 1.051
0.15503 0.01579 0.48322 0.50772 0.01268 0.542
0.15525 0.01581 0.48390 0.50844 0.01449 0.971
0.15547 0.01584 0.48458 0.50916 0.01630 1.073
0.15569 0.01586 0.48527 0.50988 0.01811 0.850
0.15590 0.01588 0.48595 0.51059 0.01992 1.034
0.15612 0.01590 0.48663 0.51131 0.02174 0.995
0.15634 0.01592 0.48732 0.51203 0.02355 0.975
0.15656 0.01595 0.48800 0.51275 0.02536 0.935
0.15678 0.01597 0.48868 0.51347 0.02717 0.690
0.15700 0.01599 0.48937 0.51418 0.02898 0.812
0.15722 0.01601 0.49005 0.51490 0.03080 1.263
0.15744 0.01604 0.49073 0.51562 0.03261 0.814
0.15766 0.01606 0.49142 0.51634 0.03442 0.937
0.15788 0.01608 0.49210 0.51706 0.03623 1.185
0.15810 0.01610 0.49279 0.51778 0.03804 0.960
0.15832 0.01613 0.49347 0.51849 0.03986 1.083
0.15854 0.01615 0.49415 0.51921 0.04167 1.042
0.15875 0.01617 0.49484 0.51993 0.04348 0.960
0.15897 0.01619 0.49552 0.52065 0.04529 1.104
0.15919 0.01621 0.49620 0.52137 0.04711 1.228
0.15941 0.01624 0.49689 0.52209 0.04892 1.044
0.15963 0.01626 0.49757 0.52280 0.05073 1.107
0.15985 0.01628 0.49825 0.52352 0.05254 1.170
0.16007 0.01630 0.49894 0.52424 0.05436 0.923
0.16029 0.01633 0.49962 0.52496 0.05617 1.006
0.16051 0.01635 0.50031 0.52568 0.05798 1.089
0.16073 0.01637 0.50099 0.52640 0.05980 1.152
0.16095 0.01639 0.50167 0.52711 0.06161 1.070
0.16117 0.01642 0.50236 0.52783 0.06342 1.008
0.16139 0.01644 0.50304 0.52855 0.06524 0.822
0.16161 0.01646 0.50373 0.52927 0.06705 1.113
0.16183 0.01648 0.50441 0.52999 0.06886 1.218
0.16205 0.01651 0.50509 0.53071 0.07068 1.115
0.16227 0.01653 0.50578 0.53143 0.07249 0.866
0.16248 0.01655 0.50646 0.53214 0.07430 1.033
0.16270 0.01657 0.50715 0.53286 0.07612 1.283
0.16292 0.01659 0.50783 0.53358 0.07793 0.848
0.16314 0.01662 0.50851 0.53430 0.07974 0.910
0.16336 0.01664 0.50920 0.53502 0.08156 0.993
0.16358 0.01666 0.50988 0.53574 0.08337 1.201
0.16380 0.01668 0.51057 0.53646 0.08518 0.660
0.16402 0.01671 0.51125 0.53718 0.08700 0.764
0.16424 0.01673 0.51193 0.53790 0.08881 1.287
0.16446 0.01675 0.51262 0.53861 0.09063 0.893
0.16468 0.01677 0.51330 0.53933 0.09244 1.080
0.16490 0.01680 0.51399 0.54005 0.09426 1.061
0.16512 0.01682 0.51467 0.54077 0.09607 0.748
0.16534 0.01684 0.51536 0.54149 0.09788 0.978
0.16556 0.01686 0.51604 0.54221 0.09970 1.146
0.16578 0.01689 0.51672 0.54293 0.10151 1.022
0.16600 0.01691 0.51741 0.54365 0.10333 0.918
0.16622 0.01693 0.51809 0.54437 0.10514 1.003
0.16644 0.01695 0.51878 0.54509 0.10696 1.024
0.16666 0.01697 0.51946 0.54581 0.10877 1.045
0.16688 0.01700 0.52015 0.54652 0.11059 0.941
0.16709 0.01702 0.52083 0.54724 0.11240 1.089
0.16731 0.01704 0.52152 0.54796 0.11422 1.111
0.16753 0.01706 0.52220 0.54868 0.11603 1.049
0.16775 0.01709 0.52289 0.54940 0.11785 0.924
0.16797 0.01711 0.52357 0.55012 0.11966 0.882
0.16819 0.01713 0.52425 0.55084 0.12148 0.778
0.16841 0.01715 0.52494 0.55156 0.12329 1.200
0.16863 0.01718 0.52562 0.55228 0.12511 1.180
0.16885 0.01720 0.52631 0.55300 0.12692 0.991
0.16907 0.01722 0.52699 0.55372 0.12874 0.948
0.16929 0.01724 0.52768 0.55444 0.13055 0.972
0.16951 0.01727 0.52836 0.55516 0.13237 1.269
0.16973 0.01729 0.52905 0.55588 0.13418 0.847
0.16995 0.01731 0.52973 0.55660 0.13600 0.953
0.17017 0.01733 0.53042 0.55732 0.13782 0.805
0.17039 0.01736 0.53110 0.55804 0.13963 0.764
0.17061 0.01738 0.53179 0.55876 0.14145 0.765
0.17083 0.01740 0.53247 0.55948 0.14326 0.808
0.17105 0.01742 0.53316 0.56019 0.14508 0.809
0.17127 0.01744 0.53384 0.56091 0.14689 1.106
0.17149 0.01747 0.53453 0.56163 0.14871 0.831
0.17171 0.01749 0.53521 0.56235 0.15053 0.936
0.17193 0.01751 0.53590 0.56307 0.15234 0.958
0.17215 0.01753 0.53658 0.56379 0.15416 0.704
0.17237 0.01756 0.53727 0.56451 0.15598 0.917
0.17259 0.01758 0.53795 0.56523 0.15779 0.492
0.17281 0.01760 0.53864 0.56595 0.15961 0.386
0.17303 0.01762 0.53932 0.56667 0.16143 0.451
0.17325 0.01765 0.54001 0.56739 0.16324 0.473
0.17347 0.01767 0.54069 0.56811 0.16506 0.601
0.17369 0.01769 0.54138 0.56883 0.16688 0.687
0.17391 0.01771 0.54206 0.56955 0.16869 0.708
0.17413 0.01774 0.54275 0.57027 0.17051 0.837
0.17435 0.01776 0.54343 0.57099 0.17233 1.137
0.17457 0.01778 0.54412 0.57171 0.17414 0.987
0.17479 0.01780 0.54481 0.57243 0.17596 0.945
0.17501 0.01783 0.54549 0.57315 0.17778 0.903
0.17523 0.01785 0.54618 0.57387 0.17959 1.031
0.17545 0.01787 0.54686 0.57459 0.18141 1.075
0.17567 0.01789 0.54755 0.57531 0.18323 1.182
0.17589 0.01792 0.54823 0.57603 0.18505 1.183
0.17611 0.01794 0.54892 0.57675 0.18686 1.140
0.17633 0.01796 0.54960 0.57748 0.18868 1.076
0.17655 0.01798 0.55029 0.57820 0.19050 0.861
0.17677 0.01800 0.55097 0.57892 0.19232 0.712
0.17699 0.01803 0.55166 0.57964 0.19413 0.883
0.17721 0.01805 0.55235 0.58036 0.19595 0.905
0.17743 0.01807 0.55303 0.58108 0.19777 0.669
0.17765 0.01809 0.55372 0.58180 0.19959 0.799
0.17787 0.01812 0.55440 0.58252 0.20141 0.928
0.17809 0.01814 0.55509 0.58324 0.20322 0.993
0.17831 0.01816 0.55577 0.58396 0.20504 0.972
0.17853 0.01818 0.55646 0.58468 0.20686 1.059
0.17875 0.01821 0.55715 0.58540 0.20868 1.123
0.17897 0.01823 0.55783 0.58612 0.21050 1.015
0.17919 0.01825 0.55852 0.58684 0.21231 0.735
0.17941 0.01827 0.55920 0.58756 0.21413 0.972
0.17963 0.01830 0.55989 0.58828 0.21595 0.583
0.17985 0.01832 0.56058 0.58900 0.21777 0.972
0.18007 0.01834 0.56126 0.58972 0.21959 0.756
0.18029 0.01836 0.56195 0.59044 0.22141 1.189
0.18051 0.01839 0.56263 0.59117 0.22323 0.909
0.18073 0.01841 0.56332 0.59189 0.22504 0.844
0.18095 0.01843 0.56401 0.59261 0.22686 0.714
0.18117 0.01845 0.56469 0.59333 0.22868 0.692
0.18139 0.01848 0.56538 0.59405 0.23050 0.800
0.18161 0.01850 0.56606 0.59477 0.23232 0.801
0.18183 0.01852 0.56675 0.59549 0.23414 0.693
0.18205 0.01854 0.56744 0.59621 0.23596 0.693
0.18227 0.01857 0.56812 0.59693 0.23778 0.911
0.18249 0.01859 0.56881 0.59765 0.23960 0.867
0.18271 0.01861 0.56949 0.59837 0.24142 0.997
0.18293 0.01863 0.57018 0.59910 0.24323 1.237
0.18315 0.01865 0.57087 0.59982 0.24505 0.999
0.18337 0.01868 0.57155 0.60054 0.24687 1.021
0.18359 0.01870 0.57224 0.60126 0.24869 1.109
0.18381 0.01872 0.57293 0.60198 0.25051 0.893
0.18403 0.01874 0.57361 0.60270 0.25233 0.740
0.18425 0.01877 0.57430 0.60342 0.25415 0.806
0.18447 0.01879 0.57499 0.60414 0.25597 0.763
0.18469 0.01881 0.57567 0.60486 0.25779 0.588
0.18491 0.01883 0.57636 0.60559 0.25961 0.784
0.18513 0.01886 0.57704 0.60631 0.26143 0.696
0.18535 0.01888 0.57773 0.60703 0.26325 0.915
0.18557 0.01890 0.57842 0.60775 0.26507 0.806
0.18579 0.01892 0.57910 0.60847 0.26689 1.068
0.18601 0.01895 0.57979 0.60919 0.26871 0.698
0.18623 0.01897 0.58048 0.60991 0.27053 0.897
0.18645 0.01899 0.58116 0.61064 0.27235 0.897
0.18667 0.01901 0.58185 0.61136 0.27417 1.139
0.18689 0.01904 0.58254 0.61208 0.27599 1.053
0.18711 0.01906 0.58322 0.61280 0.27782 1.031
0.18733 0.01908 0.58391 0.61352 0.27964 1.052
0.18755 0.01910 0.58460 0.61424 0.28146 1.162
0.18777 0.01913 0.58528 0.61496 0.28328 1.119
0.18799 0.01915 0.58597 0.61569 0.28510 0.987
0.18821 0.01917 0.58666 0.61641 0.28692 0.901
0.18843 0.01919 0.58734 0.61713 0.28874 0.703
0.18865 0.01922 0.58803 0.61785 0.29056 0.945
0.18887 0.01924 0.58872 0.61857 0.29238 1.034
0.18909 0.01926 0.58941 0.61930 0.29420 0.857
0.18932 0.01928 0.59009 0.62002 0.29602 0.857
0.18954 0.01931 0.59078 0.62074 0.29785 0.879
0.18976 0.01933 0.59147 0.62146 0.29967 1.011
0.18998 0.01935 0.59215 0.62218 0.30149 0.880
0.19020 0.01937 0.59284 0.62290 0.30331 1.012
0.19042 0.01940 0.59353 0.62363 0.30513 0.659
