x y z dist_scaled dist_frac flux_norm
-0.01221 -0.02973 0.50146 0.50249 0.00000 1.036
-0.01222 -0.02977 0.50217 0.50320 0.00181 0.954
-0.01224 -0.02982 0.50289 0.50392 0.00362 0.974
-0.01226 -0.02986 0.50361 0.50464 0.00543 1.117
-0.01228 -0.02990 0.50432 0.50536 0.00724 0.938
-0.01229 -0.02994 0.50504 0.50607 0.00906 0.948
-0.01231 -0.02999 0.50575 0.50679 0.01087 0.918
-0.01233 -0.03003 0.50647 0.50751 0.01268 0.925
-0.01235 -0.03007 0.50719 0.50823 0.01449 1.041
-0.01236 -0.03011 0.50790 0.50895 0.01630 0.983
-0.01238 -0.03016 0.50862 0.50966 0.01811 1.012
-0.01240 -0.03020 0.50934 0.51038 0.01992 1.135
-0.01242 -0.03024 0.51005 0.51110 0.02174 0.885
-0.01243 -0.03028 0.51077 0.51182 0.02355 0.929
-0.01245 -0.03033 0.51149 0.51253 0.02536 1.077
-0.01247 -0.03037 0.51220 0.51325 0.02717 0.945
-0.01249 -0.03041 0.51292 0.51397 0.02898 0.940
-0.01250 -0.03045 0.51363 0.51469 0.03080 0.822
-0.01252 -0.03050 0.51435 0.51541 0.03261 0.975
-0.01254 -0.03054 0.51507 0.51612 0.03442 1.050
-0.01256 -0.03058 0.51578 0.51684 0.03623 0.946
-0.01257 -0.03062 0.51650 0.51756 0.03804 1.031
-0.01259 -0.03067 0.51722 0.51828 0.03986 1.110
-0.01261 -0.03071 0.51793 0.51900 0.04167 1.026
-0.01263 -0.03075 0.51865 0.51972 0.04348 0.770
-0.01264 -0.03079 0.51937 0.52043 0.04529 0.968
-0.01266 -0.03084 0.52008 0.52115 0.04711 1.022
-0.01268 -0.03088 0.52080 0.52187 0.04892 0.948
-0.01270 -0.03092 0.52152 0.52259 0.05073 0.919
-0.01271 -0.03096 0.52223 0.52331 0.05254 1.028
-0.01273 -0.03101 0.52295 0.52402 0.05436 0.875
-0.01275 -0.03105 0.52367 0.52474 0.05617 1.054
-0.01277 -0.03109 0.52439 0.52546 0.05798 1.101
-0.01278 -0.03113 0.52510 0.52618 0.05980 0.896
-0.01280 -0.03118 0.52582 0.52690 0.06161 1.014
-0.01282 -0.03122 0.52654 0.52762 0.06342 1.024
-0.01283 -0.03126 0.52725 0.52833 0.06524 0.936
-0.01285 -0.03130 0.52797 0.52905 0.06705 0.996
-0.01287 -0.03135 0.52869 0.52977 0.06886 0.946
-0.01289 -0.03139 0.52940 0.53049 0.07068 1.019
-0.01290 -0.03143 0.53012 0.53121 0.07249 1.052
-0.01292 -0.03147 0.53084 0.53193 0.07430 0.901
-0.01294 -0.03152 0.53156 0.53265 0.07612 0.919
-0.01296 -0.03156 0.53227 0.53336 0.07793 1.126
-0.01297 -0.03160 0.53299 0.53408 0.07974 1.055
-0.01299 -0.03164 0.53371 0.53480 0.08156 1.016
-0.01301 -0.03169 0.53442 0.53552 0.08337 1.044
-0.01303 -0.03173 0.53514 0.53624 0.08518 1.069
-0.01304 -0.03177 0.53586 0.53696 0.08700 0.720
