x y z dist_scaled dist_frac flux_norm
-0.13656 0.03924 0.48223 0.50273 0.00000 1.334
-0.13675 0.03929 0.48292 0.50344 0.00181 1.060
-0.13695 0.03935 0.48361 0.50416 0.00362 0.787
-0.13714 0.03940 0.48429 0.50488 0.00543 1.295
-0.13734 0.03946 0.48498 0.50560 0.00724 0.827
-0.13753 0.03952 0.48567 0.50631 0.00906 0.788
-0.13773 0.03957 0.48636 0.50703 0.01087 0.750
-0.13792 0.03963 0.48705 0.50775 0.01268 1.102
-0.13812 0.03968 0.48774 0.50847 0.01449 0.907
-0.13831 0.03974 0.48842 0.50918 0.01630 0.517
-0.13851 0.03980 0.48911 0.50990 0.01811 0.870
-0.13870 0.03985 0.48980 0.51062 0.01992 1.184
-0.13890 0.03991 0.49049 0.51134 0.02174 0.559
-0.13909 0.03996 0.49118 0.51206 0.02355 0.951
-0.13929 0.04002 0.49187 0.51277 0.02536 0.717
-0.13948 0.04008 0.49256 0.51349 0.02717 0.522
-0.13968 0.04013 0.49325 0.51421 0.02898 1.460
-0.13987 0.04019 0.49393 0.51493 0.03080 1.110
-0.14007 0.04024 0.49462 0.51565 0.03261 0.798
-0.14026 0.04030 0.49531 0.51636 0.03442 0.876
-0.14046 0.04036 0.49600 0.51708 0.03623 1.071
-0.14065 0.04041 0.49669 0.51780 0.03804 1.070
-0.14085 0.04047 0.49738 0.51852 0.03986 0.993
-0.14105 0.04053 0.49807 0.51924 0.04167 0.994
-0.14124 0.04058 0.49876 0.51995 0.04348 1.269
-0.14144 0.04064 0.49944 0.52067 0.04529 0.800
-0.14163 0.04069 0.50013 0.52139 0.04711 1.033
-0.14183 0.04075 0.50082 0.52211 0.04892 1.425
-0.14202 0.04081 0.50151 0.52283 0.05073 0.917
-0.14222 0.04086 0.50220 0.52355 0.05254 0.956
-0.14241 0.04092 0.50289 0.52426 0.05436 1.043
-0.14261 0.04097 0.50358 0.52498 0.05617 1.103
-0.14280 0.04103 0.50427 0.52570 0.05798 0.988
-0.14300 0.04109 0.50496 0.52642 0.05980 1.147
-0.14319 0.04114 0.50565 0.52714 0.06161 0.923
-0.14339 0.04120 0.50633 0.52786 0.06342 1.032
-0.14358 0.04125 0.50702 0.52857 0.06524 1.089
-0.14378 0.04131 0.50771 0.52929 0.06705 0.837
-0.14397 0.04137 0.50840 0.53001 0.06886 0.806
-0.14417 0.04142 0.50909 0.53073 0.07068 0.573
-0.14436 0.04148 0.50978 0.53145 0.07249 1.127
-0.14456 0.04153 0.51047 0.53217 0.07430 0.550
-0.14475 0.04159 0.51116 0.53289 0.07612 0.552
-0.14495 0.04165 0.51185 0.53360 0.07793 1.173
-0.14514 0.04170 0.51254 0.53432 0.07974 0.516
-0.14534 0.04176 0.51323 0.53504 0.08156 1.193
-0.14553 0.04181 0.51392 0.53576 0.08337 1.295
-0.14573 0.04187 0.51461 0.53648 0.08518 0.890
-0.14592 0.04193 0.51530 0.53720 0.08700 1.192
-0.14612 0.04198 0.51599 0.53792 0.08881 0.799
-0.14631 0.04204 0.51667 0.53864 0.09063 0.837
-0.14651 0.04210 0.51736 0.53935 0.09244 0.758
-0.14671 0.04215 0.51805 0.54007 0.09426 0.798
-0.14690 0.04221 0.51874 0.54079 0.09607 1.308
-0.14710 0.04226 0.51943 0.54151 0.09788 0.915
-0.14729 0.04232 0.52012 0.54223 0.09970 1.071
-0.14749 0.04238 0.52081 0.54295 0.10151 1.070
-0.14768 0.04243 0.52150 0.54367 0.10333 1.108
-0.14788 0.04249 0.52219 0.54439 0.10514 0.834
-0.14807 0.04254 0.52288 0.54511 0.10696 0.717
-0.14827 0.04260 0.52357 0.54582 0.10877 0.993
-0.14846 0.04266 0.52426 0.54654 0.11059 0.797
-0.14866 0.04271 0.52495 0.54726 0.11240 1.072
-0.14885 0.04277 0.52564 0.54798 0.11422 0.993
-0.14905 0.04282 0.52633 0.54870 0.11603 1.031
-0.14924 0.04288 0.52702 0.54942 0.11785 0.953
-0.14944 0.04294 0.52771 0.55014 0.11966 0.874
-0.14963 0.04299 0.52840 0.55086 0.12148 1.151
-0.14983 0.04305 0.52909 0.55158 0.12329 0.758
-0.15003 0.04311 0.52978 0.55230 0.12511 0.680
-0.15022 0.04316 0.53047 0.55302 0.12692 1.034
-0.15042 0.04322 0.53116 0.55374 0.12874 1.113
-0.15061 0.04327 0.53185 0.55446 0.13055 0.640
-0.15081 0.04333 0.53254 0.55517 0.13237 1.311
-0.15100 0.04339 0.53323 0.55589 0.13418 0.800
-0.15120 0.04344 0.53392 0.55661 0.13600 0.880
-0.15139 0.04350 0.53461 0.55733 0.13782 1.236
-0.15159 0.04355 0.53530 0.55805 0.13963 0.961
-0.15178 0.04361 0.53599 0.55877 0.14145 0.803
-0.15198 0.04367 0.53668 0.55949 0.14326 1.118
-0.15218 0.04372 0.53737 0.56021 0.14508 0.724
-0.15237 0.04378 0.53806 0.56093 0.14689 1.081
-0.15257 0.04384 0.53875 0.56165 0.14871 0.844
-0.15276 0.04389 0.53944 0.56237 0.15053 1.120
-0.15296 0.04395 0.54013 0.56309 0.15234 1.160
-0.15315 0.04400 0.54082 0.56381 0.15416 0.924
-0.15335 0.04406 0.54151 0.56453 0.15598 1.319
-0.15354 0.04412 0.54220 0.56525 0.15779 1.280
-0.15374 0.04417 0.54289 0.56597 0.15961 1.123
-0.15393 0.04423 0.54358 0.56669 0.16143 0.926
-0.15413 0.04428 0.54427 0.56741 0.16324 0.809
-0.15433 0.04434 0.54497 0.56813 0.16506 1.204
-0.15452 0.04440 0.54566 0.56885 0.16688 0.966
-0.15472 0.04445 0.54635 0.56957 0.16869 0.650
-0.15491 0.04451 0.54704 0.57029 0.17051 1.124
-0.15511 0.04457 0.54773 0.57101 0.17233 1.480
-0.15530 0.04462 0.54842 0.57173 0.17414 0.887
-0.15550 0.04468 0.54911 0.57245 0.17596 1.007
-0.15569 0.04473 0.54980 0.57317 0.17778 1.483
-0.15589 0.04479 0.55049 0.57389 0.17959 0.732
-0.15609 0.04485 0.55118 0.57461 0.18141 1.127
-0.15628 0.04490 0.55187 0.57533 0.18323 0.691
-0.15648 0.04496 0.55256 0.57605 0.18505 1.087
-0.15667 0.04502 0.55325 0.57677 0.18686 1.008
-0.15687 0.04507 0.55394 0.57749 0.18868 0.810
-0.15706 0.04513 0.55463 0.57821 0.19050 0.929
-0.15726 0.04518 0.55533 0.57893 0.19232 1.008
-0.15746 0.04524 0.55602 0.57965 0.19413 0.849
-0.15765 0.04530 0.55671 0.58037 0.19595 1.444
-0.15785 0.04535 0.55740 0.58109 0.19777 0.968
-0.15804 0.04541 0.55809 0.58181 0.19959 0.929
-0.15824 0.04547 0.55878 0.58253 0.20141 0.612
-0.15843 0.04552 0.55947 0.58325 0.20322 0.543
-0.15863 0.04558 0.56016 0.58397 0.20504 1.281
-0.15883 0.04563 0.56085 0.58469 0.20686 1.240
-0.15902 0.04569 0.56154 0.58541 0.20868 1.342
-0.15922 0.04575 0.56223 0.58613 0.21050 0.808
-0.15941 0.04580 0.56293 0.58685 0.21231 0.626
-0.15961 0.04586 0.56362 0.58757 0.21413 0.919
-0.15980 0.04591 0.56431 0.58829 0.21595 1.060
-0.16000 0.04597 0.56500 0.58901 0.21777 1.199
-0.16020 0.04603 0.56569 0.58973 0.21959 0.897
-0.16039 0.04608 0.56638 0.59046 0.22141 0.703
-0.16059 0.04614 0.56707 0.59118 0.22323 1.018
-0.16078 0.04620 0.56776 0.59190 0.22504 1.108
-0.16098 0.04625 0.56846 0.59262 0.22686 0.897
-0.16117 0.04631 0.56915 0.59334 0.22868 0.948
-0.16137 0.04636 0.56984 0.59406 0.23050 0.983
-0.16157 0.04642 0.57053 0.59478 0.23232 1.133
-0.16176 0.04648 0.57122 0.59550 0.23414 0.892
-0.16196 0.04653 0.57191 0.59622 0.23596 0.933
-0.16215 0.04659 0.57260 0.59694 0.23778 0.772
-0.16235 0.04665 0.57330 0.59766 0.23960 1.452
-0.16254 0.04670 0.57399 0.59838 0.24142 1.053
-0.16274 0.04676 0.57468 0.59910 0.24324 1.574
-0.16294 0.04681 0.57537 0.59983 0.24505 0.814
-0.16313 0.04687 0.57606 0.60055 0.24687 1.337
-0.16333 0.04693 0.57675 0.60127 0.24869 0.897
-0.16352 0.04698 0.57744 0.60199 0.25051 1.018
-0.16372 0.04704 0.57814 0.60271 0.25233 1.386
-0.16392 0.04710 0.57883 0.60343 0.25415 1.106
