x y z dist_scaled dist_frac absorption
-0.17016 -0.03960 0.47088 0.50225 0.00000 -0.180
-0.17040 -0.03966 0.47156 0.50296 0.00181 0.163
-0.17064 -0.03971 0.47223 0.50368 0.00362 0.048
-0.17088 -0.03977 0.47290 0.50440 0.00543 -0.181
-0.17113 -0.03983 0.47357 0.50512 0.00724 0.047
-0.17137 -0.03988 0.47425 0.50584 0.00906 -0.009
-0.17161 -0.03994 0.47492 0.50655 0.01087 0.277
-0.17186 -0.04000 0.47559 0.50727 0.01268 -0.237
-0.17210 -0.04005 0.47627 0.50799 0.01449 0.220
-0.17234 -0.04011 0.47694 0.50871 0.01630 -0.124
-0.17259 -0.04017 0.47761 0.50942 0.01811 -0.525
-0.17283 -0.04022 0.47828 0.51014 0.01992 -0.068
-0.17307 -0.04028 0.47896 0.51086 0.02174 -0.240
-0.17332 -0.04034 0.47963 0.51158 0.02355 -0.125
-0.17356 -0.04039 0.48030 0.51230 0.02536 0.332
-0.17380 -0.04045 0.48098 0.51301 0.02717 -0.185
-0.17405 -0.04051 0.48165 0.51373 0.02898 -0.015
-0.17429 -0.04056 0.48232 0.51445 0.03080 -0.188
-0.17453 -0.04062 0.48300 0.51517 0.03261 -0.074
-0.17478 -0.04068 0.48367 0.51589 0.03442 -0.019
-0.17502 -0.04073 0.48434 0.51660 0.03623 0.154
-0.17526 -0.04079 0.48502 0.51732 0.03804 0.210
-0.17551 -0.04085 0.48569 0.51804 0.03986 -0.134
-0.17575 -0.04090 0.48636 0.51876 0.04167 -0.192
-0.17599 -0.04096 0.48704 0.51948 0.04348 0.383
-0.17624 -0.04102 0.48771 0.52019 0.04529 0.038
-0.17648 -0.04107 0.48838 0.52091 0.04711 0.152
-0.17672 -0.04113 0.48906 0.52163 0.04892 0.208
-0.17697 -0.04119 0.48973 0.52235 0.05073 0.266
-0.17721 -0.04124 0.49040 0.52307 0.05254 -0.023
-0.17745 -0.04130 0.49108 0.52379 0.05436 0.266
-0.17770 -0.04136 0.49175 0.52450 0.05617 0.209
-0.17794 -0.04141 0.49242 0.52522 0.05798 0.210
-0.17818 -0.04147 0.49310 0.52594 0.05980 -0.079
-0.17843 -0.04153 0.49377 0.52666 0.06161 0.208
-0.17867 -0.04158 0.49444 0.52738 0.06342 -0.195
-0.17891 -0.04164 0.49512 0.52810 0.06524 0.092
-0.17916 -0.04170 0.49579 0.52881 0.06705 -0.369
-0.17940 -0.04175 0.49646 0.52953 0.06886 0.439
-0.17964 -0.04181 0.49714 0.53025 0.07068 -0.196
-0.17989 -0.04187 0.49781 0.53097 0.07249 -0.313
-0.18013 -0.04192 0.49849 0.53169 0.07430 -0.198
-0.18037 -0.04198 0.49916 0.53241 0.07612 0.033
-0.18062 -0.04204 0.49983 0.53313 0.07793 0.263
-0.18086 -0.04209 0.50051 0.53384 0.07974 0.206
-0.18110 -0.04215 0.50118 0.53456 0.08156 0.148
-0.18135 -0.04221 0.50185 0.53528 0.08337 -0.430
-0.18159 -0.04226 0.50253 0.53600 0.08518 -0.314
-0.18183 -0.04232 0.50320 0.53672 0.08700 0.092
-0.18208 -0.04238 0.50388 0.53744 0.08881 0.151
-0.18232 -0.04243 0.50455 0.53816 0.09063 -0.196
-0.18256 -0.04249 0.50522 0.53887 0.09244 -0.253
-0.18281 -0.04255 0.50590 0.53959 0.09426 0.037
-0.18305 -0.04260 0.50657 0.54031 0.09607 -0.196
-0.18330 -0.04266 0.50725 0.54103 0.09788 -0.138
-0.18354 -0.04272 0.50792 0.54175 0.09970 -0.079
-0.18378 -0.04277 0.50859 0.54247 0.10151 0.268
-0.18403 -0.04283 0.50927 0.54319 0.10333 0.153
-0.18427 -0.04289 0.50994 0.54391 0.10514 0.094
-0.18451 -0.04294 0.51062 0.54463 0.10696 0.268
-0.18476 -0.04300 0.51129 0.54535 0.10877 0.095
-0.18500 -0.04306 0.51196 0.54606 0.11059 0.268
-0.18524 -0.04311 0.51264 0.54678 0.11240 0.035
-0.18549 -0.04317 0.51331 0.54750 0.11422 -0.140
-0.18573 -0.04323 0.51399 0.54822 0.11603 -0.606
-0.18597 -0.04328 0.51466 0.54894 0.11785 -0.026
-0.18622 -0.04334 0.51534 0.54966 0.11966 -0.316
-0.18646 -0.04340 0.51601 0.55038 0.12148 -0.316
-0.18671 -0.04345 0.51668 0.55110 0.12329 0.556
-0.18695 -0.04351 0.51736 0.55182 0.12511 -0.200
-0.18719 -0.04357 0.51803 0.55254 0.12692 -0.201
-0.18744 -0.04362 0.51871 0.55326 0.12874 -0.085
-0.18768 -0.04368 0.51938 0.55398 0.13055 0.437
-0.18792 -0.04374 0.52006 0.55470 0.13237 -0.204
-0.18817 -0.04379 0.52073 0.55541 0.13418 -0.321
-0.18841 -0.04385 0.52141 0.55613 0.13600 -0.438
-0.18866 -0.04391 0.52208 0.55685 0.13782 -0.261
-0.18890 -0.04396 0.52275 0.55757 0.13963 0.031
-0.18914 -0.04402 0.52343 0.55829 0.14145 0.323
-0.18939 -0.04408 0.52410 0.55901 0.14326 0.381
-0.18963 -0.04413 0.52478 0.55973 0.14508 -0.494
-0.18987 -0.04419 0.52545 0.56045 0.14689 -0.086
-0.19012 -0.04425 0.52613 0.56117 0.14871 -0.144
-0.19036 -0.04430 0.52680 0.56189 0.15053 0.030
-0.19061 -0.04436 0.52748 0.56261 0.15234 -0.322
-0.19085 -0.04442 0.52815 0.56333 0.15416 -0.148
-0.19109 -0.04447 0.52883 0.56405 0.15598 0.086
-0.19134 -0.04453 0.52950 0.56477 0.15779 0.262
-0.19158 -0.04459 0.53018 0.56549 0.15961 0.028
-0.19182 -0.04464 0.53085 0.56621 0.16143 0.319
-0.19207 -0.04470 0.53153 0.56693 0.16324 0.319
-0.19231 -0.04476 0.53220 0.56765 0.16506 0.144
-0.19256 -0.04481 0.53288 0.56837 0.16688 0.437
-0.19280 -0.04487 0.53355 0.56909 0.16869 0.202
-0.19304 -0.04493 0.53422 0.56981 0.17051 -0.033
-0.19329 -0.04498 0.53490 0.57053 0.17233 -0.091
-0.19353 -0.04504 0.53557 0.57125 0.17414 0.027
-0.19378 -0.04510 0.53625 0.57197 0.17596 -0.266
-0.19402 -0.04515 0.53692 0.57269 0.17778 -0.209
-0.19426 -0.04521 0.53760 0.57341 0.17959 0.317
-0.19451 -0.04527 0.53828 0.57413 0.18141 0.082
-0.19475 -0.04532 0.53895 0.57485 0.18323 0.375
-0.19500 -0.04538 0.53963 0.57557 0.18505 0.140
-0.19524 -0.04544 0.54030 0.57629 0.18686 0.139
-0.19548 -0.04550 0.54098 0.57701 0.18868 -0.272
-0.19573 -0.04555 0.54165 0.57773 0.19050 0.257
-0.19597 -0.04561 0.54233 0.57845 0.19232 -0.154
-0.19622 -0.04567 0.54300 0.57917 0.19413 -0.037
-0.19646 -0.04572 0.54368 0.57989 0.19595 0.257
-0.19670 -0.04578 0.54435 0.58061 0.19777 0.196
-0.19695 -0.04584 0.54503 0.58133 0.19959 0.312
-0.19719 -0.04589 0.54570 0.58205 0.20141 -0.042
-0.19744 -0.04595 0.54638 0.58277 0.20322 -0.160
-0.19768 -0.04601 0.54705 0.58349 0.20504 0.133
-0.19792 -0.04606 0.54773 0.58421 0.20686 0.191
-0.19817 -0.04612 0.54840 0.58493 0.20868 0.247
-0.19841 -0.04618 0.54908 0.58565 0.21050 0.364
-0.19866 -0.04623 0.54975 0.58637 0.21231 0.130
-0.19890 -0.04629 0.55043 0.58709 0.21413 0.660
-0.19914 -0.04635 0.55111 0.58781 0.21595 -0.047
-0.19939 -0.04640 0.55178 0.58853 0.21777 0.128
-0.19963 -0.04646 0.55246 0.58925 0.21959 -0.108
-0.19988 -0.04652 0.55313 0.58997 0.22141 0.161
-0.20012 -0.04657 0.55381 0.59070 0.22323 0.197
-0.20037 -0.04663 0.55448 0.59142 0.22504 0.306
-0.20061 -0.04669 0.55516 0.59214 0.22686 -0.138
-0.20085 -0.04674 0.55584 0.59286 0.22868 -0.172
-0.20110 -0.04680 0.55651 0.59358 0.23050 -0.494
-0.20134 -0.04686 0.55719 0.59430 0.23232 0.064
-0.20159 -0.04692 0.55786 0.59502 0.23414 -0.030
-0.20183 -0.04697 0.55854 0.59574 0.23596 0.126
-0.20207 -0.04703 0.55921 0.59646 0.23778 -0.317
-0.20232 -0.04709 0.55989 0.59718 0.23960 0.012
-0.20256 -0.04714 0.56057 0.59790 0.24142 0.037
-0.20281 -0.04720 0.56124 0.59862 0.24324 0.097
-0.20305 -0.04726 0.56192 0.59934 0.24505 0.036
-0.20330 -0.04731 0.56259 0.60007 0.24687 0.158
-0.20354 -0.04737 0.56327 0.60079 0.24869 -0.022
-0.20378 -0.04743 0.56395 0.60151 0.25051 0.130
-0.20403 -0.04748 0.56462 0.60223 0.25233 0.067
-0.20427 -0.04754 0.56530 0.60295 0.25415 -0.061
-0.20452 -0.04760 0.56597 0.60367 0.25597 -0.089
-0.20476 -0.04765 0.56665 0.60439 0.25779 0.130
-0.20501 -0.04771 0.56733 0.60511 0.25961 0.036
-0.20525 -0.04777 0.56800 0.60583 0.26143 -0.182
-0.20549 -0.04782 0.56868 0.60656 0.26325 0.186
-0.20574 -0.04788 0.56935 0.60728 0.26507 0.030
-0.20598 -0.04794 0.57003 0.60800 0.26689 0.148
-0.20623 -0.04800 0.57071 0.60872 0.26871 -0.148
-0.20647 -0.04805 0.57138 0.60944 0.27053 0.065
-0.20672 -0.04811 0.57206 0.61016 0.27235 -0.030
-0.20696 -0.04817 0.57273 0.61088 0.27417 0.149
-0.20720 -0.04822 0.57341 0.61160 0.27599 0.482
-0.20745 -0.04828 0.57409 0.61233 0.27782 0.031
-0.20769 -0.04834 0.57476 0.61305 0.27964 0.092
-0.20794 -0.04839 0.57544 0.61377 0.28146 -0.149
