x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.12732 0.23101 0.42791 0.50267 0.00000 1.143 0.163 1236.119 0.01682
0.12751 0.23136 0.42854 0.50342 0.00188 1.235 0.158 1236.149 0.01685
0.12769 0.23170 0.42917 0.50416 0.00376 0.996 0.154 1236.179 0.01687
0.12788 0.23204 0.42981 0.50491 0.00564 1.164 0.163 1236.209 0.01690
0.12807 0.23238 0.43044 0.50565 0.00752 1.189 0.155 1236.239 0.01692
0.12826 0.23272 0.43107 0.50639 0.00940 1.243 0.168 1236.269 0.01694
0.12845 0.23307 0.43171 0.50714 0.01128 1.195 0.165 1236.299 0.01697
0.12864 0.23341 0.43234 0.50788 0.01316 0.988 0.152 1236.328 0.01699
0.12883 0.23375 0.43297 0.50863 0.01504 1.237 0.157 1236.358 0.01702
0.12901 0.23409 0.43361 0.50937 0.01692 1.312 0.151 1236.388 0.01704
0.12920 0.23443 0.43424 0.51012 0.01880 1.202 0.165 1236.418 0.01707
0.12939 0.23478 0.43488 0.51086 0.02068 1.048 0.156 1236.448 0.01709
0.12958 0.23512 0.43551 0.51160 0.02256 1.278 0.159 1236.478 0.01712
0.12977 0.23546 0.43614 0.51235 0.02444 0.877 0.145 1236.508 0.01714
0.12996 0.23580 0.43678 0.51309 0.02632 0.846 0.142 1236.538 0.01717
0.13014 0.23614 0.43741 0.51384 0.02820 0.879 0.144 1236.568 0.01719
0.13033 0.23649 0.43804 0.51458 0.03008 1.000 0.142 1236.597 0.01721
0.13052 0.23683 0.43868 0.51533 0.03196 0.968 0.150 1236.627 0.01724
0.13071 0.23717 0.43931 0.51607 0.03385 0.876 0.144 1236.657 0.01726
0.13090 0.23751 0.43995 0.51682 0.03573 1.013 0.152 1236.687 0.01729
0.13109 0.23785 0.44058 0.51756 0.03761 0.982 0.150 1236.717 0.01731
0.13128 0.23820 0.44121 0.51831 0.03949 0.889 0.144 1236.747 0.01734
0.13146 0.23854 0.44185 0.51905 0.04137 1.027 0.153 1236.777 0.01736
0.13165 0.23888 0.44248 0.51979 0.04325 1.041 0.154 1236.807 0.01739
0.13184 0.23922 0.44311 0.52054 0.04513 1.010 0.152 1236.837 0.01741
0.13203 0.23957 0.44375 0.52128 0.04701 1.040 0.143 1236.866 0.01744
0.13222 0.23991 0.44438 0.52203 0.04890 1.328 0.161 1236.896 0.01746
0.13241 0.24025 0.44502 0.52277 0.05078 0.810 0.138 1236.926 0.01749
0.13260 0.24059 0.44565 0.52352 0.05266 0.902 0.145 1236.956 0.01751
0.13279 0.24094 0.44628 0.52426 0.05454 1.127 0.158 1236.986 0.01753
0.13297 0.24128 0.44692 0.52501 0.05642 1.232 0.155 1237.016 0.01756
0.13316 0.24162 0.44755 0.52575 0.05830 0.777 0.136 1237.046 0.01758
0.13335 0.24196 0.44819 0.52650 0.06019 1.034 0.152 1237.076 0.01761
0.13354 0.24230 0.44882 0.52724 0.06207 1.199 0.162 1237.106 0.01763
0.13373 0.24265 0.44946 0.52799 0.06395 1.016 0.141 1237.135 0.01766
0.13392 0.24299 0.45009 0.52873 0.06583 1.046 0.153 1237.165 0.01768
0.13411 0.24333 0.45072 0.52948 0.06771 1.045 0.153 1237.195 0.01771
0.13429 0.24367 0.45136 0.53022 0.06960 0.788 0.136 1237.225 0.01773
0.13448 0.24402 0.45199 0.53097 0.07148 0.999 0.150 1237.255 0.01776
0.13467 0.24436 0.45263 0.53171 0.07336 0.938 0.146 1237.285 0.01778
0.13486 0.24470 0.45326 0.53246 0.07524 0.952 0.147 1237.315 0.01780
0.13505 0.24504 0.45390 0.53320 0.07713 0.981 0.148 1237.345 0.01783
0.13524 0.24539 0.45453 0.53395 0.07901 1.042 0.152 1237.375 0.01785
0.13543 0.24573 0.45516 0.53469 0.08089 0.862 0.140 1237.405 0.01788
0.13562 0.24607 0.45580 0.53544 0.08277 1.055 0.152 1237.434 0.01790
0.13580 0.24641 0.45643 0.53618 0.08466 1.084 0.145 1237.464 0.01793
