x y z dist_scaled dist_frac absorption
0.14036 -0.11431 0.46868 0.50243 0.00000 -0.054
0.14057 -0.11448 0.46938 0.50317 0.00188 -0.331
0.14078 -0.11465 0.47007 0.50391 0.00375 -0.017
0.14099 -0.11482 0.47076 0.50466 0.00563 0.368
0.14120 -0.11499 0.47146 0.50540 0.00750 0.085
0.14140 -0.11516 0.47215 0.50615 0.00938 0.090
0.14161 -0.11533 0.47285 0.50689 0.01126 -0.054
0.14182 -0.11550 0.47354 0.50763 0.01313 -0.021
0.14203 -0.11566 0.47424 0.50838 0.01501 0.051
0.14224 -0.11583 0.47493 0.50912 0.01689 0.190
0.14244 -0.11600 0.47562 0.50987 0.01876 0.016
0.14265 -0.11617 0.47632 0.51061 0.02064 0.050
0.14286 -0.11634 0.47701 0.51136 0.02252 -0.300
0.14307 -0.11651 0.47771 0.51210 0.02440 0.227
0.14328 -0.11668 0.47840 0.51285 0.02627 -0.439
0.14348 -0.11685 0.47910 0.51359 0.02815 0.229
0.14369 -0.11702 0.47979 0.51433 0.03003 0.333
0.14390 -0.11719 0.48048 0.51508 0.03190 -0.340
0.14411 -0.11736 0.48118 0.51582 0.03378 0.037
0.14432 -0.11753 0.48187 0.51657 0.03566 -0.007
0.14452 -0.11770 0.48257 0.51731 0.03754 0.199
0.14473 -0.11787 0.48326 0.51806 0.03941 0.107
0.14494 -0.11804 0.48396 0.51880 0.04129 0.089
0.14515 -0.11821 0.48465 0.51955 0.04317 -0.105
0.14536 -0.11837 0.48535 0.52029 0.04505 -0.256
0.14556 -0.11854 0.48604 0.52104 0.04692 -0.032
0.14577 -0.11871 0.48674 0.52178 0.04880 0.222
0.14598 -0.11888 0.48743 0.52253 0.05068 -0.054
0.14619 -0.11905 0.48813 0.52327 0.05256 -0.195
0.14640 -0.11922 0.48882 0.52401 0.05444 0.031
0.14660 -0.11939 0.48952 0.52476 0.05631 -0.093
0.14681 -0.11956 0.49021 0.52550 0.05819 -0.041
0.14702 -0.11973 0.49091 0.52625 0.06007 0.085
0.14723 -0.11990 0.49160 0.52699 0.06195 0.197
0.14744 -0.12007 0.49230 0.52774 0.06383 -0.152
0.14765 -0.12024 0.49299 0.52848 0.06571 -0.050
0.14785 -0.12041 0.49369 0.52923 0.06758 0.159
0.14806 -0.12058 0.49438 0.52997 0.06946 0.093
0.14827 -0.12075 0.49508 0.53072 0.07134 0.055
0.14848 -0.12092 0.49577 0.53146 0.07322 -0.085
0.14869 -0.12109 0.49647 0.53221 0.07510 0.264
0.14889 -0.12126 0.49716 0.53295 0.07698 0.021
0.14910 -0.12143 0.49786 0.53370 0.07886 0.090
0.14931 -0.12159 0.49855 0.53445 0.08074 -0.119
0.14952 -0.12176 0.49925 0.53519 0.08261 -0.014
0.14973 -0.12193 0.49994 0.53594 0.08449 -0.155
0.14993 -0.12210 0.50064 0.53668 0.08637 -0.261
0.15014 -0.12227 0.50133 0.53743 0.08825 -0.087
0.15035 -0.12244 0.50203 0.53817 0.09013 -0.052
0.15056 -0.12261 0.50272 0.53892 0.09201 0.089
0.15077 -0.12278 0.50342 0.53966 0.09389 -0.014
0.15098 -0.12295 0.50411 0.54041 0.09577 0.050
0.15118 -0.12312 0.50481 0.54115 0.09765 -0.121
0.15139 -0.12329 0.50550 0.54190 0.09953 0.017
0.15160 -0.12346 0.50620 0.54264 0.10141 0.261
0.15181 -0.12363 0.50689 0.54339 0.10329 0.050
0.15202 -0.12380 0.50759 0.54414 0.10517 0.013
0.15223 -0.12397 0.50829 0.54488 0.10705 -0.093
0.15243 -0.12414 0.50898 0.54563 0.10893 -0.438
0.15264 -0.12431 0.50968 0.54637 0.11081 0.084
0.15285 -0.12448 0.51037 0.54712 0.11269 0.015
0.15306 -0.12465 0.51107 0.54786 0.11457 0.082
0.15327 -0.12482 0.51176 0.54861 0.11645 0.048
0.15348 -0.12499 0.51246 0.54935 0.11833 0.045
0.15368 -0.12516 0.51315 0.55010 0.12021 -0.131
0.15389 -0.12533 0.51385 0.55085 0.12209 0.149
0.15410 -0.12550 0.51455 0.55159 0.12397 -0.097
0.15431 -0.12567 0.51524 0.55234 0.12585 -0.271
0.15452 -0.12584 0.51594 0.55308 0.12773 -0.026
0.15473 -0.12601 0.51663 0.55383 0.12961 -0.060
0.15493 -0.12617 0.51733 0.55458 0.13149 0.077
0.15514 -0.12634 0.51802 0.55532 0.13337 -0.093
0.15535 -0.12651 0.51872 0.55607 0.13526 -0.058
0.15556 -0.12668 0.51942 0.55681 0.13714 -0.410
0.15577 -0.12685 0.52011 0.55756 0.13902 0.184
0.15598 -0.12702 0.52081 0.55831 0.14090 0.042
0.15618 -0.12719 0.52150 0.55905 0.14278 -0.095
0.15639 -0.12736 0.52220 0.55980 0.14466 0.010
0.15660 -0.12753 0.52290 0.56054 0.14654 0.078
0.15681 -0.12770 0.52359 0.56129 0.14842 0.288
0.15702 -0.12787 0.52429 0.56204 0.15031 0.290
0.15723 -0.12804 0.52498 0.56278 0.15219 0.115
0.15744 -0.12821 0.52568 0.56353 0.15407 -0.059
0.15764 -0.12838 0.52638 0.56428 0.15595 0.010
0.15785 -0.12855 0.52707 0.56502 0.15783 -0.341
0.15806 -0.12872 0.52777 0.56577 0.15971 0.290
0.15827 -0.12889 0.52847 0.56651 0.16160 0.007
0.15848 -0.12906 0.52916 0.56726 0.16348 0.114
0.15869 -0.12923 0.52986 0.56801 0.16536 0.114
0.15890 -0.12940 0.53055 0.56875 0.16724 0.009
0.15910 -0.12957 0.53125 0.56950 0.16912 -0.197
0.15931 -0.12974 0.53195 0.57025 0.17101 -0.267
0.15952 -0.12991 0.53264 0.57099 0.17289 -0.056
0.15973 -0.13008 0.53334 0.57174 0.17477 0.010
0.15994 -0.13025 0.53404 0.57249 0.17665 -0.090
0.16015 -0.13042 0.53473 0.57323 0.17854 0.155
0.16036 -0.13059 0.53543 0.57398 0.18042 -0.159
0.16056 -0.13076 0.53613 0.57473 0.18230 0.051
0.16077 -0.13093 0.53682 0.57547 0.18418 0.156
0.16098 -0.13110 0.53752 0.57622 0.18607 -0.055
0.16119 -0.13127 0.53822 0.57697 0.18795 -0.229
0.16140 -0.13144 0.53891 0.57771 0.18983 0.017
0.16161 -0.13161 0.53961 0.57846 0.19172 0.260
0.16182 -0.13178 0.54031 0.57921 0.19360 0.154
0.16202 -0.13195 0.54100 0.57995 0.19548 0.330
0.16223 -0.13212 0.54170 0.58070 0.19737 0.120
0.16244 -0.13229 0.54240 0.58145 0.19925 0.114
0.16265 -0.13246 0.54309 0.58219 0.20113 0.037
0.16286 -0.13263 0.54379 0.58294 0.20302 0.050
0.16307 -0.13280 0.54449 0.58369 0.20490 -0.660
0.16328 -0.13297 0.54518 0.58443 0.20678 -0.139
0.16348 -0.13314 0.54588 0.58518 0.20867 -0.221
0.16369 -0.13331 0.54658 0.58593 0.21055 -0.011
0.16390 -0.13348 0.54727 0.58668 0.21243 0.002
0.16411 -0.13365 0.54797 0.58742 0.21432 -0.259
0.16432 -0.13382 0.54867 0.58817 0.21620 0.070
0.16453 -0.13399 0.54936 0.58892 0.21809 -0.158
0.16474 -0.13416 0.55006 0.58966 0.21997 -0.457
0.16495 -0.13433 0.55076 0.59041 0.22185 -0.014
0.16515 -0.13450 0.55146 0.59116 0.22374 -0.025
0.16536 -0.13467 0.55215 0.59191 0.22562 0.123
0.16557 -0.13484 0.55285 0.59265 0.22751 -0.150
0.16578 -0.13501 0.55355 0.59340 0.22939 -0.042
0.16599 -0.13518 0.55424 0.59415 0.23127 0.195
0.16620 -0.13535 0.55494 0.59490 0.23316 0.196
0.16641 -0.13552 0.55564 0.59564 0.23504 -0.010
0.16662 -0.13569 0.55634 0.59639 0.23693 -0.048
0.16683 -0.13586 0.55703 0.59714 0.23881 -0.221
0.16703 -0.13603 0.55773 0.59789 0.24070 0.027
0.16724 -0.13620 0.55843 0.59863 0.24258 0.028
0.16745 -0.13637 0.55912 0.59938 0.24447 -0.431
0.16766 -0.13654 0.55982 0.60013 0.24635 -0.256
0.16787 -0.13671 0.56052 0.60088 0.24824 0.163
0.16808 -0.13688 0.56122 0.60162 0.25012 -0.049
0.16829 -0.13705 0.56191 0.60237 0.25201 0.057
0.16850 -0.13722 0.56261 0.60312 0.25389 0.130
0.16870 -0.13739 0.56331 0.60387 0.25578 0.057
0.16891 -0.13756 0.56401 0.60461 0.25766 -0.291
0.16912 -0.13773 0.56470 0.60536 0.25955 0.231
0.16933 -0.13790 0.56540 0.60611 0.26143 0.022
0.16954 -0.13807 0.56610 0.60686 0.26332 0.373
0.16975 -0.13824 0.56680 0.60760 0.26521 -0.083
0.16996 -0.13841 0.56749 0.60835 0.26709 0.061
0.17017 -0.13858 0.56819 0.60910 0.26898 0.371
0.17038 -0.13875 0.56889 0.60985 0.27086 -0.117
0.17059 -0.13892 0.56959 0.61060 0.27275 -0.013
0.17079 -0.13909 0.57029 0.61134 0.27463 0.057
0.17100 -0.13926 0.57098 0.61209 0.27652 -0.047
0.17121 -0.13943 0.57168 0.61284 0.27841 0.196
0.17142 -0.13960 0.57238 0.61359 0.28029 0.199
0.17163 -0.13977 0.57308 0.61434 0.28218 0.266
0.17184 -0.13994 0.57377 0.61508 0.28407 0.232
0.17205 -0.14011 0.57447 0.61583 0.28595 -0.359
0.17226 -0.14028 0.57517 0.61658 0.28784 0.232
0.17247 -0.14045 0.57587 0.61733 0.28972 0.088
0.17267 -0.14062 0.57657 0.61808 0.29161 -0.221
0.17288 -0.14079 0.57726 0.61883 0.29350 0.093
0.17309 -0.14096 0.57796 0.61957 0.29538 -0.256
0.17330 -0.14113 0.57866 0.62032 0.29727 0.160
0.17351 -0.14130 0.57936 0.62107 0.29916 -0.150
0.17372 -0.14147 0.58006 0.62182 0.30105 0.162
0.17393 -0.14164 0.58075 0.62257 0.30293 0.021
0.17414 -0.14181 0.58145 0.62332 0.30482 0.195
0.17435 -0.14198 0.58215 0.62406 0.30671 0.089
0.17456 -0.14215 0.58285 0.62481 0.30859 -0.081
0.17477 -0.14233 0.58355 0.62556 0.31048 0.056
0.17497 -0.14250 0.58424 0.62631 0.31237 0.129
0.17518 -0.14267 0.58494 0.62706 0.31426 -0.221
0.17539 -0.14284 0.58564 0.62781 0.31614 -0.009
0.17560 -0.14301 0.58634 0.62855 0.31803 -0.045
0.17581 -0.14318 0.58704 0.62930 0.31992 -0.080
0.17602 -0.14335 0.58774 0.63005 0.32181 -0.047
0.17623 -0.14352 0.58843 0.63080 0.32369 -0.113
0.17644 -0.14369 0.58913 0.63155 0.32558 0.200
0.17665 -0.14386 0.58983 0.63230 0.32747 -0.217
0.17686 -0.14403 0.59053 0.63305 0.32936 -0.116
0.17707 -0.14420 0.59123 0.63380 0.33125 0.024
0.17728 -0.14437 0.59193 0.63454 0.33313 -0.360
0.17748 -0.14454 0.59263 0.63529 0.33502 -0.153
0.17769 -0.14471 0.59332 0.63604 0.33691 0.022
0.17790 -0.14488 0.59402 0.63679 0.33880 -0.257
0.17811 -0.14505 0.59472 0.63754 0.34069 -0.083
0.17832 -0.14522 0.59542 0.63829 0.34257 -0.189
0.17853 -0.14539 0.59612 0.63904 0.34446 0.158
0.17874 -0.14556 0.59682 0.63979 0.34635 0.020
0.17895 -0.14573 0.59752 0.64054 0.34824 0.194
0.17916 -0.14590 0.59821 0.64128 0.35013 0.333
0.17937 -0.14607 0.59891 0.64203 0.35202 0.294
0.17958 -0.14624 0.59961 0.64278 0.35391 0.601
0.17979 -0.14641 0.60031 0.64353 0.35580 0.133
0.18000 -0.14658 0.60101 0.64428 0.35768 0.614
0.18021 -0.14675 0.60171 0.64503 0.35957 0.597
0.18041 -0.14693 0.60241 0.64578 0.36146 0.408
0.18062 -0.14710 0.60311 0.64653 0.36335 0.678
0.18083 -0.14727 0.60381 0.64728 0.36524 0.569
0.18104 -0.14744 0.60450 0.64803 0.36713 0.553
0.18125 -0.14761 0.60520 0.64878 0.36902 -0.107
0.18146 -0.14778 0.60590 0.64953 0.37091 0.530
0.18167 -0.14795 0.60660 0.65028 0.37280 0.167
0.18188 -0.14812 0.60730 0.65102 0.37469 0.178
0.18209 -0.14829 0.60800 0.65177 0.37658 -0.161
0.18230 -0.14846 0.60870 0.65252 0.37847 -0.086
0.18251 -0.14863 0.60940 0.65327 0.38036 0.045
0.18272 -0.14880 0.61010 0.65402 0.38225 -0.093
0.18293 -0.14897 0.61080 0.65477 0.38414 -0.128
0.18314 -0.14914 0.61150 0.65552 0.38603 -0.175
0.18335 -0.14931 0.61219 0.65627 0.38792 0.463
0.18355 -0.14948 0.61289 0.65702 0.38981 -0.465
0.18376 -0.14965 0.61359 0.65777 0.39170 0.055
0.18397 -0.14982 0.61429 0.65852 0.39359 -0.152
0.18418 -0.14999 0.61499 0.65927 0.39548 -0.047
0.18439 -0.15017 0.61569 0.66002 0.39737 -0.324
0.18460 -0.15034 0.61639 0.66077 0.39926 -0.046
0.18481 -0.15051 0.61709 0.66152 0.40115 0.023
0.18502 -0.15068 0.61779 0.66227 0.40304 0.061
0.18523 -0.15085 0.61849 0.66302 0.40493 0.027
0.18544 -0.15102 0.61919 0.66377 0.40682 0.513
0.18565 -0.15119 0.61989 0.66452 0.40871 0.339
0.18586 -0.15136 0.62059 0.66527 0.41060 -0.112
0.18607 -0.15153 0.62129 0.66602 0.41249 0.166
0.18628 -0.15170 0.62199 0.66677 0.41438 -0.249
0.18649 -0.15187 0.62269 0.66752 0.41627 -0.290
0.18670 -0.15204 0.62339 0.66827 0.41817 -0.150
0.18691 -0.15221 0.62409 0.66902 0.42006 -0.288
0.18712 -0.15238 0.62478 0.66977 0.42195 -0.216
0.18733 -0.15255 0.62548 0.67052 0.42384 -0.113
0.18754 -0.15272 0.62618 0.67127 0.42573 -0.253
0.18774 -0.15289 0.62688 0.67202 0.42762 0.093
0.18795 -0.15307 0.62758 0.67277 0.42951 0.126
0.18816 -0.15324 0.62828 0.67352 0.43141 0.153
0.18837 -0.15341 0.62898 0.67427 0.43330 0.064
0.18858 -0.15358 0.62968 0.67502 0.43519 0.276
0.18879 -0.15375 0.63038 0.67577 0.43708 -0.195
0.18900 -0.15392 0.63108 0.67652 0.43897 0.129
0.18921 -0.15409 0.63178 0.67727 0.44086 0.169
0.18942 -0.15426 0.63248 0.67802 0.44276 0.119
0.18963 -0.15443 0.63318 0.67877 0.44465 0.167
0.18984 -0.15460 0.63388 0.67952 0.44654 0.297
0.19005 -0.15477 0.63458 0.68027 0.44843 0.195
0.19026 -0.15494 0.63528 0.68102 0.45032 -0.035
0.19047 -0.15511 0.63598 0.68177 0.45222 -0.186
0.19068 -0.15528 0.63668 0.68252 0.45411 -0.007
0.19089 -0.15546 0.63738 0.68327 0.45600 -0.060
0.19110 -0.15563 0.63808 0.68402 0.45789 -0.092
0.19131 -0.15580 0.63878 0.68477 0.45979 0.068
0.19152 -0.15597 0.63948 0.68553 0.46168 -0.122
0.19173 -0.15614 0.64018 0.68628 0.46357 0.441
0.19194 -0.15631 0.64088 0.68703 0.46546 -0.463
0.19215 -0.15648 0.64158 0.68778 0.46736 0.059
