x y z dist_scaled dist_frac absorption
0.22506 0.08954 0.44019 0.50243 0.00000 -0.276
0.22539 0.08967 0.44084 0.50317 0.00188 0.134
0.22572 0.08980 0.44149 0.50391 0.00375 -0.041
0.22606 0.08994 0.44214 0.50466 0.00563 0.115
0.22639 0.09007 0.44279 0.50540 0.00750 -0.236
0.22672 0.09020 0.44345 0.50615 0.00938 -0.334
0.22706 0.09033 0.44410 0.50689 0.01126 -0.002
0.22739 0.09047 0.44475 0.50763 0.01313 0.096
0.22772 0.09060 0.44540 0.50838 0.01501 -0.158
0.22806 0.09073 0.44605 0.50912 0.01689 -0.274
0.22839 0.09087 0.44671 0.50987 0.01876 -0.079
0.22872 0.09100 0.44736 0.51061 0.02064 0.174
0.22906 0.09113 0.44801 0.51136 0.02252 -0.021
0.22939 0.09126 0.44866 0.51210 0.02440 -0.040
0.22972 0.09140 0.44932 0.51285 0.02627 -0.449
0.23006 0.09153 0.44997 0.51359 0.02815 -0.080
0.23039 0.09166 0.45062 0.51433 0.03003 0.193
0.23072 0.09179 0.45127 0.51508 0.03190 -0.099
0.23106 0.09193 0.45192 0.51582 0.03378 -0.157
0.23139 0.09206 0.45258 0.51657 0.03566 0.077
0.23172 0.09219 0.45323 0.51731 0.03754 -0.157
0.23206 0.09232 0.45388 0.51806 0.03941 0.174
0.23239 0.09246 0.45453 0.51880 0.04129 0.058
0.23273 0.09259 0.45519 0.51955 0.04317 -0.117
0.23306 0.09272 0.45584 0.52029 0.04505 -0.156
0.23339 0.09286 0.45649 0.52104 0.04692 0.058
0.23373 0.09299 0.45714 0.52178 0.04880 -0.039
0.23406 0.09312 0.45780 0.52253 0.05068 -0.156
0.23439 0.09325 0.45845 0.52327 0.05256 -0.175
0.23473 0.09339 0.45910 0.52401 0.05444 -0.078
0.23506 0.09352 0.45975 0.52476 0.05631 0.078
0.23539 0.09365 0.46041 0.52550 0.05819 -0.136
0.23573 0.09378 0.46106 0.52625 0.06007 -0.156
0.23606 0.09392 0.46171 0.52699 0.06195 0.000
0.23640 0.09405 0.46236 0.52774 0.06383 0.215
0.23673 0.09418 0.46302 0.52848 0.06571 -0.116
0.23706 0.09432 0.46367 0.52923 0.06758 0.002
0.23740 0.09445 0.46432 0.52997 0.06946 0.040
0.23773 0.09458 0.46498 0.53072 0.07134 0.022
0.23806 0.09471 0.46563 0.53146 0.07322 0.080
0.23840 0.09485 0.46628 0.53221 0.07510 -0.211
0.23873 0.09498 0.46693 0.53295 0.07698 -0.231
0.23907 0.09511 0.46759 0.53370 0.07886 -0.250
0.23940 0.09525 0.46824 0.53445 0.08074 -0.133
0.23973 0.09538 0.46889 0.53519 0.08261 -0.308
0.24007 0.09551 0.46955 0.53594 0.08449 0.003
0.24040 0.09564 0.47020 0.53668 0.08637 0.100
0.24073 0.09578 0.47085 0.53743 0.08825 0.119
0.24107 0.09591 0.47150 0.53817 0.09013 -0.288
0.24140 0.09604 0.47216 0.53892 0.09201 0.042
0.24174 0.09617 0.47281 0.53966 0.09389 0.003
0.24207 0.09631 0.47346 0.54041 0.09577 0.003
0.24240 0.09644 0.47412 0.54115 0.09765 0.062
0.24274 0.09657 0.47477 0.54190 0.09953 -0.114
0.24307 0.09671 0.47542 0.54264 0.10141 -0.017
0.24341 0.09684 0.47608 0.54339 0.10329 0.099
0.24374 0.09697 0.47673 0.54414 0.10517 0.002
0.24407 0.09710 0.47738 0.54488 0.10705 0.060
0.24441 0.09724 0.47804 0.54563 0.10893 -0.057
