x y z dist_scaled dist_frac flux_norm wavelength redshift
0.15846 -0.09454 0.46748 0.50258 0.00000 0.520 1236.115 0.01682
0.15870 -0.09468 0.46818 0.50333 0.00188 0.539 1236.145 0.01684
0.15893 -0.09482 0.46887 0.50407 0.00375 0.485 1236.175 0.01687
0.15917 -0.09496 0.46956 0.50481 0.00563 0.360 1236.205 0.01689
0.15940 -0.09510 0.47025 0.50556 0.00751 0.406 1236.235 0.01692
0.15964 -0.09524 0.47094 0.50630 0.00938 0.544 1236.265 0.01694
0.15987 -0.09538 0.47164 0.50705 0.01126 0.472 1236.295 0.01697
0.16010 -0.09552 0.47233 0.50779 0.01313 0.513 1236.325 0.01699
0.16034 -0.09566 0.47302 0.50853 0.01501 0.657 1236.355 0.01701
0.16057 -0.09580 0.47371 0.50928 0.01689 0.510 1236.384 0.01704
0.16081 -0.09594 0.47440 0.51002 0.01876 0.420 1236.414 0.01706
0.16104 -0.09608 0.47510 0.51077 0.02064 0.508 1236.444 0.01709
0.16128 -0.09622 0.47579 0.51151 0.02252 0.431 1236.474 0.01711
0.16151 -0.09636 0.47648 0.51225 0.02440 0.398 1236.504 0.01714
0.16175 -0.09650 0.47717 0.51300 0.02627 0.373 1236.534 0.01716
0.16198 -0.09664 0.47786 0.51374 0.02815 0.401 1236.564 0.01719
0.16222 -0.09678 0.47856 0.51449 0.03003 0.342 1236.594 0.01721
0.16245 -0.09692 0.47925 0.51523 0.03190 0.402 1236.623 0.01724
0.16268 -0.09706 0.47994 0.51597 0.03378 0.457 1236.653 0.01726
0.16292 -0.09720 0.48063 0.51672 0.03566 0.528 1236.683 0.01729
0.16315 -0.09734 0.48132 0.51746 0.03754 0.534 1236.713 0.01731
0.16339 -0.09748 0.48202 0.51821 0.03941 0.491 1236.743 0.01733
0.16362 -0.09762 0.48271 0.51895 0.04129 0.668 1236.773 0.01736
0.16386 -0.09776 0.48340 0.51970 0.04317 0.598 1236.803 0.01738
0.16409 -0.09790 0.48409 0.52044 0.04505 0.579 1236.833 0.01741
0.16433 -0.09804 0.48479 0.52118 0.04692 0.595 1236.862 0.01743
0.16456 -0.09818 0.48548 0.52193 0.04880 0.708 1236.892 0.01746
0.16480 -0.09832 0.48617 0.52267 0.05068 0.624 1236.922 0.01748
0.16503 -0.09846 0.48686 0.52342 0.05256 0.830 1236.952 0.01751
