x y z dist_scaled dist_frac absorption
0.07368 -0.09647 0.48754 0.50243 0.00000 0.015
0.07379 -0.09661 0.48826 0.50317 0.00188 0.147
0.07390 -0.09675 0.48899 0.50391 0.00375 -0.035
0.07401 -0.09689 0.48971 0.50466 0.00563 -0.085
0.07412 -0.09704 0.49043 0.50540 0.00750 0.068
0.07423 -0.09718 0.49115 0.50615 0.00938 -0.016
0.07434 -0.09732 0.49187 0.50689 0.01126 -0.082
0.07444 -0.09747 0.49260 0.50763 0.01313 0.020
0.07455 -0.09761 0.49332 0.50838 0.01501 0.004
0.07466 -0.09775 0.49404 0.50912 0.01689 -0.146
0.07477 -0.09789 0.49476 0.50987 0.01876 -0.144
0.07488 -0.09804 0.49549 0.51061 0.02064 -0.011
0.07499 -0.09818 0.49621 0.51136 0.02252 0.040
0.07510 -0.09832 0.49693 0.51210 0.02440 0.074
0.07521 -0.09847 0.49765 0.51285 0.02627 0.142
0.07532 -0.09861 0.49838 0.51359 0.02815 0.108
0.07543 -0.09875 0.49910 0.51433 0.03003 0.143
0.07554 -0.09889 0.49982 0.51508 0.03190 0.293
0.07565 -0.09904 0.50054 0.51582 0.03378 0.210
0.07575 -0.09918 0.50127 0.51657 0.03566 -0.120
0.07586 -0.09932 0.50199 0.51731 0.03754 -0.086
0.07597 -0.09947 0.50271 0.51806 0.03941 0.079
0.07608 -0.09961 0.50343 0.51880 0.04129 0.015
0.07619 -0.09975 0.50416 0.51955 0.04317 -0.018
0.07630 -0.09990 0.50488 0.52029 0.04505 0.264
0.07641 -0.10004 0.50560 0.52104 0.04692 0.182
0.07652 -0.10018 0.50632 0.52178 0.04880 0.347
0.07663 -0.10032 0.50705 0.52253 0.05068 -0.016
0.07674 -0.10047 0.50777 0.52327 0.05256 0.200
0.07685 -0.10061 0.50849 0.52401 0.05444 0.118
0.07696 -0.10075 0.50921 0.52476 0.05631 0.233
0.07707 -0.10090 0.50994 0.52550 0.05819 -0.097
0.07717 -0.10104 0.51066 0.52625 0.06007 0.316
0.07728 -0.10118 0.51138 0.52699 0.06195 0.136
0.07739 -0.10133 0.51211 0.52774 0.06383 0.005
0.07750 -0.10147 0.51283 0.52848 0.06571 0.219
0.07761 -0.10161 0.51355 0.52923 0.06758 -0.108
0.07772 -0.10175 0.51427 0.52997 0.06946 -0.108
0.07783 -0.10190 0.51500 0.53072 0.07134 -0.124
0.07794 -0.10204 0.51572 0.53146 0.07322 -0.008
0.07805 -0.10218 0.51644 0.53221 0.07510 -0.023
0.07816 -0.10233 0.51717 0.53295 0.07698 -0.171
0.07827 -0.10247 0.51789 0.53370 0.07886 -0.137
0.07838 -0.10261 0.51861 0.53445 0.08074 -0.137
0.07849 -0.10276 0.51934 0.53519 0.08261 -0.315
0.07859 -0.10290 0.52006 0.53594 0.08449 -0.152
0.07870 -0.10304 0.52078 0.53668 0.08637 0.078
0.07881 -0.10319 0.52151 0.53743 0.08825 0.014
0.07892 -0.10333 0.52223 0.53817 0.09013 0.128
0.07903 -0.10347 0.52295 0.53892 0.09201 0.129
0.07914 -0.10361 0.52368 0.53966 0.09389 -0.036
0.07925 -0.10376 0.52440 0.54041 0.09577 -0.001
0.07936 -0.10390 0.52512 0.54115 0.09765 0.063
0.07947 -0.10404 0.52585 0.54190 0.09953 0.178
0.07958 -0.10419 0.52657 0.54264 0.10141 0.114
0.07969 -0.10433 0.52729 0.54339 0.10329 -0.130
0.07980 -0.10447 0.52802 0.54414 0.10517 -0.244
0.07991 -0.10462 0.52874 0.54488 0.10705 0.097
0.08002 -0.10476 0.52946 0.54563 0.10893 0.018
0.08013 -0.10490 0.53019 0.54637 0.11081 0.001
0.08023 -0.10505 0.53091 0.54712 0.11269 -0.030
0.08034 -0.10519 0.53163 0.54786 0.11457 0.050
0.08045 -0.10533 0.53236 0.54861 0.11645 -0.014
0.08056 -0.10548 0.53308 0.54935 0.11833 -0.077
0.08067 -0.10562 0.53380 0.55010 0.12021 0.165
0.08078 -0.10576 0.53453 0.55085 0.12209 -0.011
0.08089 -0.10591 0.53525 0.55159 0.12397 0.084
0.08100 -0.10605 0.53598 0.55234 0.12585 0.247
0.08111 -0.10619 0.53670 0.55308 0.12773 0.409
0.08122 -0.10633 0.53742 0.55383 0.12961 0.522
0.08133 -0.10648 0.53815 0.55458 0.13149 0.182
0.08144 -0.10662 0.53887 0.55532 0.13337 0.231
0.08155 -0.10676 0.53959 0.55607 0.13526 0.022
0.08166 -0.10691 0.54032 0.55681 0.13714 0.199
0.08177 -0.10705 0.54104 0.55756 0.13902 0.246
0.08188 -0.10719 0.54177 0.55831 0.14090 0.505
0.08198 -0.10734 0.54249 0.55905 0.14278 0.408
0.08209 -0.10748 0.54321 0.55980 0.14466 0.426
0.08220 -0.10762 0.54394 0.56054 0.14654 0.667
