x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.06519 0.06608 0.49394 0.50258 0.00000 1.155 0.165 1236.115 0.01682
-0.06529 0.06618 0.49467 0.50333 0.00188 1.101 0.162 1236.145 0.01684
-0.06538 0.06628 0.49540 0.50407 0.00375 1.206 0.169 1236.175 0.01687
-0.06548 0.06637 0.49613 0.50481 0.00563 0.768 0.141 1236.205 0.01689
-0.06558 0.06647 0.49686 0.50556 0.00751 1.046 0.160 1236.235 0.01692
-0.06567 0.06657 0.49759 0.50630 0.00938 1.121 0.165 1236.265 0.01694
-0.06577 0.06667 0.49832 0.50705 0.01126 1.105 0.164 1236.295 0.01697
-0.06587 0.06676 0.49905 0.50779 0.01313 1.058 0.161 1236.325 0.01699
-0.06596 0.06686 0.49978 0.50853 0.01501 1.041 0.160 1236.355 0.01701
-0.06606 0.06696 0.50052 0.50928 0.01689 1.106 0.164 1236.384 0.01704
-0.06616 0.06706 0.50125 0.51002 0.01876 0.975 0.156 1236.414 0.01706
-0.06625 0.06716 0.50198 0.51077 0.02064 1.041 0.160 1236.444 0.01709
-0.06635 0.06725 0.50271 0.51151 0.02252 1.203 0.170 1236.474 0.01711
-0.06645 0.06735 0.50344 0.51225 0.02440 0.863 0.149 1236.504 0.01714
-0.06654 0.06745 0.50417 0.51300 0.02627 0.895 0.151 1236.534 0.01716
-0.06664 0.06755 0.50490 0.51374 0.02815 0.994 0.157 1236.564 0.01719
-0.06674 0.06764 0.50563 0.51449 0.03003 1.028 0.159 1236.594 0.01721
-0.06683 0.06774 0.50637 0.51523 0.03190 1.144 0.166 1236.623 0.01724
-0.06693 0.06784 0.50710 0.51597 0.03378 0.916 0.152 1236.653 0.01726
-0.06702 0.06794 0.50783 0.51672 0.03566 1.144 0.166 1236.683 0.01729
-0.06712 0.06804 0.50856 0.51746 0.03754 1.046 0.160 1236.713 0.01731
-0.06722 0.06813 0.50929 0.51821 0.03941 1.011 0.159 1236.743 0.01733
-0.06731 0.06823 0.51002 0.51895 0.04129 0.982 0.157 1236.773 0.01736
-0.06741 0.06833 0.51075 0.51970 0.04317 0.950 0.155 1236.803 0.01738
-0.06751 0.06843 0.51149 0.52044 0.04505 0.967 0.156 1236.833 0.01741
-0.06760 0.06853 0.51222 0.52118 0.04692 1.148 0.167 1236.862 0.01743
-0.06770 0.06862 0.51295 0.52193 0.04880 0.935 0.154 1236.892 0.01746
-0.06780 0.06872 0.51368 0.52267 0.05068 1.017 0.147 1236.922 0.01748
-0.06789 0.06882 0.51441 0.52342 0.05256 1.050 0.161 1236.952 0.01751
-0.06799 0.06892 0.51514 0.52416 0.05444 0.905 0.152 1236.982 0.01753
-0.06809 0.06901 0.51588 0.52491 0.05631 1.198 0.169 1237.012 0.01756
-0.06818 0.06911 0.51661 0.52565 0.05819 0.987 0.157 1237.042 0.01758
-0.06828 0.06921 0.51734 0.52640 0.06007 0.988 0.157 1237.072 0.01760
-0.06838 0.06931 0.51807 0.52714 0.06195 0.924 0.153 1237.101 0.01763
-0.06847 0.06941 0.51880 0.52788 0.06383 0.892 0.151 1237.131 0.01765
-0.06857 0.06950 0.51953 0.52863 0.06571 0.957 0.155 1237.161 0.01768
-0.06867 0.06960 0.52027 0.52937 0.06758 0.907 0.152 1237.191 0.01770
-0.06876 0.06970 0.52100 0.53012 0.06946 1.104 0.164 1237.221 0.01773
-0.06886 0.06980 0.52173 0.53086 0.07134 0.860 0.149 1237.251 0.01775
-0.06896 0.06990 0.52246 0.53161 0.07322 1.074 0.162 1237.281 0.01778
-0.06905 0.06999 0.52319 0.53235 0.07510 0.845 0.148 1237.311 0.01780
-0.06915 0.07009 0.52393 0.53310 0.07698 0.682 0.137 1237.341 0.01783
-0.06925 0.07019 0.52466 0.53384 0.07886 0.699 0.138 1237.370 0.01785
-0.06934 0.07029 0.52539 0.53459 0.08074 0.584 0.129 1237.400 0.01788
-0.06944 0.07039 0.52612 0.53533 0.08261 0.763 0.142 1237.430 0.01790
-0.06954 0.07048 0.52685 0.53608 0.08449 0.911 0.152 1237.460 0.01792
-0.06963 0.07058 0.52759 0.53682 0.08637 0.764 0.143 1237.490 0.01795
-0.06973 0.07068 0.52832 0.53757 0.08825 0.779 0.144 1237.520 0.01797
-0.06983 0.07078 0.52905 0.53831 0.09013 0.992 0.158 1237.550 0.01800
-0.06992 0.07088 0.52978 0.53906 0.09201 0.827 0.147 1237.580 0.01802
-0.07002 0.07097 0.53052 0.53980 0.09389 0.892 0.151 1237.609 0.01805
-0.07012 0.07107 0.53125 0.54055 0.09577 0.973 0.157 1237.639 0.01807
-0.07021 0.07117 0.53198 0.54129 0.09765 0.810 0.146 1237.669 0.01810
-0.07031 0.07127 0.53271 0.54204 0.09953 0.893 0.152 1237.699 0.01812
-0.07041 0.07137 0.53344 0.54278 0.10141 1.009 0.159 1237.729 0.01815
-0.07050 0.07146 0.53418 0.54353 0.10329 0.944 0.155 1237.759 0.01817
-0.07060 0.07156 0.53491 0.54427 0.10517 0.829 0.147 1237.789 0.01819
-0.07070 0.07166 0.53564 0.54502 0.10705 0.945 0.155 1237.819 0.01822
-0.07079 0.07176 0.53637 0.54576 0.10893 0.929 0.154 1237.848 0.01824
-0.07089 0.07186 0.53711 0.54651 0.11081 0.617 0.132 1237.878 0.01827
-0.07099 0.07195 0.53784 0.54725 0.11269 0.403 0.114 1237.908 0.01829
-0.07108 0.07205 0.53857 0.54800 0.11457 0.502 0.123 1237.938 0.01832
-0.07118 0.07215 0.53930 0.54874 0.11645 0.287 0.102 1237.968 0.01834
-0.07128 0.07225 0.54004 0.54949 0.11833 0.304 0.104 1237.998 0.01837
-0.07137 0.07235 0.54077 0.55024 0.12021 0.682 0.137 1238.028 0.01839
-0.07147 0.07244 0.54150 0.55098 0.12209 0.783 0.144 1238.058 0.01842
-0.07157 0.07254 0.54223 0.55173 0.12397 0.865 0.150 1238.087 0.01844
-0.07166 0.07264 0.54297 0.55247 0.12585 0.865 0.150 1238.117 0.01847
-0.07176 0.07274 0.54370 0.55322 0.12773 0.783 0.144 1238.147 0.01849
-0.07186 0.07284 0.54443 0.55396 0.12961 1.193 0.159 1238.177 0.01851
-0.07195 0.07293 0.54517 0.55471 0.13149 0.799 0.145 1238.207 0.01854
-0.07205 0.07303 0.54590 0.55545 0.13338 1.128 0.166 1238.237 0.01856
-0.07215 0.07313 0.54663 0.55620 0.13526 1.211 0.171 1238.267 0.01859
-0.07224 0.07323 0.54736 0.55695 0.13714 1.013 0.159 1238.297 0.01861
-0.07234 0.07333 0.54810 0.55769 0.13902 0.914 0.153 1238.327 0.01864
-0.07244 0.07342 0.54883 0.55844 0.14090 0.847 0.149 1238.356 0.01866
-0.07253 0.07352 0.54956 0.55918 0.14278 0.864 0.150 1238.386 0.01869
-0.07263 0.07362 0.55030 0.55993 0.14466 0.831 0.148 1238.416 0.01871
-0.07273 0.07372 0.55103 0.56067 0.14654 0.914 0.153 1238.446 0.01874
-0.07282 0.07382 0.55176 0.56142 0.14843 0.929 0.154 1238.476 0.01876
-0.07292 0.07391 0.55249 0.56217 0.15031 0.831 0.148 1238.506 0.01878
-0.07302 0.07401 0.55323 0.56291 0.15219 0.852 0.149 1238.536 0.01881
-0.07311 0.07411 0.55396 0.56366 0.15407 0.936 0.153 1238.566 0.01883
-0.07321 0.07421 0.55469 0.56440 0.15595 0.976 0.156 1238.595 0.01886
-0.07331 0.07431 0.55543 0.56515 0.15783 1.008 0.159 1238.625 0.01888
-0.07340 0.07440 0.55616 0.56590 0.15972 1.095 0.153 1238.655 0.01891
