x y z dist_scaled dist_frac flux_norm
-0.14942 0.03154 0.47882 0.50258 0.00000 1.059
-0.14964 0.03158 0.47953 0.50333 0.00188 1.054
-0.14986 0.03163 0.48024 0.50407 0.00375 1.006
-0.15008 0.03168 0.48095 0.50481 0.00563 0.981
-0.15031 0.03172 0.48165 0.50556 0.00751 0.718
-0.15053 0.03177 0.48236 0.50630 0.00938 0.896
-0.15075 0.03182 0.48307 0.50705 0.01126 1.330
-0.15097 0.03186 0.48378 0.50779 0.01313 0.702
-0.15119 0.03191 0.48449 0.50853 0.01501 1.057
-0.15141 0.03196 0.48520 0.50928 0.01689 0.758
-0.15163 0.03200 0.48591 0.51002 0.01876 0.790
-0.15185 0.03205 0.48661 0.51077 0.02064 0.627
-0.15208 0.03210 0.48732 0.51151 0.02252 0.539
-0.15230 0.03214 0.48803 0.51225 0.02440 0.405
-0.15252 0.03219 0.48874 0.51300 0.02627 1.006
-0.15274 0.03224 0.48945 0.51374 0.02815 0.938
-0.15296 0.03228 0.49016 0.51449 0.03003 0.872
-0.15318 0.03233 0.49087 0.51523 0.03190 0.805
-0.15340 0.03238 0.49158 0.51597 0.03378 0.535
-0.15362 0.03242 0.49229 0.51672 0.03566 1.070
-0.15385 0.03247 0.49300 0.51746 0.03754 1.072
-0.15407 0.03252 0.49370 0.51821 0.03941 0.734
-0.15429 0.03256 0.49441 0.51895 0.04129 1.608
-0.15451 0.03261 0.49512 0.51970 0.04317 0.604
-0.15473 0.03266 0.49583 0.52044 0.04505 1.010
-0.15495 0.03270 0.49654 0.52118 0.04692 0.875
-0.15517 0.03275 0.49725 0.52193 0.04880 0.942
-0.15539 0.03280 0.49796 0.52267 0.05068 0.942
-0.15562 0.03284 0.49867 0.52342 0.05256 1.076
-0.15584 0.03289 0.49938 0.52416 0.05444 1.075
-0.15606 0.03294 0.50009 0.52491 0.05631 1.410
-0.15628 0.03298 0.50080 0.52565 0.05819 1.411
-0.15650 0.03303 0.50151 0.52640 0.06007 1.138
-0.15672 0.03308 0.50222 0.52714 0.06195 1.337
-0.15694 0.03312 0.50293 0.52788 0.06383 0.797
-0.15717 0.03317 0.50363 0.52863 0.06571 1.203
-0.15739 0.03322 0.50434 0.52937 0.06758 1.274
-0.15761 0.03326 0.50505 0.53012 0.06946 0.747
-0.15783 0.03331 0.50576 0.53086 0.07134 1.074
-0.15805 0.03336 0.50647 0.53161 0.07322 0.824
-0.15827 0.03340 0.50718 0.53235 0.07510 0.624
-0.15849 0.03345 0.50789 0.53310 0.07698 0.876
-0.15872 0.03350 0.50860 0.53384 0.07886 0.925
-0.15894 0.03354 0.50931 0.53459 0.08074 0.725
-0.15916 0.03359 0.51002 0.53533 0.08261 1.532
-0.15938 0.03364 0.51073 0.53608 0.08449 1.132
-0.15960 0.03368 0.51144 0.53682 0.08637 0.881
-0.15982 0.03373 0.51215 0.53757 0.08825 1.034
-0.16004 0.03378 0.51286 0.53831 0.09013 1.147
-0.16027 0.03382 0.51357 0.53906 0.09201 0.640
-0.16049 0.03387 0.51428 0.53980 0.09389 1.150
-0.16071 0.03392 0.51499 0.54055 0.09577 0.990
-0.16093 0.03396 0.51570 0.54129 0.09765 1.025
-0.16115 0.03401 0.51641 0.54204 0.09953 1.262
-0.16137 0.03406 0.51712 0.54278 0.10141 0.865
-0.16159 0.03411 0.51783 0.54353 0.10329 1.575
-0.16182 0.03415 0.51854 0.54427 0.10517 0.753
-0.16204 0.03420 0.51925 0.54502 0.10705 0.793
-0.16226 0.03425 0.51996 0.54576 0.10893 1.024
-0.16248 0.03429 0.52067 0.54651 0.11081 1.009
-0.16270 0.03434 0.52138 0.54725 0.11269 1.211
-0.16292 0.03439 0.52209 0.54800 0.11457 1.019
-0.16315 0.03443 0.52280 0.54874 0.11645 1.233
-0.16337 0.03448 0.52351 0.54949 0.11833 1.293
-0.16359 0.03453 0.52422 0.55024 0.12021 1.073
-0.16381 0.03457 0.52493 0.55098 0.12209 0.956
-0.16403 0.03462 0.52564 0.55173 0.12397 0.840
-0.16425 0.03467 0.52635 0.55247 0.12585 1.097
-0.16448 0.03471 0.52706 0.55322 0.12773 0.841
-0.16470 0.03476 0.52777 0.55396 0.12961 0.996
-0.16492 0.03481 0.52848 0.55471 0.13149 0.946
-0.16514 0.03485 0.52919 0.55545 0.13338 0.845
-0.16536 0.03490 0.52990 0.55620 0.13526 1.152
-0.16558 0.03495 0.53061 0.55695 0.13714 1.051
-0.16581 0.03499 0.53132 0.55769 0.13902 1.154
-0.16603 0.03504 0.53203 0.55844 0.14090 1.154
-0.16625 0.03509 0.53274 0.55918 0.14278 0.901
-0.16647 0.03513 0.53345 0.55993 0.14466 0.851
-0.16669 0.03518 0.53416 0.56067 0.14654 1.156
-0.16691 0.03523 0.53488 0.56142 0.14843 0.852
-0.16714 0.03527 0.53559 0.56217 0.15031 0.901
-0.16736 0.03532 0.53630 0.56291 0.15219 0.850
-0.16758 0.03537 0.53701 0.56366 0.15407 0.593
-0.16780 0.03541 0.53772 0.56440 0.15595 0.390
-0.16802 0.03546 0.53843 0.56515 0.15783 0.749
-0.16825 0.03551 0.53914 0.56590 0.15972 1.005
-0.16847 0.03556 0.53985 0.56664 0.16160 0.909
-0.16869 0.03560 0.54056 0.56739 0.16348 0.604
-0.16891 0.03565 0.54127 0.56813 0.16536 1.167
-0.16913 0.03570 0.54198 0.56888 0.16724 1.368
-0.16935 0.03574 0.54269 0.56963 0.16913 0.804
-0.16958 0.03579 0.54340 0.57037 0.17101 1.063
-0.16980 0.03584 0.54411 0.57112 0.17289 0.446
-0.17002 0.03588 0.54483 0.57186 0.17477 1.062
-0.17024 0.03593 0.54554 0.57261 0.17665 0.907
-0.17046 0.03598 0.54625 0.57336 0.17854 1.112
-0.17069 0.03602 0.54696 0.57410 0.18042 1.065
-0.17091 0.03607 0.54767 0.57485 0.18230 1.217
-0.17113 0.03612 0.54838 0.57560 0.18419 0.861
-0.17135 0.03616 0.54909 0.57634 0.18607 0.861
-0.17157 0.03621 0.54980 0.57709 0.18795 1.267
-0.17179 0.03626 0.55051 0.57784 0.18983 1.010
-0.17202 0.03630 0.55123 0.57858 0.19172 0.960
-0.17224 0.03635 0.55194 0.57933 0.19360 1.010
-0.17246 0.03640 0.55265 0.58007 0.19548 1.268
-0.17268 0.03645 0.55336 0.58082 0.19737 1.114
-0.17290 0.03649 0.55407 0.58157 0.19925 0.750
-0.17313 0.03654 0.55478 0.58231 0.20113 1.316
-0.17335 0.03659 0.55549 0.58306 0.20302 0.852
-0.17357 0.03663 0.55620 0.58381 0.20490 0.821
-0.17379 0.03668 0.55692 0.58455 0.20678 0.623
-0.17401 0.03673 0.55763 0.58530 0.20867 1.037
-0.17424 0.03677 0.55834 0.58605 0.21055 1.245
-0.17446 0.03682 0.55905 0.58679 0.21243 1.179
-0.17468 0.03687 0.55976 0.58754 0.21432 0.976
-0.17490 0.03691 0.56047 0.58829 0.21620 1.113
-0.17512 0.03696 0.56118 0.58904 0.21809 1.046
-0.17535 0.03701 0.56190 0.58978 0.21997 1.253
-0.17557 0.03705 0.56261 0.59053 0.22185 1.320
-0.17579 0.03710 0.56332 0.59128 0.22374 1.944
-0.17601 0.03715 0.56403 0.59202 0.22562 1.176
-0.17623 0.03719 0.56474 0.59277 0.22751 0.972
-0.17646 0.03724 0.56545 0.59352 0.22939 0.764
-0.17668 0.03729 0.56617 0.59426 0.23128 0.769
-0.17690 0.03734 0.56688 0.59501 0.23316 0.845
-0.17712 0.03738 0.56759 0.59576 0.23504 1.186
-0.17735 0.03743 0.56830 0.59650 0.23693 0.983
-0.17757 0.03748 0.56901 0.59725 0.23881 0.706
-0.17779 0.03752 0.56972 0.59800 0.24070 0.981
-0.17801 0.03757 0.57044 0.59875 0.24258 1.257
-0.17823 0.03762 0.57115 0.59949 0.24447 1.046
-0.17846 0.03766 0.57186 0.60024 0.24635 1.186
-0.17868 0.03771 0.57257 0.60099 0.24824 0.699
-0.17890 0.03776 0.57328 0.60174 0.25012 0.842
-0.17912 0.03780 0.57400 0.60248 0.25201 1.536
-0.17934 0.03785 0.57471 0.60323 0.25389 1.257
-0.17957 0.03790 0.57542 0.60398 0.25578 1.107
-0.17979 0.03794 0.57613 0.60472 0.25766 1.017
-0.18001 0.03799 0.57684 0.60547 0.25955 0.550
-0.18023 0.03804 0.57756 0.60622 0.26144 1.221
-0.18046 0.03809 0.57827 0.60697 0.26332 0.858
-0.18068 0.03813 0.57898 0.60771 0.26521 1.275
-0.18090 0.03818 0.57969 0.60846 0.26709 1.068
-0.18112 0.03823 0.58040 0.60921 0.26898 0.549
-0.18134 0.03827 0.58112 0.60996 0.27086 1.014
-0.18157 0.03832 0.58183 0.61070 0.27275 0.962
-0.18179 0.03837 0.58254 0.61145 0.27464 1.236
-0.18201 0.03841 0.58325 0.61220 0.27652 0.922
-0.18223 0.03846 0.58397 0.61295 0.27841 0.631
-0.18246 0.03851 0.58468 0.61370 0.28029 0.761
-0.18268 0.03855 0.58539 0.61444 0.28218 0.696
-0.18290 0.03860 0.58610 0.61519 0.28407 0.769
-0.18312 0.03865 0.58682 0.61594 0.28595 0.725
-0.18335 0.03870 0.58753 0.61669 0.28784 0.849
-0.18357 0.03874 0.58824 0.61743 0.28973 0.899
-0.18379 0.03879 0.58895 0.61818 0.29161 1.153
-0.18401 0.03884 0.58967 0.61893 0.29350 1.138
-0.18423 0.03888 0.59038 0.61968 0.29539 0.844
-0.18446 0.03893 0.59109 0.62043 0.29727 0.843
-0.18468 0.03898 0.59180 0.62117 0.29916 1.135
-0.18490 0.03902 0.59252 0.62192 0.30105 1.282
-0.18512 0.03907 0.59323 0.62267 0.30293 1.215
-0.18535 0.03912 0.59394 0.62342 0.30482 1.059
-0.18557 0.03916 0.59465 0.62417 0.30671 1.138
-0.18579 0.03921 0.59537 0.62491 0.30859 0.966
-0.18601 0.03926 0.59608 0.62566 0.31048 1.377
-0.18624 0.03931 0.59679 0.62641 0.31237 0.859
-0.18646 0.03935 0.59751 0.62716 0.31426 1.015
-0.18668 0.03940 0.59822 0.62791 0.31614 1.327
-0.18690 0.03945 0.59893 0.62866 0.31803 1.170
-0.18713 0.03949 0.59964 0.62940 0.31992 1.171
-0.18735 0.03954 0.60036 0.63015 0.32181 0.814
-0.18757 0.03959 0.60107 0.63090 0.32369 1.538
-0.18779 0.03963 0.60178 0.63165 0.32558 1.074
-0.18802 0.03968 0.60250 0.63240 0.32747 0.970
-0.18824 0.03973 0.60321 0.63315 0.32936 0.868
-0.18846 0.03978 0.60392 0.63389 0.33125 0.920
-0.18868 0.03982 0.60463 0.63464 0.33313 1.231
-0.18891 0.03987 0.60535 0.63539 0.33502 0.977
-0.18913 0.03992 0.60606 0.63614 0.33691 0.820
-0.18935 0.03996 0.60677 0.63689 0.33880 0.920
-0.18957 0.04001 0.60749 0.63764 0.34069 0.818
-0.18980 0.04006 0.60820 0.63838 0.34258 0.716
-0.19002 0.04010 0.60891 0.63913 0.34446 0.973
-0.19024 0.04015 0.60963 0.63988 0.34635 1.281
-0.19046 0.04020 0.61034 0.64063 0.34824 1.076
-0.19069 0.04024 0.61105 0.64138 0.35013 0.868
-0.19091 0.04029 0.61177 0.64213 0.35202 1.077
-0.19113 0.04034 0.61248 0.64288 0.35391 1.087
-0.19135 0.04039 0.61319 0.64363 0.35580 1.072
-0.19158 0.04043 0.61391 0.64437 0.35769 0.742
-0.19180 0.04048 0.61462 0.64512 0.35957 1.327
-0.19202 0.04053 0.61533 0.64587 0.36146 0.742
-0.19225 0.04057 0.61605 0.64662 0.36335 0.964
-0.19247 0.04062 0.61676 0.64737 0.36524 1.005
