x y z dist_scaled dist_frac absorption
-0.19520 0.01868 0.46258 0.50243 0.00000 0.418
-0.19549 0.01870 0.46327 0.50317 0.00188 -0.146
-0.19577 0.01873 0.46395 0.50391 0.00375 0.080
-0.19606 0.01876 0.46464 0.50466 0.00563 -0.091
-0.19635 0.01879 0.46532 0.50540 0.00750 -0.087
-0.19664 0.01882 0.46601 0.50615 0.00938 0.085
-0.19693 0.01884 0.46669 0.50689 0.01126 -0.033
-0.19722 0.01887 0.46738 0.50763 0.01313 0.082
-0.19751 0.01890 0.46806 0.50838 0.01501 -0.034
-0.19780 0.01893 0.46875 0.50912 0.01689 -0.207
-0.19809 0.01895 0.46943 0.50987 0.01876 0.020
-0.19838 0.01898 0.47012 0.51061 0.02064 0.132
-0.19867 0.01901 0.47080 0.51136 0.02252 -0.046
-0.19895 0.01904 0.47149 0.51210 0.02440 0.159
-0.19924 0.01906 0.47217 0.51285 0.02627 0.029
-0.19953 0.01909 0.47286 0.51359 0.02815 -0.465
-0.19982 0.01912 0.47355 0.51433 0.03003 0.121
-0.20011 0.01915 0.47423 0.51508 0.03190 -0.044
-0.20040 0.01918 0.47492 0.51582 0.03378 -0.034
-0.20069 0.01920 0.47560 0.51657 0.03566 0.176
-0.20098 0.01923 0.47629 0.51731 0.03754 0.092
-0.20127 0.01926 0.47697 0.51806 0.03941 0.191
-0.20156 0.01929 0.47766 0.51880 0.04129 0.437
-0.20185 0.01931 0.47834 0.51955 0.04317 -0.073
-0.20214 0.01934 0.47903 0.52029 0.04505 -0.679
-0.20243 0.01937 0.47972 0.52104 0.04692 0.211
-0.20272 0.01940 0.48040 0.52178 0.04880 -0.267
-0.20300 0.01942 0.48109 0.52253 0.05068 -0.212
-0.20329 0.01945 0.48177 0.52327 0.05256 0.185
-0.20358 0.01948 0.48246 0.52401 0.05444 -0.094
-0.20387 0.01951 0.48314 0.52476 0.05631 -0.148
-0.20416 0.01954 0.48383 0.52550 0.05819 -0.487
-0.20445 0.01956 0.48452 0.52625 0.06007 0.192
-0.20474 0.01959 0.48520 0.52699 0.06195 -0.595
-0.20503 0.01962 0.48589 0.52774 0.06383 0.083
-0.20532 0.01965 0.48657 0.52848 0.06571 0.081
-0.20561 0.01967 0.48726 0.52923 0.06758 -0.034
-0.20590 0.01970 0.48794 0.52997 0.06946 -0.089
-0.20619 0.01973 0.48863 0.53072 0.07134 0.139
-0.20648 0.01976 0.48932 0.53146 0.07322 -0.031
-0.20677 0.01978 0.49000 0.53221 0.07510 -0.254
-0.20706 0.01981 0.49069 0.53295 0.07698 -0.138
-0.20735 0.01984 0.49138 0.53370 0.07886 -0.140
-0.20764 0.01987 0.49206 0.53445 0.08074 -0.090
-0.20793 0.01990 0.49275 0.53519 0.08261 -0.089
-0.20821 0.01992 0.49343 0.53594 0.08449 0.192
-0.20850 0.01995 0.49412 0.53668 0.08637 0.031
-0.20879 0.01998 0.49481 0.53743 0.08825 0.144
-0.20908 0.02001 0.49549 0.53817 0.09013 -0.081
-0.20937 0.02003 0.49618 0.53892 0.09201 -0.192
-0.20966 0.02006 0.49686 0.53966 0.09389 -0.249
-0.20995 0.02009 0.49755 0.54041 0.09577 -0.080
-0.21024 0.02012 0.49824 0.54115 0.09765 -0.136
-0.21053 0.02014 0.49892 0.54190 0.09953 -0.135
-0.21082 0.02017 0.49961 0.54264 0.10141 0.148
-0.21111 0.02020 0.50030 0.54339 0.10329 0.374
-0.21140 0.02023 0.50098 0.54414 0.10517 -0.351
-0.21169 0.02026 0.50167 0.54488 0.10705 0.151
-0.21198 0.02028 0.50236 0.54563 0.10893 0.379
-0.21227 0.02031 0.50304 0.54637 0.11081 -0.015
-0.21256 0.02034 0.50373 0.54712 0.11269 0.040
-0.21285 0.02037 0.50442 0.54786 0.11457 0.157
-0.21314 0.02039 0.50510 0.54861 0.11645 0.040
-0.21343 0.02042 0.50579 0.54935 0.11833 0.036
-0.21372 0.02045 0.50647 0.55010 0.12021 -0.181
-0.21401 0.02048 0.50716 0.55085 0.12209 -0.180
-0.21430 0.02050 0.50785 0.55159 0.12397 -0.067
-0.21459 0.02053 0.50853 0.55234 0.12585 0.103
-0.21488 0.02056 0.50922 0.55308 0.12773 0.324
-0.21517 0.02059 0.50991 0.55383 0.12961 0.103
-0.21546 0.02062 0.51060 0.55458 0.13149 -0.179
-0.21575 0.02064 0.51128 0.55532 0.13337 -0.341
-0.21604 0.02067 0.51197 0.55607 0.13526 0.110
-0.21633 0.02070 0.51266 0.55681 0.13714 -0.064
-0.21662 0.02073 0.51334 0.55756 0.13902 0.273
-0.21691 0.02075 0.51403 0.55831 0.14090 0.214
-0.21720 0.02078 0.51472 0.55905 0.14278 0.324
-0.21749 0.02081 0.51540 0.55980 0.14466 0.380
-0.21778 0.02084 0.51609 0.56054 0.14654 0.160
-0.21807 0.02087 0.51678 0.56129 0.14842 -0.062
-0.21836 0.02089 0.51746 0.56204 0.15031 0.436
-0.21865 0.02092 0.51815 0.56278 0.15219 0.494
-0.21894 0.02095 0.51884 0.56353 0.15407 0.213
-0.21923 0.02098 0.51953 0.56428 0.15595 0.434
-0.21951 0.02100 0.52021 0.56502 0.15783 0.380
-0.21980 0.02103 0.52090 0.56577 0.15971 -0.120
-0.22009 0.02106 0.52159 0.56651 0.16160 -0.065
-0.22038 0.02109 0.52227 0.56726 0.16348 0.325
-0.22067 0.02112 0.52296 0.56801 0.16536 -0.120
-0.22096 0.02114 0.52365 0.56875 0.16724 -0.008
-0.22125 0.02117 0.52434 0.56950 0.16912 0.042
-0.22154 0.02120 0.52502 0.57025 0.17101 0.380
-0.22183 0.02123 0.52571 0.57099 0.17289 -0.009
-0.22212 0.02125 0.52640 0.57174 0.17477 -0.177
-0.22241 0.02128 0.52709 0.57249 0.17665 -0.174
-0.22271 0.02131 0.52777 0.57323 0.17854 -0.286
-0.22300 0.02134 0.52846 0.57398 0.18042 -0.228
-0.22329 0.02136 0.52915 0.57473 0.18230 0.049
-0.22358 0.02139 0.52983 0.57547 0.18418 0.099
-0.22387 0.02142 0.53052 0.57622 0.18607 0.188
-0.22416 0.02145 0.53121 0.57697 0.18795 -0.018
-0.22445 0.02148 0.53190 0.57771 0.18983 -0.213
-0.22474 0.02150 0.53258 0.57846 0.19172 -0.266
-0.22503 0.02153 0.53327 0.57921 0.19360 0.072
-0.22532 0.02156 0.53396 0.57995 0.19548 0.350
-0.22561 0.02159 0.53465 0.58070 0.19737 -0.091
-0.22590 0.02161 0.53534 0.58145 0.19925 0.117
-0.22619 0.02164 0.53602 0.58219 0.20113 -0.305
-0.22648 0.02167 0.53671 0.58294 0.20302 0.250
-0.22677 0.02170 0.53740 0.58369 0.20490 0.263
-0.22706 0.02173 0.53809 0.58443 0.20678 0.265
-0.22735 0.02175 0.53877 0.58518 0.20867 -0.464
-0.22764 0.02178 0.53946 0.58593 0.21055 0.207
-0.22793 0.02181 0.54015 0.58668 0.21243 0.168
-0.22822 0.02184 0.54084 0.58742 0.21432 0.388
-0.22851 0.02186 0.54153 0.58817 0.21620 0.167
-0.22880 0.02189 0.54221 0.58892 0.21809 0.062
-0.22909 0.02192 0.54290 0.58966 0.21997 -0.382
-0.22938 0.02195 0.54359 0.59041 0.22185 0.221
-0.22967 0.02198 0.54428 0.59116 0.22374 -0.265
-0.22996 0.02200 0.54497 0.59191 0.22562 0.113
-0.23025 0.02203 0.54565 0.59265 0.22751 0.110
-0.23054 0.02206 0.54634 0.59340 0.22939 0.167
-0.23083 0.02209 0.54703 0.59415 0.23127 0.053
-0.23112 0.02211 0.54772 0.59490 0.23316 0.060
-0.23141 0.02214 0.54841 0.59564 0.23504 0.440
-0.23170 0.02217 0.54909 0.59639 0.23693 0.121
-0.23199 0.02220 0.54978 0.59714 0.23881 0.227
-0.23228 0.02223 0.55047 0.59789 0.24070 0.613
-0.23257 0.02225 0.55116 0.59863 0.24258 -0.260
-0.23286 0.02228 0.55185 0.59938 0.24447 -0.091
-0.23315 0.02231 0.55253 0.60013 0.24635 -0.151
-0.23344 0.02234 0.55322 0.60088 0.24824 -0.206
-0.23373 0.02236 0.55391 0.60162 0.25012 0.129
-0.23403 0.02239 0.55460 0.60237 0.25201 -0.089
-0.23432 0.02242 0.55529 0.60312 0.25389 0.341
-0.23461 0.02245 0.55598 0.60387 0.25578 -0.093
-0.23490 0.02248 0.55666 0.60461 0.25766 0.288
-0.23519 0.02250 0.55735 0.60536 0.25955 -0.150
-0.23548 0.02253 0.55804 0.60611 0.26143 0.234
-0.23577 0.02256 0.55873 0.60686 0.26332 0.281
-0.23606 0.02259 0.55942 0.60760 0.26521 -0.257
-0.23635 0.02262 0.56011 0.60835 0.26709 0.065
-0.23664 0.02264 0.56080 0.60910 0.26898 0.283
-0.23693 0.02267 0.56148 0.60985 0.27086 -0.262
-0.23722 0.02270 0.56217 0.61060 0.27275 0.013
-0.23751 0.02273 0.56286 0.61134 0.27463 0.229
-0.23780 0.02275 0.56355 0.61209 0.27652 0.279
-0.23809 0.02278 0.56424 0.61284 0.27841 -0.152
-0.23838 0.02281 0.56493 0.61359 0.28029 0.009
-0.23867 0.02284 0.56562 0.61434 0.28218 -0.044
-0.23896 0.02287 0.56631 0.61508 0.28407 -0.362
-0.23926 0.02289 0.56699 0.61583 0.28595 0.066
-0.23955 0.02292 0.56768 0.61658 0.28784 -0.148
-0.23984 0.02295 0.56837 0.61733 0.28972 -0.040
-0.24013 0.02298 0.56906 0.61808 0.29161 0.076
-0.24042 0.02300 0.56975 0.61883 0.29350 -0.147
-0.24071 0.02303 0.57044 0.61957 0.29538 0.288
-0.24100 0.02306 0.57113 0.62032 0.29727 -0.147
-0.24129 0.02309 0.57182 0.62107 0.29916 -0.631
-0.24158 0.02312 0.57251 0.62182 0.30105 0.333
-0.24187 0.02314 0.57319 0.62257 0.30293 0.173
-0.24216 0.02317 0.57388 0.62332 0.30482 0.011
-0.24245 0.02320 0.57457 0.62406 0.30671 -0.096
-0.24274 0.02323 0.57526 0.62481 0.30859 -0.043
-0.24303 0.02325 0.57595 0.62556 0.31048 -0.044
-0.24333 0.02328 0.57664 0.62631 0.31237 -0.467
-0.24362 0.02331 0.57733 0.62706 0.31426 -0.569
-0.24391 0.02334 0.57802 0.62781 0.31614 0.235
-0.24420 0.02337 0.57871 0.62855 0.31803 0.077
-0.24449 0.02339 0.57940 0.62930 0.31992 -0.084
-0.24478 0.02342 0.58009 0.63005 0.32181 -0.299
-0.24507 0.02345 0.58078 0.63080 0.32369 -0.026
-0.24536 0.02348 0.58146 0.63155 0.32558 -0.223
-0.24565 0.02351 0.58215 0.63230 0.32747 0.067
-0.24594 0.02353 0.58284 0.63305 0.32936 0.243
-0.24623 0.02356 0.58353 0.63380 0.33125 0.203
-0.24653 0.02359 0.58422 0.63454 0.33313 0.020
-0.24682 0.02362 0.58491 0.63529 0.33502 -0.132
-0.24711 0.02364 0.58560 0.63604 0.33691 -0.021
-0.24740 0.02367 0.58629 0.63679 0.33880 0.067
-0.24769 0.02370 0.58698 0.63754 0.34069 0.163
-0.24798 0.02373 0.58767 0.63829 0.34257 0.162
-0.24827 0.02376 0.58836 0.63904 0.34446 0.204
-0.24856 0.02378 0.58905 0.63979 0.34635 -0.212
-0.24885 0.02381 0.58974 0.64054 0.34824 -0.082
-0.24914 0.02384 0.59043 0.64128 0.35013 0.098
-0.24943 0.02387 0.59112 0.64203 0.35202 -0.223
-0.24973 0.02389 0.59181 0.64278 0.35391 0.533
-0.25002 0.02392 0.59250 0.64353 0.35580 0.111
-0.25031 0.02395 0.59319 0.64428 0.35768 0.484
-0.25060 0.02398 0.59388 0.64503 0.35957 0.060
-0.25089 0.02401 0.59457 0.64578 0.36146 0.335
-0.25118 0.02403 0.59526 0.64653 0.36335 0.075
-0.25147 0.02406 0.59595 0.64728 0.36524 0.136
-0.25176 0.02409 0.59664 0.64803 0.36713 0.187
-0.25205 0.02412 0.59733 0.64878 0.36902 0.353
