x y z dist_scaled dist_frac absorption
-0.26917 0.03505 0.42279 0.50243 0.00000 -0.168
-0.26956 0.03510 0.42342 0.50317 0.00188 0.003
-0.26996 0.03516 0.42404 0.50391 0.00375 0.077
-0.27036 0.03521 0.42467 0.50466 0.00563 -0.046
-0.27076 0.03526 0.42530 0.50540 0.00750 0.445
-0.27116 0.03531 0.42592 0.50615 0.00938 -0.047
-0.27156 0.03536 0.42655 0.50689 0.01126 -0.244
-0.27196 0.03542 0.42718 0.50763 0.01313 -0.270
-0.27235 0.03547 0.42780 0.50838 0.01501 0.147
-0.27275 0.03552 0.42843 0.50912 0.01689 0.122
-0.27315 0.03557 0.42905 0.50987 0.01876 -0.273
-0.27355 0.03562 0.42968 0.51061 0.02064 -0.026
-0.27395 0.03568 0.43031 0.51136 0.02252 0.245
-0.27435 0.03573 0.43093 0.51210 0.02440 -0.125
-0.27475 0.03578 0.43156 0.51285 0.02627 -0.126
-0.27515 0.03583 0.43219 0.51359 0.02815 0.194
-0.27554 0.03588 0.43281 0.51433 0.03003 -0.004
-0.27594 0.03593 0.43344 0.51508 0.03190 0.046
-0.27634 0.03599 0.43407 0.51582 0.03378 0.120
-0.27674 0.03604 0.43469 0.51657 0.03566 -0.078
-0.27714 0.03609 0.43532 0.51731 0.03754 0.095
-0.27754 0.03614 0.43595 0.51806 0.03941 0.021
-0.27794 0.03619 0.43657 0.51880 0.04129 -0.078
-0.27834 0.03625 0.43720 0.51955 0.04317 -0.078
-0.27874 0.03630 0.43783 0.52029 0.04505 0.070
-0.27914 0.03635 0.43845 0.52104 0.04692 0.020
-0.27953 0.03640 0.43908 0.52178 0.04880 0.019
-0.27993 0.03645 0.43971 0.52253 0.05068 -0.055
-0.28033 0.03651 0.44033 0.52327 0.05256 0.093
-0.28073 0.03656 0.44096 0.52401 0.05444 0.093
-0.28113 0.03661 0.44159 0.52476 0.05631 -0.154
-0.28153 0.03666 0.44221 0.52550 0.05819 0.118
-0.28193 0.03671 0.44284 0.52625 0.06007 -0.031
-0.28233 0.03677 0.44347 0.52699 0.06195 0.092
-0.28273 0.03682 0.44409 0.52774 0.06383 -0.098
-0.28313 0.03687 0.44472 0.52848 0.06571 -0.104
-0.28352 0.03692 0.44535 0.52923 0.06758 0.221
-0.28392 0.03697 0.44597 0.52997 0.06946 -0.012
-0.28432 0.03703 0.44660 0.53072 0.07134 0.043
-0.28472 0.03708 0.44723 0.53146 0.07322 0.317
-0.28512 0.03713 0.44786 0.53221 0.07510 0.055
-0.28552 0.03718 0.44848 0.53295 0.07698 -0.018
-0.28592 0.03723 0.44911 0.53370 0.07886 -0.002
-0.28632 0.03729 0.44974 0.53445 0.08074 0.290
-0.28672 0.03734 0.45036 0.53519 0.08261 0.121
-0.28712 0.03739 0.45099 0.53594 0.08449 0.091
-0.28752 0.03744 0.45162 0.53668 0.08637 -0.134
-0.28792 0.03749 0.45224 0.53743 0.08825 -0.289
-0.28832 0.03755 0.45287 0.53817 0.09013 -0.107
-0.28871 0.03760 0.45350 0.53892 0.09201 -0.354
-0.28911 0.03765 0.45413 0.53966 0.09389 -0.144
-0.28951 0.03770 0.45475 0.54041 0.09577 -0.283
-0.28991 0.03775 0.45538 0.54115 0.09765 -0.034
-0.29031 0.03781 0.45601 0.54190 0.09953 -0.010
-0.29071 0.03786 0.45664 0.54264 0.10141 -0.284
-0.29111 0.03791 0.45726 0.54339 0.10329 0.387
-0.29151 0.03796 0.45789 0.54414 0.10517 0.088
-0.29191 0.03801 0.45852 0.54488 0.10705 -0.136
-0.29231 0.03807 0.45915 0.54563 0.10893 -0.136
-0.29271 0.03812 0.45977 0.54637 0.11081 0.212
-0.29311 0.03817 0.46040 0.54712 0.11269 0.212
-0.29351 0.03822 0.46103 0.54786 0.11457 -0.037
-0.29391 0.03827 0.46166 0.54861 0.11645 0.188
-0.29431 0.03833 0.46228 0.54935 0.11833 -0.011
-0.29471 0.03838 0.46291 0.55010 0.12021 -0.061
-0.29511 0.03843 0.46354 0.55085 0.12209 -0.211
-0.29551 0.03848 0.46417 0.55159 0.12397 -0.062
-0.29590 0.03853 0.46479 0.55234 0.12585 0.063
-0.29630 0.03859 0.46542 0.55308 0.12773 0.086
-0.29670 0.03864 0.46605 0.55383 0.12961 0.012
-0.29710 0.03869 0.46668 0.55458 0.13149 -0.038
-0.29750 0.03874 0.46730 0.55532 0.13337 0.036
-0.29790 0.03879 0.46793 0.55607 0.13526 -0.113
-0.29830 0.03885 0.46856 0.55681 0.13714 0.137
-0.29870 0.03890 0.46919 0.55756 0.13902 0.187
-0.29910 0.03895 0.46981 0.55831 0.14090 0.161
-0.29950 0.03900 0.47044 0.55905 0.14278 0.111
-0.29990 0.03905 0.47107 0.55980 0.14466 -0.238
-0.30030 0.03911 0.47170 0.56054 0.14654 0.012
-0.30070 0.03916 0.47233 0.56129 0.14842 0.036
-0.30110 0.03921 0.47295 0.56204 0.15031 0.037
-0.30150 0.03926 0.47358 0.56278 0.15219 0.136
-0.30190 0.03931 0.47421 0.56353 0.15407 0.186
-0.30230 0.03937 0.47484 0.56428 0.15595 0.311
-0.30270 0.03942 0.47547 0.56502 0.15783 0.086
-0.30310 0.03947 0.47609 0.56577 0.15971 0.187
-0.30350 0.03952 0.47672 0.56651 0.16160 0.336
-0.30390 0.03958 0.47735 0.56726 0.16348 0.285
-0.30430 0.03963 0.47798 0.56801 0.16536 0.037
-0.30470 0.03968 0.47861 0.56875 0.16724 0.087
-0.30510 0.03973 0.47923 0.56950 0.16912 0.236
-0.30550 0.03978 0.47986 0.57025 0.17101 0.012
-0.30590 0.03984 0.48049 0.57099 0.17289 0.062
