x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.36170 0.10284 0.33344 0.50258 0.00000 1.231 1236.115 0.01682
-0.36224 0.10299 0.33394 0.50333 0.00188 0.935 1236.145 0.01684
-0.36277 0.10314 0.33443 0.50407 0.00375 0.898 1236.175 0.01687
-0.36331 0.10330 0.33492 0.50481 0.00563 0.935 1236.205 0.01689
-0.36384 0.10345 0.33542 0.50556 0.00751 0.676 1236.235 0.01692
-0.36438 0.10360 0.33591 0.50630 0.00938 0.976 1236.265 0.01694
-0.36492 0.10375 0.33640 0.50705 0.01126 0.939 1236.295 0.01697
-0.36545 0.10390 0.33690 0.50779 0.01313 1.274 1236.325 0.01699
-0.36599 0.10406 0.33739 0.50853 0.01501 1.199 1236.355 0.01701
-0.36652 0.10421 0.33788 0.50928 0.01689 1.160 1236.384 0.01704
-0.36706 0.10436 0.33838 0.51002 0.01876 1.084 1236.414 0.01706
-0.36759 0.10451 0.33887 0.51077 0.02064 0.711 1236.444 0.01709
-0.36813 0.10467 0.33937 0.51151 0.02252 1.162 1236.474 0.01711
-0.36866 0.10482 0.33986 0.51225 0.02440 0.939 1236.504 0.01714
-0.36920 0.10497 0.34035 0.51300 0.02627 1.238 1236.534 0.01716
-0.36973 0.10512 0.34085 0.51374 0.02815 1.426 1236.564 0.01719
-0.37027 0.10527 0.34134 0.51449 0.03003 1.016 1236.594 0.01721
-0.37081 0.10543 0.34183 0.51523 0.03190 0.678 1236.623 0.01724
-0.37134 0.10558 0.34233 0.51597 0.03378 1.054 1236.653 0.01726
-0.37188 0.10573 0.34282 0.51672 0.03566 0.867 1236.683 0.01729
-0.37241 0.10588 0.34332 0.51746 0.03754 0.978 1236.713 0.01731
-0.37295 0.10604 0.34381 0.51821 0.03941 1.055 1236.743 0.01733
-0.37348 0.10619 0.34430 0.51895 0.04129 0.569 1236.773 0.01736
-0.37402 0.10634 0.34480 0.51970 0.04317 0.735 1236.803 0.01738
-0.37455 0.10649 0.34529 0.52044 0.04505 1.207 1236.833 0.01741
-0.37509 0.10664 0.34578 0.52118 0.04692 1.359 1236.862 0.01743
-0.37563 0.10680 0.34628 0.52193 0.04880 1.169 1236.892 0.01746
-0.37616 0.10695 0.34677 0.52267 0.05068 1.092 1236.922 0.01748
-0.37670 0.10710 0.34727 0.52342 0.05256 0.978 1236.952 0.01751
-0.37723 0.10725 0.34776 0.52416 0.05444 0.902 1236.982 0.01753
-0.37777 0.10741 0.34825 0.52491 0.05631 1.090 1237.012 0.01756
-0.37831 0.10756 0.34875 0.52565 0.05819 1.280 1237.042 0.01758
-0.37884 0.10771 0.34924 0.52640 0.06007 1.242 1237.072 0.01760
-0.37938 0.10786 0.34974 0.52714 0.06195 0.979 1237.101 0.01763
-0.37991 0.10802 0.35023 0.52788 0.06383 1.018 1237.131 0.01765
