x y z dist_scaled dist_frac flux_norm
-0.40413 0.11175 0.27708 0.50258 0.00000 1.120
-0.40473 0.11192 0.27749 0.50333 0.00188 1.062
-0.40533 0.11208 0.27790 0.50407 0.00375 1.086
-0.40593 0.11225 0.27831 0.50481 0.00563 1.118
-0.40653 0.11241 0.27872 0.50556 0.00751 0.949
-0.40712 0.11258 0.27914 0.50630 0.00938 1.003
-0.40772 0.11275 0.27955 0.50705 0.01126 0.952
-0.40832 0.11291 0.27996 0.50779 0.01313 0.858
-0.40892 0.11308 0.28037 0.50853 0.01501 0.935
-0.40952 0.11324 0.28078 0.50928 0.01689 0.896
-0.41012 0.11341 0.28119 0.51002 0.01876 0.760
-0.41071 0.11357 0.28160 0.51077 0.02064 1.005
-0.41131 0.11374 0.28201 0.51151 0.02252 0.947
-0.41191 0.11390 0.28242 0.51225 0.02440 1.027
-0.41251 0.11407 0.28283 0.51300 0.02627 1.083
-0.41311 0.11423 0.28324 0.51374 0.02815 0.984
-0.41371 0.11440 0.28365 0.51449 0.03003 0.761
-0.41430 0.11457 0.28406 0.51523 0.03190 0.983
-0.41490 0.11473 0.28447 0.51597 0.03378 0.926
-0.41550 0.11490 0.28488 0.51672 0.03566 1.127
-0.41610 0.11506 0.28529 0.51746 0.03754 0.848
-0.41670 0.11523 0.28570 0.51821 0.03941 0.935
-0.41730 0.11539 0.28611 0.51895 0.04129 1.049
-0.41789 0.11556 0.28652 0.51970 0.04317 1.040
-0.41849 0.11572 0.28693 0.52044 0.04505 1.184
-0.41909 0.11589 0.28734 0.52118 0.04692 1.147
-0.41969 0.11605 0.28775 0.52193 0.04880 0.983
-0.42029 0.11622 0.28816 0.52267 0.05068 0.814
-0.42089 0.11639 0.28857 0.52342 0.05256 0.781
-0.42149 0.11655 0.28898 0.52416 0.05444 0.984
-0.42209 0.11672 0.28939 0.52491 0.05631 1.018
-0.42268 0.11688 0.28980 0.52565 0.05819 0.892
-0.42328 0.11705 0.29021 0.52640 0.06007 1.194
-0.42388 0.11721 0.29062 0.52714 0.06195 1.084
-0.42448 0.11738 0.29103 0.52788 0.06383 0.947
-0.42508 0.11754 0.29144 0.52863 0.06571 1.014
-0.42568 0.11771 0.29186 0.52937 0.06758 0.904
-0.42628 0.11788 0.29227 0.53012 0.06946 1.138
-0.42688 0.11804 0.29268 0.53086 0.07134 0.993
-0.42747 0.11821 0.29309 0.53161 0.07322 0.893
-0.42807 0.11837 0.29350 0.53235 0.07510 1.138
-0.42867 0.11854 0.29391 0.53310 0.07698 1.068
-0.42927 0.11870 0.29432 0.53384 0.07886 1.184
-0.42987 0.11887 0.29473 0.53459 0.08074 1.215
-0.43047 0.11904 0.29514 0.53533 0.08261 0.981
-0.43107 0.11920 0.29555 0.53608 0.08449 0.967
-0.43167 0.11937 0.29596 0.53682 0.08637 0.889
-0.43227 0.11953 0.29637 0.53757 0.08825 1.034
-0.43287 0.11970 0.29678 0.53831 0.09013 1.028
-0.43346 0.11986 0.29719 0.53906 0.09201 0.935
-0.43406 0.12003 0.29760 0.53980 0.09389 1.080
-0.43466 0.12019 0.29802 0.54055 0.09577 1.025
-0.43526 0.12036 0.29843 0.54129 0.09765 0.914
-0.43586 0.12053 0.29884 0.54204 0.09953 1.044
-0.43646 0.12069 0.29925 0.54278 0.10141 1.167
-0.43706 0.12086 0.29966 0.54353 0.10329 1.055
-0.43766 0.12102 0.30007 0.54427 0.10517 1.225
-0.43826 0.12119 0.30048 0.54502 0.10705 1.049
-0.43886 0.12135 0.30089 0.54576 0.10893 0.864
-0.43946 0.12152 0.30130 0.54651 0.11081 1.136
-0.44006 0.12169 0.30171 0.54725 0.11269 0.878
-0.44065 0.12185 0.30212 0.54800 0.11457 0.926
-0.44125 0.12202 0.30254 0.54874 0.11645 1.011
