x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.25485 -0.13996 0.40944 0.50218 0.00000 0.939 0.087 1236.099 0.01680
0.25523 -0.14017 0.41005 0.50292 0.00188 1.172 0.097 1236.129 0.01683
0.25561 -0.14038 0.41066 0.50367 0.00375 1.178 0.098 1236.159 0.01685
0.25599 -0.14058 0.41126 0.50441 0.00563 1.009 0.090 1236.189 0.01688
0.25636 -0.14079 0.41187 0.50515 0.00750 1.016 0.091 1236.219 0.01690
0.25674 -0.14100 0.41248 0.50590 0.00938 1.038 0.091 1236.249 0.01693
0.25712 -0.14120 0.41308 0.50664 0.01126 1.006 0.090 1236.279 0.01695
0.25750 -0.14141 0.41369 0.50739 0.01313 1.052 0.092 1236.308 0.01698
0.25787 -0.14162 0.41430 0.50813 0.01501 0.980 0.089 1236.338 0.01700
0.25825 -0.14183 0.41490 0.50888 0.01689 1.091 0.094 1236.368 0.01703
0.25863 -0.14203 0.41551 0.50962 0.01876 1.001 0.090 1236.398 0.01705
0.25901 -0.14224 0.41612 0.51036 0.02064 0.921 0.091 1236.428 0.01708
0.25938 -0.14245 0.41672 0.51111 0.02252 1.040 0.091 1236.458 0.01710
0.25976 -0.14266 0.41733 0.51185 0.02440 1.127 0.095 1236.488 0.01712
0.26014 -0.14286 0.41794 0.51260 0.02627 0.902 0.085 1236.518 0.01715
0.26052 -0.14307 0.41855 0.51334 0.02815 1.076 0.093 1236.548 0.01717
0.26090 -0.14328 0.41915 0.51409 0.03003 1.187 0.097 1236.577 0.01720
0.26127 -0.14349 0.41976 0.51483 0.03190 1.027 0.090 1236.607 0.01722
0.26165 -0.14369 0.42037 0.51558 0.03378 0.946 0.087 1236.637 0.01725
0.26203 -0.14390 0.42097 0.51632 0.03566 0.976 0.088 1236.667 0.01727
0.26241 -0.14411 0.42158 0.51706 0.03754 0.913 0.085 1236.697 0.01730
0.26278 -0.14432 0.42219 0.51781 0.03941 0.841 0.086 1236.727 0.01732
0.26316 -0.14452 0.42280 0.51855 0.04129 1.149 0.095 1236.757 0.01735
0.26354 -0.14473 0.42340 0.51930 0.04317 0.973 0.088 1236.787 0.01737
0.26392 -0.14494 0.42401 0.52004 0.04505 1.068 0.092 1236.817 0.01740
0.26430 -0.14515 0.42462 0.52079 0.04692 1.130 0.094 1236.847 0.01742
0.26467 -0.14535 0.42522 0.52153 0.04880 1.073 0.092 1236.876 0.01744
0.26505 -0.14556 0.42583 0.52228 0.05068 0.891 0.084 1236.906 0.01747
0.26543 -0.14577 0.42644 0.52302 0.05256 1.190 0.097 1236.936 0.01749
0.26581 -0.14598 0.42705 0.52377 0.05444 0.921 0.085 1236.966 0.01752
0.26619 -0.14618 0.42765 0.52451 0.05631 0.897 0.089 1236.996 0.01754
0.26656 -0.14639 0.42826 0.52526 0.05819 0.998 0.089 1237.026 0.01757
