x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.23200 0.32629 0.30380 0.50258 0.00000 1.051 0.181 1236.115 0.01682
-0.23235 0.32678 0.30425 0.50333 0.00188 1.089 0.183 1236.145 0.01684
-0.23269 0.32726 0.30470 0.50407 0.00375 0.781 0.162 1236.175 0.01687
-0.23303 0.32774 0.30515 0.50481 0.00563 1.002 0.178 1236.205 0.01689
-0.23338 0.32823 0.30560 0.50556 0.00751 0.779 0.162 1236.235 0.01692
-0.23372 0.32871 0.30605 0.50630 0.00938 1.063 0.181 1236.265 0.01694
-0.23406 0.32919 0.30650 0.50705 0.01126 0.983 0.175 1236.295 0.01697
-0.23441 0.32967 0.30695 0.50779 0.01313 1.003 0.177 1236.325 0.01699
-0.23475 0.33016 0.30740 0.50853 0.01501 1.039 0.180 1236.355 0.01701
-0.23509 0.33064 0.30785 0.50928 0.01689 0.878 0.168 1236.384 0.01704
-0.23544 0.33112 0.30830 0.51002 0.01876 1.000 0.177 1236.414 0.01706
-0.23578 0.33161 0.30875 0.51077 0.02064 0.958 0.174 1236.444 0.01709
-0.23612 0.33209 0.30920 0.51151 0.02252 0.857 0.167 1236.474 0.01711
-0.23647 0.33257 0.30965 0.51225 0.02440 0.857 0.166 1236.504 0.01714
-0.23681 0.33306 0.31010 0.51300 0.02627 0.900 0.169 1236.534 0.01716
-0.23715 0.33354 0.31055 0.51374 0.02815 0.978 0.175 1236.564 0.01719
-0.23750 0.33402 0.31100 0.51449 0.03003 0.753 0.159 1236.594 0.01721
-0.23784 0.33450 0.31145 0.51523 0.03190 0.692 0.154 1236.623 0.01724
-0.23819 0.33499 0.31190 0.51597 0.03378 0.914 0.170 1236.653 0.01726
-0.23853 0.33547 0.31235 0.51672 0.03566 1.075 0.180 1236.683 0.01729
-0.23887 0.33595 0.31280 0.51746 0.03754 1.099 0.182 1236.713 0.01731
-0.23922 0.33644 0.31325 0.51821 0.03941 0.860 0.165 1236.743 0.01733
-0.23956 0.33692 0.31370 0.51895 0.04129 0.742 0.157 1236.773 0.01736
-0.23990 0.33740 0.31415 0.51970 0.04317 0.897 0.170 1236.803 0.01738
-0.24025 0.33789 0.31460 0.52044 0.04505 1.222 0.190 1236.833 0.01741
-0.24059 0.33837 0.31505 0.52118 0.04692 1.026 0.179 1236.862 0.01743
-0.24093 0.33885 0.31550 0.52193 0.04880 0.803 0.161 1236.892 0.01746
-0.24128 0.33934 0.31595 0.52267 0.05068 1.009 0.177 1236.922 0.01748
-0.24162 0.33982 0.31640 0.52342 0.05256 0.933 0.170 1236.952 0.01751
-0.24197 0.34030 0.31685 0.52416 0.05444 0.731 0.154 1236.982 0.01753
-0.24231 0.34079 0.31730 0.52491 0.05631 0.917 0.170 1237.012 0.01756
-0.24265 0.34127 0.31775 0.52565 0.05819 1.048 0.177 1237.042 0.01758
-0.24300 0.34175 0.31820 0.52640 0.06007 1.224 0.189 1237.072 0.01760
-0.24334 0.34224 0.31865 0.52714 0.06195 1.006 0.175 1237.101 0.01763
-0.24368 0.34272 0.31910 0.52788 0.06383 1.217 0.189 1237.131 0.01765
-0.24403 0.34320 0.31955 0.52863 0.06571 1.062 0.179 1237.161 0.01768
-0.24437 0.34369 0.32000 0.52937 0.06758 0.848 0.164 1237.191 0.01770
-0.24472 0.34417 0.32045 0.53012 0.06946 0.903 0.167 1237.221 0.01773
-0.24506 0.34465 0.32090 0.53086 0.07134 1.121 0.182 1237.251 0.01775
-0.24540 0.34514 0.32135 0.53161 0.07322 0.823 0.162 1237.281 0.01778
-0.24575 0.34562 0.32180 0.53235 0.07510 1.160 0.184 1237.311 0.01780
-0.24609 0.34611 0.32225 0.53310 0.07698 1.159 0.184 1237.341 0.01783
-0.24643 0.34659 0.32270 0.53384 0.07886 1.140 0.183 1237.370 0.01785
-0.24678 0.34707 0.32315 0.53459 0.08074 0.843 0.163 1237.400 0.01788
-0.24712 0.34756 0.32360 0.53533 0.08261 1.022 0.175 1237.430 0.01790
-0.24747 0.34804 0.32405 0.53608 0.08449 0.886 0.165 1237.460 0.01792
-0.24781 0.34852 0.32450 0.53682 0.08637 1.042 0.176 1237.490 0.01795
-0.24815 0.34901 0.32495 0.53757 0.08825 0.884 0.165 1237.520 0.01797
-0.24850 0.34949 0.32540 0.53831 0.09013 1.316 0.193 1237.550 0.01800
-0.24884 0.34997 0.32585 0.53906 0.09201 1.078 0.178 1237.580 0.01802
-0.24919 0.35046 0.32630 0.53980 0.09389 1.375 0.197 1237.609 0.01805
-0.24953 0.35094 0.32675 0.54055 0.09577 1.152 0.183 1237.639 0.01807
-0.24987 0.35143 0.32720 0.54129 0.09765 1.096 0.179 1237.669 0.01810
