x y z dist_scaled dist_frac flux_norm wavelength redshift
0.03939 0.18464 0.46577 0.50258 0.00000 1.038 1236.115 0.01682
0.03945 0.18492 0.46646 0.50333 0.00188 0.803 1236.145 0.01684
0.03951 0.18519 0.46715 0.50407 0.00375 1.043 1236.175 0.01687
0.03956 0.18546 0.46784 0.50481 0.00563 1.041 1236.205 0.01689
0.03962 0.18574 0.46853 0.50556 0.00751 1.279 1236.235 0.01692
0.03968 0.18601 0.46922 0.50630 0.00938 1.871 1236.265 0.01694
0.03974 0.18628 0.46991 0.50705 0.01126 1.512 1236.295 0.01697
0.03980 0.18656 0.47060 0.50779 0.01313 1.277 1236.325 0.01699
0.03986 0.18683 0.47129 0.50853 0.01501 1.397 1236.355 0.01701
0.03991 0.18710 0.47198 0.50928 0.01689 1.160 1236.384 0.01704
0.03997 0.18738 0.47267 0.51002 0.01876 0.330 1236.414 0.01706
0.04003 0.18765 0.47336 0.51077 0.02064 0.803 1236.444 0.01709
0.04009 0.18792 0.47405 0.51151 0.02252 1.322 1236.474 0.01711
0.04015 0.18820 0.47474 0.51225 0.02440 0.954 1236.504 0.01714
0.04021 0.18847 0.47543 0.51300 0.02627 1.586 1236.534 0.01716
0.04026 0.18874 0.47611 0.51374 0.02815 0.712 1236.564 0.01719
0.04032 0.18902 0.47680 0.51449 0.03003 1.608 1236.594 0.01721
0.04038 0.18929 0.47749 0.51523 0.03190 1.099 1236.623 0.01724
0.04044 0.18956 0.47818 0.51597 0.03378 0.363 1236.653 0.01726
0.04050 0.18984 0.47887 0.51672 0.03566 0.681 1236.683 0.01729
0.04056 0.19011 0.47956 0.51746 0.03754 0.999 1236.713 0.01731
0.04061 0.19038 0.48025 0.51821 0.03941 1.147 1236.743 0.01733
0.04067 0.19066 0.48094 0.51895 0.04129 1.460 1236.773 0.01736
0.04073 0.19093 0.48163 0.51970 0.04317 1.172 1236.803 0.01738
0.04079 0.19120 0.48232 0.52044 0.04505 1.088 1236.833 0.01741
0.04085 0.19148 0.48301 0.52118 0.04692 1.087 1236.862 0.01743
0.04091 0.19175 0.48370 0.52193 0.04880 0.556 1236.892 0.01746
0.04096 0.19202 0.48439 0.52267 0.05068 1.052 1236.922 0.01748
0.04102 0.19230 0.48508 0.52342 0.05256 0.678 1236.952 0.01751
0.04108 0.19257 0.48577 0.52416 0.05444 0.932 1236.982 0.01753
0.04114 0.19284 0.48646 0.52491 0.05631 0.825 1237.012 0.01756
0.04120 0.19312 0.48715 0.52565 0.05819 1.081 1237.042 0.01758
0.04126 0.19339 0.48784 0.52640 0.06007 0.786 1237.072 0.01760
0.04131 0.19367 0.48853 0.52714 0.06195 0.439 1237.101 0.01763
0.04137 0.19394 0.48922 0.52788 0.06383 1.002 1237.131 0.01765
0.04143 0.19421 0.48991 0.52863 0.06571 1.097 1237.161 0.01768
0.04149 0.19449 0.49060 0.52937 0.06758 1.454 1237.191 0.01770
0.04155 0.19476 0.49129 0.53012 0.06946 0.583 1237.221 0.01773
0.04161 0.19503 0.49198 0.53086 0.07134 0.937 1237.251 0.01775
0.04166 0.19531 0.49267 0.53161 0.07322 0.668 1237.281 0.01778
0.04172 0.19558 0.49336 0.53235 0.07510 0.202 1237.311 0.01780
0.04178 0.19585 0.49405 0.53310 0.07698 0.085 1237.341 0.01783
0.04184 0.19613 0.49474 0.53384 0.07886 0.433 1237.370 0.01785
0.04190 0.19640 0.49543 0.53459 0.08074 0.203 1237.400 0.01788
0.04196 0.19667 0.49612 0.53533 0.08261 0.318 1237.430 0.01790
0.04201 0.19695 0.49681 0.53608 0.08449 0.666 1237.460 0.01792
0.04207 0.19722 0.49751 0.53682 0.08637 0.899 1237.490 0.01795
0.04213 0.19750 0.49820 0.53757 0.08825 0.551 1237.520 0.01797
0.04219 0.19777 0.49889 0.53831 0.09013 0.666 1237.550 0.01800
0.04225 0.19804 0.49958 0.53906 0.09201 0.783 1237.580 0.01802
0.04231 0.19832 0.50027 0.53980 0.09389 0.899 1237.609 0.01805
0.04236 0.19859 0.50096 0.54055 0.09577 0.552 1237.639 0.01807
0.04242 0.19886 0.50165 0.54129 0.09765 0.784 1237.669 0.01810
0.04248 0.19914 0.50234 0.54204 0.09953 1.364 1237.699 0.01812
0.04254 0.19941 0.50303 0.54278 0.10141 1.135 1237.729 0.01815
0.04260 0.19969 0.50372 0.54353 0.10329 0.325 1237.759 0.01817
0.04266 0.19996 0.50441 0.54427 0.10517 1.019 1237.789 0.01819
0.04272 0.20023 0.50510 0.54502 0.10705 1.134 1237.819 0.01822
0.04277 0.20051 0.50579 0.54576 0.10893 0.673 1237.848 0.01824
0.04283 0.20078 0.50648 0.54651 0.11081 1.362 1237.878 0.01827
0.04289 0.20105 0.50717 0.54725 0.11269 1.481 1237.908 0.01829
0.04295 0.20133 0.50786 0.54800 0.11457 0.903 1237.938 0.01832
0.04301 0.20160 0.50855 0.54874 0.11645 0.558 1237.968 0.01834
0.04307 0.20188 0.50925 0.54949 0.11833 0.788 1237.998 0.01837
0.04312 0.20215 0.50994 0.55024 0.12021 1.362 1238.028 0.01839
0.04318 0.20242 0.51063 0.55098 0.12209 0.443 1238.058 0.01842
0.04324 0.20270 0.51132 0.55173 0.12397 1.132 1238.087 0.01844
0.04330 0.20297 0.51201 0.55247 0.12585 1.474 1238.117 0.01847
0.04336 0.20325 0.51270 0.55322 0.12773 1.584 1238.147 0.01849
0.04342 0.20352 0.51339 0.55396 0.12961 1.010 1238.177 0.01851
0.04347 0.20379 0.51408 0.55471 0.13149 0.780 1238.207 0.01854
0.04353 0.20407 0.51477 0.55545 0.13338 0.320 1238.237 0.01856
0.04359 0.20434 0.51546 0.55620 0.13526 0.892 1238.267 0.01859
0.04365 0.20462 0.51615 0.55695 0.13714 1.693 1238.297 0.01861
0.04371 0.20489 0.51685 0.55769 0.13902 1.119 1238.327 0.01864
0.04377 0.20516 0.51754 0.55844 0.14090 1.006 1238.356 0.01866
0.04383 0.20544 0.51823 0.55918 0.14278 0.891 1238.386 0.01869
0.04388 0.20571 0.51892 0.55993 0.14466 1.118 1238.416 0.01871
0.04394 0.20599 0.51961 0.56067 0.14654 0.203 1238.446 0.01874
0.04400 0.20626 0.52030 0.56142 0.14843 0.430 1238.476 0.01876
0.04406 0.20653 0.52099 0.56217 0.15031 1.115 1238.506 0.01878
0.04412 0.20681 0.52168 0.56291 0.15219 1.339 1238.536 0.01881
0.04418 0.20708 0.52238 0.56366 0.15407 0.883 1238.566 0.01883
0.04423 0.20736 0.52307 0.56440 0.15595 1.336 1238.595 0.01886
0.04429 0.20763 0.52376 0.56515 0.15783 1.224 1238.625 0.01888
0.04435 0.20790 0.52445 0.56590 0.15972 0.539 1238.655 0.01891
0.04441 0.20818 0.52514 0.56664 0.16160 0.878 1238.685 0.01893
0.04447 0.20845 0.52583 0.56739 0.16348 1.106 1238.715 0.01896
0.04453 0.20873 0.52652 0.56813 0.16536 0.879 1238.745 0.01898
0.04459 0.20900 0.52722 0.56888 0.16724 0.424 1238.775 0.01901
0.04464 0.20927 0.52791 0.56963 0.16913 0.424 1238.805 0.01903
0.04470 0.20955 0.52860 0.57037 0.17101 0.989 1238.834 0.01905
0.04476 0.20982 0.52929 0.57112 0.17289 0.426 1238.864 0.01908
0.04482 0.21010 0.52998 0.57186 0.17477 1.328 1238.894 0.01910
0.04488 0.21037 0.53067 0.57261 0.17665 1.328 1238.924 0.01913
0.04494 0.21064 0.53136 0.57336 0.17854 0.534 1238.954 0.01915
0.04499 0.21092 0.53206 0.57410 0.18042 0.644 1238.984 0.01918
0.04505 0.21119 0.53275 0.57485 0.18230 0.756 1239.014 0.01920
0.04511 0.21147 0.53344 0.57560 0.18419 0.756 1239.044 0.01923
0.04517 0.21174 0.53413 0.57634 0.18607 0.754 1239.073 0.01925
0.04523 0.21202 0.53482 0.57709 0.18795 1.089 1239.103 0.01928
0.04529 0.21229 0.53551 0.57784 0.18983 0.978 1239.133 0.01930
0.04535 0.21256 0.53621 0.57858 0.19172 1.091 1239.163 0.01933
0.04540 0.21284 0.53690 0.57933 0.19360 1.203 1239.193 0.01935
