x y z dist_scaled dist_frac flux_norm
-0.35621 0.22416 0.27469 0.50258 0.00000 1.168
-0.35674 0.22449 0.27509 0.50333 0.00188 0.966
-0.35727 0.22482 0.27550 0.50407 0.00375 1.024
-0.35780 0.22516 0.27591 0.50481 0.00563 0.939
-0.35832 0.22549 0.27631 0.50556 0.00751 1.132
-0.35885 0.22582 0.27672 0.50630 0.00938 1.161
-0.35938 0.22615 0.27713 0.50705 0.01126 1.050
-0.35990 0.22648 0.27753 0.50779 0.01313 1.277
-0.36043 0.22682 0.27794 0.50853 0.01501 1.020
-0.36096 0.22715 0.27835 0.50928 0.01689 1.470
-0.36149 0.22748 0.27875 0.51002 0.01876 0.798
-0.36201 0.22781 0.27916 0.51077 0.02064 1.126
-0.36254 0.22814 0.27957 0.51151 0.02252 1.143
-0.36307 0.22847 0.27997 0.51225 0.02440 1.242
-0.36360 0.22881 0.28038 0.51300 0.02627 0.859
-0.36412 0.22914 0.28079 0.51374 0.02815 1.017
-0.36465 0.22947 0.28119 0.51449 0.03003 0.939
-0.36518 0.22980 0.28160 0.51523 0.03190 1.223
-0.36570 0.23013 0.28201 0.51597 0.03378 0.915
-0.36623 0.23047 0.28241 0.51672 0.03566 1.200
-0.36676 0.23080 0.28282 0.51746 0.03754 0.685
-0.36729 0.23113 0.28323 0.51821 0.03941 1.204
-0.36781 0.23146 0.28363 0.51895 0.04129 1.049
-0.36834 0.23179 0.28404 0.51970 0.04317 0.687
-0.36887 0.23213 0.28445 0.52044 0.04505 1.025
-0.36940 0.23246 0.28485 0.52118 0.04692 1.262
-0.36993 0.23279 0.28526 0.52193 0.04880 1.056
-0.37045 0.23312 0.28567 0.52267 0.05068 1.111
-0.37098 0.23345 0.28607 0.52342 0.05256 1.087
-0.37151 0.23379 0.28648 0.52416 0.05444 1.217
-0.37204 0.23412 0.28689 0.52491 0.05631 0.903
-0.37256 0.23445 0.28729 0.52565 0.05819 1.011
-0.37309 0.23478 0.28770 0.52640 0.06007 1.142
-0.37362 0.23511 0.28811 0.52714 0.06195 1.093
-0.37415 0.23545 0.28852 0.52788 0.06383 1.196
-0.37467 0.23578 0.28892 0.52863 0.06571 1.200
-0.37520 0.23611 0.28933 0.52937 0.06758 1.227
-0.37573 0.23644 0.28974 0.53012 0.06946 1.125
-0.37626 0.23677 0.29014 0.53086 0.07134 1.019
-0.37679 0.23711 0.29055 0.53161 0.07322 1.150
-0.37731 0.23744 0.29096 0.53235 0.07510 0.838
-0.37784 0.23777 0.29137 0.53310 0.07698 0.944
-0.37837 0.23810 0.29177 0.53384 0.07886 1.103
-0.37890 0.23844 0.29218 0.53459 0.08074 0.866
-0.37943 0.23877 0.29259 0.53533 0.08261 1.001
-0.37995 0.23910 0.29299 0.53608 0.08449 1.321
-0.38048 0.23943 0.29340 0.53682 0.08637 1.158
-0.38101 0.23976 0.29381 0.53757 0.08825 0.866
-0.38154 0.24010 0.29421 0.53831 0.09013 1.028
-0.38207 0.24043 0.29462 0.53906 0.09201 1.031
-0.38259 0.24076 0.29503 0.53980 0.09389 1.033
-0.38312 0.24109 0.29544 0.54055 0.09577 1.005
-0.38365 0.24143 0.29584 0.54129 0.09765 0.955
-0.38418 0.24176 0.29625 0.54204 0.09953 0.953
-0.38471 0.24209 0.29666 0.54278 0.10141 1.172
-0.38523 0.24242 0.29707 0.54353 0.10329 0.849
-0.38576 0.24276 0.29747 0.54427 0.10517 1.067
-0.38629 0.24309 0.29788 0.54502 0.10705 1.069
-0.38682 0.24342 0.29829 0.54576 0.10893 1.233
-0.38735 0.24375 0.29869 0.54651 0.11081 1.072
-0.38788 0.24409 0.29910 0.54725 0.11269 1.020
-0.38840 0.24442 0.29951 0.54800 0.11457 0.992
-0.38893 0.24475 0.29992 0.54874 0.11645 1.236
-0.38946 0.24508 0.30032 0.54949 0.11833 1.239
-0.38999 0.24542 0.30073 0.55024 0.12021 1.213
-0.39052 0.24575 0.30114 0.55098 0.12209 1.159
-0.39105 0.24608 0.30155 0.55173 0.12397 0.698
-0.39157 0.24641 0.30195 0.55247 0.12585 0.672
-0.39210 0.24675 0.30236 0.55322 0.12773 0.945
-0.39263 0.24708 0.30277 0.55396 0.12961 0.754
-0.39316 0.24741 0.30318 0.55471 0.13149 0.618
-0.39369 0.24774 0.30358 0.55545 0.13338 0.510
-0.39422 0.24808 0.30399 0.55620 0.13526 0.374
-0.39474 0.24841 0.30440 0.55695 0.13714 0.209
-0.39527 0.24874 0.30481 0.55769 0.13902 0.073
-0.39580 0.24907 0.30521 0.55844 0.14090 0.264
-0.39633 0.24941 0.30562 0.55918 0.14278 0.265
-0.39686 0.24974 0.30603 0.55993 0.14466 0.237
-0.39739 0.25007 0.30644 0.56067 0.14654 0.264
-0.39792 0.25040 0.30684 0.56142 0.14843 0.596
-0.39844 0.25074 0.30725 0.56217 0.15031 0.623
-0.39897 0.25107 0.30766 0.56291 0.15219 0.789
-0.39950 0.25140 0.30807 0.56366 0.15407 0.984
-0.40003 0.25173 0.30848 0.56440 0.15595 1.067
-0.40056 0.25207 0.30888 0.56515 0.15783 1.122
-0.40109 0.25240 0.30929 0.56590 0.15972 1.015
-0.40162 0.25273 0.30970 0.56664 0.16160 0.933
-0.40215 0.25307 0.31011 0.56739 0.16348 0.740
-0.40267 0.25340 0.31051 0.56813 0.16536 0.795
-0.40320 0.25373 0.31092 0.56888 0.16724 0.992
-0.40373 0.25406 0.31133 0.56963 0.16913 1.048
-0.40426 0.25440 0.31174 0.57037 0.17101 1.146
-0.40479 0.25473 0.31215 0.57112 0.17289 1.153
-0.40532 0.25506 0.31255 0.57186 0.17477 0.955
-0.40585 0.25540 0.31296 0.57261 0.17665 1.036
-0.40638 0.25573 0.31337 0.57336 0.17854 1.261
-0.40691 0.25606 0.31378 0.57410 0.18042 1.156
-0.40743 0.25639 0.31418 0.57485 0.18230 1.169
-0.40796 0.25673 0.31459 0.57560 0.18419 0.870
-0.40849 0.25706 0.31500 0.57634 0.18607 1.052
-0.40902 0.25739 0.31541 0.57709 0.18795 1.012
-0.40955 0.25773 0.31582 0.57784 0.18983 1.110
-0.41008 0.25806 0.31622 0.57858 0.19172 1.350
-0.41061 0.25839 0.31663 0.57933 0.19360 0.780
-0.41114 0.25872 0.31704 0.58007 0.19548 0.702
-0.41167 0.25906 0.31745 0.58082 0.19737 0.898
-0.41220 0.25939 0.31786 0.58157 0.19925 1.006
-0.41273 0.25972 0.31826 0.58231 0.20113 0.980
-0.41325 0.26006 0.31867 0.58306 0.20302 1.180
-0.41378 0.26039 0.31908 0.58381 0.20490 0.840
-0.41431 0.26072 0.31949 0.58455 0.20678 0.785
-0.41484 0.26106 0.31990 0.58530 0.20867 0.899
-0.41537 0.26139 0.32031 0.58605 0.21055 1.158
-0.41590 0.26172 0.32071 0.58679 0.21243 0.616
-0.41643 0.26205 0.32112 0.58754 0.21432 0.672
-0.41696 0.26239 0.32153 0.58829 0.21620 0.357
-0.41749 0.26272 0.32194 0.58904 0.21809 0.701
-0.41802 0.26305 0.32235 0.58978 0.21997 0.673
-0.41855 0.26339 0.32275 0.59053 0.22185 0.702
-0.41908 0.26372 0.32316 0.59128 0.22374 0.790
-0.41961 0.26405 0.32357 0.59202 0.22562 0.645
-0.42014 0.26439 0.32398 0.59277 0.22751 0.618
-0.42066 0.26472 0.32439 0.59352 0.22939 0.474
-0.42119 0.26505 0.32480 0.59426 0.23128 0.878
-0.42172 0.26539 0.32520 0.59501 0.23316 0.849
-0.42225 0.26572 0.32561 0.59576 0.23504 1.052
-0.42278 0.26605 0.32602 0.59650 0.23693 1.139
-0.42331 0.26639 0.32643 0.59725 0.23881 1.225
-0.42384 0.26672 0.32684 0.59800 0.24070 1.021
-0.42437 0.26705 0.32725 0.59875 0.24258 1.168
-0.42490 0.26738 0.32765 0.59949 0.24447 1.022
-0.42543 0.26772 0.32806 0.60024 0.24635 0.763
-0.42596 0.26805 0.32847 0.60099 0.24824 0.852
-0.42649 0.26838 0.32888 0.60174 0.25012 0.707
-0.42702 0.26872 0.32929 0.60248 0.25201 0.942
-0.42755 0.26905 0.32970 0.60323 0.25389 1.085
-0.42808 0.26938 0.33010 0.60398 0.25578 0.682
-0.42861 0.26972 0.33051 0.60472 0.25766 1.121
-0.42914 0.27005 0.33092 0.60547 0.25955 0.860
-0.42967 0.27038 0.33133 0.60622 0.26144 0.657
-0.43020 0.27072 0.33174 0.60697 0.26332 1.038
-0.43073 0.27105 0.33215 0.60771 0.26521 1.125
-0.43126 0.27139 0.33256 0.60846 0.26709 1.038
-0.43179 0.27172 0.33296 0.60921 0.26898 0.863
-0.43232 0.27205 0.33337 0.60996 0.27086 0.952
-0.43285 0.27239 0.33378 0.61070 0.27275 0.924
-0.43338 0.27272 0.33419 0.61145 0.27464 0.953
-0.43391 0.27305 0.33460 0.61220 0.27652 0.867
-0.43444 0.27339 0.33501 0.61295 0.27841 1.161
-0.43497 0.27372 0.33542 0.61370 0.28029 0.869
-0.43550 0.27405 0.33582 0.61444 0.28218 0.987
-0.43603 0.27439 0.33623 0.61519 0.28407 0.751
-0.43656 0.27472 0.33664 0.61594 0.28595 0.781
-0.43709 0.27505 0.33705 0.61669 0.28784 0.931
-0.43762 0.27539 0.33746 0.61743 0.28973 0.902
-0.43815 0.27572 0.33787 0.61818 0.29161 0.756
