x y z dist_scaled dist_frac absorption
-0.25895 0.04870 0.42779 0.50243 0.00000 0.071
-0.25934 0.04877 0.42842 0.50317 0.00188 0.075
-0.25972 0.04884 0.42906 0.50391 0.00375 0.223
-0.26010 0.04892 0.42969 0.50466 0.00563 -0.073
-0.26049 0.04899 0.43032 0.50540 0.00750 0.297
-0.26087 0.04906 0.43096 0.50615 0.00938 0.077
-0.26125 0.04913 0.43159 0.50689 0.01126 0.226
-0.26164 0.04920 0.43222 0.50763 0.01313 0.304
-0.26202 0.04928 0.43286 0.50838 0.01501 -0.062
-0.26241 0.04935 0.43349 0.50912 0.01689 0.233
-0.26279 0.04942 0.43413 0.50987 0.01876 -0.135
-0.26317 0.04949 0.43476 0.51061 0.02064 0.011
-0.26356 0.04956 0.43539 0.51136 0.02252 -0.423
-0.26394 0.04964 0.43603 0.51210 0.02440 -0.493
-0.26432 0.04971 0.43666 0.51285 0.02627 -0.524
-0.26471 0.04978 0.43729 0.51359 0.02815 -0.093
-0.26509 0.04985 0.43793 0.51433 0.03003 -0.524
-0.26547 0.04993 0.43856 0.51508 0.03190 -0.229
-0.26586 0.05000 0.43920 0.51582 0.03378 -0.034
-0.26624 0.05007 0.43983 0.51657 0.03566 -0.534
-0.26663 0.05014 0.44046 0.51731 0.03754 -0.019
-0.26701 0.05021 0.44110 0.51806 0.03941 -0.273
-0.26739 0.05029 0.44173 0.51880 0.04129 0.223
-0.26778 0.05036 0.44237 0.51955 0.04317 0.067
-0.26816 0.05043 0.44300 0.52029 0.04505 -0.532
-0.26855 0.05050 0.44363 0.52104 0.04692 0.333
-0.26893 0.05058 0.44427 0.52178 0.04880 -0.246
-0.26931 0.05065 0.44490 0.52253 0.05068 0.146
-0.26970 0.05072 0.44554 0.52327 0.05256 0.379
-0.27008 0.05079 0.44617 0.52401 0.05444 0.250
-0.27046 0.05086 0.44680 0.52476 0.05631 -0.097
-0.27085 0.05094 0.44744 0.52550 0.05819 -0.098
-0.27123 0.05101 0.44807 0.52625 0.06007 0.111
-0.27162 0.05108 0.44871 0.52699 0.06195 -0.232
-0.27200 0.05115 0.44934 0.52774 0.06383 -0.655
-0.27238 0.05123 0.44998 0.52848 0.06571 -0.299
-0.27277 0.05130 0.45061 0.52923 0.06758 0.050
-0.27315 0.05137 0.45124 0.52997 0.06946 -0.156
-0.27354 0.05144 0.45188 0.53072 0.07134 0.256
-0.27392 0.05151 0.45251 0.53146 0.07322 -0.155
-0.27430 0.05159 0.45315 0.53221 0.07510 -0.082
-0.27469 0.05166 0.45378 0.53295 0.07698 -0.153
-0.27507 0.05173 0.45442 0.53370 0.07886 -0.149
-0.27546 0.05180 0.45505 0.53445 0.08074 -0.355
-0.27584 0.05188 0.45569 0.53519 0.08261 -0.004
-0.27622 0.05195 0.45632 0.53594 0.08449 0.133
-0.27661 0.05202 0.45696 0.53668 0.08637 -0.488
-0.27699 0.05209 0.45759 0.53743 0.08825 -0.075
-0.27738 0.05216 0.45822 0.53817 0.09013 -0.070
-0.27776 0.05224 0.45886 0.53892 0.09201 0.269
-0.27815 0.05231 0.45949 0.53966 0.09389 -0.204
-0.27853 0.05238 0.46013 0.54041 0.09577 -0.073
-0.27891 0.05245 0.46076 0.54115 0.09765 0.134
-0.27930 0.05253 0.46140 0.54190 0.09953 0.072
-0.27968 0.05260 0.46203 0.54264 0.10141 0.208
-0.28007 0.05267 0.46267 0.54339 0.10329 -0.269
-0.28045 0.05274 0.46330 0.54414 0.10517 0.148
-0.28083 0.05281 0.46394 0.54488 0.10705 0.150
-0.28122 0.05289 0.46457 0.54563 0.10893 -0.190
-0.28160 0.05296 0.46521 0.54637 0.11081 0.289
-0.28199 0.05303 0.46584 0.54712 0.11269 -0.321
-0.28237 0.05310 0.46648 0.54786 0.11457 -0.252
-0.28276 0.05318 0.46711 0.54861 0.11645 0.155
-0.28314 0.05325 0.46775 0.54935 0.11833 0.021
-0.28353 0.05332 0.46838 0.55010 0.12021 -0.317
-0.28391 0.05339 0.46902 0.55085 0.12209 0.492
-0.28429 0.05346 0.46965 0.55159 0.12397 -0.046
-0.28468 0.05354 0.47029 0.55234 0.12585 0.294
-0.28506 0.05361 0.47092 0.55308 0.12773 0.089
-0.28545 0.05368 0.47156 0.55383 0.12961 0.157
-0.28583 0.05375 0.47219 0.55458 0.13149 0.228
-0.28622 0.05383 0.47283 0.55532 0.13337 0.234
-0.28660 0.05390 0.47346 0.55607 0.13526 -0.236
-0.28699 0.05397 0.47410 0.55681 0.13714 0.362
-0.28737 0.05404 0.47473 0.55756 0.13902 0.303
-0.28775 0.05412 0.47537 0.55831 0.14090 -0.031
-0.28814 0.05419 0.47600 0.55905 0.14278 0.370
-0.28852 0.05426 0.47664 0.55980 0.14466 -0.160
-0.28891 0.05433 0.47727 0.56054 0.14654 -0.295
-0.28929 0.05440 0.47791 0.56129 0.14842 -0.159
-0.28968 0.05448 0.47854 0.56204 0.15031 0.505
-0.29006 0.05455 0.47918 0.56278 0.15219 0.177
-0.29045 0.05462 0.47981 0.56353 0.15407 0.043
-0.29083 0.05469 0.48045 0.56428 0.15595 -0.021
-0.29122 0.05477 0.48109 0.56502 0.15783 0.643
-0.29160 0.05484 0.48172 0.56577 0.15971 -0.083
-0.29198 0.05491 0.48236 0.56651 0.16160 0.383
-0.29237 0.05498 0.48299 0.56726 0.16348 0.185
-0.29275 0.05506 0.48363 0.56801 0.16536 -0.080
-0.29314 0.05513 0.48426 0.56875 0.16724 -0.078
-0.29352 0.05520 0.48490 0.56950 0.16912 -0.201
-0.29391 0.05527 0.48553 0.57025 0.17101 -0.404
