x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.39071 -0.01095 0.31593 0.50258 0.00000 0.816 1236.115 0.01682
-0.39129 -0.01097 0.31640 0.50333 0.00188 1.013 1236.145 0.01684
-0.39187 -0.01098 0.31686 0.50407 0.00375 0.946 1236.175 0.01687
-0.39245 -0.01100 0.31733 0.50481 0.00563 0.978 1236.205 0.01689
-0.39303 -0.01102 0.31780 0.50556 0.00751 0.747 1236.235 0.01692
-0.39361 -0.01103 0.31827 0.50630 0.00938 0.812 1236.265 0.01694
-0.39418 -0.01105 0.31873 0.50705 0.01126 0.744 1236.295 0.01697
-0.39476 -0.01106 0.31920 0.50779 0.01313 1.237 1236.325 0.01699
-0.39534 -0.01108 0.31967 0.50853 0.01501 1.070 1236.355 0.01701
-0.39592 -0.01110 0.32014 0.50928 0.01689 1.102 1236.384 0.01704
-0.39650 -0.01111 0.32061 0.51002 0.01876 0.973 1236.414 0.01706
-0.39708 -0.01113 0.32107 0.51077 0.02064 0.677 1236.444 0.01709
-0.39765 -0.01115 0.32154 0.51151 0.02252 0.773 1236.474 0.01711
-0.39823 -0.01116 0.32201 0.51225 0.02440 0.937 1236.504 0.01714
-0.39881 -0.01118 0.32248 0.51300 0.02627 1.135 1236.534 0.01716
-0.39939 -0.01119 0.32294 0.51374 0.02815 1.034 1236.564 0.01719
-0.39997 -0.01121 0.32341 0.51449 0.03003 1.165 1236.594 0.01721
-0.40055 -0.01123 0.32388 0.51523 0.03190 0.837 1236.623 0.01724
-0.40113 -0.01124 0.32435 0.51597 0.03378 0.837 1236.653 0.01726
-0.40170 -0.01126 0.32482 0.51672 0.03566 1.129 1236.683 0.01729
-0.40228 -0.01128 0.32528 0.51746 0.03754 0.964 1236.713 0.01731
-0.40286 -0.01129 0.32575 0.51821 0.03941 0.932 1236.743 0.01733
-0.40344 -0.01131 0.32622 0.51895 0.04129 0.607 1236.773 0.01736
-0.40402 -0.01132 0.32669 0.51970 0.04317 1.029 1236.803 0.01738
-0.40460 -0.01134 0.32715 0.52044 0.04505 1.234 1236.833 0.01741
-0.40518 -0.01136 0.32762 0.52118 0.04692 1.005 1236.862 0.01743
-0.40575 -0.01137 0.32809 0.52193 0.04880 0.892 1236.892 0.01746
-0.40633 -0.01139 0.32856 0.52267 0.05068 0.803 1236.922 0.01748
-0.40691 -0.01141 0.32903 0.52342 0.05256 0.981 1236.952 0.01751
-0.40749 -0.01142 0.32949 0.52416 0.05444 1.178 1236.982 0.01753
-0.40807 -0.01144 0.32996 0.52491 0.05631 0.886 1237.012 0.01756
-0.40865 -0.01145 0.33043 0.52565 0.05819 1.163 1237.042 0.01758
-0.40923 -0.01147 0.33090 0.52640 0.06007 1.086 1237.072 0.01760
-0.40981 -0.01149 0.33137 0.52714 0.06195 1.288 1237.101 0.01763
-0.41038 -0.01150 0.33183 0.52788 0.06383 0.968 1237.131 0.01765
-0.41096 -0.01152 0.33230 0.52863 0.06571 1.271 1237.161 0.01768
-0.41154 -0.01154 0.33277 0.52937 0.06758 0.962 1237.191 0.01770
-0.41212 -0.01155 0.33324 0.53012 0.06946 0.966 1237.221 0.01773
