x y z dist_scaled dist_frac flux_norm
0.01668 0.15507 0.47777 0.50258 0.00000 0.906
0.01671 0.15530 0.47848 0.50333 0.00188 0.763
0.01673 0.15553 0.47918 0.50407 0.00375 0.948
0.01675 0.15576 0.47989 0.50481 0.00563 0.886
0.01678 0.15599 0.48060 0.50556 0.00751 0.907
0.01680 0.15622 0.48131 0.50630 0.00938 1.052
0.01683 0.15645 0.48201 0.50705 0.01126 0.888
0.01685 0.15668 0.48272 0.50779 0.01313 0.993
0.01688 0.15691 0.48343 0.50853 0.01501 0.848
0.01690 0.15714 0.48413 0.50928 0.01689 1.177
0.01693 0.15737 0.48484 0.51002 0.01876 0.746
0.01695 0.15759 0.48555 0.51077 0.02064 0.746
0.01698 0.15782 0.48626 0.51151 0.02252 0.911
0.01700 0.15805 0.48696 0.51225 0.02440 0.828
0.01703 0.15828 0.48767 0.51300 0.02627 1.281
0.01705 0.15851 0.48838 0.51374 0.02815 0.850
0.01708 0.15874 0.48909 0.51449 0.03003 1.057
0.01710 0.15897 0.48979 0.51523 0.03190 0.994
0.01713 0.15920 0.49050 0.51597 0.03378 1.181
0.01715 0.15943 0.49121 0.51672 0.03566 1.018
0.01717 0.15966 0.49192 0.51746 0.03754 0.873
0.01720 0.15989 0.49262 0.51821 0.03941 1.080
0.01722 0.16012 0.49333 0.51895 0.04129 1.000
0.01725 0.16035 0.49404 0.51970 0.04317 0.835
0.01727 0.16058 0.49475 0.52044 0.04505 1.063
0.01730 0.16081 0.49545 0.52118 0.04692 1.126
0.01732 0.16104 0.49616 0.52193 0.04880 0.733
0.01735 0.16127 0.49687 0.52267 0.05068 0.920
0.01737 0.16150 0.49758 0.52342 0.05256 0.899
0.01740 0.16173 0.49828 0.52416 0.05444 1.025
0.01742 0.16196 0.49899 0.52491 0.05631 0.984
0.01745 0.16219 0.49970 0.52565 0.05819 0.904
0.01747 0.16242 0.50041 0.52640 0.06007 0.649
0.01750 0.16265 0.50112 0.52714 0.06195 1.111
0.01752 0.16288 0.50182 0.52788 0.06383 1.130
0.01755 0.16311 0.50253 0.52863 0.06571 0.804
0.01757 0.16334 0.50324 0.52937 0.06758 0.848
0.01759 0.16357 0.50395 0.53012 0.06946 0.948
0.01762 0.16380 0.50465 0.53086 0.07134 1.171
0.01764 0.16403 0.50536 0.53161 0.07322 1.043
0.01767 0.16426 0.50607 0.53235 0.07510 0.806
0.01769 0.16449 0.50678 0.53310 0.07698 0.988
0.01772 0.16472 0.50749 0.53384 0.07886 0.902
0.01774 0.16494 0.50819 0.53459 0.08074 1.363
0.01777 0.16517 0.50890 0.53533 0.08261 1.092
0.01779 0.16540 0.50961 0.53608 0.08449 1.097
0.01782 0.16563 0.51032 0.53682 0.08637 1.002
0.01784 0.16586 0.51103 0.53757 0.08825 0.952
0.01787 0.16609 0.51174 0.53831 0.09013 1.000
0.01789 0.16632 0.51244 0.53906 0.09201 0.851
0.01792 0.16655 0.51315 0.53980 0.09389 0.977
0.01794 0.16678 0.51386 0.54055 0.09577 1.091
0.01797 0.16701 0.51457 0.54129 0.09765 0.911
