x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.19668 0.28699 0.36269 0.50258 0.00000 1.090 0.095 1236.115 0.01682
-0.19697 0.28741 0.36323 0.50333 0.00188 1.039 0.092 1236.145 0.01684
-0.19726 0.28784 0.36377 0.50407 0.00375 1.081 0.094 1236.175 0.01687
-0.19755 0.28826 0.36430 0.50481 0.00563 0.994 0.090 1236.205 0.01689
-0.19784 0.28869 0.36484 0.50556 0.00751 1.020 0.096 1236.235 0.01692
-0.19813 0.28911 0.36538 0.50630 0.00938 0.904 0.086 1236.265 0.01694
-0.19842 0.28954 0.36591 0.50705 0.01126 0.883 0.085 1236.295 0.01697
-0.19871 0.28996 0.36645 0.50779 0.01313 1.001 0.090 1236.325 0.01699
-0.19900 0.29039 0.36699 0.50853 0.01501 1.054 0.093 1236.355 0.01701
-0.19930 0.29081 0.36752 0.50928 0.01689 1.308 0.103 1236.384 0.01704
-0.19959 0.29124 0.36806 0.51002 0.01876 1.042 0.092 1236.414 0.01706
-0.19988 0.29166 0.36860 0.51077 0.02064 1.218 0.100 1236.444 0.01709
-0.20017 0.29209 0.36913 0.51151 0.02252 0.982 0.094 1236.474 0.01711
-0.20046 0.29251 0.36967 0.51225 0.02440 0.967 0.089 1236.504 0.01714
-0.20075 0.29294 0.37021 0.51300 0.02627 0.970 0.089 1236.534 0.01716
-0.20104 0.29336 0.37074 0.51374 0.02815 0.970 0.089 1236.564 0.01719
-0.20133 0.29379 0.37128 0.51449 0.03003 1.188 0.098 1236.594 0.01721
-0.20163 0.29421 0.37182 0.51523 0.03190 1.189 0.098 1236.623 0.01724
-0.20192 0.29464 0.37236 0.51597 0.03378 0.858 0.088 1236.653 0.01726
-0.20221 0.29506 0.37289 0.51672 0.03566 0.963 0.088 1236.683 0.01729
-0.20250 0.29549 0.37343 0.51746 0.03754 0.840 0.083 1236.713 0.01731
-0.20279 0.29591 0.37397 0.51821 0.03941 0.880 0.084 1236.743 0.01733
-0.20308 0.29634 0.37450 0.51895 0.04129 0.757 0.088 1236.773 0.01736
-0.20337 0.29676 0.37504 0.51970 0.04317 0.772 0.084 1236.803 0.01738
-0.20366 0.29719 0.37558 0.52044 0.04505 0.805 0.085 1236.833 0.01741
-0.20396 0.29761 0.37612 0.52118 0.04692 0.649 0.087 1236.862 0.01743
-0.20425 0.29804 0.37665 0.52193 0.04880 0.398 0.071 1236.892 0.01746
-0.20454 0.29846 0.37719 0.52267 0.05068 0.252 0.060 1236.922 0.01748
-0.20483 0.29889 0.37773 0.52342 0.05256 0.212 0.056 1236.952 0.01751
