x y z dist_scaled dist_frac absorption
-0.19661 0.28690 0.36258 0.50243 0.00000 -0.159
-0.19691 0.28732 0.36312 0.50317 0.00188 0.052
-0.19720 0.28775 0.36365 0.50391 0.00375 -0.020
-0.19749 0.28817 0.36419 0.50466 0.00563 -0.117
-0.19778 0.28860 0.36473 0.50540 0.00750 0.072
-0.19807 0.28902 0.36526 0.50615 0.00938 0.131
-0.19836 0.28945 0.36580 0.50689 0.01126 0.016
-0.19865 0.28987 0.36634 0.50763 0.01313 0.149
-0.19894 0.29030 0.36687 0.50838 0.01501 -0.042
-0.19924 0.29072 0.36741 0.50912 0.01689 -0.215
-0.19953 0.29115 0.36795 0.50987 0.01876 -0.175
-0.19982 0.29157 0.36849 0.51061 0.02064 -0.023
-0.20011 0.29200 0.36902 0.51136 0.02252 -0.163
-0.20040 0.29242 0.36956 0.51210 0.02440 0.173
-0.20069 0.29285 0.37010 0.51285 0.02627 -0.027
-0.20098 0.29327 0.37063 0.51359 0.02815 -0.023
-0.20127 0.29370 0.37117 0.51433 0.03003 -0.055
-0.20157 0.29412 0.37171 0.51508 0.03190 -0.142
-0.20186 0.29455 0.37225 0.51582 0.03378 0.054
-0.20215 0.29497 0.37278 0.51657 0.03566 0.020
-0.20244 0.29540 0.37332 0.51731 0.03754 0.148
-0.20273 0.29583 0.37386 0.51806 0.03941 0.101
-0.20302 0.29625 0.37440 0.51880 0.04129 0.246
-0.20331 0.29668 0.37493 0.51955 0.04317 0.254
-0.20361 0.29710 0.37547 0.52029 0.04505 0.152
-0.20390 0.29753 0.37601 0.52104 0.04692 0.376
-0.20419 0.29795 0.37655 0.52178 0.04880 0.417
-0.20448 0.29838 0.37708 0.52253 0.05068 0.689
-0.20477 0.29880 0.37762 0.52327 0.05256 0.808
-0.20506 0.29923 0.37816 0.52401 0.05444 0.824
-0.20535 0.29965 0.37870 0.52476 0.05631 0.559
-0.20565 0.30008 0.37923 0.52550 0.05819 0.543
-0.20594 0.30050 0.37977 0.52625 0.06007 0.495
-0.20623 0.30093 0.38031 0.52699 0.06195 0.232
-0.20652 0.30135 0.38085 0.52774 0.06383 -0.032
-0.20681 0.30178 0.38138 0.52848 0.06571 0.114
-0.20710 0.30221 0.38192 0.52923 0.06758 -0.118
-0.20740 0.30263 0.38246 0.52997 0.06946 0.042
-0.20769 0.30306 0.38300 0.53072 0.07134 0.074
-0.20798 0.30348 0.38353 0.53146 0.07322 0.073
-0.20827 0.30391 0.38407 0.53221 0.07510 -0.007
-0.20856 0.30433 0.38461 0.53295 0.07698 -0.006
-0.20885 0.30476 0.38515 0.53370 0.07886 -0.148
-0.20914 0.30518 0.38569 0.53445 0.08074 0.122
-0.20944 0.30561 0.38622 0.53519 0.08261 -0.053
-0.20973 0.30603 0.38676 0.53594 0.08449 0.012
-0.21002 0.30646 0.38730 0.53668 0.08637 0.091
-0.21031 0.30689 0.38784 0.53743 0.08825 0.003
-0.21060 0.30731 0.38837 0.53817 0.09013 -0.059
-0.21089 0.30774 0.38891 0.53892 0.09201 0.091
-0.21119 0.30816 0.38945 0.53966 0.09389 0.052
-0.21148 0.30859 0.38999 0.54041 0.09577 -0.011
-0.21177 0.30901 0.39053 0.54115 0.09765 0.020
-0.21206 0.30944 0.39106 0.54190 0.09953 0.124
-0.21235 0.30987 0.39160 0.54264 0.10141 -0.011
-0.21264 0.31029 0.39214 0.54339 0.10329 0.046
-0.21294 0.31072 0.39268 0.54414 0.10517 -0.001
-0.21323 0.31114 0.39322 0.54488 0.10705 0.078
-0.21352 0.31157 0.39375 0.54563 0.10893 -0.055
-0.21381 0.31199 0.39429 0.54637 0.11081 -0.033
-0.21410 0.31242 0.39483 0.54712 0.11269 -0.024
-0.21440 0.31285 0.39537 0.54786 0.11457 -0.228
-0.21469 0.31327 0.39591 0.54861 0.11645 0.049
-0.21498 0.31370 0.39644 0.54935 0.11833 0.073
-0.21527 0.31412 0.39698 0.55010 0.12021 -0.124
-0.21556 0.31455 0.39752 0.55085 0.12209 0.066
-0.21585 0.31497 0.39806 0.55159 0.12397 -0.099
-0.21615 0.31540 0.39860 0.55234 0.12585 -0.077
-0.21644 0.31583 0.39914 0.55308 0.12773 -0.099
-0.21673 0.31625 0.39967 0.55383 0.12961 0.090
-0.21702 0.31668 0.40021 0.55458 0.13149 0.131
-0.21731 0.31710 0.40075 0.55532 0.13337 0.034
-0.21761 0.31753 0.40129 0.55607 0.13526 0.248
-0.21790 0.31796 0.40183 0.55681 0.13714 0.027
-0.21819 0.31838 0.40237 0.55756 0.13902 0.060
-0.21848 0.31881 0.40290 0.55831 0.14090 0.060
-0.21877 0.31923 0.40344 0.55905 0.14278 0.210
-0.21907 0.31966 0.40398 0.55980 0.14466 0.194
-0.21936 0.32009 0.40452 0.56054 0.14654 0.321
-0.21965 0.32051 0.40506 0.56129 0.14842 0.518
-0.21994 0.32094 0.40560 0.56204 0.15031 0.573
-0.22023 0.32136 0.40614 0.56278 0.15219 0.614
-0.22053 0.32179 0.40667 0.56353 0.15407 0.786
-0.22082 0.32222 0.40721 0.56428 0.15595 0.794
-0.22111 0.32264 0.40775 0.56502 0.15783 0.872
-0.22140 0.32307 0.40829 0.56577 0.15971 0.794
-0.22169 0.32350 0.40883 0.56651 0.16160 0.747
-0.22199 0.32392 0.40937 0.56726 0.16348 0.558
-0.22228 0.32435 0.40991 0.56801 0.16536 0.448
-0.22257 0.32477 0.41044 0.56875 0.16724 0.424
-0.22286 0.32520 0.41098 0.56950 0.16912 0.196
-0.22315 0.32563 0.41152 0.57025 0.17101 0.166
-0.22345 0.32605 0.41206 0.57099 0.17289 0.181
-0.22374 0.32648 0.41260 0.57174 0.17477 0.198
-0.22403 0.32691 0.41314 0.57249 0.17665 0.121
-0.22432 0.32733 0.41368 0.57323 0.17854 0.056
-0.22462 0.32776 0.41422 0.57398 0.18042 0.088
-0.22491 0.32818 0.41475 0.57473 0.18230 -0.016
-0.22520 0.32861 0.41529 0.57547 0.18418 -0.005
-0.22549 0.32904 0.41583 0.57622 0.18607 -0.075
-0.22578 0.32946 0.41637 0.57697 0.18795 0.122
-0.22608 0.32989 0.41691 0.57771 0.18983 -0.039
-0.22637 0.33032 0.41745 0.57846 0.19172 0.166
-0.22666 0.33074 0.41799 0.57921 0.19360 0.046
-0.22695 0.33117 0.41853 0.57995 0.19548 0.030
-0.22725 0.33160 0.41907 0.58070 0.19737 0.126
-0.22754 0.33202 0.41960 0.58145 0.19925 -0.067
-0.22783 0.33245 0.42014 0.58219 0.20113 0.072
-0.22812 0.33288 0.42068 0.58294 0.20302 0.227
-0.22841 0.33330 0.42122 0.58369 0.20490 -0.003
-0.22871 0.33373 0.42176 0.58443 0.20678 -0.143
-0.22900 0.33416 0.42230 0.58518 0.20867 -0.045
-0.22929 0.33458 0.42284 0.58593 0.21055 0.043
-0.22958 0.33501 0.42338 0.58668 0.21243 0.140
-0.22988 0.33544 0.42392 0.58742 0.21432 0.093
-0.23017 0.33586 0.42446 0.58817 0.21620 0.031
-0.23046 0.33629 0.42500 0.58892 0.21809 0.102
-0.23075 0.33672 0.42553 0.58966 0.21997 -0.148
-0.23105 0.33714 0.42607 0.59041 0.22185 0.119
-0.23134 0.33757 0.42661 0.59116 0.22374 0.118
-0.23163 0.33800 0.42715 0.59191 0.22562 0.064
-0.23192 0.33842 0.42769 0.59265 0.22751 0.017
-0.23222 0.33885 0.42823 0.59340 0.22939 -0.076
-0.23251 0.33928 0.42877 0.59415 0.23127 -0.092
-0.23280 0.33970 0.42931 0.59490 0.23316 0.008
-0.23309 0.34013 0.42985 0.59564 0.23504 -0.045
-0.23339 0.34056 0.43039 0.59639 0.23693 -0.013
-0.23368 0.34098 0.43093 0.59714 0.23881 -0.162
-0.23397 0.34141 0.43147 0.59789 0.24070 0.017
-0.23426 0.34184 0.43201 0.59863 0.24258 -0.045
-0.23456 0.34226 0.43255 0.59938 0.24447 0.182
-0.23485 0.34269 0.43309 0.60013 0.24635 0.089
-0.23514 0.34312 0.43363 0.60088 0.24824 -0.089
-0.23543 0.34354 0.43416 0.60162 0.25012 -0.089
-0.23573 0.34397 0.43470 0.60237 0.25201 -0.183
-0.23602 0.34440 0.43524 0.60312 0.25389 0.059
-0.23631 0.34482 0.43578 0.60387 0.25578 0.074
-0.23660 0.34525 0.43632 0.60461 0.25766 0.014
-0.23690 0.34568 0.43686 0.60536 0.25955 0.082
-0.23719 0.34611 0.43740 0.60611 0.26143 -0.128
-0.23748 0.34653 0.43794 0.60686 0.26332 -0.003
-0.23777 0.34696 0.43848 0.60760 0.26521 0.028
-0.23807 0.34739 0.43902 0.60835 0.26709 0.090
-0.23836 0.34781 0.43956 0.60910 0.26898 -0.026
-0.23865 0.34824 0.44010 0.60985 0.27086 -0.025
-0.23894 0.34867 0.44064 0.61060 0.27275 0.122
-0.23924 0.34910 0.44118 0.61134 0.27463 -0.080
-0.23953 0.34952 0.44172 0.61209 0.27652 0.014
-0.23982 0.34995 0.44226 0.61284 0.27841 0.105
-0.24012 0.35038 0.44280 0.61359 0.28029 0.253
-0.24041 0.35080 0.44334 0.61434 0.28218 0.060
-0.24070 0.35123 0.44388 0.61508 0.28407 0.378
-0.24099 0.35166 0.44442 0.61583 0.28595 0.502
-0.24129 0.35209 0.44496 0.61658 0.28784 0.679
-0.24158 0.35251 0.44550 0.61733 0.28972 0.718
-0.24187 0.35294 0.44604 0.61808 0.29161 0.849
-0.24217 0.35337 0.44658 0.61883 0.29350 0.833
-0.24246 0.35379 0.44712 0.61957 0.29538 0.864
-0.24275 0.35422 0.44766 0.62032 0.29727 0.702
-0.24304 0.35465 0.44820 0.62107 0.29916 0.578
-0.24334 0.35508 0.44874 0.62182 0.30105 0.540
-0.24363 0.35550 0.44928 0.62257 0.30293 0.408
-0.24392 0.35593 0.44982 0.62332 0.30482 0.231
-0.24422 0.35636 0.45036 0.62406 0.30671 0.062
-0.24451 0.35679 0.45090 0.62481 0.30859 0.068
-0.24480 0.35721 0.45144 0.62556 0.31048 -0.116
-0.24509 0.35764 0.45198 0.62631 0.31237 0.177
-0.24539 0.35807 0.45252 0.62706 0.31426 -0.031
-0.24568 0.35850 0.45306 0.62781 0.31614 0.024
-0.24597 0.35892 0.45360 0.62855 0.31803 0.038
-0.24627 0.35935 0.45414 0.62930 0.31992 -0.015
-0.24656 0.35978 0.45468 0.63005 0.32181 -0.145
-0.24685 0.36021 0.45522 0.63080 0.32369 -0.014
-0.24714 0.36063 0.45576 0.63155 0.32558 -0.005
-0.24744 0.36106 0.45630 0.63230 0.32747 0.033
-0.24773 0.36149 0.45684 0.63305 0.32936 0.065
-0.24802 0.36192 0.45738 0.63380 0.33125 0.250
-0.24832 0.36234 0.45792 0.63454 0.33313 0.035
-0.24861 0.36277 0.45846 0.63529 0.33502 0.227
-0.24890 0.36320 0.45900 0.63604 0.33691 0.026
-0.24920 0.36363 0.45954 0.63679 0.33880 0.097
