x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.08657 0.04126 0.49335 0.50258 0.00000 12.870 61.556 1236.115 0.01682
-0.08669 0.04132 0.49408 0.50333 0.00188 12.776 67.229 1236.145 0.01684
-0.08682 0.04138 0.49481 0.50407 0.00375 13.125 73.251 1236.175 0.01687
-0.08695 0.04144 0.49554 0.50481 0.00563 -7.648 74.709 1236.205 0.01689
-0.08708 0.04150 0.49627 0.50556 0.00751 37.853 94.102 1236.235 0.01692
-0.08721 0.04157 0.49700 0.50630 0.00938 -9.551 92.410 1236.265 0.01694
-0.08734 0.04163 0.49773 0.50705 0.01126 -10.153 104.608 1236.295 0.01697
-0.08746 0.04169 0.49846 0.50779 0.01313 57.083 136.966 1236.325 0.01699
-0.08759 0.04175 0.49919 0.50853 0.01501 -14.119 141.325 1236.355 0.01701
-0.08772 0.04181 0.49992 0.50928 0.01689 -15.560 170.828 1236.384 0.01704
-0.08785 0.04187 0.50065 0.51002 0.01876 -19.257 215.284 1236.414 0.01706
-0.08798 0.04193 0.50138 0.51077 0.02064 -23.757 289.910 1236.444 0.01709
-0.08810 0.04199 0.50211 0.51151 0.02252 -38.295 441.161 1236.474 0.01711
-0.08823 0.04205 0.50284 0.51225 0.02440 190.825 980.554 1236.504 0.01714
-0.08836 0.04212 0.50357 0.51300 0.02627 1633.722 -16846.275 1236.534 0.01716
-0.08849 0.04218 0.50430 0.51374 0.02815 -152.733 -886.886 1236.564 0.01719
-0.08862 0.04224 0.50503 0.51449 0.03003 46.306 -428.501 1236.594 0.01721
-0.08874 0.04230 0.50576 0.51523 0.03190 28.099 -289.720 1236.623 0.01724
-0.08887 0.04236 0.50649 0.51597 0.03378 84.966 -201.436 1236.653 0.01726
-0.08900 0.04242 0.50722 0.51672 0.03566 67.772 -162.484 1236.683 0.01729
-0.08913 0.04248 0.50796 0.51746 0.03754 -73.962 -170.423 1236.713 0.01731
-0.08926 0.04254 0.50869 0.51821 0.03941 -29.393 -136.858 1236.743 0.01733
-0.08939 0.04260 0.50942 0.51895 0.04129 6.270 -112.994 1236.773 0.01736
-0.08951 0.04267 0.51015 0.51970 0.04317 -24.774 -108.764 1236.803 0.01738
-0.08964 0.04273 0.51088 0.52044 0.04505 3.517 -91.566 1236.833 0.01741
-0.08977 0.04279 0.51161 0.52118 0.04692 -21.410 -90.123 1236.862 0.01743
-0.08990 0.04285 0.51234 0.52193 0.04880 24.281 -70.922 1236.892 0.01746
-0.09003 0.04291 0.51307 0.52267 0.05068 1.439 -71.767 1236.922 0.01748
-0.09016 0.04297 0.51380 0.52342 0.05256 21.360 -61.546 1236.952 0.01751
-0.09028 0.04303 0.51453 0.52416 0.05444 20.421 -57.797 1236.982 0.01753
-0.09041 0.04309 0.51526 0.52491 0.05631 -14.406 -63.902 1237.012 0.01756
