x y z dist_scaled dist_frac flux_norm wavelength redshift
0.21238 0.06825 0.45046 0.50267 0.00000 0.601 1236.119 0.01682
0.21270 0.06835 0.45113 0.50342 0.00188 0.685 1236.149 0.01685
0.21301 0.06845 0.45180 0.50416 0.00376 0.788 1236.179 0.01687
0.21332 0.06856 0.45246 0.50491 0.00564 0.918 1236.209 0.01690
0.21364 0.06866 0.45313 0.50565 0.00752 0.883 1236.239 0.01692
0.21395 0.06876 0.45380 0.50639 0.00940 0.910 1236.269 0.01694
0.21427 0.06886 0.45446 0.50714 0.01128 1.016 1236.299 0.01697
0.21458 0.06896 0.45513 0.50788 0.01316 1.110 1236.328 0.01699
0.21490 0.06906 0.45580 0.50863 0.01504 0.969 1236.358 0.01702
0.21521 0.06916 0.45646 0.50937 0.01692 1.013 1236.388 0.01704
0.21553 0.06926 0.45713 0.51012 0.01880 0.888 1236.418 0.01707
0.21584 0.06936 0.45780 0.51086 0.02068 1.032 1236.448 0.01709
0.21615 0.06946 0.45847 0.51160 0.02256 1.132 1236.478 0.01712
0.21647 0.06957 0.45913 0.51235 0.02444 0.907 1236.508 0.01714
0.21678 0.06967 0.45980 0.51309 0.02632 1.029 1236.538 0.01717
0.21710 0.06977 0.46047 0.51384 0.02820 1.021 1236.568 0.01719
0.21741 0.06987 0.46113 0.51458 0.03008 0.982 1236.597 0.01721
0.21773 0.06997 0.46180 0.51533 0.03196 0.969 1236.627 0.01724
0.21804 0.07007 0.46247 0.51607 0.03385 1.012 1236.657 0.01726
0.21836 0.07017 0.46314 0.51682 0.03573 1.056 1236.687 0.01729
0.21867 0.07027 0.46380 0.51756 0.03761 0.977 1236.717 0.01731
0.21899 0.07037 0.46447 0.51831 0.03949 1.032 1236.747 0.01734
0.21930 0.07048 0.46514 0.51905 0.04137 1.019 1236.777 0.01736
0.21962 0.07058 0.46581 0.51979 0.04325 1.085 1236.807 0.01739
0.21993 0.07068 0.46647 0.52054 0.04513 1.034 1236.837 0.01741
0.22024 0.07078 0.46714 0.52128 0.04701 1.033 1236.866 0.01744
0.22056 0.07088 0.46781 0.52203 0.04890 1.011 1236.896 0.01746
0.22087 0.07098 0.46847 0.52277 0.05078 1.032 1236.926 0.01749
0.22119 0.07108 0.46914 0.52352 0.05266 1.053 1236.956 0.01751
0.22150 0.07118 0.46981 0.52426 0.05454 0.942 1236.986 0.01753
0.22182 0.07128 0.47048 0.52501 0.05642 1.039 1237.016 0.01756
0.22213 0.07139 0.47114 0.52575 0.05830 1.049 1237.046 0.01758
0.22245 0.07149 0.47181 0.52650 0.06019 1.016 1237.076 0.01761
0.22276 0.07159 0.47248 0.52724 0.06207 0.933 1237.106 0.01763
0.22308 0.07169 0.47315 0.52799 0.06395 1.037 1237.135 0.01766
0.22339 0.07179 0.47381 0.52873 0.06583 0.870 1237.165 0.01768
0.22371 0.07189 0.47448 0.52948 0.06771 0.919 1237.195 0.01771
0.22402 0.07199 0.47515 0.53022 0.06960 0.923 1237.225 0.01773
0.22434 0.07209 0.47582 0.53097 0.07148 0.988 1237.255 0.01776
0.22465 0.07220 0.47649 0.53171 0.07336 1.085 1237.285 0.01778
0.22497 0.07230 0.47715 0.53246 0.07524 1.003 1237.315 0.01780
0.22528 0.07240 0.47782 0.53320 0.07713 1.045 1237.345 0.01783
0.22560 0.07250 0.47849 0.53395 0.07901 1.011 1237.375 0.01785
0.22591 0.07260 0.47916 0.53469 0.08089 1.005 1237.405 0.01788
0.22622 0.07270 0.47982 0.53544 0.08277 1.048 1237.434 0.01790
0.22654 0.07280 0.48049 0.53618 0.08466 1.122 1237.464 0.01793
0.22685 0.07290 0.48116 0.53693 0.08654 0.889 1237.494 0.01795
0.22717 0.07300 0.48183 0.53767 0.08842 0.937 1237.524 0.01798
0.22748 0.07311 0.48250 0.53842 0.09030 0.931 1237.554 0.01800
0.22780 0.07321 0.48316 0.53917 0.09219 1.039 1237.584 0.01803
0.22811 0.07331 0.48383 0.53991 0.09407 0.839 1237.614 0.01805
0.22843 0.07341 0.48450 0.54066 0.09595 0.909 1237.644 0.01808
0.22874 0.07351 0.48517 0.54140 0.09784 1.108 1237.674 0.01810
0.22906 0.07361 0.48584 0.54215 0.09972 0.864 1237.703 0.01812
0.22937 0.07371 0.48650 0.54289 0.10160 1.046 1237.733 0.01815
0.22969 0.07381 0.48717 0.54364 0.10349 0.986 1237.763 0.01817
0.23000 0.07392 0.48784 0.54438 0.10537 0.953 1237.793 0.01820
0.23032 0.07402 0.48851 0.54513 0.10725 0.920 1237.823 0.01822
0.23063 0.07412 0.48918 0.54587 0.10914 0.989 1237.853 0.01825
0.23095 0.07422 0.48984 0.54662 0.11102 0.865 1237.883 0.01827
0.23126 0.07432 0.49051 0.54737 0.11290 0.875 1237.913 0.01830
0.23158 0.07442 0.49118 0.54811 0.11479 0.959 1237.943 0.01832
0.23189 0.07452 0.49185 0.54886 0.11667 0.990 1237.972 0.01835
0.23221 0.07462 0.49252 0.54960 0.11856 0.894 1238.002 0.01837
0.23252 0.07473 0.49319 0.55035 0.12044 0.930 1238.032 0.01840
0.23284 0.07483 0.49385 0.55109 0.12232 0.839 1238.062 0.01842
0.23315 0.07493 0.49452 0.55184 0.12421 0.753 1238.092 0.01844
0.23347 0.07503 0.49519 0.55259 0.12609 0.896 1238.122 0.01847
0.23379 0.07513 0.49586 0.55333 0.12798 1.018 1238.152 0.01849
0.23410 0.07523 0.49653 0.55408 0.12986 1.002 1238.182 0.01852
0.23442 0.07533 0.49720 0.55482 0.13175 0.953 1238.212 0.01854
0.23473 0.07543 0.49786 0.55557 0.13363 0.926 1238.242 0.01857
0.23505 0.07554 0.49853 0.55632 0.13551 1.021 1238.271 0.01859
0.23536 0.07564 0.49920 0.55706 0.13740 0.909 1238.301 0.01862
0.23568 0.07574 0.49987 0.55781 0.13928 0.977 1238.331 0.01864
0.23599 0.07584 0.50054 0.55855 0.14117 0.882 1238.361 0.01867
0.23631 0.07594 0.50121 0.55930 0.14305 0.960 1238.391 0.01869
0.23662 0.07604 0.50188 0.56005 0.14494 0.943 1238.421 0.01871
0.23694 0.07614 0.50254 0.56079 0.14682 0.948 1238.451 0.01874
0.23725 0.07624 0.50321 0.56154 0.14871 0.874 1238.481 0.01876
0.23757 0.07635 0.50388 0.56229 0.15059 0.757 1238.511 0.01879
0.23788 0.07645 0.50455 0.56303 0.15248 0.830 1238.540 0.01881
0.23820 0.07655 0.50522 0.56378 0.15436 0.930 1238.570 0.01884
0.23851 0.07665 0.50589 0.56452 0.15625 0.881 1238.600 0.01886
0.23883 0.07675 0.50656 0.56527 0.15813 0.923 1238.630 0.01889
0.23914 0.07685 0.50723 0.56602 0.16002 0.802 1238.660 0.01891
0.23946 0.07695 0.50789 0.56676 0.16191 0.959 1238.690 0.01894
0.23977 0.07706 0.50856 0.56751 0.16379 0.674 1238.720 0.01896
0.24009 0.07716 0.50923 0.56826 0.16568 0.900 1238.750 0.01899
