x y z dist_scaled dist_frac flux_norm
-0.32871 0.09448 0.36825 0.50258 0.00000 0.982
-0.32920 0.09462 0.36880 0.50333 0.00188 0.936
-0.32969 0.09476 0.36934 0.50407 0.00375 0.961
-0.33017 0.09490 0.36989 0.50481 0.00563 1.002
-0.33066 0.09504 0.37043 0.50556 0.00751 1.067
-0.33114 0.09518 0.37098 0.50630 0.00938 0.876
-0.33163 0.09532 0.37152 0.50705 0.01126 1.021
-0.33212 0.09546 0.37207 0.50779 0.01313 1.000
-0.33260 0.09560 0.37261 0.50853 0.01501 0.993
-0.33309 0.09574 0.37316 0.50928 0.01689 0.951
-0.33358 0.09588 0.37370 0.51002 0.01876 0.984
-0.33406 0.09602 0.37425 0.51077 0.02064 0.972
-0.33455 0.09616 0.37479 0.51151 0.02252 0.918
-0.33504 0.09630 0.37534 0.51225 0.02440 1.005
-0.33552 0.09644 0.37588 0.51300 0.02627 1.080
-0.33601 0.09658 0.37643 0.51374 0.02815 0.887
-0.33650 0.09672 0.37697 0.51449 0.03003 0.962
-0.33698 0.09686 0.37752 0.51523 0.03190 0.925
-0.33747 0.09700 0.37807 0.51597 0.03378 0.904
-0.33796 0.09714 0.37861 0.51672 0.03566 0.991
-0.33844 0.09728 0.37916 0.51746 0.03754 0.923
-0.33893 0.09742 0.37970 0.51821 0.03941 1.041
-0.33942 0.09756 0.38025 0.51895 0.04129 1.029
-0.33991 0.09770 0.38079 0.51970 0.04317 0.985
-0.34039 0.09784 0.38134 0.52044 0.04505 0.888
-0.34088 0.09798 0.38188 0.52118 0.04692 0.926
-0.34137 0.09812 0.38243 0.52193 0.04880 0.988
-0.34185 0.09826 0.38297 0.52267 0.05068 0.964
-0.34234 0.09840 0.38352 0.52342 0.05256 0.807
-0.34283 0.09854 0.38406 0.52416 0.05444 1.038
-0.34331 0.09868 0.38461 0.52491 0.05631 0.990
-0.34380 0.09882 0.38516 0.52565 0.05819 0.875
-0.34429 0.09896 0.38570 0.52640 0.06007 1.000
-0.34477 0.09910 0.38625 0.52714 0.06195 1.009
-0.34526 0.09924 0.38679 0.52788 0.06383 0.985
-0.34575 0.09938 0.38734 0.52863 0.06571 1.012
-0.34624 0.09952 0.38788 0.52937 0.06758 0.881
-0.34672 0.09966 0.38843 0.53012 0.06946 1.032
-0.34721 0.09980 0.38898 0.53086 0.07134 1.087
-0.34770 0.09994 0.38952 0.53161 0.07322 1.026
-0.34818 0.10008 0.39007 0.53235 0.07510 1.080
-0.34867 0.10022 0.39061 0.53310 0.07698 0.954
-0.34916 0.10036 0.39116 0.53384 0.07886 1.061
-0.34965 0.10050 0.39170 0.53459 0.08074 0.989
-0.35013 0.10064 0.39225 0.53533 0.08261 0.931
-0.35062 0.10078 0.39280 0.53608 0.08449 1.030
-0.35111 0.10092 0.39334 0.53682 0.08637 1.089
-0.35159 0.10106 0.39389 0.53757 0.08825 1.035
-0.35208 0.10120 0.39443 0.53831 0.09013 1.045
-0.35257 0.10134 0.39498 0.53906 0.09201 0.962
-0.35306 0.10148 0.39552 0.53980 0.09389 1.024
-0.35354 0.10162 0.39607 0.54055 0.09577 0.930
-0.35403 0.10176 0.39662 0.54129 0.09765 1.010
-0.35452 0.10190 0.39716 0.54204 0.09953 0.983
-0.35501 0.10204 0.39771 0.54278 0.10141 0.978
-0.35549 0.10218 0.39825 0.54353 0.10329 1.025
-0.35598 0.10232 0.39880 0.54427 0.10517 0.882
-0.35647 0.10246 0.39935 0.54502 0.10705 1.027
-0.35696 0.10260 0.39989 0.54576 0.10893 1.032
-0.35744 0.10274 0.40044 0.54651 0.11081 0.987
-0.35793 0.10288 0.40098 0.54725 0.11269 1.067
-0.35842 0.10302 0.40153 0.54800 0.11457 0.981
-0.35891 0.10316 0.40208 0.54874 0.11645 1.054
-0.35939 0.10330 0.40262 0.54949 0.11833 0.957
-0.35988 0.10344 0.40317 0.55024 0.12021 1.002
-0.36037 0.10358 0.40372 0.55098 0.12209 0.928
-0.36086 0.10372 0.40426 0.55173 0.12397 0.983
-0.36134 0.10386 0.40481 0.55247 0.12585 1.031
-0.36183 0.10400 0.40535 0.55322 0.12773 0.985
-0.36232 0.10414 0.40590 0.55396 0.12961 0.985
-0.36281 0.10428 0.40645 0.55471 0.13149 0.899
-0.36329 0.10442 0.40699 0.55545 0.13338 0.974
-0.36378 0.10456 0.40754 0.55620 0.13526 0.995
-0.36427 0.10470 0.40809 0.55695 0.13714 0.980
-0.36476 0.10484 0.40863 0.55769 0.13902 0.979
-0.36524 0.10498 0.40918 0.55844 0.14090 0.899
-0.36573 0.10512 0.40973 0.55918 0.14278 0.849
-0.36622 0.10526 0.41027 0.55993 0.14466 0.864
-0.36671 0.10540 0.41082 0.56067 0.14654 0.886
-0.36720 0.10554 0.41136 0.56142 0.14843 0.863
-0.36768 0.10568 0.41191 0.56217 0.15031 0.866
-0.36817 0.10582 0.41246 0.56291 0.15219 0.865
-0.36866 0.10596 0.41300 0.56366 0.15407 0.767
-0.36915 0.10610 0.41355 0.56440 0.15595 0.804
-0.36963 0.10624 0.41410 0.56515 0.15783 0.758
-0.37012 0.10638 0.41464 0.56590 0.15972 0.842
-0.37061 0.10653 0.41519 0.56664 0.16160 0.845
-0.37110 0.10667 0.41574 0.56739 0.16348 0.949
-0.37159 0.10681 0.41628 0.56813 0.16536 0.936
-0.37207 0.10695 0.41683 0.56888 0.16724 0.903
-0.37256 0.10709 0.41738 0.56963 0.16913 0.944
-0.37305 0.10723 0.41792 0.57037 0.17101 0.935
-0.37354 0.10737 0.41847 0.57112 0.17289 0.956
-0.37403 0.10751 0.41902 0.57186 0.17477 1.099
