x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.15814 0.36007 0.31293 0.50258 0.00000 1.182 0.155 1236.115 0.01682
-0.15838 0.36061 0.31340 0.50333 0.00188 1.324 0.163 1236.145 0.01684
-0.15861 0.36114 0.31386 0.50407 0.00375 1.150 0.163 1236.175 0.01687
-0.15885 0.36167 0.31432 0.50481 0.00563 0.932 0.150 1236.205 0.01689
-0.15908 0.36220 0.31478 0.50556 0.00751 1.088 0.160 1236.235 0.01692
-0.15932 0.36274 0.31525 0.50630 0.00938 1.010 0.155 1236.265 0.01694
-0.15955 0.36327 0.31571 0.50705 0.01126 1.088 0.159 1236.295 0.01697
-0.15978 0.36380 0.31617 0.50779 0.01313 0.899 0.148 1236.325 0.01699
-0.16002 0.36434 0.31664 0.50853 0.01501 1.088 0.159 1236.355 0.01701
-0.16025 0.36487 0.31710 0.50928 0.01689 1.057 0.158 1236.384 0.01704
-0.16049 0.36540 0.31756 0.51002 0.01876 1.104 0.160 1236.414 0.01706
-0.16072 0.36594 0.31803 0.51077 0.02064 1.293 0.161 1236.444 0.01709
-0.16095 0.36647 0.31849 0.51151 0.02252 1.025 0.156 1236.474 0.01711
-0.16119 0.36700 0.31895 0.51225 0.02440 0.993 0.153 1236.504 0.01714
-0.16142 0.36753 0.31942 0.51300 0.02627 0.914 0.149 1236.534 0.01716
-0.16166 0.36807 0.31988 0.51374 0.02815 0.915 0.149 1236.564 0.01719
-0.16189 0.36860 0.32034 0.51449 0.03003 0.978 0.152 1236.594 0.01721
-0.16212 0.36913 0.32081 0.51523 0.03190 0.820 0.142 1236.623 0.01724
-0.16236 0.36967 0.32127 0.51597 0.03378 0.976 0.152 1236.653 0.01726
-0.16259 0.37020 0.32173 0.51672 0.03566 0.975 0.152 1236.683 0.01729
-0.16283 0.37073 0.32220 0.51746 0.03754 0.726 0.136 1236.713 0.01731
-0.16306 0.37127 0.32266 0.51821 0.03941 0.881 0.146 1236.743 0.01733
-0.16330 0.37180 0.32312 0.51895 0.04129 0.911 0.148 1236.773 0.01736
-0.16353 0.37233 0.32359 0.51970 0.04317 0.834 0.143 1236.803 0.01738
-0.16376 0.37287 0.32405 0.52044 0.04505 0.960 0.151 1236.833 0.01741
-0.16400 0.37340 0.32451 0.52118 0.04692 0.818 0.142 1236.862 0.01743
-0.16423 0.37393 0.32498 0.52193 0.04880 0.912 0.148 1236.892 0.01746
-0.16447 0.37447 0.32544 0.52267 0.05068 0.803 0.141 1236.922 0.01748
-0.16470 0.37500 0.32590 0.52342 0.05256 0.973 0.152 1236.952 0.01751
-0.16494 0.37553 0.32637 0.52416 0.05444 0.740 0.137 1236.982 0.01753
-0.16517 0.37607 0.32683 0.52491 0.05631 1.161 0.163 1237.012 0.01756
-0.16540 0.37660 0.32730 0.52565 0.05819 0.956 0.151 1237.042 0.01758
-0.16564 0.37713 0.32776 0.52640 0.06007 1.082 0.158 1237.072 0.01760
-0.16587 0.37767 0.32822 0.52714 0.06195 1.021 0.155 1237.101 0.01763
-0.16611 0.37820 0.32869 0.52788 0.06383 0.956 0.151 1237.131 0.01765
-0.16634 0.37873 0.32915 0.52863 0.06571 0.972 0.152 1237.161 0.01768
-0.16658 0.37927 0.32961 0.52937 0.06758 0.940 0.150 1237.191 0.01770
-0.16681 0.37980 0.33008 0.53012 0.06946 0.987 0.153 1237.221 0.01773
-0.16704 0.38034 0.33054 0.53086 0.07134 0.924 0.148 1237.251 0.01775
-0.16728 0.38087 0.33100 0.53161 0.07322 1.126 0.161 1237.281 0.01778
-0.16751 0.38140 0.33147 0.53235 0.07510 1.126 0.161 1237.311 0.01780
-0.16775 0.38194 0.33193 0.53310 0.07698 1.095 0.159 1237.341 0.01783
-0.16798 0.38247 0.33240 0.53384 0.07886 0.907 0.148 1237.370 0.01785
-0.16822 0.38300 0.33286 0.53459 0.08074 1.108 0.150 1237.400 0.01788
-0.16845 0.38354 0.33332 0.53533 0.08261 0.923 0.148 1237.430 0.01790
-0.16868 0.38407 0.33379 0.53608 0.08449 0.783 0.139 1237.460 0.01792
-0.16892 0.38460 0.33425 0.53682 0.08637 1.030 0.155 1237.490 0.01795
-0.16915 0.38514 0.33472 0.53757 0.08825 1.170 0.163 1237.520 0.01797
-0.16939 0.38567 0.33518 0.53831 0.09013 1.108 0.159 1237.550 0.01800
-0.16962 0.38621 0.33564 0.53906 0.09201 0.876 0.145 1237.580 0.01802
-0.16986 0.38674 0.33611 0.53980 0.09389 1.000 0.153 1237.609 0.01805
-0.17009 0.38727 0.33657 0.54055 0.09577 1.168 0.163 1237.639 0.01807
-0.17033 0.38781 0.33703 0.54129 0.09765 1.355 0.163 1237.669 0.01810
-0.17056 0.38834 0.33750 0.54204 0.09953 0.967 0.151 1237.699 0.01812
-0.17079 0.38887 0.33796 0.54278 0.10141 1.198 0.164 1237.729 0.01815
-0.17103 0.38941 0.33843 0.54353 0.10329 0.950 0.150 1237.759 0.01817
-0.17126 0.38994 0.33889 0.54427 0.10517 1.044 0.155 1237.789 0.01819
-0.17150 0.39048 0.33935 0.54502 0.10705 0.657 0.130 1237.819 0.01822
-0.17173 0.39101 0.33982 0.54576 0.10893 0.843 0.143 1237.848 0.01824
-0.17197 0.39154 0.34028 0.54651 0.11081 1.197 0.164 1237.878 0.01827
-0.17220 0.39208 0.34075 0.54725 0.11269 1.166 0.162 1237.908 0.01829
-0.17244 0.39261 0.34121 0.54800 0.11457 0.981 0.151 1237.938 0.01832
-0.17267 0.39315 0.34168 0.54874 0.11645 0.995 0.152 1237.968 0.01834
-0.17291 0.39368 0.34214 0.54949 0.11833 1.056 0.156 1237.998 0.01837
-0.17314 0.39421 0.34260 0.55024 0.12021 1.010 0.153 1238.028 0.01839
-0.17337 0.39475 0.34307 0.55098 0.12209 0.855 0.143 1238.058 0.01842
-0.17361 0.39528 0.34353 0.55173 0.12397 1.133 0.150 1238.087 0.01844
-0.17384 0.39582 0.34400 0.55247 0.12585 0.839 0.142 1238.117 0.01847
-0.17408 0.39635 0.34446 0.55322 0.12773 0.993 0.152 1238.147 0.01849
-0.17431 0.39688 0.34492 0.55396 0.12961 0.977 0.151 1238.177 0.01851
-0.17455 0.39742 0.34539 0.55471 0.13149 0.977 0.151 1238.207 0.01854
-0.17478 0.39795 0.34585 0.55545 0.13338 0.777 0.138 1238.237 0.01856
-0.17502 0.39849 0.34632 0.55620 0.13526 0.746 0.136 1238.267 0.01859
-0.17525 0.39902 0.34678 0.55695 0.13714 0.931 0.148 1238.297 0.01861
-0.17549 0.39956 0.34725 0.55769 0.13902 0.929 0.148 1238.327 0.01864
-0.17572 0.40009 0.34771 0.55844 0.14090 0.761 0.137 1238.356 0.01866
-0.17596 0.40062 0.34817 0.55918 0.14278 0.929 0.148 1238.386 0.01869
-0.17619 0.40116 0.34864 0.55993 0.14466 0.976 0.150 1238.416 0.01871
-0.17642 0.40169 0.34910 0.56067 0.14654 0.975 0.150 1238.446 0.01874
-0.17666 0.40223 0.34957 0.56142 0.14843 0.807 0.140 1238.476 0.01876
-0.17689 0.40276 0.35003 0.56217 0.15031 0.913 0.146 1238.506 0.01878
-0.17713 0.40330 0.35050 0.56291 0.15219 0.883 0.145 1238.536 0.01881
-0.17736 0.40383 0.35096 0.56366 0.15407 1.020 0.153 1238.566 0.01883
-0.17760 0.40437 0.35143 0.56440 0.15595 0.973 0.150 1238.595 0.01886
-0.17783 0.40490 0.35189 0.56515 0.15783 0.912 0.146 1238.625 0.01888
-0.17807 0.40543 0.35235 0.56590 0.15972 1.049 0.155 1238.655 0.01891
-0.17830 0.40597 0.35282 0.56664 0.16160 1.079 0.156 1238.685 0.01893
-0.17854 0.40650 0.35328 0.56739 0.16348 1.048 0.155 1238.715 0.01896
-0.17877 0.40704 0.35375 0.56813 0.16536 0.912 0.146 1238.745 0.01898
-0.17901 0.40757 0.35421 0.56888 0.16724 0.788 0.138 1238.775 0.01901
-0.17924 0.40811 0.35468 0.56963 0.16913 0.742 0.135 1238.805 0.01903
-0.17948 0.40864 0.35514 0.57037 0.17101 0.879 0.144 1238.834 0.01905
-0.17971 0.40918 0.35561 0.57112 0.17289 0.741 0.135 1238.864 0.01908
-0.17995 0.40971 0.35607 0.57186 0.17477 0.740 0.135 1238.894 0.01910
-0.18018 0.41025 0.35654 0.57261 0.17665 1.062 0.145 1238.924 0.01913
-0.18042 0.41078 0.35700 0.57336 0.17854 0.849 0.142 1238.954 0.01915
-0.18065 0.41131 0.35746 0.57410 0.18042 1.105 0.157 1238.984 0.01918
-0.18088 0.41185 0.35793 0.57485 0.18230 0.923 0.146 1239.014 0.01920
-0.18112 0.41238 0.35839 0.57560 0.18419 1.082 0.156 1239.044 0.01923
-0.18135 0.41292 0.35886 0.57634 0.18607 1.154 0.160 1239.073 0.01925
-0.18159 0.41345 0.35932 0.57709 0.18795 0.983 0.150 1239.103 0.01928
-0.18182 0.41399 0.35979 0.57784 0.18983 1.164 0.160 1239.133 0.01930
-0.18206 0.41452 0.36025 0.57858 0.19172 0.918 0.145 1239.163 0.01933
-0.18229 0.41506 0.36072 0.57933 0.19360 0.945 0.147 1239.193 0.01935
-0.18253 0.41559 0.36118 0.58007 0.19548 0.989 0.151 1239.223 0.01937
-0.18276 0.41613 0.36165 0.58082 0.19737 1.190 0.143 1239.253 0.01940
-0.18300 0.41666 0.36211 0.58157 0.19925 1.165 0.160 1239.283 0.01942
-0.18323 0.41720 0.36258 0.58231 0.20113 0.885 0.143 1239.313 0.01945
-0.18347 0.41773 0.36304 0.58306 0.20302 0.810 0.138 1239.342 0.01947
-0.18370 0.41827 0.36351 0.58381 0.20490 1.024 0.152 1239.372 0.01950
-0.18394 0.41880 0.36397 0.58455 0.20678 0.873 0.143 1239.402 0.01952
-0.18417 0.41934 0.36444 0.58530 0.20867 0.920 0.145 1239.432 0.01955
-0.18441 0.41987 0.36490 0.58605 0.21055 1.032 0.153 1239.462 0.01957
-0.18464 0.42041 0.36537 0.58679 0.21243 0.887 0.144 1239.492 0.01960
-0.18488 0.42094 0.36583 0.58754 0.21432 0.993 0.150 1239.522 0.01962
-0.18511 0.42148 0.36630 0.58829 0.21620 1.097 0.156 1239.552 0.01964
-0.18535 0.42201 0.36676 0.58904 0.21809 1.052 0.154 1239.581 0.01967
-0.18558 0.42255 0.36723 0.58978 0.21997 0.975 0.149 1239.611 0.01969
-0.18582 0.42308 0.36769 0.59053 0.22185 1.066 0.155 1239.641 0.01972
-0.18605 0.42362 0.36816 0.59128 0.22374 1.008 0.151 1239.671 0.01974
-0.18629 0.42415 0.36862 0.59202 0.22562 0.824 0.139 1239.701 0.01977
-0.18652 0.42469 0.36909 0.59277 0.22751 0.884 0.143 1239.731 0.01979
-0.18676 0.42522 0.36955 0.59352 0.22939 0.944 0.147 1239.761 0.01982
-0.18699 0.42576 0.37002 0.59426 0.23128 0.823 0.139 1239.791 0.01984
-0.18723 0.42629 0.37048 0.59501 0.23316 1.183 0.161 1239.820 0.01987
-0.18746 0.42683 0.37095 0.59576 0.23504 1.033 0.152 1239.850 0.01989
-0.18770 0.42736 0.37141 0.59650 0.23693 0.853 0.141 1239.880 0.01992
-0.18793 0.42790 0.37188 0.59725 0.23881 1.244 0.164 1239.910 0.01994
-0.18817 0.42843 0.37234 0.59800 0.24070 0.760 0.134 1239.940 0.01996
-0.18840 0.42897 0.37281 0.59875 0.24258 0.851 0.141 1239.970 0.01999
