x y z dist_scaled dist_frac absorption
-0.15810 0.35996 0.31283 0.50243 0.00000 0.016
-0.15833 0.36049 0.31330 0.50317 0.00188 -0.231
-0.15856 0.36103 0.31376 0.50391 0.00375 -0.060
-0.15880 0.36156 0.31422 0.50466 0.00563 -0.214
-0.15903 0.36209 0.31469 0.50540 0.00750 0.110
-0.15927 0.36263 0.31515 0.50615 0.00938 -0.153
-0.15950 0.36316 0.31561 0.50689 0.01126 0.017
-0.15973 0.36369 0.31608 0.50763 0.01313 0.251
-0.15997 0.36423 0.31654 0.50838 0.01501 -0.292
-0.16020 0.36476 0.31700 0.50912 0.01689 0.095
-0.16044 0.36529 0.31747 0.50987 0.01876 -0.123
-0.16067 0.36583 0.31793 0.51061 0.02064 -0.324
-0.16091 0.36636 0.31840 0.51136 0.02252 -0.090
-0.16114 0.36689 0.31886 0.51210 0.02440 0.127
-0.16137 0.36743 0.31932 0.51285 0.02627 0.128
-0.16161 0.36796 0.31979 0.51359 0.02815 -0.075
-0.16184 0.36849 0.32025 0.51433 0.03003 0.033
-0.16208 0.36903 0.32071 0.51508 0.03190 0.143
-0.16231 0.36956 0.32118 0.51582 0.03378 0.065
-0.16255 0.37009 0.32164 0.51657 0.03566 0.205
-0.16278 0.37063 0.32210 0.51731 0.03754 -0.040
-0.16301 0.37116 0.32257 0.51806 0.03941 0.298
-0.16325 0.37169 0.32303 0.51880 0.04129 0.144
-0.16348 0.37223 0.32349 0.51955 0.04317 0.146
-0.16372 0.37276 0.32396 0.52029 0.04505 -0.025
-0.16395 0.37329 0.32442 0.52104 0.04692 0.237
-0.16419 0.37383 0.32489 0.52178 0.04880 0.006
-0.16442 0.37436 0.32535 0.52253 0.05068 0.237
-0.16465 0.37489 0.32581 0.52327 0.05256 0.145
-0.16489 0.37543 0.32628 0.52401 0.05444 0.161
-0.16512 0.37596 0.32674 0.52476 0.05631 -0.118
-0.16536 0.37650 0.32720 0.52550 0.05819 0.161
-0.16559 0.37703 0.32767 0.52625 0.06007 -0.116
-0.16583 0.37756 0.32813 0.52699 0.06195 -0.148
-0.16606 0.37810 0.32860 0.52774 0.06383 0.208
-0.16630 0.37863 0.32906 0.52848 0.06571 0.055
-0.16653 0.37916 0.32952 0.52923 0.06758 0.055
-0.16676 0.37970 0.32999 0.52997 0.06946 0.071
-0.16700 0.38023 0.33045 0.53072 0.07134 0.056
-0.16723 0.38077 0.33092 0.53146 0.07322 -0.144
-0.16747 0.38130 0.33138 0.53221 0.07510 0.071
-0.16770 0.38183 0.33184 0.53295 0.07698 -0.205
-0.16794 0.38237 0.33231 0.53370 0.07886 0.041
-0.16817 0.38290 0.33277 0.53445 0.08074 0.181
-0.16841 0.38344 0.33324 0.53519 0.08261 -0.249
-0.16864 0.38397 0.33370 0.53594 0.08449 0.335
-0.16887 0.38450 0.33416 0.53668 0.08637 0.011
-0.16911 0.38504 0.33463 0.53743 0.08825 -0.065
-0.16934 0.38557 0.33509 0.53817 0.09013 -0.202
-0.16958 0.38610 0.33556 0.53892 0.09201 0.013
-0.16981 0.38664 0.33602 0.53966 0.09389 -0.018
-0.17005 0.38717 0.33648 0.54041 0.09577 0.090
-0.17028 0.38771 0.33695 0.54115 0.09765 -0.247
-0.17052 0.38824 0.33741 0.54190 0.09953 -0.215
-0.17075 0.38878 0.33788 0.54264 0.10141 -0.017
-0.17099 0.38931 0.33834 0.54339 0.10329 -0.106
-0.17122 0.38984 0.33880 0.54414 0.10517 -0.047
-0.17145 0.39038 0.33927 0.54488 0.10705 0.214
-0.17169 0.39091 0.33973 0.54563 0.10893 0.259
-0.17192 0.39145 0.34020 0.54637 0.11081 -0.032
-0.17216 0.39198 0.34066 0.54712 0.11269 -0.030
-0.17239 0.39251 0.34113 0.54786 0.11457 -0.091
-0.17263 0.39305 0.34159 0.54861 0.11645 0.062
