x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.29651 0.11979 0.38771 0.50258 0.00000 0.940 0.202 1236.115 0.01682
0.29695 0.11997 0.38829 0.50333 0.00188 1.218 0.223 1236.145 0.01684
0.29739 0.12014 0.38886 0.50407 0.00375 1.239 0.225 1236.175 0.01687
0.29782 0.12032 0.38944 0.50481 0.00563 0.893 0.198 1236.205 0.01689
0.29826 0.12050 0.39001 0.50556 0.00751 0.739 0.187 1236.235 0.01692
0.29870 0.12067 0.39058 0.50630 0.00938 1.084 0.214 1236.265 0.01694
0.29914 0.12085 0.39116 0.50705 0.01126 1.248 0.226 1236.295 0.01697
0.29958 0.12103 0.39173 0.50779 0.01313 0.973 0.206 1236.325 0.01699
0.30002 0.12121 0.39231 0.50853 0.01501 1.013 0.210 1236.355 0.01701
0.30046 0.12138 0.39288 0.50928 0.01689 0.984 0.208 1236.384 0.01704
0.30090 0.12156 0.39345 0.51002 0.01876 1.186 0.222 1236.414 0.01706
0.30134 0.12174 0.39403 0.51077 0.02064 0.810 0.193 1236.444 0.01709
0.30177 0.12192 0.39460 0.51151 0.02252 0.857 0.197 1236.474 0.01711
0.30221 0.12209 0.39518 0.51225 0.02440 1.107 0.217 1236.504 0.01714
0.30265 0.12227 0.39575 0.51300 0.02627 0.732 0.187 1236.534 0.01716
0.30309 0.12245 0.39632 0.51374 0.02815 1.057 0.213 1236.564 0.01719
0.30353 0.12263 0.39690 0.51449 0.03003 1.187 0.222 1236.594 0.01721
0.30397 0.12280 0.39747 0.51523 0.03190 1.083 0.214 1236.623 0.01724
0.30441 0.12298 0.39805 0.51597 0.03378 1.281 0.229 1236.653 0.01726
0.30485 0.12316 0.39862 0.51672 0.03566 1.184 0.222 1236.683 0.01729
0.30529 0.12333 0.39919 0.51746 0.03754 1.481 0.242 1236.713 0.01731
0.30573 0.12351 0.39977 0.51821 0.03941 1.260 0.227 1236.743 0.01733
0.30617 0.12369 0.40034 0.51895 0.04129 0.934 0.203 1236.773 0.01736
0.30660 0.12387 0.40092 0.51970 0.04317 0.782 0.190 1236.803 0.01738
0.30704 0.12404 0.40149 0.52044 0.04505 1.109 0.216 1236.833 0.01741
0.30748 0.12422 0.40206 0.52118 0.04692 0.982 0.206 1236.862 0.01743
0.30792 0.12440 0.40264 0.52193 0.04880 0.883 0.199 1236.892 0.01746
0.30836 0.12458 0.40321 0.52267 0.05068 0.910 0.200 1236.922 0.01748
0.30880 0.12475 0.40379 0.52342 0.05256 1.015 0.208 1236.952 0.01751
0.30924 0.12493 0.40436 0.52416 0.05444 0.936 0.202 1236.982 0.01753
0.30968 0.12511 0.40494 0.52491 0.05631 1.131 0.216 1237.012 0.01756
0.31012 0.12529 0.40551 0.52565 0.05819 1.205 0.221 1237.042 0.01758
0.31056 0.12546 0.40609 0.52640 0.06007 0.516 0.164 1237.072 0.01760
0.31100 0.12564 0.40666 0.52714 0.06195 1.304 0.228 1237.101 0.01763
0.31144 0.12582 0.40723 0.52788 0.06383 1.359 0.233 1237.131 0.01765
0.31187 0.12600 0.40781 0.52863 0.06571 0.831 0.192 1237.161 0.01768
0.31231 0.12617 0.40838 0.52937 0.06758 1.278 0.226 1237.191 0.01770
0.31275 0.12635 0.40896 0.53012 0.06946 0.914 0.200 1237.221 0.01773
0.31319 0.12653 0.40953 0.53086 0.07134 0.895 0.198 1237.251 0.01775
0.31363 0.12671 0.41011 0.53161 0.07322 0.804 0.189 1237.281 0.01778
0.31407 0.12688 0.41068 0.53235 0.07510 0.829 0.191 1237.311 0.01780
0.31451 0.12706 0.41126 0.53310 0.07698 0.860 0.196 1237.341 0.01783
0.31495 0.12724 0.41183 0.53384 0.07886 0.933 0.199 1237.370 0.01785
0.31539 0.12742 0.41240 0.53459 0.08074 1.085 0.211 1237.400 0.01788
0.31583 0.12759 0.41298 0.53533 0.08261 0.859 0.193 1237.430 0.01790
0.31627 0.12777 0.41355 0.53608 0.08449 1.080 0.212 1237.460 0.01792
0.31671 0.12795 0.41413 0.53682 0.08637 0.729 0.184 1237.490 0.01795
0.31715 0.12813 0.41470 0.53757 0.08825 0.997 0.205 1237.520 0.01797
0.31759 0.12830 0.41528 0.53831 0.09013 0.917 0.199 1237.550 0.01800
0.31803 0.12848 0.41585 0.53906 0.09201 1.186 0.220 1237.580 0.01802
0.31847 0.12866 0.41643 0.53980 0.09389 0.974 0.205 1237.609 0.01805
0.31891 0.12884 0.41700 0.54055 0.09577 0.875 0.196 1237.639 0.01807
0.31935 0.12901 0.41758 0.54129 0.09765 0.998 0.205 1237.669 0.01810
