x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.10483 0.03091 0.49055 0.50258 0.00000 1.122 0.092 1236.115 0.01682
-0.10499 0.03096 0.49128 0.50333 0.00188 0.914 0.083 1236.145 0.01684
-0.10514 0.03100 0.49201 0.50407 0.00375 1.153 0.093 1236.175 0.01687
-0.10530 0.03105 0.49273 0.50481 0.00563 1.071 0.090 1236.205 0.01689
-0.10545 0.03109 0.49346 0.50556 0.00751 1.064 0.090 1236.235 0.01692
-0.10561 0.03114 0.49418 0.50630 0.00938 1.090 0.091 1236.265 0.01694
-0.10576 0.03119 0.49491 0.50705 0.01126 1.019 0.088 1236.295 0.01697
-0.10592 0.03123 0.49564 0.50779 0.01313 1.009 0.087 1236.325 0.01699
-0.10608 0.03128 0.49636 0.50853 0.01501 1.031 0.088 1236.355 0.01701
-0.10623 0.03132 0.49709 0.50928 0.01689 1.031 0.088 1236.384 0.01704
-0.10639 0.03137 0.49781 0.51002 0.01876 0.895 0.082 1236.414 0.01706
-0.10654 0.03141 0.49854 0.51077 0.02064 0.827 0.079 1236.444 0.01709
-0.10670 0.03146 0.49927 0.51151 0.02252 0.971 0.086 1236.474 0.01711
-0.10685 0.03151 0.49999 0.51225 0.02440 0.986 0.086 1236.504 0.01714
-0.10701 0.03155 0.50072 0.51300 0.02627 1.048 0.089 1236.534 0.01716
-0.10716 0.03160 0.50145 0.51374 0.02815 0.986 0.086 1236.564 0.01719
-0.10732 0.03164 0.50217 0.51449 0.03003 0.843 0.080 1236.594 0.01721
-0.10747 0.03169 0.50290 0.51523 0.03190 1.062 0.090 1236.623 0.01724
-0.10763 0.03173 0.50363 0.51597 0.03378 0.994 0.087 1236.653 0.01726
-0.10778 0.03178 0.50435 0.51672 0.03566 1.063 0.090 1236.683 0.01729
-0.10794 0.03183 0.50508 0.51746 0.03754 1.259 0.098 1236.713 0.01731
-0.10809 0.03187 0.50580 0.51821 0.03941 0.881 0.082 1236.743 0.01733
-0.10825 0.03192 0.50653 0.51895 0.04129 1.062 0.090 1236.773 0.01736
-0.10840 0.03196 0.50726 0.51970 0.04317 1.002 0.087 1236.803 0.01738
-0.10856 0.03201 0.50798 0.52044 0.04505 1.091 0.091 1236.833 0.01741
-0.10871 0.03206 0.50871 0.52118 0.04692 0.963 0.085 1236.862 0.01743
-0.10887 0.03210 0.50944 0.52193 0.04880 0.941 0.084 1236.892 0.01746
-0.10902 0.03215 0.51016 0.52267 0.05068 1.000 0.087 1236.922 0.01748
-0.10918 0.03219 0.51089 0.52342 0.05256 0.879 0.082 1236.952 0.01751
-0.10933 0.03224 0.51162 0.52416 0.05444 0.933 0.084 1236.982 0.01753
-0.10949 0.03228 0.51234 0.52491 0.05631 0.789 0.077 1237.012 0.01756
-0.10965 0.03233 0.51307 0.52565 0.05819 0.872 0.081 1237.042 0.01758
-0.10980 0.03238 0.51380 0.52640 0.06007 1.023 0.088 1237.072 0.01760
-0.10996 0.03242 0.51452 0.52714 0.06195 0.894 0.082 1237.101 0.01763
-0.11011 0.03247 0.51525 0.52788 0.06383 0.948 0.085 1237.131 0.01765
-0.11027 0.03251 0.51598 0.52863 0.06571 0.849 0.080 1237.161 0.01768
-0.11042 0.03256 0.51670 0.52937 0.06758 0.948 0.085 1237.191 0.01770
-0.11058 0.03260 0.51743 0.53012 0.06946 0.934 0.084 1237.221 0.01773
-0.11073 0.03265 0.51816 0.53086 0.07134 0.964 0.085 1237.251 0.01775
-0.11089 0.03270 0.51889 0.53161 0.07322 0.994 0.087 1237.281 0.01778
-0.11104 0.03274 0.51961 0.53235 0.07510 0.896 0.082 1237.311 0.01780
-0.11120 0.03279 0.52034 0.53310 0.07698 0.858 0.081 1237.341 0.01783
-0.11135 0.03283 0.52107 0.53384 0.07886 1.167 0.094 1237.370 0.01785
-0.11151 0.03288 0.52179 0.53459 0.08074 1.000 0.087 1237.400 0.01788
-0.11167 0.03293 0.52252 0.53533 0.08261 0.826 0.083 1237.430 0.01790
-0.11182 0.03297 0.52325 0.53608 0.08449 1.061 0.090 1237.460 0.01792
-0.11198 0.03302 0.52397 0.53682 0.08637 0.804 0.078 1237.490 0.01795
-0.11213 0.03306 0.52470 0.53757 0.08825 0.925 0.084 1237.520 0.01797
-0.11229 0.03311 0.52543 0.53831 0.09013 0.978 0.086 1237.550 0.01800
-0.11244 0.03315 0.52616 0.53906 0.09201 1.053 0.089 1237.580 0.01802
-0.11260 0.03320 0.52688 0.53980 0.09389 0.925 0.084 1237.609 0.01805
-0.11275 0.03325 0.52761 0.54055 0.09577 1.068 0.090 1237.639 0.01807
-0.11291 0.03329 0.52834 0.54129 0.09765 0.796 0.078 1237.669 0.01810
-0.11306 0.03334 0.52907 0.54204 0.09953 0.993 0.087 1237.699 0.01812
-0.11322 0.03338 0.52979 0.54278 0.10141 0.984 0.086 1237.729 0.01815
-0.11337 0.03343 0.53052 0.54353 0.10329 0.924 0.084 1237.759 0.01817
-0.11353 0.03348 0.53125 0.54427 0.10517 0.953 0.085 1237.789 0.01819
-0.11369 0.03352 0.53197 0.54502 0.10705 0.902 0.083 1237.819 0.01822
-0.11384 0.03357 0.53270 0.54576 0.10893 0.955 0.085 1237.848 0.01824
-0.11400 0.03361 0.53343 0.54651 0.11081 0.902 0.083 1237.878 0.01827
-0.11415 0.03366 0.53416 0.54725 0.11269 1.025 0.088 1237.908 0.01829
-0.11431 0.03370 0.53488 0.54800 0.11457 0.943 0.084 1237.938 0.01832
-0.11446 0.03375 0.53561 0.54874 0.11645 1.055 0.089 1237.968 0.01834
-0.11462 0.03380 0.53634 0.54949 0.11833 0.913 0.083 1237.998 0.01837
-0.11477 0.03384 0.53707 0.55024 0.12021 1.028 0.088 1238.028 0.01839
-0.11493 0.03389 0.53779 0.55098 0.12209 0.929 0.084 1238.058 0.01842
-0.11508 0.03393 0.53852 0.55173 0.12397 1.248 0.097 1238.087 0.01844
-0.11524 0.03398 0.53925 0.55247 0.12585 1.149 0.093 1238.117 0.01847
-0.11540 0.03403 0.53998 0.55322 0.12773 0.926 0.084 1238.147 0.01849
-0.11555 0.03407 0.54071 0.55396 0.12961 0.963 0.085 1238.177 0.01851
-0.11571 0.03412 0.54143 0.55471 0.13149 1.030 0.088 1238.207 0.01854
-0.11586 0.03416 0.54216 0.55545 0.13338 1.098 0.091 1238.237 0.01856
-0.11602 0.03421 0.54289 0.55620 0.13526 0.995 0.087 1238.267 0.01859
-0.11617 0.03425 0.54362 0.55695 0.13714 0.931 0.084 1238.297 0.01861
-0.11633 0.03430 0.54434 0.55769 0.13902 0.998 0.087 1238.327 0.01864
-0.11648 0.03435 0.54507 0.55844 0.14090 1.111 0.092 1238.356 0.01866
-0.11664 0.03439 0.54580 0.55918 0.14278 0.872 0.081 1238.386 0.01869
-0.11680 0.03444 0.54653 0.55993 0.14466 0.976 0.086 1238.416 0.01871
-0.11695 0.03448 0.54726 0.56067 0.14654 0.900 0.087 1238.446 0.01874
-0.11711 0.03453 0.54798 0.56142 0.14843 0.781 0.077 1238.476 0.01876
-0.11726 0.03458 0.54871 0.56217 0.15031 0.894 0.082 1238.506 0.01878
-0.11742 0.03462 0.54944 0.56291 0.15219 1.010 0.087 1238.536 0.01881
-0.11757 0.03467 0.55017 0.56366 0.15407 1.037 0.088 1238.566 0.01883
-0.11773 0.03471 0.55090 0.56440 0.15595 1.023 0.088 1238.595 0.01886
-0.11788 0.03476 0.55162 0.56515 0.15783 0.919 0.083 1238.625 0.01888
-0.11804 0.03481 0.55235 0.56590 0.15972 0.809 0.078 1238.655 0.01891
-0.11820 0.03485 0.55308 0.56664 0.16160 0.772 0.076 1238.685 0.01893
-0.11835 0.03490 0.55381 0.56739 0.16348 0.939 0.084 1238.715 0.01896
-0.11851 0.03494 0.55454 0.56813 0.16536 1.000 0.087 1238.745 0.01898
-0.11866 0.03499 0.55527 0.56888 0.16724 0.791 0.077 1238.775 0.01901
-0.11882 0.03503 0.55599 0.56963 0.16913 0.755 0.080 1238.805 0.01903
-0.11897 0.03508 0.55672 0.57037 0.17101 0.984 0.086 1238.834 0.01905
-0.11913 0.03513 0.55745 0.57112 0.17289 1.080 0.090 1238.864 0.01908
-0.11929 0.03517 0.55818 0.57186 0.17477 1.026 0.088 1238.894 0.01910
-0.11944 0.03522 0.55891 0.57261 0.17665 0.852 0.080 1238.924 0.01913
-0.11960 0.03526 0.55964 0.57336 0.17854 0.977 0.086 1238.954 0.01915
-0.11975 0.03531 0.56036 0.57410 0.18042 0.948 0.085 1238.984 0.01918
-0.11991 0.03536 0.56109 0.57485 0.18230 0.945 0.084 1239.014 0.01920
-0.12006 0.03540 0.56182 0.57560 0.18419 0.911 0.083 1239.044 0.01923
-0.12022 0.03545 0.56255 0.57634 0.18607 0.914 0.083 1239.073 0.01925
-0.12038 0.03549 0.56328 0.57709 0.18795 1.082 0.090 1239.103 0.01928
-0.12053 0.03554 0.56401 0.57784 0.18983 0.808 0.078 1239.133 0.01930
-0.12069 0.03559 0.56473 0.57858 0.19172 0.853 0.080 1239.163 0.01933
-0.12084 0.03563 0.56546 0.57933 0.19360 1.016 0.088 1239.193 0.01935
-0.12100 0.03568 0.56619 0.58007 0.19548 1.026 0.088 1239.223 0.01937
-0.12115 0.03572 0.56692 0.58082 0.19737 0.952 0.085 1239.253 0.01940
-0.12131 0.03577 0.56765 0.58157 0.19925 0.944 0.084 1239.283 0.01942
-0.12147 0.03582 0.56838 0.58231 0.20113 1.027 0.088 1239.313 0.01945
-0.12162 0.03586 0.56911 0.58306 0.20302 0.975 0.086 1239.342 0.01947
-0.12178 0.03591 0.56984 0.58381 0.20490 1.088 0.091 1239.372 0.01950
-0.12193 0.03595 0.57056 0.58455 0.20678 1.036 0.088 1239.402 0.01952
-0.12209 0.03600 0.57129 0.58530 0.20867 1.013 0.087 1239.432 0.01955
-0.12224 0.03604 0.57202 0.58605 0.21055 0.899 0.082 1239.462 0.01957
-0.12240 0.03609 0.57275 0.58679 0.21243 1.027 0.088 1239.492 0.01960
-0.12256 0.03614 0.57348 0.58754 0.21432 0.983 0.086 1239.522 0.01962
-0.12271 0.03618 0.57421 0.58829 0.21620 0.990 0.086 1239.552 0.01964
-0.12287 0.03623 0.57494 0.58904 0.21809 1.037 0.088 1239.581 0.01967
-0.12302 0.03627 0.57567 0.58978 0.21997 1.053 0.089 1239.611 0.01969
-0.12318 0.03632 0.57640 0.59053 0.22185 1.075 0.090 1239.641 0.01972
-0.12333 0.03637 0.57712 0.59128 0.22374 1.097 0.091 1239.671 0.01974
-0.12349 0.03641 0.57785 0.59202 0.22562 0.871 0.081 1239.701 0.01977
-0.12365 0.03646 0.57858 0.59277 0.22751 0.848 0.080 1239.731 0.01979
-0.12380 0.03650 0.57931 0.59352 0.22939 1.134 0.092 1239.761 0.01982
-0.12396 0.03655 0.58004 0.59426 0.23128 0.924 0.083 1239.791 0.01984
-0.12411 0.03660 0.58077 0.59501 0.23316 0.962 0.085 1239.820 0.01987
-0.12427 0.03664 0.58150 0.59576 0.23504 1.006 0.087 1239.850 0.01989
-0.12443 0.03669 0.58223 0.59650 0.23693 1.045 0.089 1239.880 0.01992
-0.12458 0.03673 0.58296 0.59725 0.23881 0.984 0.086 1239.910 0.01994
-0.12474 0.03678 0.58369 0.59800 0.24070 1.091 0.091 1239.940 0.01996
-0.12489 0.03683 0.58442 0.59875 0.24258 1.015 0.087 1239.970 0.01999
-0.12505 0.03687 0.58515 0.59949 0.24447 1.000 0.087 1240.000 0.02001
-0.12520 0.03692 0.58588 0.60024 0.24635 0.985 0.086 1240.030 0.02004
-0.12536 0.03696 0.58660 0.60099 0.24824 0.931 0.084 1240.059 0.02006
-0.12552 0.03701 0.58733 0.60174 0.25012 1.157 0.093 1240.089 0.02009
-0.12567 0.03706 0.58806 0.60248 0.25201 0.849 0.080 1240.119 0.02011
-0.12583 0.03710 0.58879 0.60323 0.25389 0.931 0.084 1240.149 0.02014
-0.12598 0.03715 0.58952 0.60398 0.25578 0.887 0.086 1240.179 0.02016
-0.12614 0.03719 0.59025 0.60472 0.25766 0.909 0.083 1240.209 0.02019
-0.12630 0.03724 0.59098 0.60547 0.25955 1.119 0.092 1240.239 0.02021
-0.12645 0.03729 0.59171 0.60622 0.26144 0.954 0.085 1240.269 0.02023
-0.12661 0.03733 0.59244 0.60697 0.26332 1.021 0.088 1240.299 0.02026
-0.12676 0.03738 0.59317 0.60771 0.26521 1.006 0.087 1240.328 0.02028
-0.12692 0.03742 0.59390 0.60846 0.26709 0.969 0.085 1240.358 0.02031
-0.12708 0.03747 0.59463 0.60921 0.26898 0.990 0.086 1240.388 0.02033
-0.12723 0.03752 0.59536 0.60996 0.27086 0.961 0.085 1240.418 0.02036
-0.12739 0.03756 0.59609 0.61070 0.27275 0.951 0.085 1240.448 0.02038
-0.12754 0.03761 0.59682 0.61145 0.27464 1.006 0.087 1240.478 0.02041
-0.12770 0.03765 0.59755 0.61220 0.27652 1.036 0.088 1240.508 0.02043
-0.12785 0.03770 0.59828 0.61295 0.27841 0.967 0.085 1240.538 0.02046
-0.12801 0.03775 0.59901 0.61370 0.28029 0.870 0.081 1240.567 0.02048
-0.12817 0.03779 0.59974 0.61444 0.28218 1.112 0.091 1240.597 0.02050
-0.12832 0.03784 0.60047 0.61519 0.28407 0.946 0.084 1240.627 0.02053
-0.12848 0.03788 0.60120 0.61594 0.28595 1.051 0.089 1240.657 0.02055
-0.12863 0.03793 0.60193 0.61669 0.28784 1.044 0.089 1240.687 0.02058
-0.12879 0.03798 0.60266 0.61743 0.28973 0.878 0.081 1240.717 0.02060
-0.12895 0.03802 0.60339 0.61818 0.29161 1.112 0.091 1240.747 0.02063
-0.12910 0.03807 0.60412 0.61893 0.29350 0.983 0.086 1240.777 0.02065
-0.12926 0.03811 0.60485 0.61968 0.29539 0.978 0.086 1240.806 0.02068
-0.12941 0.03816 0.60558 0.62043 0.29727 0.908 0.083 1240.836 0.02070
-0.12957 0.03821 0.60631 0.62117 0.29916 1.097 0.091 1240.866 0.02073
-0.12973 0.03825 0.60704 0.62192 0.30105 1.159 0.093 1240.896 0.02075
-0.12988 0.03830 0.60777 0.62267 0.30293 0.857 0.080 1240.926 0.02078
-0.13004 0.03834 0.60850 0.62342 0.30482 0.929 0.084 1240.956 0.02080
-0.13019 0.03839 0.60923 0.62417 0.30671 0.944 0.084 1240.986 0.02082
-0.13035 0.03844 0.60996 0.62491 0.30859 0.958 0.085 1241.016 0.02085
-0.13051 0.03848 0.61069 0.62566 0.31048 0.892 0.082 1241.045 0.02087
-0.13066 0.03853 0.61142 0.62641 0.31237 0.908 0.083 1241.075 0.02090
-0.13082 0.03857 0.61215 0.62716 0.31426 0.910 0.083 1241.105 0.02092
-0.13098 0.03862 0.61288 0.62791 0.31614 0.942 0.084 1241.135 0.02095
-0.13113 0.03867 0.61361 0.62866 0.31803 1.060 0.089 1241.165 0.02097
-0.13129 0.03871 0.61434 0.62940 0.31992 0.919 0.083 1241.195 0.02100
-0.13144 0.03876 0.61507 0.63015 0.32181 0.974 0.086 1241.225 0.02102
-0.13160 0.03880 0.61580 0.63090 0.32369 0.915 0.084 1241.255 0.02105
-0.13176 0.03885 0.61653 0.63165 0.32558 1.007 0.089 1241.285 0.02107
-0.13191 0.03890 0.61726 0.63240 0.32747 0.950 0.086 1241.314 0.02109
-0.13207 0.03894 0.61799 0.63315 0.32936 0.962 0.089 1241.344 0.02112
-0.13222 0.03899 0.61872 0.63389 0.33125 1.067 0.089 1241.374 0.02114
-0.13238 0.03903 0.61945 0.63464 0.33313 0.943 0.084 1241.404 0.02117
-0.13254 0.03908 0.62018 0.63539 0.33502 0.859 0.085 1241.434 0.02119
-0.13269 0.03913 0.62091 0.63614 0.33691 0.921 0.087 1241.464 0.02122
-0.13285 0.03917 0.62164 0.63689 0.33880 1.041 0.088 1241.494 0.02124
-0.13300 0.03922 0.62238 0.63764 0.34069 0.995 0.086 1241.524 0.02127
-0.13316 0.03926 0.62311 0.63838 0.34258 1.052 0.089 1241.553 0.02129
-0.13332 0.03931 0.62384 0.63913 0.34446 0.990 0.086 1241.583 0.02132
-0.13347 0.03936 0.62457 0.63988 0.34635 0.891 0.082 1241.613 0.02134
-0.13363 0.03940 0.62530 0.64063 0.34824 1.252 0.097 1241.643 0.02137
-0.13379 0.03945 0.62603 0.64138 0.35013 0.855 0.080 1241.673 0.02139
-0.13394 0.03949 0.62676 0.64213 0.35202 1.032 0.088 1241.703 0.02141
-0.13410 0.03954 0.62749 0.64288 0.35391 1.118 0.092 1241.733 0.02144
-0.13425 0.03959 0.62822 0.64363 0.35580 0.874 0.081 1241.763 0.02146
-0.13441 0.03963 0.62895 0.64437 0.35769 1.076 0.090 1241.792 0.02149
-0.13457 0.03968 0.62968 0.64512 0.35957 1.008 0.087 1241.822 0.02151
-0.13472 0.03972 0.63041 0.64587 0.36146 1.061 0.089 1241.852 0.02154
-0.13488 0.03977 0.63115 0.64662 0.36335 0.867 0.081 1241.882 0.02156
-0.13503 0.03982 0.63188 0.64737 0.36524 0.889 0.082 1241.912 0.02159
-0.13519 0.03986 0.63261 0.64812 0.36713 1.002 0.087 1241.942 0.02161
-0.13535 0.03991 0.63334 0.64887 0.36902 0.948 0.084 1241.972 0.02164
-0.13550 0.03995 0.63407 0.64962 0.37091 1.099 0.091 1242.002 0.02166
-0.13566 0.04000 0.63480 0.65037 0.37280 0.948 0.084 1242.031 0.02168
-0.13582 0.04005 0.63553 0.65111 0.37469 0.970 0.085 1242.061 0.02171
-0.13597 0.04009 0.63626 0.65186 0.37658 0.783 0.081 1242.091 0.02173
-0.13613 0.04014 0.63699 0.65261 0.37847 0.991 0.086 1242.121 0.02176
-0.13628 0.04018 0.63773 0.65336 0.38036 0.925 0.083 1242.151 0.02178
-0.13644 0.04023 0.63846 0.65411 0.38225 1.040 0.088 1242.181 0.02181
-0.13660 0.04028 0.63919 0.65486 0.38414 0.933 0.084 1242.211 0.02183
-0.13675 0.04032 0.63992 0.65561 0.38603 0.962 0.085 1242.241 0.02186
-0.13691 0.04037 0.64065 0.65636 0.38792 0.978 0.086 1242.271 0.02188
-0.13707 0.04042 0.64138 0.65711 0.38981 0.980 0.086 1242.300 0.02191
-0.13722 0.04046 0.64211 0.65786 0.39170 0.992 0.086 1242.330 0.02193
-0.13738 0.04051 0.64284 0.65861 0.39359 0.799 0.081 1242.360 0.02196
-0.13754 0.04055 0.64358 0.65936 0.39548 1.017 0.087 1242.390 0.02198
-0.13769 0.04060 0.64431 0.66011 0.39737 1.069 0.089 1242.420 0.02200
-0.13785 0.04065 0.64504 0.66085 0.39926 0.898 0.082 1242.450 0.02203
-0.13800 0.04069 0.64577 0.66160 0.40115 0.853 0.080 1242.480 0.02205
-0.13816 0.04074 0.64650 0.66235 0.40304 1.032 0.088 1242.510 0.02208
-0.13832 0.04078 0.64723 0.66310 0.40493 1.048 0.089 1242.539 0.02210
-0.13847 0.04083 0.64796 0.66385 0.40682 0.981 0.086 1242.569 0.02213
-0.13863 0.04088 0.64870 0.66460 0.40871 0.966 0.089 1242.599 0.02215
-0.13879 0.04092 0.64943 0.66535 0.41060 1.017 0.087 1242.629 0.02218
-0.13894 0.04097 0.65016 0.66610 0.41249 0.912 0.083 1242.659 0.02220
-0.13910 0.04101 0.65089 0.66685 0.41438 1.024 0.088 1242.689 0.02223
-0.13925 0.04106 0.65162 0.66760 0.41628 0.943 0.084 1242.719 0.02225
-0.13941 0.04111 0.65235 0.66835 0.41817 0.687 0.080 1242.749 0.02227
-0.13957 0.04115 0.65309 0.66910 0.42006 0.815 0.078 1242.778 0.02230
-0.13972 0.04120 0.65382 0.66985 0.42195 0.956 0.085 1242.808 0.02232
-0.13988 0.04125 0.65455 0.67060 0.42384 0.921 0.083 1242.838 0.02235
-0.14004 0.04129 0.65528 0.67135 0.42573 1.070 0.089 1242.868 0.02237
-0.14019 0.04134 0.65601 0.67210 0.42762 0.947 0.084 1242.898 0.02240
-0.14035 0.04138 0.65675 0.67285 0.42951 0.904 0.086 1242.928 0.02242
-0.14051 0.04143 0.65748 0.67360 0.43141 0.933 0.083 1242.958 0.02245
-0.14066 0.04148 0.65821 0.67435 0.43330 0.964 0.085 1242.988 0.02247
-0.14082 0.04152 0.65894 0.67510 0.43519 1.023 0.087 1243.017 0.02250
-0.14098 0.04157 0.65967 0.67585 0.43708 0.940 0.084 1243.047 0.02252
-0.14113 0.04161 0.66041 0.67660 0.43897 1.135 0.092 1243.077 0.02254
-0.14129 0.04166 0.66114 0.67735 0.44087 0.933 0.083 1243.107 0.02257
-0.14144 0.04171 0.66187 0.67810 0.44276 1.075 0.090 1243.137 0.02259
-0.14160 0.04175 0.66260 0.67885 0.44465 1.120 0.091 1243.167 0.02262
-0.14176 0.04180 0.66333 0.67960 0.44654 0.822 0.082 1243.197 0.02264
-0.14191 0.04184 0.66407 0.68035 0.44843 0.882 0.081 1243.227 0.02267
-0.14207 0.04189 0.66480 0.68110 0.45033 0.935 0.084 1243.257 0.02269
-0.14223 0.04194 0.66553 0.68185 0.45222 1.061 0.089 1243.286 0.02272
-0.14238 0.04198 0.66626 0.68260 0.45411 0.852 0.080 1243.316 0.02274
-0.14254 0.04203 0.66699 0.68335 0.45600 1.114 0.091 1243.346 0.02277
-0.14270 0.04208 0.66773 0.68410 0.45790 1.009 0.087 1243.376 0.02279
-0.14285 0.04212 0.66846 0.68485 0.45979 0.996 0.086 1243.406 0.02282
-0.14301 0.04217 0.66919 0.68560 0.46168 0.979 0.085 1243.436 0.02284
-0.14317 0.04221 0.66992 0.68635 0.46357 1.018 0.087 1243.466 0.02286
-0.14332 0.04226 0.67066 0.68710 0.46547 1.094 0.090 1243.496 0.02289
-0.14348 0.04231 0.67139 0.68785 0.46736 1.072 0.089 1243.525 0.02291
-0.14364 0.04235 0.67212 0.68860 0.46925 0.955 0.084 1243.555 0.02294
-0.14379 0.04240 0.67285 0.68935 0.47114 0.917 0.083 1243.585 0.02296
-0.14395 0.04244 0.67359 0.69010 0.47304 0.970 0.085 1243.615 0.02299
-0.14410 0.04249 0.67432 0.69085 0.47493 0.883 0.081 1243.645 0.02301
-0.14426 0.04254 0.67505 0.69160 0.47682 0.990 0.086 1243.675 0.02304
-0.14442 0.04258 0.67578 0.69235 0.47872 1.012 0.087 1243.705 0.02306
-0.14457 0.04263 0.67652 0.69310 0.48061 1.014 0.087 1243.735 0.02309
-0.14473 0.04268 0.67725 0.69385 0.48250 0.942 0.084 1243.764 0.02311
-0.14489 0.04272 0.67798 0.69461 0.48440 1.022 0.087 1243.794 0.02313
-0.14504 0.04277 0.67871 0.69536 0.48629 0.992 0.086 1243.824 0.02316
-0.14520 0.04281 0.67945 0.69611 0.48818 1.032 0.088 1243.854 0.02318
-0.14536 0.04286 0.68018 0.69686 0.49008 0.980 0.085 1243.884 0.02321
-0.14551 0.04291 0.68091 0.69761 0.49197 0.956 0.084 1243.914 0.02323
-0.14567 0.04295 0.68164 0.69836 0.49387 1.006 0.087 1243.944 0.02326
-0.14583 0.04300 0.68238 0.69911 0.49576 0.902 0.082 1243.974 0.02328
-0.14598 0.04304 0.68311 0.69986 0.49765 1.025 0.087 1244.003 0.02331
-0.14614 0.04309 0.68384 0.70061 0.49955 0.913 0.082 1244.033 0.02333
-0.14630 0.04314 0.68458 0.70136 0.50144 0.894 0.082 1244.063 0.02336
-0.14645 0.04318 0.68531 0.70211 0.50334 0.902 0.082 1244.093 0.02338
-0.14661 0.04323 0.68604 0.70286 0.50523 0.999 0.086 1244.123 0.02341
-0.14677 0.04328 0.68677 0.70361 0.50712 1.092 0.090 1244.153 0.02343
-0.14692 0.04332 0.68751 0.70437 0.50902 1.081 0.090 1244.183 0.02345
-0.14708 0.04337 0.68824 0.70512 0.51091 0.913 0.082 1244.213 0.02348
-0.14724 0.04341 0.68897 0.70587 0.51281 0.920 0.083 1244.243 0.02350
-0.14739 0.04346 0.68971 0.70662 0.51470 0.894 0.082 1244.272 0.02353
-0.14755 0.04351 0.69044 0.70737 0.51660 0.979 0.085 1244.302 0.02355
-0.14771 0.04355 0.69117 0.70812 0.51849 1.078 0.090 1244.332 0.02358
-0.14786 0.04360 0.69191 0.70887 0.52039 0.967 0.085 1244.362 0.02360
-0.14802 0.04365 0.69264 0.70962 0.52228 0.811 0.078 1244.392 0.02363
-0.14818 0.04369 0.69337 0.71037 0.52418 1.032 0.088 1244.422 0.02365
-0.14833 0.04374 0.69411 0.71112 0.52607 0.954 0.084 1244.452 0.02368
-0.14849 0.04378 0.69484 0.71188 0.52797 1.062 0.089 1244.482 0.02370
-0.14865 0.04383 0.69557 0.71263 0.52986 1.018 0.087 1244.511 0.02372
-0.14880 0.04388 0.69631 0.71338 0.53176 1.087 0.090 1244.541 0.02375
-0.14896 0.04392 0.69704 0.71413 0.53365 1.022 0.087 1244.571 0.02377
-0.14912 0.04397 0.69777 0.71488 0.53555 1.105 0.091 1244.601 0.02380
-0.14927 0.04401 0.69851 0.71563 0.53744 0.891 0.081 1244.631 0.02382
-0.14943 0.04406 0.69924 0.71638 0.53934 1.128 0.092 1244.661 0.02385
-0.14959 0.04411 0.69997 0.71714 0.54123 1.043 0.088 1244.691 0.02387
-0.14974 0.04415 0.70071 0.71789 0.54313 0.891 0.081 1244.721 0.02390
-0.14990 0.04420 0.70144 0.71864 0.54502 1.108 0.091 1244.750 0.02392
-0.15006 0.04425 0.70217 0.71939 0.54692 1.100 0.090 1244.780 0.02395
-0.15021 0.04429 0.70291 0.72014 0.54882 0.973 0.085 1244.810 0.02397
-0.15037 0.04434 0.70364 0.72089 0.55071 0.973 0.085 1244.840 0.02400
