x y z dist_scaled dist_frac flux_norm
0.20005 -0.03707 0.45956 0.50258 0.00000 1.207
0.20034 -0.03712 0.46024 0.50333 0.00188 1.526
0.20064 -0.03718 0.46092 0.50407 0.00375 1.008
0.20094 -0.03723 0.46160 0.50481 0.00563 1.101
0.20123 -0.03729 0.46228 0.50556 0.00751 1.198
0.20153 -0.03734 0.46296 0.50630 0.00938 1.264
0.20183 -0.03740 0.46364 0.50705 0.01126 0.847
0.20212 -0.03745 0.46432 0.50779 0.01313 1.036
0.20242 -0.03751 0.46500 0.50853 0.01501 1.068
0.20271 -0.03756 0.46568 0.50928 0.01689 0.973
0.20301 -0.03762 0.46636 0.51002 0.01876 0.749
0.20331 -0.03767 0.46704 0.51077 0.02064 0.904
0.20360 -0.03773 0.46772 0.51151 0.02252 0.938
0.20390 -0.03778 0.46840 0.51225 0.02440 1.224
0.20419 -0.03784 0.46908 0.51300 0.02627 1.129
0.20449 -0.03789 0.46976 0.51374 0.02815 1.191
0.20479 -0.03795 0.47044 0.51449 0.03003 1.092
0.20508 -0.03800 0.47112 0.51523 0.03190 0.840
0.20538 -0.03806 0.47181 0.51597 0.03378 0.936
0.20568 -0.03811 0.47249 0.51672 0.03566 0.819
0.20597 -0.03817 0.47317 0.51746 0.03754 0.878
0.20627 -0.03822 0.47385 0.51821 0.03941 1.294
0.20656 -0.03828 0.47453 0.51895 0.04129 0.856
0.20686 -0.03833 0.47521 0.51970 0.04317 0.946
0.20716 -0.03839 0.47589 0.52044 0.04505 0.955
0.20745 -0.03844 0.47657 0.52118 0.04692 0.997
0.20775 -0.03850 0.47725 0.52193 0.04880 1.155
0.20805 -0.03855 0.47793 0.52267 0.05068 0.990
0.20834 -0.03861 0.47861 0.52342 0.05256 1.242
0.20864 -0.03866 0.47929 0.52416 0.05444 1.143
0.20893 -0.03871 0.47997 0.52491 0.05631 0.854
0.20923 -0.03877 0.48065 0.52565 0.05819 1.010
0.20953 -0.03882 0.48133 0.52640 0.06007 1.017
0.20982 -0.03888 0.48202 0.52714 0.06195 1.229
0.21012 -0.03893 0.48270 0.52788 0.06383 1.223
0.21042 -0.03899 0.48338 0.52863 0.06571 1.407
0.21071 -0.03904 0.48406 0.52937 0.06758 1.310
0.21101 -0.03910 0.48474 0.53012 0.06946 1.360
0.21131 -0.03915 0.48542 0.53086 0.07134 0.798
0.21160 -0.03921 0.48610 0.53161 0.07322 0.922
0.21190 -0.03926 0.48678 0.53235 0.07510 1.127
0.21220 -0.03932 0.48746 0.53310 0.07698 1.140
0.21249 -0.03937 0.48814 0.53384 0.07886 1.204
0.21279 -0.03943 0.48883 0.53459 0.08074 0.922
0.21308 -0.03948 0.48951 0.53533 0.08261 0.926
0.21338 -0.03954 0.49019 0.53608 0.08449 0.867
0.21368 -0.03959 0.49087 0.53682 0.08637 0.900
0.21397 -0.03965 0.49155 0.53757 0.08825 0.962
0.21427 -0.03970 0.49223 0.53831 0.09013 0.985
0.21457 -0.03976 0.49291 0.53906 0.09201 1.192
0.21486 -0.03981 0.49359 0.53980 0.09389 1.236
0.21516 -0.03987 0.49428 0.54055 0.09577 1.060
0.21546 -0.03992 0.49496 0.54129 0.09765 1.558
0.21575 -0.03998 0.49564 0.54204 0.09953 1.095
0.21605 -0.04003 0.49632 0.54278 0.10141 1.289
0.21635 -0.04009 0.49700 0.54353 0.10329 1.120
0.21664 -0.04014 0.49768 0.54427 0.10517 1.234
0.21694 -0.04020 0.49836 0.54502 0.10705 0.913
0.21724 -0.04025 0.49904 0.54576 0.10893 1.270
0.21753 -0.04031 0.49973 0.54651 0.11081 0.729
0.21783 -0.04036 0.50041 0.54725 0.11269 1.620
0.21813 -0.04042 0.50109 0.54800 0.11457 0.784
0.21842 -0.04047 0.50177 0.54874 0.11645 0.929
0.21872 -0.04053 0.50245 0.54949 0.11833 1.040
0.21902 -0.04058 0.50313 0.55024 0.12021 0.843
0.21931 -0.04064 0.50382 0.55098 0.12209 1.234
0.21961 -0.04069 0.50450 0.55173 0.12397 1.476
0.21991 -0.04075 0.50518 0.55247 0.12585 1.007
0.22020 -0.04080 0.50586 0.55322 0.12773 0.944
0.22050 -0.04086 0.50654 0.55396 0.12961 1.100
0.22080 -0.04091 0.50722 0.55471 0.13149 1.101
0.22109 -0.04097 0.50791 0.55545 0.13338 0.851
0.22139 -0.04102 0.50859 0.55620 0.13526 1.099
0.22169 -0.04108 0.50927 0.55695 0.13714 0.849
0.22198 -0.04113 0.50995 0.55769 0.13902 0.822
0.22228 -0.04119 0.51063 0.55844 0.14090 1.066
