x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.20975 0.38420 0.24695 0.50258 0.00000 1.028 0.023 1236.115 0.01682
-0.21006 0.38477 0.24732 0.50333 0.00188 1.020 0.023 1236.145 0.01684
-0.21037 0.38534 0.24769 0.50407 0.00375 1.047 0.023 1236.175 0.01687
-0.21068 0.38590 0.24805 0.50481 0.00563 1.069 0.024 1236.205 0.01689
-0.21099 0.38647 0.24842 0.50556 0.00751 1.009 0.023 1236.235 0.01692
-0.21130 0.38704 0.24878 0.50630 0.00938 1.004 0.023 1236.265 0.01694
-0.21161 0.38761 0.24915 0.50705 0.01126 1.027 0.023 1236.295 0.01697
-0.21192 0.38818 0.24951 0.50779 0.01313 0.947 0.022 1236.325 0.01699
-0.21223 0.38875 0.24988 0.50853 0.01501 0.935 0.022 1236.355 0.01701
-0.21254 0.38932 0.25024 0.50928 0.01689 0.987 0.023 1236.384 0.01704
-0.21285 0.38989 0.25061 0.51002 0.01876 0.908 0.022 1236.414 0.01706
-0.21316 0.39045 0.25098 0.51077 0.02064 0.944 0.022 1236.444 0.01709
-0.21347 0.39102 0.25134 0.51151 0.02252 0.954 0.022 1236.474 0.01711
-0.21378 0.39159 0.25171 0.51225 0.02440 0.998 0.023 1236.504 0.01714
-0.21409 0.39216 0.25207 0.51300 0.02627 0.999 0.023 1236.534 0.01716
-0.21440 0.39273 0.25244 0.51374 0.02815 0.975 0.023 1236.564 0.01719
-0.21471 0.39330 0.25280 0.51449 0.03003 0.980 0.023 1236.594 0.01721
-0.21502 0.39387 0.25317 0.51523 0.03190 0.940 0.022 1236.623 0.01724
-0.21534 0.39444 0.25353 0.51597 0.03378 0.878 0.021 1236.653 0.01726
-0.21565 0.39501 0.25390 0.51672 0.03566 0.834 0.021 1236.683 0.01729
-0.21596 0.39557 0.25427 0.51746 0.03754 0.791 0.020 1236.713 0.01731
-0.21627 0.39614 0.25463 0.51821 0.03941 0.714 0.019 1236.743 0.01733
-0.21658 0.39671 0.25500 0.51895 0.04129 0.737 0.020 1236.773 0.01736
-0.21689 0.39728 0.25536 0.51970 0.04317 0.807 0.021 1236.803 0.01738
-0.21720 0.39785 0.25573 0.52044 0.04505 0.819 0.021 1236.833 0.01741
-0.21751 0.39842 0.25610 0.52118 0.04692 0.874 0.021 1236.862 0.01743
-0.21782 0.39899 0.25646 0.52193 0.04880 0.895 0.022 1236.892 0.01746
-0.21813 0.39956 0.25683 0.52267 0.05068 0.907 0.022 1236.922 0.01748
-0.21844 0.40013 0.25719 0.52342 0.05256 0.920 0.022 1236.952 0.01751
-0.21875 0.40070 0.25756 0.52416 0.05444 0.946 0.022 1236.982 0.01753
-0.21906 0.40126 0.25792 0.52491 0.05631 0.963 0.023 1237.012 0.01756
-0.21937 0.40183 0.25829 0.52565 0.05819 0.921 0.022 1237.042 0.01758
-0.21968 0.40240 0.25866 0.52640 0.06007 0.913 0.022 1237.072 0.01760
-0.22000 0.40297 0.25902 0.52714 0.06195 0.862 0.021 1237.101 0.01763
-0.22031 0.40354 0.25939 0.52788 0.06383 0.803 0.021 1237.131 0.01765
-0.22062 0.40411 0.25975 0.52863 0.06571 0.815 0.021 1237.161 0.01768
-0.22093 0.40468 0.26012 0.52937 0.06758 0.816 0.021 1237.191 0.01770
-0.22124 0.40525 0.26049 0.53012 0.06946 0.850 0.021 1237.221 0.01773
-0.22155 0.40582 0.26085 0.53086 0.07134 0.877 0.021 1237.251 0.01775
-0.22186 0.40639 0.26122 0.53161 0.07322 0.956 0.022 1237.281 0.01778
-0.22217 0.40696 0.26158 0.53235 0.07510 0.949 0.022 1237.311 0.01780
-0.22248 0.40753 0.26195 0.53310 0.07698 1.001 0.023 1237.341 0.01783
-0.22279 0.40810 0.26232 0.53384 0.07886 0.987 0.023 1237.370 0.01785
-0.22310 0.40867 0.26268 0.53459 0.08074 1.005 0.023 1237.400 0.01788
-0.22341 0.40923 0.26305 0.53533 0.08261 1.009 0.023 1237.430 0.01790
-0.22373 0.40980 0.26341 0.53608 0.08449 1.016 0.023 1237.460 0.01792
-0.22404 0.41037 0.26378 0.53682 0.08637 1.010 0.023 1237.490 0.01795
-0.22435 0.41094 0.26415 0.53757 0.08825 1.021 0.023 1237.520 0.01797
-0.22466 0.41151 0.26451 0.53831 0.09013 0.996 0.023 1237.550 0.01800
-0.22497 0.41208 0.26488 0.53906 0.09201 1.017 0.023 1237.580 0.01802
-0.22528 0.41265 0.26524 0.53980 0.09389 0.988 0.023 1237.609 0.01805
-0.22559 0.41322 0.26561 0.54055 0.09577 1.041 0.023 1237.639 0.01807
-0.22590 0.41379 0.26598 0.54129 0.09765 1.020 0.023 1237.669 0.01810
-0.22621 0.41436 0.26634 0.54204 0.09953 1.049 0.023 1237.699 0.01812
-0.22652 0.41493 0.26671 0.54278 0.10141 1.024 0.023 1237.729 0.01815
-0.22683 0.41550 0.26707 0.54353 0.10329 1.011 0.023 1237.759 0.01817
-0.22715 0.41607 0.26744 0.54427 0.10517 1.009 0.023 1237.789 0.01819
-0.22746 0.41664 0.26781 0.54502 0.10705 0.996 0.023 1237.819 0.01822
-0.22777 0.41721 0.26817 0.54576 0.10893 1.017 0.023 1237.848 0.01824
-0.22808 0.41778 0.26854 0.54651 0.11081 1.010 0.023 1237.878 0.01827
-0.22839 0.41835 0.26891 0.54725 0.11269 0.939 0.022 1237.908 0.01829
-0.22870 0.41892 0.26927 0.54800 0.11457 0.989 0.023 1237.938 0.01832
-0.22901 0.41949 0.26964 0.54874 0.11645 0.979 0.022 1237.968 0.01834
-0.22932 0.42006 0.27000 0.54949 0.11833 1.024 0.023 1237.998 0.01837
