x y z dist_scaled dist_frac absorption
-0.02916 -0.19498 0.46240 0.50267 0.00000 -0.111
-0.02921 -0.19527 0.46308 0.50342 0.00188 -0.040
-0.02925 -0.19556 0.46377 0.50416 0.00376 -0.108
-0.02929 -0.19585 0.46445 0.50491 0.00564 -0.066
-0.02934 -0.19614 0.46514 0.50565 0.00752 0.034
-0.02938 -0.19643 0.46582 0.50639 0.00940 -0.215
-0.02942 -0.19672 0.46651 0.50714 0.01128 0.045
-0.02947 -0.19700 0.46719 0.50788 0.01316 -0.072
-0.02951 -0.19729 0.46787 0.50863 0.01504 0.036
-0.02955 -0.19758 0.46856 0.50937 0.01692 -0.023
-0.02959 -0.19787 0.46924 0.51012 0.01880 0.049
-0.02964 -0.19816 0.46993 0.51086 0.02068 -0.018
-0.02968 -0.19845 0.47061 0.51160 0.02256 -0.133
-0.02972 -0.19874 0.47130 0.51235 0.02444 -0.122
-0.02977 -0.19903 0.47198 0.51309 0.02632 -0.048
-0.02981 -0.19931 0.47267 0.51384 0.02820 -0.003
-0.02985 -0.19960 0.47335 0.51458 0.03008 -0.005
-0.02990 -0.19989 0.47404 0.51533 0.03196 -0.034
-0.02994 -0.20018 0.47472 0.51607 0.03385 0.088
-0.02998 -0.20047 0.47541 0.51682 0.03573 0.172
-0.03003 -0.20076 0.47609 0.51756 0.03761 0.142
-0.03007 -0.20105 0.47678 0.51831 0.03949 0.004
-0.03011 -0.20134 0.47746 0.51905 0.04137 0.141
-0.03016 -0.20162 0.47815 0.51979 0.04325 0.324
-0.03020 -0.20191 0.47883 0.52054 0.04513 0.180
-0.03024 -0.20220 0.47952 0.52128 0.04701 0.133
-0.03029 -0.20249 0.48020 0.52203 0.04890 0.088
-0.03033 -0.20278 0.48089 0.52277 0.05078 0.187
-0.03037 -0.20307 0.48157 0.52352 0.05266 0.216
-0.03042 -0.20336 0.48226 0.52426 0.05454 0.025
-0.03046 -0.20365 0.48294 0.52501 0.05642 0.010
-0.03050 -0.20394 0.48363 0.52575 0.05830 -0.029
-0.03055 -0.20422 0.48431 0.52650 0.06019 0.010
-0.03059 -0.20451 0.48500 0.52724 0.06207 -0.113
-0.03063 -0.20480 0.48568 0.52799 0.06395 0.215
-0.03067 -0.20509 0.48637 0.52873 0.06583 0.005
-0.03072 -0.20538 0.48705 0.52948 0.06771 0.126
-0.03076 -0.20567 0.48774 0.53022 0.06960 -0.004
-0.03080 -0.20596 0.48842 0.53097 0.07148 0.111
-0.03085 -0.20625 0.48911 0.53171 0.07336 0.034
-0.03089 -0.20654 0.48980 0.53246 0.07524 0.064
-0.03093 -0.20683 0.49048 0.53320 0.07713 -0.034
-0.03098 -0.20711 0.49117 0.53395 0.07901 -0.043
-0.03102 -0.20740 0.49185 0.53469 0.08089 0.072
-0.03106 -0.20769 0.49254 0.53544 0.08277 0.194
-0.03111 -0.20798 0.49322 0.53618 0.08466 -0.188
-0.03115 -0.20827 0.49391 0.53693 0.08654 0.048
-0.03119 -0.20856 0.49459 0.53767 0.08842 -0.013
-0.03124 -0.20885 0.49528 0.53842 0.09030 0.002
-0.03128 -0.20914 0.49597 0.53917 0.09219 0.086
-0.03132 -0.20943 0.49665 0.53991 0.09407 0.086
-0.03137 -0.20972 0.49734 0.54066 0.09595 0.010
-0.03141 -0.21001 0.49802 0.54140 0.09784 0.056
-0.03145 -0.21029 0.49871 0.54215 0.09972 -0.089
-0.03150 -0.21058 0.49939 0.54289 0.10160 -0.005
-0.03154 -0.21087 0.50008 0.54364 0.10349 0.086
-0.03158 -0.21116 0.50077 0.54438 0.10537 -0.013
-0.03163 -0.21145 0.50145 0.54513 0.10725 0.116
-0.03167 -0.21174 0.50214 0.54587 0.10914 0.231
-0.03171 -0.21203 0.50282 0.54662 0.11102 0.330
-0.03176 -0.21232 0.50351 0.54737 0.11290 0.002
-0.03180 -0.21261 0.50420 0.54811 0.11479 0.124
-0.03184 -0.21290 0.50488 0.54886 0.11667 0.055
-0.03189 -0.21319 0.50557 0.54960 0.11856 0.223
-0.03193 -0.21348 0.50625 0.55035 0.12044 0.033
-0.03197 -0.21377 0.50694 0.55109 0.12232 0.269
-0.03202 -0.21405 0.50763 0.55184 0.12421 0.078
-0.03206 -0.21434 0.50831 0.55259 0.12609 0.071
-0.03210 -0.21463 0.50900 0.55333 0.12798 0.132
-0.03215 -0.21492 0.50968 0.55408 0.12986 0.292
-0.03219 -0.21521 0.51037 0.55482 0.13175 0.368
-0.03223 -0.21550 0.51106 0.55557 0.13363 0.292
-0.03228 -0.21579 0.51174 0.55632 0.13551 0.437
-0.03232 -0.21608 0.51243 0.55706 0.13740 0.345
-0.03236 -0.21637 0.51311 0.55781 0.13928 0.498
-0.03240 -0.21666 0.51380 0.55855 0.14117 0.307
-0.03245 -0.21695 0.51449 0.55930 0.14305 0.391
-0.03249 -0.21724 0.51517 0.56005 0.14494 0.353
-0.03253 -0.21753 0.51586 0.56079 0.14682 0.376
-0.03258 -0.21782 0.51655 0.56154 0.14871 0.313
-0.03262 -0.21811 0.51723 0.56229 0.15059 0.352
-0.03266 -0.21840 0.51792 0.56303 0.15248 0.268
-0.03271 -0.21869 0.51861 0.56378 0.15436 0.207
-0.03275 -0.21897 0.51929 0.56452 0.15625 0.314
-0.03279 -0.21926 0.51998 0.56527 0.15813 0.153
-0.03284 -0.21955 0.52067 0.56602 0.16002 0.306
-0.03288 -0.21984 0.52135 0.56676 0.16191 0.261
-0.03292 -0.22013 0.52204 0.56751 0.16379 0.253
-0.03297 -0.22042 0.52273 0.56826 0.16568 0.292
-0.03301 -0.22071 0.52341 0.56900 0.16756 0.345
-0.03305 -0.22100 0.52410 0.56975 0.16945 0.330
-0.03310 -0.22129 0.52479 0.57050 0.17133 0.207
-0.03314 -0.22158 0.52547 0.57124 0.17322 0.185
-0.03318 -0.22187 0.52616 0.57199 0.17511 0.219
-0.03323 -0.22216 0.52685 0.57273 0.17699 0.277
-0.03327 -0.22245 0.52753 0.57348 0.17888 0.087
-0.03331 -0.22274 0.52822 0.57423 0.18076 0.157
-0.03336 -0.22303 0.52891 0.57497 0.18265 0.149
-0.03340 -0.22332 0.52959 0.57572 0.18454 0.096
-0.03344 -0.22361 0.53028 0.57647 0.18642 0.151
-0.03349 -0.22390 0.53097 0.57721 0.18831 0.051
-0.03353 -0.22419 0.53165 0.57796 0.19020 0.116
-0.03357 -0.22448 0.53234 0.57871 0.19208 -0.052
-0.03362 -0.22477 0.53303 0.57946 0.19397 0.156
-0.03366 -0.22506 0.53371 0.58020 0.19586 0.006
-0.03370 -0.22535 0.53440 0.58095 0.19774 0.038
-0.03375 -0.22564 0.53509 0.58170 0.19963 0.268
-0.03379 -0.22593 0.53578 0.58244 0.20152 0.023
-0.03383 -0.22621 0.53646 0.58319 0.20340 -0.076
-0.03388 -0.22650 0.53715 0.58394 0.20529 0.001
-0.03392 -0.22679 0.53784 0.58468 0.20718 -0.178
