x y z dist_scaled dist_frac absorption
0.36812 0.07482 0.33365 0.50243 0.00000 -0.067
0.36866 0.07494 0.33414 0.50317 0.00188 0.017
0.36921 0.07505 0.33464 0.50391 0.00375 0.257
0.36975 0.07516 0.33513 0.50466 0.00563 -0.134
0.37030 0.07527 0.33563 0.50540 0.00750 -0.031
0.37084 0.07538 0.33612 0.50615 0.00938 0.019
0.37139 0.07549 0.33662 0.50689 0.01126 0.144
0.37193 0.07560 0.33711 0.50763 0.01313 -0.014
0.37248 0.07571 0.33760 0.50838 0.01501 0.047
0.37302 0.07582 0.33810 0.50912 0.01689 -0.108
0.37357 0.07593 0.33859 0.50987 0.01876 0.212
0.37412 0.07604 0.33909 0.51061 0.02064 -0.105
0.37466 0.07615 0.33958 0.51136 0.02252 -0.174
0.37521 0.07627 0.34008 0.51210 0.02440 -0.088
0.37575 0.07638 0.34057 0.51285 0.02627 -0.164
0.37630 0.07649 0.34106 0.51359 0.02815 0.034
0.37684 0.07660 0.34156 0.51433 0.03003 0.214
0.37739 0.07671 0.34205 0.51508 0.03190 0.167
0.37793 0.07682 0.34255 0.51582 0.03378 -0.037
0.37848 0.07693 0.34304 0.51657 0.03566 0.046
0.37902 0.07704 0.34354 0.51731 0.03754 0.032
0.37957 0.07715 0.34403 0.51806 0.03941 -0.108
0.38012 0.07726 0.34453 0.51880 0.04129 0.138
0.38066 0.07737 0.34502 0.51955 0.04317 0.005
0.38121 0.07749 0.34551 0.52029 0.04505 0.035
0.38175 0.07760 0.34601 0.52104 0.04692 0.077
0.38230 0.07771 0.34650 0.52178 0.04880 -0.015
0.38284 0.07782 0.34700 0.52253 0.05068 0.086
0.38339 0.07793 0.34749 0.52327 0.05256 -0.068
0.38394 0.07804 0.34799 0.52401 0.05444 -0.119
0.38448 0.07815 0.34848 0.52476 0.05631 0.260
0.38503 0.07826 0.34898 0.52550 0.05819 0.084
0.38557 0.07837 0.34947 0.52625 0.06007 0.094
0.38612 0.07848 0.34997 0.52699 0.06195 0.103
0.38666 0.07859 0.35046 0.52774 0.06383 0.023
0.38721 0.07871 0.35096 0.52848 0.06571 0.012
0.38776 0.07882 0.35145 0.52923 0.06758 0.063
0.38830 0.07893 0.35194 0.52997 0.06946 0.044
0.38885 0.07904 0.35244 0.53072 0.07134 -0.028
0.38939 0.07915 0.35293 0.53146 0.07322 -0.202
0.38994 0.07926 0.35343 0.53221 0.07510 0.188
0.39049 0.07937 0.35392 0.53295 0.07698 -0.017
