x y z dist_scaled dist_frac absorption
0.37988 -0.01754 0.32836 0.50243 0.00000 0.302
0.38044 -0.01756 0.32884 0.50317 0.00188 0.265
0.38100 -0.01759 0.32933 0.50391 0.00375 0.086
0.38156 -0.01762 0.32982 0.50466 0.00563 0.220
0.38213 -0.01764 0.33030 0.50540 0.00750 0.094
0.38269 -0.01767 0.33079 0.50615 0.00938 0.154
0.38325 -0.01769 0.33127 0.50689 0.01126 0.121
0.38381 -0.01772 0.33176 0.50763 0.01313 -0.010
0.38438 -0.01775 0.33225 0.50838 0.01501 -0.065
0.38494 -0.01777 0.33273 0.50912 0.01689 -0.168
0.38550 -0.01780 0.33322 0.50987 0.01876 -0.186
0.38607 -0.01782 0.33371 0.51061 0.02064 0.058
0.38663 -0.01785 0.33419 0.51136 0.02252 -0.021
0.38719 -0.01788 0.33468 0.51210 0.02440 0.202
0.38775 -0.01790 0.33517 0.51285 0.02627 0.082
0.38832 -0.01793 0.33565 0.51359 0.02815 -0.018
0.38888 -0.01795 0.33614 0.51433 0.03003 0.156
0.38944 -0.01798 0.33663 0.51508 0.03190 0.023
0.39001 -0.01801 0.33711 0.51582 0.03378 -0.072
0.39057 -0.01803 0.33760 0.51657 0.03566 -0.131
0.39113 -0.01806 0.33809 0.51731 0.03754 -0.005
0.39169 -0.01808 0.33857 0.51806 0.03941 0.066
0.39226 -0.01811 0.33906 0.51880 0.04129 0.017
0.39282 -0.01814 0.33955 0.51955 0.04317 -0.013
0.39338 -0.01816 0.34003 0.52029 0.04505 -0.179
0.39395 -0.01819 0.34052 0.52104 0.04692 -0.270
0.39451 -0.01821 0.34101 0.52178 0.04880 -0.249
0.39507 -0.01824 0.34149 0.52253 0.05068 -0.099
0.39564 -0.01827 0.34198 0.52327 0.05256 0.066
0.39620 -0.01829 0.34247 0.52401 0.05444 -0.090
0.39676 -0.01832 0.34295 0.52476 0.05631 -0.191
0.39733 -0.01834 0.34344 0.52550 0.05819 -0.033
0.39789 -0.01837 0.34393 0.52625 0.06007 0.023
0.39845 -0.01840 0.34441 0.52699 0.06195 0.060
0.39902 -0.01842 0.34490 0.52774 0.06383 0.134
0.39958 -0.01845 0.34539 0.52848 0.06571 0.071
0.40014 -0.01847 0.34587 0.52923 0.06758 -0.012
0.40071 -0.01850 0.34636 0.52997 0.06946 0.126
0.40127 -0.01853 0.34685 0.53072 0.07134 0.081
0.40183 -0.01855 0.34733 0.53146 0.07322 -0.192
0.40240 -0.01858 0.34782 0.53221 0.07510 0.092
0.40296 -0.01860 0.34831 0.53295 0.07698 0.156
0.40352 -0.01863 0.34880 0.53370 0.07886 -0.027
0.40409 -0.01866 0.34928 0.53445 0.08074 0.074
0.40465 -0.01868 0.34977 0.53519 0.08261 -0.226
0.40521 -0.01871 0.35026 0.53594 0.08449 0.248
0.40578 -0.01873 0.35074 0.53668 0.08637 0.048
0.40634 -0.01876 0.35123 0.53743 0.08825 0.085
0.40690 -0.01879 0.35172 0.53817 0.09013 0.177
0.40747 -0.01881 0.35220 0.53892 0.09201 0.277
0.40803 -0.01884 0.35269 0.53966 0.09389 0.523
0.40859 -0.01886 0.35318 0.54041 0.09577 0.559
0.40916 -0.01889 0.35367 0.54115 0.09765 0.687
0.40972 -0.01892 0.35415 0.54190 0.09953 0.706
0.41028 -0.01894 0.35464 0.54264 0.10141 0.815
0.41085 -0.01897 0.35513 0.54339 0.10329 0.807
0.41141 -0.01899 0.35562 0.54414 0.10517 0.861
0.41198 -0.01902 0.35610 0.54488 0.10705 0.925
0.41254 -0.01905 0.35659 0.54563 0.10893 0.962
0.41310 -0.01907 0.35708 0.54637 0.11081 0.917
0.41367 -0.01910 0.35756 0.54712 0.11269 0.826
0.41423 -0.01912 0.35805 0.54786 0.11457 0.808
0.41479 -0.01915 0.35854 0.54861 0.11645 0.609
