x y z dist_scaled dist_frac absorption
0.25498 -0.14003 0.40965 0.50243 0.00000 -0.024
0.25536 -0.14024 0.41025 0.50317 0.00188 -0.072
0.25573 -0.14044 0.41086 0.50391 0.00375 -0.087
0.25611 -0.14065 0.41147 0.50466 0.00563 -0.232
0.25649 -0.14086 0.41207 0.50540 0.00750 0.063
0.25687 -0.14107 0.41268 0.50615 0.00938 -0.025
0.25724 -0.14127 0.41329 0.50689 0.01126 -0.089
0.25762 -0.14148 0.41389 0.50763 0.01313 0.042
0.25800 -0.14169 0.41450 0.50838 0.01501 -0.119
0.25838 -0.14190 0.41511 0.50912 0.01689 -0.029
0.25876 -0.14210 0.41571 0.50987 0.01876 -0.042
0.25913 -0.14231 0.41632 0.51061 0.02064 0.007
0.25951 -0.14252 0.41693 0.51136 0.02252 -0.057
0.25989 -0.14273 0.41753 0.51210 0.02440 0.048
0.26027 -0.14293 0.41814 0.51285 0.02627 -0.102
0.26064 -0.14314 0.41875 0.51359 0.02815 0.012
0.26102 -0.14335 0.41935 0.51433 0.03003 -0.132
0.26140 -0.14356 0.41996 0.51508 0.03190 -0.115
0.26178 -0.14376 0.42057 0.51582 0.03378 -0.032
0.26216 -0.14397 0.42118 0.51657 0.03566 0.033
0.26253 -0.14418 0.42178 0.51731 0.03754 -0.006
0.26291 -0.14439 0.42239 0.51806 0.03941 0.154
0.26329 -0.14459 0.42300 0.51880 0.04129 0.044
0.26367 -0.14480 0.42360 0.51955 0.04317 -0.009
0.26404 -0.14501 0.42421 0.52029 0.04505 -0.120
0.26442 -0.14522 0.42482 0.52104 0.04692 -0.111
0.26480 -0.14542 0.42543 0.52178 0.04880 -0.046
0.26518 -0.14563 0.42603 0.52253 0.05068 0.010
0.26556 -0.14584 0.42664 0.52327 0.05256 -0.004
0.26593 -0.14605 0.42725 0.52401 0.05444 -0.058
0.26631 -0.14625 0.42786 0.52476 0.05631 0.133
0.26669 -0.14646 0.42846 0.52550 0.05819 -0.103
0.26707 -0.14667 0.42907 0.52625 0.06007 0.095
0.26745 -0.14688 0.42968 0.52699 0.06195 -0.022
0.26782 -0.14708 0.43028 0.52774 0.06383 0.144
0.26820 -0.14729 0.43089 0.52848 0.06571 -0.012
0.26858 -0.14750 0.43150 0.52923 0.06758 0.130
0.26896 -0.14771 0.43211 0.52997 0.06946 0.045
0.26934 -0.14792 0.43271 0.53072 0.07134 -0.070
0.26972 -0.14812 0.43332 0.53146 0.07322 0.048
0.27009 -0.14833 0.43393 0.53221 0.07510 -0.005
0.27047 -0.14854 0.43454 0.53295 0.07698 -0.152
0.27085 -0.14875 0.43514 0.53370 0.07886 0.067
0.27123 -0.14895 0.43575 0.53445 0.08074 0.091
0.27161 -0.14916 0.43636 0.53519 0.08261 0.061
0.27198 -0.14937 0.43697 0.53594 0.08449 -0.015
0.27236 -0.14958 0.43757 0.53668 0.08637 -0.022
0.27274 -0.14978 0.43818 0.53743 0.08825 -0.036
0.27312 -0.14999 0.43879 0.53817 0.09013 -0.158
0.27350 -0.15020 0.43940 0.53892 0.09201 0.028
0.27388 -0.15041 0.44001 0.53966 0.09389 0.038
0.27425 -0.15062 0.44061 0.54041 0.09577 -0.077
0.27463 -0.15082 0.44122 0.54115 0.09765 0.107
0.27501 -0.15103 0.44183 0.54190 0.09953 -0.030
0.27539 -0.15124 0.44244 0.54264 0.10141 0.079
0.27577 -0.15145 0.44304 0.54339 0.10329 -0.104
0.27615 -0.15165 0.44365 0.54414 0.10517 -0.027
0.27652 -0.15186 0.44426 0.54488 0.10705 0.059
0.27690 -0.15207 0.44487 0.54563 0.10893 -0.024
0.27728 -0.15228 0.44548 0.54637 0.11081 -0.045
0.27766 -0.15249 0.44608 0.54712 0.11269 -0.181
0.27804 -0.15269 0.44669 0.54786 0.11457 0.078
0.27842 -0.15290 0.44730 0.54861 0.11645 0.103
0.27879 -0.15311 0.44791 0.54935 0.11833 0.035
0.27917 -0.15332 0.44852 0.55010 0.12021 -0.009
0.27955 -0.15352 0.44912 0.55085 0.12209 0.060
0.27993 -0.15373 0.44973 0.55159 0.12397 -0.060
0.28031 -0.15394 0.45034 0.55234 0.12585 -0.089
0.28069 -0.15415 0.45095 0.55308 0.12773 -0.073
0.28107 -0.15436 0.45156 0.55383 0.12961 0.109
0.28144 -0.15456 0.45217 0.55458 0.13149 -0.026
0.28182 -0.15477 0.45277 0.55532 0.13337 -0.017
0.28220 -0.15498 0.45338 0.55607 0.13526 -0.054
0.28258 -0.15519 0.45399 0.55681 0.13714 0.165
0.28296 -0.15540 0.45460 0.55756 0.13902 -0.082
0.28334 -0.15560 0.45521 0.55831 0.14090 0.062
0.28372 -0.15581 0.45581 0.55905 0.14278 0.175
0.28409 -0.15602 0.45642 0.55980 0.14466 -0.102
0.28447 -0.15623 0.45703 0.56054 0.14654 0.026
0.28485 -0.15644 0.45764 0.56129 0.14842 -0.018
0.28523 -0.15664 0.45825 0.56204 0.15031 0.044
0.28561 -0.15685 0.45886 0.56278 0.15219 0.007
0.28599 -0.15706 0.45946 0.56353 0.15407 -0.008
0.28637 -0.15727 0.46007 0.56428 0.15595 0.127
0.28675 -0.15748 0.46068 0.56502 0.15783 0.179
0.28712 -0.15768 0.46129 0.56577 0.15971 0.165
0.28750 -0.15789 0.46190 0.56651 0.16160 0.070
0.28788 -0.15810 0.46251 0.56726 0.16348 0.153
0.28826 -0.15831 0.46312 0.56801 0.16536 0.145
0.28864 -0.15852 0.46372 0.56875 0.16724 0.102
0.28902 -0.15872 0.46433 0.56950 0.16912 -0.045
0.28940 -0.15893 0.46494 0.57025 0.17101 0.096
0.28978 -0.15914 0.46555 0.57099 0.17289 0.016
0.29015 -0.15935 0.46616 0.57174 0.17477 0.143
0.29053 -0.15956 0.46677 0.57249 0.17665 0.040
0.29091 -0.15976 0.46738 0.57323 0.17854 0.061
0.29129 -0.15997 0.46799 0.57398 0.18042 0.078
0.29167 -0.16018 0.46859 0.57473 0.18230 0.137
0.29205 -0.16039 0.46920 0.57547 0.18418 0.233
0.29243 -0.16060 0.46981 0.57622 0.18607 0.138
0.29281 -0.16080 0.47042 0.57697 0.18795 0.176
0.29319 -0.16101 0.47103 0.57771 0.18983 0.126
0.29356 -0.16122 0.47164 0.57846 0.19172 0.045
0.29394 -0.16143 0.47225 0.57921 0.19360 0.156
0.29432 -0.16164 0.47286 0.57995 0.19548 0.062
0.29470 -0.16185 0.47347 0.58070 0.19737 -0.025
0.29508 -0.16205 0.47407 0.58145 0.19925 0.122
0.29546 -0.16226 0.47468 0.58219 0.20113 0.122
0.29584 -0.16247 0.47529 0.58294 0.20302 0.057
0.29622 -0.16268 0.47590 0.58369 0.20490 0.094
0.29660 -0.16289 0.47651 0.58443 0.20678 0.073
0.29698 -0.16309 0.47712 0.58518 0.20867 -0.012
0.29736 -0.16330 0.47773 0.58593 0.21055 0.061
0.29773 -0.16351 0.47834 0.58668 0.21243 0.149
0.29811 -0.16372 0.47895 0.58742 0.21432 0.011
0.29849 -0.16393 0.47956 0.58817 0.21620 -0.001
0.29887 -0.16414 0.48016 0.58892 0.21809 0.101
0.29925 -0.16434 0.48077 0.58966 0.21997 0.014
0.29963 -0.16455 0.48138 0.59041 0.22185 -0.072
0.30001 -0.16476 0.48199 0.59116 0.22374 0.167
0.30039 -0.16497 0.48260 0.59191 0.22562 0.030
0.30077 -0.16518 0.48321 0.59265 0.22751 0.140
0.30115 -0.16538 0.48382 0.59340 0.22939 0.140
0.30153 -0.16559 0.48443 0.59415 0.23127 0.040
0.30191 -0.16580 0.48504 0.59490 0.23316 0.113
0.30229 -0.16601 0.48565 0.59564 0.23504 0.013
0.30266 -0.16622 0.48626 0.59639 0.23693 0.151
0.30304 -0.16643 0.48687 0.59714 0.23881 0.029
0.30342 -0.16663 0.48748 0.59789 0.24070 0.058
0.30380 -0.16684 0.48809 0.59863 0.24258 0.086
0.30418 -0.16705 0.48870 0.59938 0.24447 0.010
0.30456 -0.16726 0.48931 0.60013 0.24635 0.037
0.30494 -0.16747 0.48991 0.60088 0.24824 -0.029
0.30532 -0.16768 0.49052 0.60162 0.25012 0.030
0.30570 -0.16788 0.49113 0.60237 0.25201 0.137
0.30608 -0.16809 0.49174 0.60312 0.25389 -0.017
0.30646 -0.16830 0.49235 0.60387 0.25578 0.129
0.30684 -0.16851 0.49296 0.60461 0.25766 0.105
0.30722 -0.16872 0.49357 0.60536 0.25955 0.127
0.30760 -0.16893 0.49418 0.60611 0.26143 0.127
0.30798 -0.16914 0.49479 0.60686 0.26332 0.107
0.30836 -0.16934 0.49540 0.60760 0.26521 0.199
0.30874 -0.16955 0.49601 0.60835 0.26709 0.096
0.30912 -0.16976 0.49662 0.60910 0.26898 0.097
0.30949 -0.16997 0.49723 0.60985 0.27086 -0.079
0.30987 -0.17018 0.49784 0.61060 0.27275 -0.040
0.31025 -0.17039 0.49845 0.61134 0.27463 -0.017
0.31063 -0.17059 0.49906 0.61209 0.27652 0.097
0.31101 -0.17080 0.49967 0.61284 0.27841 0.140
0.31139 -0.17101 0.50028 0.61359 0.28029 -0.023
0.31177 -0.17122 0.50089 0.61434 0.28218 0.106
0.31215 -0.17143 0.50150 0.61508 0.28407 -0.063
0.31253 -0.17164 0.50211 0.61583 0.28595 -0.098
0.31291 -0.17185 0.50272 0.61658 0.28784 0.066
0.31329 -0.17205 0.50333 0.61733 0.28972 -0.055
0.31367 -0.17226 0.50394 0.61808 0.29161 -0.089
0.31405 -0.17247 0.50455 0.61883 0.29350 0.017
0.31443 -0.17268 0.50516 0.61957 0.29538 0.096
0.31481 -0.17289 0.50577 0.62032 0.29727 0.145
0.31519 -0.17310 0.50638 0.62107 0.29916 0.145
0.31557 -0.17331 0.50699 0.62182 0.30105 0.217
0.31595 -0.17351 0.50760 0.62257 0.30293 0.084
0.31633 -0.17372 0.50821 0.62332 0.30482 0.055
0.31671 -0.17393 0.50882 0.62406 0.30671 -0.057
0.31709 -0.17414 0.50943 0.62481 0.30859 -0.078
0.31747 -0.17435 0.51004 0.62556 0.31048 -0.048
0.31785 -0.17456 0.51065 0.62631 0.31237 0.085
0.31823 -0.17477 0.51126 0.62706 0.31426 0.142
0.31861 -0.17497 0.51187 0.62781 0.31614 -0.069
0.31899 -0.17518 0.51248 0.62855 0.31803 0.017
0.31937 -0.17539 0.51309 0.62930 0.31992 0.045
0.31975 -0.17560 0.51370 0.63005 0.32181 -0.032
0.32013 -0.17581 0.51431 0.63080 0.32369 0.137
