x y z dist_scaled dist_frac flux_norm
0.10695 0.09542 0.48171 0.50258 0.00000 0.967
0.10711 0.09556 0.48242 0.50333 0.00188 0.904
0.10727 0.09570 0.48314 0.50407 0.00375 1.112
0.10743 0.09584 0.48385 0.50481 0.00563 0.877
0.10759 0.09598 0.48456 0.50556 0.00751 1.020
0.10775 0.09612 0.48528 0.50630 0.00938 0.905
0.10790 0.09626 0.48599 0.50705 0.01126 1.203
0.10806 0.09641 0.48670 0.50779 0.01313 0.959
0.10822 0.09655 0.48741 0.50853 0.01501 1.037
0.10838 0.09669 0.48813 0.50928 0.01689 1.048
0.10854 0.09683 0.48884 0.51002 0.01876 1.036
0.10870 0.09697 0.48955 0.51077 0.02064 0.764
0.10885 0.09711 0.49027 0.51151 0.02252 1.023
0.10901 0.09725 0.49098 0.51225 0.02440 0.894
0.10917 0.09739 0.49169 0.51300 0.02627 1.009
0.10933 0.09754 0.49241 0.51374 0.02815 1.022
0.10949 0.09768 0.49312 0.51449 0.03003 1.082
0.10965 0.09782 0.49383 0.51523 0.03190 0.865
0.10980 0.09796 0.49455 0.51597 0.03378 0.876
0.10996 0.09810 0.49526 0.51672 0.03566 0.955
0.11012 0.09824 0.49597 0.51746 0.03754 1.255
0.11028 0.09838 0.49669 0.51821 0.03941 0.969
0.11044 0.09852 0.49740 0.51895 0.04129 0.918
0.11060 0.09867 0.49811 0.51970 0.04317 0.889
0.11075 0.09881 0.49883 0.52044 0.04505 0.812
0.11091 0.09895 0.49954 0.52118 0.04692 1.072
0.11107 0.09909 0.50025 0.52193 0.04880 0.853
0.11123 0.09923 0.50097 0.52267 0.05068 0.918
0.11139 0.09937 0.50168 0.52342 0.05256 1.036
0.11155 0.09951 0.50239 0.52416 0.05444 0.985
0.11171 0.09966 0.50311 0.52491 0.05631 1.076
0.11186 0.09980 0.50382 0.52565 0.05819 1.113
0.11202 0.09994 0.50453 0.52640 0.06007 1.061
