x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.04847 -0.15299 0.47627 0.50258 0.00000 1.055 0.154 1236.115 0.01682
0.04854 -0.15321 0.47698 0.50333 0.00188 0.890 0.144 1236.145 0.01684
0.04861 -0.15344 0.47768 0.50407 0.00375 1.069 0.155 1236.175 0.01687
0.04868 -0.15367 0.47839 0.50481 0.00563 1.084 0.146 1236.205 0.01689
0.04875 -0.15389 0.47909 0.50556 0.00751 0.906 0.144 1236.235 0.01692
0.04883 -0.15412 0.47980 0.50630 0.00938 1.237 0.155 1236.265 0.01694
0.04890 -0.15435 0.48050 0.50705 0.01126 0.876 0.144 1236.295 0.01697
0.04897 -0.15457 0.48121 0.50779 0.01313 0.996 0.152 1236.325 0.01699
0.04904 -0.15480 0.48191 0.50853 0.01501 0.996 0.151 1236.355 0.01701
0.04911 -0.15503 0.48262 0.50928 0.01689 1.040 0.154 1236.384 0.01704
0.04918 -0.15525 0.48332 0.51002 0.01876 1.115 0.149 1236.414 0.01706
0.04926 -0.15548 0.48403 0.51077 0.02064 1.189 0.152 1236.444 0.01709
0.04933 -0.15571 0.48473 0.51151 0.02252 0.949 0.148 1236.474 0.01711
0.04940 -0.15593 0.48544 0.51225 0.02440 1.173 0.160 1236.504 0.01714
0.04947 -0.15616 0.48614 0.51300 0.02627 1.158 0.160 1236.534 0.01716
0.04954 -0.15638 0.48685 0.51374 0.02815 1.052 0.153 1236.564 0.01719
0.04961 -0.15661 0.48755 0.51449 0.03003 1.127 0.158 1236.594 0.01721
0.04969 -0.15684 0.48826 0.51523 0.03190 0.992 0.150 1236.623 0.01724
0.04976 -0.15706 0.48896 0.51597 0.03378 0.902 0.146 1236.653 0.01726
0.04983 -0.15729 0.48967 0.51672 0.03566 0.633 0.128 1236.683 0.01729
0.04990 -0.15752 0.49037 0.51746 0.03754 1.067 0.155 1236.713 0.01731
0.04997 -0.15774 0.49108 0.51821 0.03941 0.917 0.146 1236.743 0.01733
0.05005 -0.15797 0.49178 0.51895 0.04129 0.768 0.136 1236.773 0.01736
0.05012 -0.15820 0.49249 0.51970 0.04317 1.051 0.154 1236.803 0.01738
0.05019 -0.15842 0.49319 0.52044 0.04505 1.050 0.154 1236.833 0.01741
0.05026 -0.15865 0.49390 0.52118 0.04692 0.811 0.140 1236.862 0.01743
0.05033 -0.15888 0.49460 0.52193 0.04880 0.901 0.146 1236.892 0.01746
0.05040 -0.15910 0.49531 0.52267 0.05068 0.931 0.148 1236.922 0.01748
0.05048 -0.15933 0.49602 0.52342 0.05256 1.035 0.152 1236.952 0.01751
0.05055 -0.15956 0.49672 0.52416 0.05444 1.019 0.152 1236.982 0.01753
0.05062 -0.15978 0.49743 0.52491 0.05631 0.796 0.139 1237.012 0.01756
0.05069 -0.16001 0.49813 0.52565 0.05819 0.885 0.144 1237.042 0.01758
0.05076 -0.16024 0.49884 0.52640 0.06007 1.167 0.152 1237.072 0.01760
0.05084 -0.16046 0.49954 0.52714 0.06195 1.063 0.154 1237.101 0.01763
0.05091 -0.16069 0.50025 0.52788 0.06383 1.196 0.161 1237.131 0.01765
0.05098 -0.16092 0.50096 0.52863 0.06571 0.958 0.148 1237.161 0.01768
0.05105 -0.16114 0.50166 0.52937 0.06758 0.957 0.149 1237.191 0.01770
0.05112 -0.16137 0.50237 0.53012 0.06946 1.060 0.154 1237.221 0.01773
0.05119 -0.16160 0.50307 0.53086 0.07134 1.015 0.151 1237.251 0.01775
0.05127 -0.16182 0.50378 0.53161 0.07322 1.015 0.151 1237.281 0.01778
0.05134 -0.16205 0.50448 0.53235 0.07510 0.881 0.144 1237.311 0.01780
0.05141 -0.16228 0.50519 0.53310 0.07698 1.222 0.144 1237.341 0.01783
0.05148 -0.16250 0.50590 0.53384 0.07886 0.998 0.151 1237.370 0.01785
0.05155 -0.16273 0.50660 0.53459 0.08074 0.865 0.141 1237.400 0.01788
0.05163 -0.16296 0.50731 0.53533 0.08261 1.161 0.150 1237.430 0.01790
0.05170 -0.16318 0.50801 0.53608 0.08449 1.145 0.149 1237.460 0.01792
0.05177 -0.16341 0.50872 0.53682 0.08637 0.834 0.140 1237.490 0.01795
0.05184 -0.16364 0.50942 0.53757 0.08825 0.893 0.144 1237.520 0.01797
0.05191 -0.16386 0.51013 0.53831 0.09013 1.247 0.155 1237.550 0.01800
0.05198 -0.16409 0.51084 0.53906 0.09201 1.291 0.148 1237.580 0.01802
0.05206 -0.16432 0.51154 0.53980 0.09389 0.907 0.134 1237.609 0.01805
0.05213 -0.16454 0.51225 0.54055 0.09577 0.936 0.146 1237.639 0.01807
0.05220 -0.16477 0.51296 0.54129 0.09765 0.862 0.142 1237.669 0.01810
0.05227 -0.16500 0.51366 0.54204 0.09953 1.083 0.155 1237.699 0.01812
0.05234 -0.16522 0.51437 0.54278 0.10141 0.744 0.135 1237.729 0.01815
0.05242 -0.16545 0.51507 0.54353 0.10329 0.979 0.148 1237.759 0.01817
0.05249 -0.16568 0.51578 0.54427 0.10517 0.906 0.145 1237.789 0.01819
0.05256 -0.16591 0.51649 0.54502 0.10705 1.171 0.151 1237.819 0.01822
0.05263 -0.16613 0.51719 0.54576 0.10893 1.097 0.155 1237.848 0.01824
0.05270 -0.16636 0.51790 0.54651 0.11081 1.185 0.160 1237.878 0.01827
0.05278 -0.16659 0.51860 0.54725 0.11269 1.051 0.152 1237.908 0.01829
0.05285 -0.16681 0.51931 0.54800 0.11457 1.037 0.143 1237.938 0.01832
0.05292 -0.16704 0.52002 0.54874 0.11645 1.037 0.152 1237.968 0.01834
0.05299 -0.16727 0.52072 0.54949 0.11833 0.973 0.148 1237.998 0.01837
0.05306 -0.16749 0.52143 0.55024 0.12021 1.149 0.158 1238.028 0.01839
0.05313 -0.16772 0.52214 0.55098 0.12209 0.997 0.150 1238.058 0.01842
0.05321 -0.16795 0.52284 0.55173 0.12397 1.072 0.153 1238.087 0.01844
0.05328 -0.16817 0.52355 0.55247 0.12585 1.286 0.157 1238.117 0.01847
0.05335 -0.16840 0.52426 0.55322 0.12773 0.829 0.138 1238.147 0.01849
0.05342 -0.16863 0.52496 0.55396 0.12961 0.978 0.148 1238.177 0.01851
0.05349 -0.16886 0.52567 0.55471 0.13149 1.221 0.152 1238.207 0.01854
0.05357 -0.16908 0.52638 0.55545 0.13338 1.055 0.143 1238.237 0.01856
