x y z dist_scaled dist_frac flux_norm
-0.06431 0.09566 0.48919 0.50258 0.00000 0.868
-0.06440 0.09580 0.48991 0.50333 0.00188 0.890
-0.06450 0.09594 0.49063 0.50407 0.00375 1.059
-0.06459 0.09608 0.49136 0.50481 0.00563 0.844
-0.06469 0.09622 0.49208 0.50556 0.00751 0.816
-0.06478 0.09636 0.49281 0.50630 0.00938 1.153
-0.06488 0.09651 0.49353 0.50705 0.01126 1.103
-0.06497 0.09665 0.49425 0.50779 0.01313 0.942
-0.06507 0.09679 0.49498 0.50853 0.01501 0.963
-0.06517 0.09693 0.49570 0.50928 0.01689 1.177
-0.06526 0.09707 0.49643 0.51002 0.01876 1.176
-0.06536 0.09721 0.49715 0.51077 0.02064 1.296
-0.06545 0.09735 0.49788 0.51151 0.02252 0.915
-0.06555 0.09750 0.49860 0.51225 0.02440 0.891
-0.06564 0.09764 0.49932 0.51300 0.02627 0.890
-0.06574 0.09778 0.50005 0.51374 0.02815 1.200
-0.06583 0.09792 0.50077 0.51449 0.03003 1.055
-0.06593 0.09806 0.50150 0.51523 0.03190 1.152
-0.06602 0.09820 0.50222 0.51597 0.03378 1.033
-0.06612 0.09835 0.50295 0.51672 0.03566 0.961
-0.06621 0.09849 0.50367 0.51746 0.03754 1.339
-0.06631 0.09863 0.50439 0.51821 0.03941 0.794
-0.06640 0.09877 0.50512 0.51895 0.04129 0.982
-0.06650 0.09891 0.50584 0.51970 0.04317 0.865
-0.06659 0.09905 0.50657 0.52044 0.04505 0.910
-0.06669 0.09920 0.50729 0.52118 0.04692 0.744
-0.06678 0.09934 0.50802 0.52193 0.04880 0.411
-0.06688 0.09948 0.50874 0.52267 0.05068 0.435
-0.06697 0.09962 0.50947 0.52342 0.05256 0.246
-0.06707 0.09976 0.51019 0.52416 0.05444 0.292
-0.06717 0.09990 0.51092 0.52491 0.05631 0.197
-0.06726 0.10005 0.51164 0.52565 0.05819 0.388
-0.06736 0.10019 0.51236 0.52640 0.06007 0.506
-0.06745 0.10033 0.51309 0.52714 0.06195 0.697
-0.06755 0.10047 0.51381 0.52788 0.06383 0.482
-0.06764 0.10061 0.51454 0.52863 0.06571 0.815
-0.06774 0.10076 0.51526 0.52937 0.06758 0.984
-0.06783 0.10090 0.51599 0.53012 0.06946 0.939
-0.06793 0.10104 0.51671 0.53086 0.07134 0.937
-0.06802 0.10118 0.51744 0.53161 0.07322 1.149
-0.06812 0.10132 0.51816 0.53235 0.07510 0.981
-0.06821 0.10146 0.51889 0.53310 0.07698 1.005
-0.06831 0.10161 0.51961 0.53384 0.07886 0.933
-0.06840 0.10175 0.52034 0.53459 0.08074 0.959
-0.06850 0.10189 0.52106 0.53533 0.08261 0.960
-0.06859 0.10203 0.52179 0.53608 0.08449 1.054
-0.06869 0.10217 0.52251 0.53682 0.08637 1.147
-0.06879 0.10231 0.52324 0.53757 0.08825 0.934
-0.06888 0.10246 0.52396 0.53831 0.09013 1.103
-0.06898 0.10260 0.52469 0.53906 0.09201 0.723
-0.06907 0.10274 0.52541 0.53980 0.09389 1.009
-0.06917 0.10288 0.52614 0.54055 0.09577 1.033
-0.06926 0.10302 0.52686 0.54129 0.09765 0.983
-0.06936 0.10317 0.52759 0.54204 0.09953 1.127
-0.06945 0.10331 0.52832 0.54278 0.10141 0.842
-0.06955 0.10345 0.52904 0.54353 0.10329 1.106
-0.06964 0.10359 0.52977 0.54427 0.10517 1.245
-0.06974 0.10373 0.53049 0.54502 0.10705 1.296
-0.06983 0.10387 0.53122 0.54576 0.10893 1.153
-0.06993 0.10402 0.53194 0.54651 0.11081 1.104
-0.07002 0.10416 0.53267 0.54725 0.11269 0.727
-0.07012 0.10430 0.53339 0.54800 0.11457 1.034
-0.07022 0.10444 0.53412 0.54874 0.11645 1.031
-0.07031 0.10458 0.53484 0.54949 0.11833 1.083
-0.07041 0.10473 0.53557 0.55024 0.12021 0.843
-0.07050 0.10487 0.53630 0.55098 0.12209 0.919
-0.07060 0.10501 0.53702 0.55173 0.12397 0.747
-0.07069 0.10515 0.53775 0.55247 0.12585 0.962
-0.07079 0.10529 0.53847 0.55322 0.12773 0.988
-0.07088 0.10544 0.53920 0.55396 0.12961 1.033
-0.07098 0.10558 0.53992 0.55471 0.13149 1.126
-0.07107 0.10572 0.54065 0.55545 0.13338 1.178
-0.07117 0.10586 0.54138 0.55620 0.13526 0.937
-0.07126 0.10600 0.54210 0.55695 0.13714 1.010
-0.07136 0.10614 0.54283 0.55769 0.13902 0.842
-0.07146 0.10629 0.54355 0.55844 0.14090 0.889
-0.07155 0.10643 0.54428 0.55918 0.14278 0.818
-0.07165 0.10657 0.54500 0.55993 0.14466 0.699
-0.07174 0.10671 0.54573 0.56067 0.14654 0.887
-0.07184 0.10685 0.54646 0.56142 0.14843 1.003
-0.07193 0.10700 0.54718 0.56217 0.15031 1.172
-0.07203 0.10714 0.54791 0.56291 0.15219 1.100
-0.07212 0.10728 0.54863 0.56366 0.15407 0.671
-0.07222 0.10742 0.54936 0.56440 0.15595 1.056
-0.07231 0.10756 0.55009 0.56515 0.15783 0.745
-0.07241 0.10771 0.55081 0.56590 0.15972 0.936
-0.07251 0.10785 0.55154 0.56664 0.16160 0.934
-0.07260 0.10799 0.55226 0.56739 0.16348 0.913
-0.07270 0.10813 0.55299 0.56813 0.16536 0.842
-0.07279 0.10827 0.55372 0.56888 0.16724 0.791
-0.07289 0.10842 0.55444 0.56963 0.16913 1.102
