x y z dist_scaled dist_frac flux_norm
-0.18619 0.02316 0.46625 0.50258 0.00000 1.050
-0.18647 0.02320 0.46694 0.50333 0.00188 0.916
-0.18674 0.02323 0.46763 0.50407 0.00375 0.946
-0.18702 0.02327 0.46832 0.50481 0.00563 1.015
-0.18729 0.02330 0.46901 0.50556 0.00751 1.045
-0.18757 0.02333 0.46970 0.50630 0.00938 0.906
-0.18785 0.02337 0.47039 0.50705 0.01126 1.008
-0.18812 0.02340 0.47108 0.50779 0.01313 0.909
-0.18840 0.02344 0.47177 0.50853 0.01501 1.044
-0.18867 0.02347 0.47246 0.50928 0.01689 0.908
-0.18895 0.02351 0.47315 0.51002 0.01876 1.038
-0.18922 0.02354 0.47384 0.51077 0.02064 0.982
-0.18950 0.02357 0.47453 0.51151 0.02252 0.957
-0.18977 0.02361 0.47522 0.51225 0.02440 0.886
-0.19005 0.02364 0.47591 0.51300 0.02627 1.006
-0.19033 0.02368 0.47660 0.51374 0.02815 0.932
-0.19060 0.02371 0.47729 0.51449 0.03003 0.972
-0.19088 0.02375 0.47798 0.51523 0.03190 0.972
-0.19115 0.02378 0.47867 0.51597 0.03378 0.971
-0.19143 0.02381 0.47936 0.51672 0.03566 0.990
-0.19170 0.02385 0.48005 0.51746 0.03754 0.925
-0.19198 0.02388 0.48074 0.51821 0.03941 0.979
-0.19226 0.02392 0.48143 0.51895 0.04129 0.944
-0.19253 0.02395 0.48212 0.51970 0.04317 0.991
-0.19281 0.02399 0.48281 0.52044 0.04505 0.909
-0.19308 0.02402 0.48350 0.52118 0.04692 1.031
-0.19336 0.02405 0.48419 0.52193 0.04880 0.986
-0.19363 0.02409 0.48488 0.52267 0.05068 1.048
-0.19391 0.02412 0.48557 0.52342 0.05256 1.002
-0.19419 0.02416 0.48626 0.52416 0.05444 1.031
-0.19446 0.02419 0.48696 0.52491 0.05631 1.005
-0.19474 0.02423 0.48765 0.52565 0.05819 0.929
-0.19501 0.02426 0.48834 0.52640 0.06007 0.754
-0.19529 0.02429 0.48903 0.52714 0.06195 1.052
-0.19557 0.02433 0.48972 0.52788 0.06383 1.305
-0.19584 0.02436 0.49041 0.52863 0.06571 0.954
-0.19612 0.02440 0.49110 0.52937 0.06758 1.360
-0.19639 0.02443 0.49179 0.53012 0.06946 0.993
-0.19667 0.02447 0.49248 0.53086 0.07134 0.972
-0.19695 0.02450 0.49317 0.53161 0.07322 0.921
-0.19722 0.02453 0.49386 0.53235 0.07510 1.010
-0.19750 0.02457 0.49455 0.53310 0.07698 0.978
-0.19777 0.02460 0.49525 0.53384 0.07886 1.156
-0.19805 0.02464 0.49594 0.53459 0.08074 0.956
-0.19832 0.02467 0.49663 0.53533 0.08261 0.930
-0.19860 0.02471 0.49732 0.53608 0.08449 1.062
-0.19888 0.02474 0.49801 0.53682 0.08637 0.954
-0.19915 0.02478 0.49870 0.53757 0.08825 1.012
-0.19943 0.02481 0.49939 0.53831 0.09013 1.024
-0.19970 0.02484 0.50008 0.53906 0.09201 1.089
-0.19998 0.02488 0.50077 0.53980 0.09389 1.042
-0.20026 0.02491 0.50147 0.54055 0.09577 1.116
-0.20053 0.02495 0.50216 0.54129 0.09765 1.045
-0.20081 0.02498 0.50285 0.54204 0.09953 0.989
-0.20108 0.02502 0.50354 0.54278 0.10141 1.057
-0.20136 0.02505 0.50423 0.54353 0.10329 0.990
-0.20164 0.02508 0.50492 0.54427 0.10517 1.041
-0.20191 0.02512 0.50561 0.54502 0.10705 0.946
-0.20219 0.02515 0.50631 0.54576 0.10893 1.044
-0.20247 0.02519 0.50700 0.54651 0.11081 1.056
-0.20274 0.02522 0.50769 0.54725 0.11269 1.102
-0.20302 0.02526 0.50838 0.54800 0.11457 1.031
-0.20329 0.02529 0.50907 0.54874 0.11645 0.897
-0.20357 0.02532 0.50976 0.54949 0.11833 0.976
-0.20385 0.02536 0.51045 0.55024 0.12021 1.067
-0.20412 0.02539 0.51115 0.55098 0.12209 1.024
-0.20440 0.02543 0.51184 0.55173 0.12397 0.991
-0.20467 0.02546 0.51253 0.55247 0.12585 0.997
-0.20495 0.02550 0.51322 0.55322 0.12773 1.000
-0.20523 0.02553 0.51391 0.55396 0.12961 1.045
-0.20550 0.02557 0.51460 0.55471 0.13149 0.978
-0.20578 0.02560 0.51530 0.55545 0.13338 0.969
-0.20606 0.02563 0.51599 0.55620 0.13526 0.987
-0.20633 0.02567 0.51668 0.55695 0.13714 0.974
-0.20661 0.02570 0.51737 0.55769 0.13902 0.937
-0.20688 0.02574 0.51806 0.55844 0.14090 0.968
-0.20716 0.02577 0.51875 0.55918 0.14278 0.965
-0.20744 0.02581 0.51945 0.55993 0.14466 0.916
-0.20771 0.02584 0.52014 0.56067 0.14654 0.858
-0.20799 0.02587 0.52083 0.56142 0.14843 0.974
-0.20827 0.02591 0.52152 0.56217 0.15031 0.898
-0.20854 0.02594 0.52221 0.56291 0.15219 0.852
-0.20882 0.02598 0.52291 0.56366 0.15407 0.909
-0.20910 0.02601 0.52360 0.56440 0.15595 0.806
-0.20937 0.02605 0.52429 0.56515 0.15783 0.802
-0.20965 0.02608 0.52498 0.56590 0.15972 0.793
-0.20992 0.02612 0.52567 0.56664 0.16160 0.824
-0.21020 0.02615 0.52637 0.56739 0.16348 0.817
-0.21048 0.02618 0.52706 0.56813 0.16536 0.826
-0.21075 0.02622 0.52775 0.56888 0.16724 0.875
-0.21103 0.02625 0.52844 0.56963 0.16913 0.912
-0.21131 0.02629 0.52913 0.57037 0.17101 0.911
-0.21158 0.02632 0.52983 0.57112 0.17289 0.881
-0.21186 0.02636 0.53052 0.57186 0.17477 1.061
-0.21214 0.02639 0.53121 0.57261 0.17665 1.008
-0.21241 0.02642 0.53190 0.57336 0.17854 0.972
-0.21269 0.02646 0.53260 0.57410 0.18042 0.993
-0.21296 0.02649 0.53329 0.57485 0.18230 0.983
-0.21324 0.02653 0.53398 0.57560 0.18419 0.971
-0.21352 0.02656 0.53467 0.57634 0.18607 0.886
-0.21379 0.02660 0.53537 0.57709 0.18795 0.922
-0.21407 0.02663 0.53606 0.57784 0.18983 0.940
-0.21435 0.02667 0.53675 0.57858 0.19172 1.050
-0.21462 0.02670 0.53744 0.57933 0.19360 1.040
-0.21490 0.02673 0.53814 0.58007 0.19548 0.955
-0.21518 0.02677 0.53883 0.58082 0.19737 0.994
-0.21545 0.02680 0.53952 0.58157 0.19925 0.936
-0.21573 0.02684 0.54021 0.58231 0.20113 0.888
-0.21601 0.02687 0.54091 0.58306 0.20302 0.998
-0.21628 0.02691 0.54160 0.58381 0.20490 0.884
-0.21656 0.02694 0.54229 0.58455 0.20678 1.033
-0.21684 0.02697 0.54298 0.58530 0.20867 0.923
-0.21711 0.02701 0.54368 0.58605 0.21055 1.042
-0.21739 0.02704 0.54437 0.58679 0.21243 1.030
-0.21767 0.02708 0.54506 0.58754 0.21432 0.976
-0.21794 0.02711 0.54576 0.58829 0.21620 1.027
-0.21822 0.02715 0.54645 0.58904 0.21809 0.979
-0.21850 0.02718 0.54714 0.58978 0.21997 0.953
-0.21877 0.02722 0.54783 0.59053 0.22185 0.936
-0.21905 0.02725 0.54853 0.59128 0.22374 0.970
-0.21933 0.02728 0.54922 0.59202 0.22562 0.936
-0.21960 0.02732 0.54991 0.59277 0.22751 0.833
-0.21988 0.02735 0.55061 0.59352 0.22939 0.919
-0.22016 0.02739 0.55130 0.59426 0.23128 0.979
-0.22043 0.02742 0.55199 0.59501 0.23316 0.927
-0.22071 0.02746 0.55268 0.59576 0.23504 1.039
-0.22099 0.02749 0.55338 0.59650 0.23693 1.013
-0.22126 0.02753 0.55407 0.59725 0.23881 0.873
-0.22154 0.02756 0.55476 0.59800 0.24070 0.942
-0.22182 0.02759 0.55546 0.59875 0.24258 1.003
-0.22209 0.02763 0.55615 0.59949 0.24447 1.086
-0.22237 0.02766 0.55684 0.60024 0.24635 1.000
-0.22265 0.02770 0.55754 0.60099 0.24824 1.024
-0.22293 0.02773 0.55823 0.60174 0.25012 1.034
-0.22320 0.02777 0.55892 0.60248 0.25201 1.081
-0.22348 0.02780 0.55962 0.60323 0.25389 1.043
-0.22376 0.02784 0.56031 0.60398 0.25578 0.964
