x y z dist_scaled dist_frac absorption
-0.13904 0.28247 0.39155 0.50243 0.00000 -0.054
-0.13925 0.28289 0.39213 0.50317 0.00188 0.169
-0.13945 0.28331 0.39271 0.50391 0.00375 -0.006
-0.13966 0.28372 0.39329 0.50466 0.00563 -0.187
-0.13987 0.28414 0.39387 0.50540 0.00750 -0.001
-0.14007 0.28456 0.39445 0.50615 0.00938 -0.063
-0.14028 0.28498 0.39503 0.50689 0.01126 -0.076
-0.14048 0.28540 0.39561 0.50763 0.01313 0.003
-0.14069 0.28582 0.39619 0.50838 0.01501 -0.045
-0.14090 0.28623 0.39677 0.50912 0.01689 -0.004
-0.14110 0.28665 0.39735 0.50987 0.01876 0.103
-0.14131 0.28707 0.39793 0.51061 0.02064 0.128
-0.14151 0.28749 0.39851 0.51136 0.02252 0.117
-0.14172 0.28791 0.39909 0.51210 0.02440 -0.034
-0.14193 0.28833 0.39967 0.51285 0.02627 0.055
-0.14213 0.28875 0.40025 0.51359 0.02815 0.143
-0.14234 0.28916 0.40083 0.51433 0.03003 -0.056
-0.14254 0.28958 0.40141 0.51508 0.03190 -0.018
-0.14275 0.29000 0.40199 0.51582 0.03378 0.208
-0.14296 0.29042 0.40257 0.51657 0.03566 0.057
-0.14316 0.29084 0.40315 0.51731 0.03754 -0.030
-0.14337 0.29126 0.40373 0.51806 0.03941 0.157
-0.14357 0.29168 0.40431 0.51880 0.04129 -0.168
-0.14378 0.29209 0.40489 0.51955 0.04317 -0.128
-0.14399 0.29251 0.40547 0.52029 0.04505 -0.190
-0.14419 0.29293 0.40605 0.52104 0.04692 -0.140
-0.14440 0.29335 0.40663 0.52178 0.04880 0.061
-0.14460 0.29377 0.40721 0.52253 0.05068 0.024
-0.14481 0.29419 0.40779 0.52327 0.05256 -0.099
-0.14502 0.29461 0.40837 0.52401 0.05444 0.174
-0.14522 0.29503 0.40895 0.52476 0.05631 0.089
-0.14543 0.29544 0.40953 0.52550 0.05819 -0.135
-0.14564 0.29586 0.41011 0.52625 0.06007 -0.233
-0.14584 0.29628 0.41070 0.52699 0.06195 -0.096
-0.14605 0.29670 0.41128 0.52774 0.06383 0.005
-0.14625 0.29712 0.41186 0.52848 0.06571 0.204
-0.14646 0.29754 0.41244 0.52923 0.06758 -0.205
-0.14667 0.29796 0.41302 0.52997 0.06946 -0.005
-0.14687 0.29838 0.41360 0.53072 0.07134 -0.152
-0.14708 0.29879 0.41418 0.53146 0.07322 -0.053
-0.14728 0.29921 0.41476 0.53221 0.07510 0.022
-0.14749 0.29963 0.41534 0.53295 0.07698 -0.026
-0.14770 0.30005 0.41592 0.53370 0.07886 -0.137
-0.14790 0.30047 0.41650 0.53445 0.08074 0.123
-0.14811 0.30089 0.41708 0.53519 0.08261 0.099
-0.14832 0.30131 0.41766 0.53594 0.08449 -0.036
-0.14852 0.30173 0.41824 0.53668 0.08637 0.087
-0.14873 0.30215 0.41882 0.53743 0.08825 -0.171
-0.14893 0.30257 0.41941 0.53817 0.09013 0.003
-0.14914 0.30298 0.41999 0.53892 0.09201 -0.046
-0.14935 0.30340 0.42057 0.53966 0.09389 -0.058
-0.14955 0.30382 0.42115 0.54041 0.09577 0.188
-0.14976 0.30424 0.42173 0.54115 0.09765 0.019
-0.14997 0.30466 0.42231 0.54190 0.09953 -0.115
-0.15017 0.30508 0.42289 0.54264 0.10141 -0.016
-0.15038 0.30550 0.42347 0.54339 0.10329 -0.125
-0.15059 0.30592 0.42405 0.54414 0.10517 -0.065
-0.15079 0.30634 0.42463 0.54488 0.10705 -0.003
-0.15100 0.30676 0.42522 0.54563 0.10893 0.010
-0.15120 0.30718 0.42580 0.54637 0.11081 0.024
-0.15141 0.30759 0.42638 0.54712 0.11269 0.182
-0.15162 0.30801 0.42696 0.54786 0.11457 0.074
-0.15182 0.30843 0.42754 0.54861 0.11645 0.233
-0.15203 0.30885 0.42812 0.54935 0.11833 0.088
-0.15224 0.30927 0.42870 0.55010 0.12021 0.149
-0.15244 0.30969 0.42928 0.55085 0.12209 0.113
-0.15265 0.31011 0.42986 0.55159 0.12397 0.150
-0.15286 0.31053 0.43045 0.55234 0.12585 0.018
-0.15306 0.31095 0.43103 0.55308 0.12773 0.067
-0.15327 0.31137 0.43161 0.55383 0.12961 0.032
-0.15347 0.31179 0.43219 0.55458 0.13149 0.092
-0.15368 0.31221 0.43277 0.55532 0.13337 0.080
-0.15389 0.31263 0.43335 0.55607 0.13526 0.008
-0.15409 0.31305 0.43393 0.55681 0.13714 0.093
-0.15430 0.31347 0.43452 0.55756 0.13902 -0.053
-0.15451 0.31388 0.43510 0.55831 0.14090 0.057
-0.15471 0.31430 0.43568 0.55905 0.14278 0.045
-0.15492 0.31472 0.43626 0.55980 0.14466 0.009
-0.15513 0.31514 0.43684 0.56054 0.14654 0.130
