x y z dist_scaled dist_frac flux_norm
-0.23262 0.09144 0.43602 0.50258 0.00000 0.859
-0.23296 0.09158 0.43667 0.50333 0.00188 0.973
-0.23330 0.09171 0.43732 0.50407 0.00375 0.891
-0.23365 0.09185 0.43796 0.50481 0.00563 1.069
-0.23399 0.09198 0.43861 0.50556 0.00751 1.248
-0.23434 0.09212 0.43925 0.50630 0.00938 1.086
-0.23468 0.09225 0.43990 0.50705 0.01126 0.905
-0.23503 0.09239 0.44054 0.50779 0.01313 1.020
-0.23537 0.09252 0.44119 0.50853 0.01501 1.149
-0.23571 0.09266 0.44183 0.50928 0.01689 1.050
-0.23606 0.09279 0.44248 0.51002 0.01876 1.033
-0.23640 0.09293 0.44312 0.51077 0.02064 0.887
-0.23675 0.09307 0.44377 0.51151 0.02252 0.903
-0.23709 0.09320 0.44441 0.51225 0.02440 0.919
-0.23744 0.09334 0.44506 0.51300 0.02627 0.967
-0.23778 0.09347 0.44571 0.51374 0.02815 0.951
-0.23813 0.09361 0.44635 0.51449 0.03003 0.772
-0.23847 0.09374 0.44700 0.51523 0.03190 0.837
-0.23881 0.09388 0.44764 0.51597 0.03378 0.772
-0.23916 0.09401 0.44829 0.51672 0.03566 1.144
-0.23950 0.09415 0.44893 0.51746 0.03754 1.111
-0.23985 0.09428 0.44958 0.51821 0.03941 0.835
-0.24019 0.09442 0.45023 0.51895 0.04129 1.030
-0.24054 0.09455 0.45087 0.51970 0.04317 1.111
-0.24088 0.09469 0.45152 0.52044 0.04505 0.964
-0.24123 0.09483 0.45216 0.52118 0.04692 0.996
-0.24157 0.09496 0.45281 0.52193 0.04880 1.142
-0.24191 0.09510 0.45345 0.52267 0.05068 0.963
-0.24226 0.09523 0.45410 0.52342 0.05256 0.995
-0.24260 0.09537 0.45475 0.52416 0.05444 1.172
-0.24295 0.09550 0.45539 0.52491 0.05631 0.949
-0.24329 0.09564 0.45604 0.52565 0.05819 0.779
-0.24364 0.09577 0.45668 0.52640 0.06007 0.999
-0.24398 0.09591 0.45733 0.52714 0.06195 0.928
-0.24433 0.09604 0.45798 0.52788 0.06383 0.967
-0.24467 0.09618 0.45862 0.52863 0.06571 0.971
-0.24502 0.09632 0.45927 0.52937 0.06758 1.156
-0.24536 0.09645 0.45991 0.53012 0.06946 0.860
-0.24571 0.09659 0.46056 0.53086 0.07134 1.220
-0.24605 0.09672 0.46121 0.53161 0.07322 0.926
-0.24640 0.09686 0.46185 0.53235 0.07510 1.083
-0.24674 0.09699 0.46250 0.53310 0.07698 0.920
-0.24708 0.09713 0.46314 0.53384 0.07886 1.193
-0.24743 0.09726 0.46379 0.53459 0.08074 0.800
-0.24777 0.09740 0.46444 0.53533 0.08261 0.880
-0.24812 0.09754 0.46508 0.53608 0.08449 0.972
-0.24846 0.09767 0.46573 0.53682 0.08637 1.145
-0.24881 0.09781 0.46638 0.53757 0.08825 1.193
-0.24915 0.09794 0.46702 0.53831 0.09013 1.012
-0.24950 0.09808 0.46767 0.53906 0.09201 0.909
-0.24984 0.09821 0.46832 0.53980 0.09389 1.101
-0.25019 0.09835 0.46896 0.54055 0.09577 0.956
-0.25053 0.09848 0.46961 0.54129 0.09765 0.923
-0.25088 0.09862 0.47025 0.54204 0.09953 1.275
-0.25122 0.09876 0.47090 0.54278 0.10141 0.923
-0.25157 0.09889 0.47155 0.54353 0.10329 1.114
-0.25191 0.09903 0.47219 0.54427 0.10517 1.098
-0.25226 0.09916 0.47284 0.54502 0.10705 0.923
-0.25260 0.09930 0.47349 0.54576 0.10893 1.066
-0.25295 0.09943 0.47413 0.54651 0.11081 1.097
-0.25329 0.09957 0.47478 0.54725 0.11269 0.953
-0.25364 0.09970 0.47543 0.54800 0.11457 1.049
-0.25398 0.09984 0.47607 0.54874 0.11645 0.921
-0.25433 0.09998 0.47672 0.54949 0.11833 1.000
-0.25467 0.10011 0.47737 0.55024 0.12021 0.904
-0.25502 0.10025 0.47801 0.55098 0.12209 1.063
-0.25536 0.10038 0.47866 0.55173 0.12397 0.760
-0.25571 0.10052 0.47931 0.55247 0.12585 1.095
-0.25605 0.10065 0.47995 0.55322 0.12773 1.222
-0.25640 0.10079 0.48060 0.55396 0.12961 0.919
-0.25674 0.10093 0.48125 0.55471 0.13149 1.094
-0.25709 0.10106 0.48189 0.55545 0.13338 0.966
-0.25743 0.10120 0.48254 0.55620 0.13526 1.014
-0.25778 0.10133 0.48319 0.55695 0.13714 0.855
-0.25812 0.10147 0.48384 0.55769 0.13902 1.044
-0.25847 0.10160 0.48448 0.55844 0.14090 0.853
-0.25881 0.10174 0.48513 0.55918 0.14278 0.758
-0.25916 0.10188 0.48578 0.55993 0.14466 1.011
-0.25950 0.10201 0.48642 0.56067 0.14654 1.106
-0.25985 0.10215 0.48707 0.56142 0.14843 0.836
-0.26019 0.10228 0.48772 0.56217 0.15031 0.820
-0.26054 0.10242 0.48836 0.56291 0.15219 0.724
-0.26088 0.10255 0.48901 0.56366 0.15407 0.850
-0.26123 0.10269 0.48966 0.56440 0.15595 0.929
-0.26157 0.10283 0.49031 0.56515 0.15783 1.008
-0.26192 0.10296 0.49095 0.56590 0.15972 0.944
-0.26227 0.10310 0.49160 0.56664 0.16160 0.833
-0.26261 0.10323 0.49225 0.56739 0.16348 0.801
-0.26296 0.10337 0.49290 0.56813 0.16536 1.038
-0.26330 0.10350 0.49354 0.56888 0.16724 0.848
-0.26365 0.10364 0.49419 0.56963 0.16913 0.990
-0.26399 0.10378 0.49484 0.57037 0.17101 0.926
-0.26434 0.10391 0.49548 0.57112 0.17289 0.736
-0.26468 0.10405 0.49613 0.57186 0.17477 0.848
-0.26503 0.10418 0.49678 0.57261 0.17665 0.846
-0.26537 0.10432 0.49743 0.57336 0.17854 1.037
-0.26572 0.10445 0.49807 0.57410 0.18042 1.146
-0.26606 0.10459 0.49872 0.57485 0.18230 0.972
-0.26641 0.10473 0.49937 0.57560 0.18419 1.051
-0.26676 0.10486 0.50002 0.57634 0.18607 0.877
-0.26710 0.10500 0.50066 0.57709 0.18795 0.972
-0.26745 0.10513 0.50131 0.57784 0.18983 1.019
-0.26779 0.10527 0.50196 0.57858 0.19172 1.003
-0.26814 0.10540 0.50261 0.57933 0.19360 0.813
-0.26848 0.10554 0.50325 0.58007 0.19548 0.986
-0.26883 0.10568 0.50390 0.58082 0.19737 1.285
-0.26917 0.10581 0.50455 0.58157 0.19925 0.843
-0.26952 0.10595 0.50520 0.58231 0.20113 0.749
-0.26986 0.10608 0.50585 0.58306 0.20302 0.890
-0.27021 0.10622 0.50649 0.58381 0.20490 0.953
-0.27056 0.10636 0.50714 0.58455 0.20678 0.827
-0.27090 0.10649 0.50779 0.58530 0.20867 1.047
-0.27125 0.10663 0.50844 0.58605 0.21055 0.937
-0.27159 0.10676 0.50908 0.58679 0.21243 1.000
-0.27194 0.10690 0.50973 0.58754 0.21432 0.827
-0.27228 0.10703 0.51038 0.58829 0.21620 1.063
-0.27263 0.10717 0.51103 0.58904 0.21809 1.047
-0.27298 0.10731 0.51168 0.58978 0.21997 0.921
-0.27332 0.10744 0.51232 0.59053 0.22185 0.983
-0.27367 0.10758 0.51297 0.59128 0.22374 1.281
-0.27401 0.10771 0.51362 0.59202 0.22562 1.421
-0.27436 0.10785 0.51427 0.59277 0.22751 1.060
-0.27470 0.10799 0.51492 0.59352 0.22939 1.060
-0.27505 0.10812 0.51556 0.59426 0.23128 1.028
-0.27540 0.10826 0.51621 0.59501 0.23316 0.997
-0.27574 0.10839 0.51686 0.59576 0.23504 0.918
-0.27609 0.10853 0.51751 0.59650 0.23693 0.668
-0.27643 0.10867 0.51816 0.59725 0.23881 1.168
-0.27678 0.10880 0.51880 0.59800 0.24070 1.105
-0.27712 0.10894 0.51945 0.59875 0.24258 1.073
-0.27747 0.10907 0.52010 0.59949 0.24447 0.979
-0.27782 0.10921 0.52075 0.60024 0.24635 0.948
-0.27816 0.10935 0.52140 0.60099 0.24824 1.229
-0.27851 0.10948 0.52205 0.60174 0.25012 1.025
-0.27885 0.10962 0.52269 0.60248 0.25201 1.025
-0.27920 0.10975 0.52334 0.60323 0.25389 0.962
-0.27955 0.10989 0.52399 0.60398 0.25578 1.087
-0.27989 0.11003 0.52464 0.60472 0.25766 0.869
-0.28024 0.11016 0.52529 0.60547 0.25955 1.105
-0.28058 0.11030 0.52594 0.60622 0.26144 0.896
-0.28093 0.11043 0.52659 0.60697 0.26332 0.855
-0.28128 0.11057 0.52723 0.60771 0.26521 1.146
-0.28162 0.11071 0.52788 0.60846 0.26709 1.030
-0.28197 0.11084 0.52853 0.60921 0.26898 1.125
-0.28231 0.11098 0.52918 0.60996 0.27086 1.074
-0.28266 0.11111 0.52983 0.61070 0.27275 1.026
-0.28301 0.11125 0.53048 0.61145 0.27464 1.050
-0.28335 0.11139 0.53113 0.61220 0.27652 1.102
-0.28370 0.11152 0.53177 0.61295 0.27841 0.971
-0.28404 0.11166 0.53242 0.61370 0.28029 1.185
-0.28439 0.11179 0.53307 0.61444 0.28218 1.331
-0.28474 0.11193 0.53372 0.61519 0.28407 0.880
-0.28508 0.11207 0.53437 0.61594 0.28595 0.924
-0.28543 0.11220 0.53502 0.61669 0.28784 1.194
-0.28577 0.11234 0.53567 0.61743 0.28973 0.944
-0.28612 0.11247 0.53632 0.61818 0.29161 1.125
-0.28647 0.11261 0.53696 0.61893 0.29350 1.048
-0.28681 0.11275 0.53761 0.61968 0.29539 1.254
