x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.21082 0.17711 0.42045 0.50258 0.00000 1.061 1236.115 0.01682
-0.21113 0.17737 0.42107 0.50333 0.00188 1.084 1236.145 0.01684
-0.21144 0.17763 0.42169 0.50407 0.00375 1.127 1236.175 0.01687
-0.21175 0.17789 0.42232 0.50481 0.00563 1.146 1236.205 0.01689
-0.21206 0.17816 0.42294 0.50556 0.00751 0.863 1236.235 0.01692
-0.21238 0.17842 0.42356 0.50630 0.00938 0.998 1236.265 0.01694
-0.21269 0.17868 0.42418 0.50705 0.01126 1.084 1236.295 0.01697
-0.21300 0.17894 0.42481 0.50779 0.01313 1.035 1236.325 0.01699
-0.21331 0.17920 0.42543 0.50853 0.01501 1.043 1236.355 0.01701
-0.21362 0.17947 0.42605 0.50928 0.01689 1.027 1236.384 0.01704
-0.21394 0.17973 0.42667 0.51002 0.01876 0.954 1236.414 0.01706
-0.21425 0.17999 0.42730 0.51077 0.02064 0.876 1236.444 0.01709
-0.21456 0.18025 0.42792 0.51151 0.02252 0.895 1236.474 0.01711
-0.21487 0.18051 0.42854 0.51225 0.02440 0.970 1236.504 0.01714
-0.21519 0.18078 0.42916 0.51300 0.02627 1.008 1236.534 0.01716
-0.21550 0.18104 0.42979 0.51374 0.02815 0.897 1236.564 0.01719
-0.21581 0.18130 0.43041 0.51449 0.03003 1.006 1236.594 0.01721
-0.21612 0.18156 0.43103 0.51523 0.03190 1.030 1236.623 0.01724
-0.21643 0.18183 0.43165 0.51597 0.03378 1.004 1236.653 0.01726
-0.21675 0.18209 0.43228 0.51672 0.03566 0.989 1236.683 0.01729
-0.21706 0.18235 0.43290 0.51746 0.03754 1.080 1236.713 0.01731
-0.21737 0.18261 0.43352 0.51821 0.03941 1.131 1236.743 0.01733
-0.21768 0.18287 0.43414 0.51895 0.04129 1.125 1236.773 0.01736
-0.21799 0.18314 0.43477 0.51970 0.04317 0.962 1236.803 0.01738
-0.21831 0.18340 0.43539 0.52044 0.04505 0.956 1236.833 0.01741
-0.21862 0.18366 0.43601 0.52118 0.04692 1.107 1236.862 0.01743
-0.21893 0.18392 0.43663 0.52193 0.04880 0.893 1236.892 0.01746
-0.21924 0.18419 0.43726 0.52267 0.05068 0.963 1236.922 0.01748
-0.21956 0.18445 0.43788 0.52342 0.05256 1.009 1236.952 0.01751
-0.21987 0.18471 0.43850 0.52416 0.05444 1.133 1236.982 0.01753
-0.22018 0.18497 0.43913 0.52491 0.05631 0.953 1237.012 0.01756
-0.22049 0.18524 0.43975 0.52565 0.05819 0.971 1237.042 0.01758
-0.22081 0.18550 0.44037 0.52640 0.06007 0.979 1237.072 0.01760
-0.22112 0.18576 0.44099 0.52714 0.06195 1.032 1237.101 0.01763
-0.22143 0.18602 0.44162 0.52788 0.06383 0.975 1237.131 0.01765
-0.22174 0.18629 0.44224 0.52863 0.06571 0.939 1237.161 0.01768
-0.22205 0.18655 0.44286 0.52937 0.06758 0.892 1237.191 0.01770
-0.22237 0.18681 0.44349 0.53012 0.06946 0.869 1237.221 0.01773
-0.22268 0.18707 0.44411 0.53086 0.07134 0.891 1237.251 0.01775
-0.22299 0.18734 0.44473 0.53161 0.07322 0.926 1237.281 0.01778
-0.22330 0.18760 0.44536 0.53235 0.07510 1.044 1237.311 0.01780
-0.22362 0.18786 0.44598 0.53310 0.07698 0.990 1237.341 0.01783
-0.22393 0.18812 0.44660 0.53384 0.07886 0.933 1237.370 0.01785
-0.22424 0.18839 0.44723 0.53459 0.08074 0.949 1237.400 0.01788
-0.22455 0.18865 0.44785 0.53533 0.08261 0.929 1237.430 0.01790
-0.22487 0.18891 0.44847 0.53608 0.08449 0.941 1237.460 0.01792
-0.22518 0.18917 0.44909 0.53682 0.08637 0.973 1237.490 0.01795
-0.22549 0.18944 0.44972 0.53757 0.08825 1.052 1237.520 0.01797
-0.22580 0.18970 0.45034 0.53831 0.09013 0.957 1237.550 0.01800
-0.22612 0.18996 0.45096 0.53906 0.09201 0.971 1237.580 0.01802
-0.22643 0.19022 0.45159 0.53980 0.09389 0.966 1237.609 0.01805
-0.22674 0.19049 0.45221 0.54055 0.09577 1.152 1237.639 0.01807
-0.22705 0.19075 0.45283 0.54129 0.09765 1.076 1237.669 0.01810
-0.22737 0.19101 0.45346 0.54204 0.09953 0.940 1237.699 0.01812
-0.22768 0.19127 0.45408 0.54278 0.10141 0.893 1237.729 0.01815
-0.22799 0.19154 0.45470 0.54353 0.10329 0.971 1237.759 0.01817
-0.22830 0.19180 0.45533 0.54427 0.10517 1.072 1237.789 0.01819
-0.22862 0.19206 0.45595 0.54502 0.10705 1.123 1237.819 0.01822
-0.22893 0.19232 0.45658 0.54576 0.10893 0.988 1237.848 0.01824
-0.22924 0.19259 0.45720 0.54651 0.11081 1.010 1237.878 0.01827
-0.22956 0.19285 0.45782 0.54725 0.11269 1.079 1237.908 0.01829
-0.22987 0.19311 0.45845 0.54800 0.11457 0.897 1237.938 0.01832
-0.23018 0.19337 0.45907 0.54874 0.11645 1.111 1237.968 0.01834
-0.23049 0.19364 0.45969 0.54949 0.11833 0.892 1237.998 0.01837
-0.23081 0.19390 0.46032 0.55024 0.12021 1.087 1238.028 0.01839
-0.23112 0.19416 0.46094 0.55098 0.12209 0.947 1238.058 0.01842
-0.23143 0.19442 0.46156 0.55173 0.12397 0.915 1238.087 0.01844
-0.23174 0.19469 0.46219 0.55247 0.12585 0.960 1238.117 0.01847
-0.23206 0.19495 0.46281 0.55322 0.12773 1.070 1238.147 0.01849
-0.23237 0.19521 0.46343 0.55396 0.12961 0.862 1238.177 0.01851
-0.23268 0.19548 0.46406 0.55471 0.13149 0.954 1238.207 0.01854
-0.23299 0.19574 0.46468 0.55545 0.13338 0.944 1238.237 0.01856
-0.23331 0.19600 0.46531 0.55620 0.13526 0.952 1238.267 0.01859
-0.23362 0.19626 0.46593 0.55695 0.13714 0.869 1238.297 0.01861
-0.23393 0.19653 0.46655 0.55769 0.13902 0.882 1238.327 0.01864
-0.23425 0.19679 0.46718 0.55844 0.14090 0.931 1238.356 0.01866
-0.23456 0.19705 0.46780 0.55918 0.14278 0.945 1238.386 0.01869
-0.23487 0.19732 0.46843 0.55993 0.14466 0.890 1238.416 0.01871
-0.23518 0.19758 0.46905 0.56067 0.14654 0.884 1238.446 0.01874
-0.23550 0.19784 0.46967 0.56142 0.14843 0.847 1238.476 0.01876
-0.23581 0.19810 0.47030 0.56217 0.15031 1.045 1238.506 0.01878
-0.23612 0.19837 0.47092 0.56291 0.15219 0.786 1238.536 0.01881
-0.23644 0.19863 0.47155 0.56366 0.15407 0.823 1238.566 0.01883
-0.23675 0.19889 0.47217 0.56440 0.15595 0.882 1238.595 0.01886
-0.23706 0.19916 0.47279 0.56515 0.15783 0.932 1238.625 0.01888
-0.23737 0.19942 0.47342 0.56590 0.15972 0.854 1238.655 0.01891
-0.23769 0.19968 0.47404 0.56664 0.16160 0.858 1238.685 0.01893
-0.23800 0.19994 0.47467 0.56739 0.16348 0.890 1238.715 0.01896
-0.23831 0.20021 0.47529 0.56813 0.16536 0.953 1238.745 0.01898
-0.23863 0.20047 0.47591 0.56888 0.16724 0.957 1238.775 0.01901
-0.23894 0.20073 0.47654 0.56963 0.16913 0.966 1238.805 0.01903
-0.23925 0.20100 0.47716 0.57037 0.17101 1.029 1238.834 0.01905
-0.23957 0.20126 0.47779 0.57112 0.17289 1.028 1238.864 0.01908
-0.23988 0.20152 0.47841 0.57186 0.17477 0.982 1238.894 0.01910
-0.24019 0.20178 0.47904 0.57261 0.17665 1.033 1238.924 0.01913
-0.24050 0.20205 0.47966 0.57336 0.17854 0.955 1238.954 0.01915
-0.24082 0.20231 0.48028 0.57410 0.18042 1.036 1238.984 0.01918
-0.24113 0.20257 0.48091 0.57485 0.18230 0.972 1239.014 0.01920
-0.24144 0.20284 0.48153 0.57560 0.18419 1.022 1239.044 0.01923
-0.24176 0.20310 0.48216 0.57634 0.18607 0.944 1239.073 0.01925
-0.24207 0.20336 0.48278 0.57709 0.18795 1.003 1239.103 0.01928
-0.24238 0.20363 0.48341 0.57784 0.18983 0.861 1239.133 0.01930
-0.24270 0.20389 0.48403 0.57858 0.19172 0.951 1239.163 0.01933
-0.24301 0.20415 0.48465 0.57933 0.19360 1.037 1239.193 0.01935
-0.24332 0.20441 0.48528 0.58007 0.19548 0.792 1239.223 0.01937
-0.24364 0.20468 0.48590 0.58082 0.19737 0.968 1239.253 0.01940
-0.24395 0.20494 0.48653 0.58157 0.19925 0.964 1239.283 0.01942
-0.24426 0.20520 0.48715 0.58231 0.20113 0.818 1239.313 0.01945
-0.24457 0.20547 0.48778 0.58306 0.20302 0.955 1239.342 0.01947
-0.24489 0.20573 0.48840 0.58381 0.20490 1.036 1239.372 0.01950
-0.24520 0.20599 0.48903 0.58455 0.20678 1.018 1239.402 0.01952
-0.24551 0.20626 0.48965 0.58530 0.20867 1.057 1239.432 0.01955
-0.24583 0.20652 0.49028 0.58605 0.21055 0.984 1239.462 0.01957
-0.24614 0.20678 0.49090 0.58679 0.21243 1.088 1239.492 0.01960
-0.24645 0.20705 0.49153 0.58754 0.21432 0.898 1239.522 0.01962
-0.24677 0.20731 0.49215 0.58829 0.21620 0.988 1239.552 0.01964
-0.24708 0.20757 0.49278 0.58904 0.21809 0.978 1239.581 0.01967
-0.24739 0.20784 0.49340 0.58978 0.21997 1.033 1239.611 0.01969
-0.24771 0.20810 0.49402 0.59053 0.22185 0.964 1239.641 0.01972
-0.24802 0.20836 0.49465 0.59128 0.22374 0.960 1239.671 0.01974
-0.24833 0.20862 0.49527 0.59202 0.22562 0.887 1239.701 0.01977
-0.24865 0.20889 0.49590 0.59277 0.22751 0.810 1239.731 0.01979
-0.24896 0.20915 0.49652 0.59352 0.22939 0.991 1239.761 0.01982
-0.24927 0.20941 0.49715 0.59426 0.23128 0.950 1239.791 0.01984
-0.24959 0.20968 0.49777 0.59501 0.23316 0.828 1239.820 0.01987
-0.24990 0.20994 0.49840 0.59576 0.23504 1.008 1239.850 0.01989
-0.25021 0.21020 0.49902 0.59650 0.23693 0.958 1239.880 0.01992
