x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.29919 0.07429 0.39693 0.50258 0.00000 0.770 1236.115 0.01682
-0.29963 0.07440 0.39752 0.50333 0.00188 0.617 1236.145 0.01684
-0.30008 0.07451 0.39811 0.50407 0.00375 0.653 1236.175 0.01687
-0.30052 0.07462 0.39870 0.50481 0.00563 0.673 1236.205 0.01689
-0.30096 0.07473 0.39928 0.50556 0.00751 0.492 1236.235 0.01692
-0.30140 0.07484 0.39987 0.50630 0.00938 0.782 1236.265 0.01694
-0.30185 0.07495 0.40046 0.50705 0.01126 0.829 1236.295 0.01697
-0.30229 0.07506 0.40105 0.50779 0.01313 0.654 1236.325 0.01699
-0.30273 0.07517 0.40163 0.50853 0.01501 0.622 1236.355 0.01701
-0.30318 0.07528 0.40222 0.50928 0.01689 1.064 1236.384 0.01704
-0.30362 0.07539 0.40281 0.51002 0.01876 0.771 1236.414 0.01706
-0.30406 0.07550 0.40340 0.51077 0.02064 1.077 1236.444 0.01709
-0.30450 0.07561 0.40398 0.51151 0.02252 1.264 1236.474 0.01711
-0.30495 0.07572 0.40457 0.51225 0.02440 1.069 1236.504 0.01714
-0.30539 0.07583 0.40516 0.51300 0.02627 1.152 1236.534 0.01716
-0.30583 0.07594 0.40575 0.51374 0.02815 0.936 1236.564 0.01719
-0.30628 0.07605 0.40633 0.51449 0.03003 1.073 1236.594 0.01721
-0.30672 0.07616 0.40692 0.51523 0.03190 0.802 1236.623 0.01724
-0.30716 0.07627 0.40751 0.51597 0.03378 1.129 1236.653 0.01726
-0.30760 0.07638 0.40810 0.51672 0.03566 1.076 1236.683 0.01729
-0.30805 0.07649 0.40868 0.51746 0.03754 1.023 1236.713 0.01731
-0.30849 0.07660 0.40927 0.51821 0.03941 0.970 1236.743 0.01733
-0.30893 0.07671 0.40986 0.51895 0.04129 1.216 1236.773 0.01736
-0.30938 0.07682 0.41045 0.51970 0.04317 0.998 1236.803 0.01738
-0.30982 0.07693 0.41104 0.52044 0.04505 1.026 1236.833 0.01741
-0.31026 0.07704 0.41162 0.52118 0.04692 1.165 1236.862 0.01743
-0.31071 0.07715 0.41221 0.52193 0.04880 0.945 1236.892 0.01746
-0.31115 0.07726 0.41280 0.52267 0.05068 1.029 1236.922 0.01748
-0.31159 0.07737 0.41339 0.52342 0.05256 0.947 1236.952 0.01751
-0.31204 0.07748 0.41398 0.52416 0.05444 1.085 1236.982 0.01753
-0.31248 0.07759 0.41456 0.52491 0.05631 1.032 1237.012 0.01756
-0.31292 0.07770 0.41515 0.52565 0.05819 0.978 1237.042 0.01758
-0.31337 0.07781 0.41574 0.52640 0.06007 0.952 1237.072 0.01760
-0.31381 0.07792 0.41633 0.52714 0.06195 0.980 1237.101 0.01763
-0.31425 0.07803 0.41692 0.52788 0.06383 1.037 1237.131 0.01765
-0.31470 0.07814 0.41750 0.52863 0.06571 0.789 1237.161 0.01768
-0.31514 0.07825 0.41809 0.52937 0.06758 0.984 1237.191 0.01770
-0.31558 0.07836 0.41868 0.53012 0.06946 1.208 1237.221 0.01773
-0.31603 0.07847 0.41927 0.53086 0.07134 0.904 1237.251 0.01775
-0.31647 0.07858 0.41986 0.53161 0.07322 1.017 1237.281 0.01778
-0.31691 0.07869 0.42045 0.53235 0.07510 0.879 1237.311 0.01780
-0.31736 0.07880 0.42103 0.53310 0.07698 1.103 1237.341 0.01783
-0.31780 0.07891 0.42162 0.53384 0.07886 0.937 1237.370 0.01785
-0.31824 0.07902 0.42221 0.53459 0.08074 1.106 1237.400 0.01788
-0.31869 0.07913 0.42280 0.53533 0.08261 0.856 1237.430 0.01790
-0.31913 0.07924 0.42339 0.53608 0.08449 1.109 1237.460 0.01792
-0.31957 0.07935 0.42397 0.53682 0.08637 1.054 1237.490 0.01795
-0.32002 0.07946 0.42456 0.53757 0.08825 0.689 1237.520 0.01797
-0.32046 0.07957 0.42515 0.53831 0.09013 1.056 1237.550 0.01800
-0.32090 0.07968 0.42574 0.53906 0.09201 0.635 1237.580 0.01802
-0.32135 0.07979 0.42633 0.53980 0.09389 0.889 1237.609 0.01805
-0.32179 0.07990 0.42692 0.54055 0.09577 0.862 1237.639 0.01807
-0.32223 0.08001 0.42751 0.54129 0.09765 0.948 1237.669 0.01810
-0.32268 0.08012 0.42809 0.54204 0.09953 0.977 1237.699 0.01812
-0.32312 0.08023 0.42868 0.54278 0.10141 1.063 1237.729 0.01815
-0.32356 0.08034 0.42927 0.54353 0.10329 0.780 1237.759 0.01817
-0.32401 0.08045 0.42986 0.54427 0.10517 1.573 1237.789 0.01819
-0.32445 0.08056 0.43045 0.54502 0.10705 0.752 1237.819 0.01822
-0.32490 0.08067 0.43104 0.54576 0.10893 0.867 1237.848 0.01824
-0.32534 0.08078 0.43163 0.54651 0.11081 0.924 1237.878 0.01827
-0.32578 0.08089 0.43221 0.54725 0.11269 0.983 1237.908 0.01829
-0.32623 0.08100 0.43280 0.54800 0.11457 0.899 1237.938 0.01832
-0.32667 0.08111 0.43339 0.54874 0.11645 0.986 1237.968 0.01834
-0.32711 0.08122 0.43398 0.54949 0.11833 0.959 1237.998 0.01837
-0.32756 0.08133 0.43457 0.55024 0.12021 0.989 1238.028 0.01839
-0.32800 0.08144 0.43516 0.55098 0.12209 1.360 1238.058 0.01842
-0.32845 0.08155 0.43575 0.55173 0.12397 1.277 1238.087 0.01844
-0.32889 0.08166 0.43634 0.55247 0.12585 1.077 1238.117 0.01847
-0.32933 0.08177 0.43692 0.55322 0.12773 0.791 1238.147 0.01849
-0.32978 0.08188 0.43751 0.55396 0.12961 1.251 1238.177 0.01851
-0.33022 0.08199 0.43810 0.55471 0.13149 0.908 1238.207 0.01854
-0.33066 0.08210 0.43869 0.55545 0.13338 0.706 1238.237 0.01856
-0.33111 0.08222 0.43928 0.55620 0.13526 0.822 1238.267 0.01859
-0.33155 0.08233 0.43987 0.55695 0.13714 1.369 1238.297 0.01861
-0.33200 0.08244 0.44046 0.55769 0.13902 1.313 1238.327 0.01864
-0.33244 0.08255 0.44105 0.55844 0.14090 1.055 1238.356 0.01866
-0.33288 0.08266 0.44164 0.55918 0.14278 0.709 1238.386 0.01869
-0.33333 0.08277 0.44222 0.55993 0.14466 1.143 1238.416 0.01871
-0.33377 0.08288 0.44281 0.56067 0.14654 0.941 1238.446 0.01874
-0.33422 0.08299 0.44340 0.56142 0.14843 0.913 1238.476 0.01876
-0.33466 0.08310 0.44399 0.56217 0.15031 0.625 1238.506 0.01878
-0.33510 0.08321 0.44458 0.56291 0.15219 0.914 1238.536 0.01881
-0.33555 0.08332 0.44517 0.56366 0.15407 0.848 1238.566 0.01883
-0.33599 0.08343 0.44576 0.56440 0.15595 0.770 1238.595 0.01886
-0.33644 0.08354 0.44635 0.56515 0.15783 0.480 1238.625 0.01888
-0.33688 0.08365 0.44694 0.56590 0.15972 0.772 1238.655 0.01891
-0.33732 0.08376 0.44753 0.56664 0.16160 0.714 1238.685 0.01893
-0.33777 0.08387 0.44812 0.56739 0.16348 1.036 1238.715 0.01896
-0.33821 0.08398 0.44870 0.56813 0.16536 1.095 1238.745 0.01898
-0.33866 0.08409 0.44929 0.56888 0.16724 0.950 1238.775 0.01901
-0.33910 0.08420 0.44988 0.56963 0.16913 1.127 1238.805 0.01903
-0.33955 0.08431 0.45047 0.57037 0.17101 1.216 1238.834 0.01905
-0.33999 0.08442 0.45106 0.57112 0.17289 0.983 1238.864 0.01908
-0.34043 0.08453 0.45165 0.57186 0.17477 0.896 1238.894 0.01910
-0.34088 0.08464 0.45224 0.57261 0.17665 1.424 1238.924 0.01913
-0.34132 0.08475 0.45283 0.57336 0.17854 1.307 1238.954 0.01915
-0.34177 0.08486 0.45342 0.57410 0.18042 1.015 1238.984 0.01918
-0.34221 0.08497 0.45401 0.57485 0.18230 1.103 1239.014 0.01920
-0.34266 0.08508 0.45460 0.57560 0.18419 1.104 1239.044 0.01923
-0.34310 0.08519 0.45519 0.57634 0.18607 1.605 1239.073 0.01925
-0.34354 0.08530 0.45578 0.57709 0.18795 0.900 1239.103 0.01928
-0.34399 0.08541 0.45637 0.57784 0.18983 0.577 1239.133 0.01930
-0.34443 0.08552 0.45696 0.57858 0.19172 0.754 1239.163 0.01933
-0.34488 0.08563 0.45755 0.57933 0.19360 0.754 1239.193 0.01935
-0.34532 0.08574 0.45814 0.58007 0.19548 0.548 1239.223 0.01937
-0.34577 0.08585 0.45872 0.58082 0.19737 0.934 1239.253 0.01940
-0.34621 0.08596 0.45931 0.58157 0.19925 1.030 1239.283 0.01942
-0.34665 0.08608 0.45990 0.58231 0.20113 0.895 1239.313 0.01945
-0.34710 0.08619 0.46049 0.58306 0.20302 0.726 1239.342 0.01947
-0.34754 0.08630 0.46108 0.58381 0.20490 0.943 1239.372 0.01950
-0.34799 0.08641 0.46167 0.58455 0.20678 0.728 1239.402 0.01952
-0.34843 0.08652 0.46226 0.58530 0.20867 0.920 1239.432 0.01955
-0.34888 0.08663 0.46285 0.58605 0.21055 0.590 1239.462 0.01957
-0.34932 0.08674 0.46344 0.58679 0.21243 1.205 1239.492 0.01960
-0.34977 0.08685 0.46403 0.58754 0.21432 0.972 1239.522 0.01962
-0.35021 0.08696 0.46462 0.58829 0.21620 1.450 1239.552 0.01964
-0.35066 0.08707 0.46521 0.58904 0.21809 0.736 1239.581 0.01967
-0.35110 0.08718 0.46580 0.58978 0.21997 1.207 1239.611 0.01969
-0.35154 0.08729 0.46639 0.59053 0.22185 0.962 1239.641 0.01972
-0.35199 0.08740 0.46698 0.59128 0.22374 1.186 1239.671 0.01974
-0.35243 0.08751 0.46757 0.59202 0.22562 1.039 1239.701 0.01977
-0.35288 0.08762 0.46816 0.59277 0.22751 0.916 1239.731 0.01979
-0.35332 0.08773 0.46875 0.59352 0.22939 1.228 1239.761 0.01982
-0.35377 0.08784 0.46934 0.59426 0.23128 0.833 1239.791 0.01984
-0.35421 0.08795 0.46993 0.59501 0.23316 1.067 1239.820 0.01987
-0.35466 0.08806 0.47052 0.59576 0.23504 0.939 1239.850 0.01989
-0.35510 0.08817 0.47111 0.59650 0.23693 0.854 1239.880 0.01992
-0.35555 0.08828 0.47170 0.59725 0.23881 0.701 1239.910 0.01994
-0.35599 0.08839 0.47229 0.59800 0.24070 0.895 1239.940 0.01996
-0.35644 0.08850 0.47288 0.59875 0.24258 1.038 1239.970 0.01999
-0.35688 0.08861 0.47347 0.59949 0.24447 1.129 1240.000 0.02001
