x y z dist_scaled dist_frac absorption
-0.29910 0.07427 0.39681 0.50243 0.00000 0.032
-0.29954 0.07438 0.39740 0.50317 0.00188 0.279
-0.29998 0.07449 0.39798 0.50391 0.00375 0.254
-0.30043 0.07460 0.39857 0.50466 0.00563 0.327
-0.30087 0.07471 0.39916 0.50540 0.00750 0.300
-0.30131 0.07482 0.39975 0.50615 0.00938 0.413
-0.30175 0.07493 0.40034 0.50689 0.01126 0.313
-0.30220 0.07504 0.40092 0.50763 0.01313 0.171
-0.30264 0.07515 0.40151 0.50838 0.01501 0.133
-0.30308 0.07526 0.40210 0.50912 0.01689 0.343
-0.30353 0.07537 0.40269 0.50987 0.01876 0.269
-0.30397 0.07548 0.40327 0.51061 0.02064 -0.078
-0.30441 0.07559 0.40386 0.51136 0.02252 0.145
-0.30486 0.07570 0.40445 0.51210 0.02440 -0.179
-0.30530 0.07581 0.40504 0.51285 0.02627 -0.362
-0.30574 0.07592 0.40563 0.51359 0.02815 -0.053
-0.30619 0.07603 0.40621 0.51433 0.03003 -0.165
-0.30663 0.07614 0.40680 0.51508 0.03190 -0.080
-0.30707 0.07625 0.40739 0.51582 0.03378 0.088
-0.30752 0.07636 0.40798 0.51657 0.03566 -0.051
-0.30796 0.07647 0.40857 0.51731 0.03754 -0.023
-0.30840 0.07658 0.40915 0.51806 0.03941 -0.107
-0.30885 0.07669 0.40974 0.51880 0.04129 0.090
-0.30929 0.07680 0.41033 0.51955 0.04317 0.006
-0.30973 0.07691 0.41092 0.52029 0.04505 -0.386
-0.31018 0.07702 0.41151 0.52104 0.04692 -0.021
-0.31062 0.07713 0.41210 0.52178 0.04880 -0.021
-0.31106 0.07724 0.41268 0.52253 0.05068 -0.217
-0.31151 0.07735 0.41327 0.52327 0.05256 0.121
-0.31195 0.07746 0.41386 0.52401 0.05444 -0.187
-0.31239 0.07757 0.41445 0.52476 0.05631 -0.019
-0.31284 0.07768 0.41504 0.52550 0.05819 0.065
-0.31328 0.07779 0.41562 0.52625 0.06007 -0.076
-0.31372 0.07790 0.41621 0.52699 0.06195 -0.019
-0.31417 0.07801 0.41680 0.52774 0.06383 -0.020
-0.31461 0.07812 0.41739 0.52848 0.06571 0.204
-0.31505 0.07823 0.41798 0.52923 0.06758 0.036
-0.31550 0.07834 0.41857 0.52997 0.06946 -0.047
-0.31594 0.07845 0.41915 0.53072 0.07134 0.120
-0.31638 0.07856 0.41974 0.53146 0.07322 -0.328
-0.31683 0.07867 0.42033 0.53221 0.07510 0.007
-0.31727 0.07878 0.42092 0.53295 0.07698 0.147
-0.31771 0.07889 0.42151 0.53370 0.07886 0.090
-0.31816 0.07900 0.42210 0.53445 0.08074 0.063
-0.31860 0.07911 0.42269 0.53519 0.08261 -0.050
-0.31905 0.07922 0.42327 0.53594 0.08449 -0.218
-0.31949 0.07933 0.42386 0.53668 0.08637 0.090
-0.31993 0.07944 0.42445 0.53743 0.08825 -0.022
