x y z dist_scaled dist_frac absorption
-0.41532 -0.00738 0.28265 0.50243 0.00000 -0.265
-0.41593 -0.00739 0.28307 0.50317 0.00188 -0.211
-0.41655 -0.00741 0.28349 0.50391 0.00375 0.150
-0.41716 -0.00742 0.28390 0.50466 0.00563 0.013
-0.41778 -0.00743 0.28432 0.50540 0.00750 0.225
-0.41839 -0.00744 0.28474 0.50615 0.00938 0.091
-0.41901 -0.00745 0.28516 0.50689 0.01126 0.466
-0.41962 -0.00746 0.28558 0.50763 0.01313 0.110
-0.42024 -0.00747 0.28600 0.50838 0.01501 -0.246
-0.42085 -0.00748 0.28642 0.50912 0.01689 0.156
-0.42147 -0.00749 0.28683 0.50987 0.01876 -0.134
-0.42208 -0.00750 0.28725 0.51061 0.02064 0.018
-0.42270 -0.00751 0.28767 0.51136 0.02252 0.214
-0.42331 -0.00753 0.28809 0.51210 0.02440 -0.160
-0.42393 -0.00754 0.28851 0.51285 0.02627 0.051
-0.42454 -0.00755 0.28893 0.51359 0.02815 -0.235
-0.42516 -0.00756 0.28935 0.51433 0.03003 -0.091
-0.42577 -0.00757 0.28977 0.51508 0.03190 0.087
-0.42639 -0.00758 0.29018 0.51582 0.03378 0.187
-0.42701 -0.00759 0.29060 0.51657 0.03566 -0.052
-0.42762 -0.00760 0.29102 0.51731 0.03754 0.036
-0.42824 -0.00761 0.29144 0.51806 0.03941 0.115
-0.42885 -0.00762 0.29186 0.51880 0.04129 0.012
-0.42947 -0.00764 0.29228 0.51955 0.04317 -0.085
-0.43008 -0.00765 0.29270 0.52029 0.04505 -0.044
-0.43070 -0.00766 0.29312 0.52104 0.04692 -0.142
-0.43131 -0.00767 0.29354 0.52178 0.04880 -0.042
-0.43193 -0.00768 0.29396 0.52253 0.05068 0.071
-0.43255 -0.00769 0.29437 0.52327 0.05256 0.050
-0.43316 -0.00770 0.29479 0.52401 0.05444 0.114
-0.43378 -0.00771 0.29521 0.52476 0.05631 -0.040
-0.43439 -0.00772 0.29563 0.52550 0.05819 0.092
-0.43501 -0.00773 0.29605 0.52625 0.06007 -0.043
-0.43562 -0.00774 0.29647 0.52699 0.06195 -0.017
-0.43624 -0.00776 0.29689 0.52774 0.06383 0.204
-0.43686 -0.00777 0.29731 0.52848 0.06571 0.003
-0.43747 -0.00778 0.29773 0.52923 0.06758 -0.153
-0.43809 -0.00779 0.29815 0.52997 0.06946 -0.286
-0.43870 -0.00780 0.29857 0.53072 0.07134 -0.109
-0.43932 -0.00781 0.29898 0.53146 0.07322 -0.040
-0.43994 -0.00782 0.29940 0.53221 0.07510 0.090
-0.44055 -0.00783 0.29982 0.53295 0.07698 0.024
-0.44117 -0.00784 0.30024 0.53370 0.07886 -0.083
-0.44178 -0.00785 0.30066 0.53445 0.08074 0.049
-0.44240 -0.00787 0.30108 0.53519 0.08261 0.159
