x y z dist_scaled dist_frac flux_norm
-0.30740 -0.18167 0.35368 0.50258 0.00000 1.111
-0.30785 -0.18194 0.35420 0.50333 0.00188 0.943
-0.30831 -0.18221 0.35473 0.50407 0.00375 0.964
-0.30876 -0.18248 0.35525 0.50481 0.00563 1.019
-0.30922 -0.18275 0.35578 0.50556 0.00751 0.997
-0.30967 -0.18301 0.35630 0.50630 0.00938 1.007
-0.31013 -0.18328 0.35682 0.50705 0.01126 0.937
-0.31058 -0.18355 0.35735 0.50779 0.01313 0.992
-0.31104 -0.18382 0.35787 0.50853 0.01501 1.022
-0.31149 -0.18409 0.35839 0.50928 0.01689 0.948
-0.31195 -0.18436 0.35892 0.51002 0.01876 0.914
-0.31240 -0.18463 0.35944 0.51077 0.02064 1.052
-0.31286 -0.18490 0.35996 0.51151 0.02252 1.003
-0.31331 -0.18517 0.36049 0.51225 0.02440 0.964
-0.31377 -0.18543 0.36101 0.51300 0.02627 0.987
-0.31423 -0.18570 0.36153 0.51374 0.02815 0.990
-0.31468 -0.18597 0.36206 0.51449 0.03003 1.062
-0.31514 -0.18624 0.36258 0.51523 0.03190 1.061
-0.31559 -0.18651 0.36311 0.51597 0.03378 1.070
-0.31605 -0.18678 0.36363 0.51672 0.03566 0.974
-0.31650 -0.18705 0.36415 0.51746 0.03754 1.010
-0.31696 -0.18732 0.36468 0.51821 0.03941 1.036
-0.31741 -0.18759 0.36520 0.51895 0.04129 1.106
-0.31787 -0.18786 0.36572 0.51970 0.04317 1.007
-0.31832 -0.18812 0.36625 0.52044 0.04505 1.005
-0.31878 -0.18839 0.36677 0.52118 0.04692 0.999
-0.31923 -0.18866 0.36730 0.52193 0.04880 0.993
-0.31969 -0.18893 0.36782 0.52267 0.05068 1.000
-0.32014 -0.18920 0.36834 0.52342 0.05256 0.966
-0.32060 -0.18947 0.36887 0.52416 0.05444 1.012
-0.32105 -0.18974 0.36939 0.52491 0.05631 0.994
-0.32151 -0.19001 0.36992 0.52565 0.05819 0.987
-0.32196 -0.19028 0.37044 0.52640 0.06007 1.049
-0.32242 -0.19055 0.37096 0.52714 0.06195 1.025
-0.32288 -0.19082 0.37149 0.52788 0.06383 0.962
-0.32333 -0.19108 0.37201 0.52863 0.06571 0.986
-0.32379 -0.19135 0.37254 0.52937 0.06758 1.000
-0.32424 -0.19162 0.37306 0.53012 0.06946 0.926
-0.32470 -0.19189 0.37358 0.53086 0.07134 1.044
-0.32515 -0.19216 0.37411 0.53161 0.07322 1.009
-0.32561 -0.19243 0.37463 0.53235 0.07510 0.982
-0.32606 -0.19270 0.37516 0.53310 0.07698 1.005
-0.32652 -0.19297 0.37568 0.53384 0.07886 1.107
-0.32698 -0.19324 0.37620 0.53459 0.08074 1.007
-0.32743 -0.19351 0.37673 0.53533 0.08261 1.040
-0.32789 -0.19378 0.37725 0.53608 0.08449 1.055
-0.32834 -0.19405 0.37778 0.53682 0.08637 0.930
-0.32880 -0.19432 0.37830 0.53757 0.08825 1.007
-0.32925 -0.19459 0.37883 0.53831 0.09013 1.063
-0.32971 -0.19485 0.37935 0.53906 0.09201 1.032
-0.33016 -0.19512 0.37987 0.53980 0.09389 1.040
-0.33062 -0.19539 0.38040 0.54055 0.09577 1.040
-0.33108 -0.19566 0.38092 0.54129 0.09765 0.977
-0.33153 -0.19593 0.38145 0.54204 0.09953 0.977
-0.33199 -0.19620 0.38197 0.54278 0.10141 1.002
-0.33244 -0.19647 0.38250 0.54353 0.10329 1.076
-0.33290 -0.19674 0.38302 0.54427 0.10517 0.970
-0.33336 -0.19701 0.38354 0.54502 0.10705 1.080
-0.33381 -0.19728 0.38407 0.54576 0.10893 1.068
-0.33427 -0.19755 0.38459 0.54651 0.11081 1.056
-0.33472 -0.19782 0.38512 0.54725 0.11269 0.959
-0.33518 -0.19809 0.38564 0.54800 0.11457 1.000
-0.33563 -0.19836 0.38617 0.54874 0.11645 0.950
-0.33609 -0.19863 0.38669 0.54949 0.11833 0.928
-0.33655 -0.19890 0.38722 0.55024 0.12021 0.898
-0.33700 -0.19916 0.38774 0.55098 0.12209 0.991
-0.33746 -0.19943 0.38827 0.55173 0.12397 0.955
-0.33791 -0.19970 0.38879 0.55247 0.12585 0.888
-0.33837 -0.19997 0.38931 0.55322 0.12773 0.939
-0.33883 -0.20024 0.38984 0.55396 0.12961 0.902
-0.33928 -0.20051 0.39036 0.55471 0.13149 0.975
-0.33974 -0.20078 0.39089 0.55545 0.13338 0.801
-0.34019 -0.20105 0.39141 0.55620 0.13526 0.885
-0.34065 -0.20132 0.39194 0.55695 0.13714 0.897
-0.34111 -0.20159 0.39246 0.55769 0.13902 0.945
-0.34156 -0.20186 0.39299 0.55844 0.14090 0.977
-0.34202 -0.20213 0.39351 0.55918 0.14278 0.906
-0.34248 -0.20240 0.39404 0.55993 0.14466 0.919
-0.34293 -0.20267 0.39456 0.56067 0.14654 0.866
-0.34339 -0.20294 0.39509 0.56142 0.14843 0.902
-0.34384 -0.20321 0.39561 0.56217 0.15031 0.867
-0.34430 -0.20348 0.39614 0.56291 0.15219 0.872
-0.34476 -0.20375 0.39666 0.56366 0.15407 0.847
-0.34521 -0.20402 0.39719 0.56440 0.15595 0.818
-0.34567 -0.20429 0.39771 0.56515 0.15783 0.792
-0.34612 -0.20456 0.39824 0.56590 0.15972 0.733
-0.34658 -0.20483 0.39876 0.56664 0.16160 0.793
-0.34704 -0.20510 0.39929 0.56739 0.16348 0.701
-0.34749 -0.20536 0.39981 0.56813 0.16536 0.759
-0.34795 -0.20563 0.40034 0.56888 0.16724 0.850
-0.34841 -0.20590 0.40086 0.56963 0.16913 0.870
-0.34886 -0.20617 0.40139 0.57037 0.17101 0.907
-0.34932 -0.20644 0.40191 0.57112 0.17289 0.902
-0.34978 -0.20671 0.40244 0.57186 0.17477 0.928
-0.35023 -0.20698 0.40296 0.57261 0.17665 0.985
-0.35069 -0.20725 0.40349 0.57336 0.17854 0.964
-0.35115 -0.20752 0.40401 0.57410 0.18042 1.002
-0.35160 -0.20779 0.40454 0.57485 0.18230 0.989
-0.35206 -0.20806 0.40506 0.57560 0.18419 0.987
-0.35251 -0.20833 0.40559 0.57634 0.18607 0.967
-0.35297 -0.20860 0.40611 0.57709 0.18795 0.994
-0.35343 -0.20887 0.40664 0.57784 0.18983 0.983
-0.35388 -0.20914 0.40716 0.57858 0.19172 1.043
-0.35434 -0.20941 0.40769 0.57933 0.19360 1.012
-0.35480 -0.20968 0.40822 0.58007 0.19548 0.976
-0.35525 -0.20995 0.40874 0.58082 0.19737 1.119
-0.35571 -0.21022 0.40927 0.58157 0.19925 1.084
-0.35617 -0.21049 0.40979 0.58231 0.20113 1.059
-0.35662 -0.21076 0.41032 0.58306 0.20302 1.016
-0.35708 -0.21103 0.41084 0.58381 0.20490 0.974
-0.35754 -0.21130 0.41137 0.58455 0.20678 0.993
-0.35799 -0.21157 0.41189 0.58530 0.20867 0.955
-0.35845 -0.21184 0.41242 0.58605 0.21055 1.014
-0.35891 -0.21211 0.41294 0.58679 0.21243 0.944
-0.35936 -0.21238 0.41347 0.58754 0.21432 0.987
-0.35982 -0.21265 0.41400 0.58829 0.21620 1.034
-0.36028 -0.21292 0.41452 0.58904 0.21809 0.961
-0.36073 -0.21319 0.41505 0.58978 0.21997 1.013
-0.36119 -0.21346 0.41557 0.59053 0.22185 0.984
-0.36165 -0.21373 0.41610 0.59128 0.22374 0.940
-0.36211 -0.21400 0.41662 0.59202 0.22562 1.034
-0.36256 -0.21427 0.41715 0.59277 0.22751 0.961
-0.36302 -0.21454 0.41767 0.59352 0.22939 0.945
-0.36348 -0.21481 0.41820 0.59426 0.23128 0.932
-0.36393 -0.21508 0.41873 0.59501 0.23316 0.889
-0.36439 -0.21535 0.41925 0.59576 0.23504 0.970
-0.36485 -0.21562 0.41978 0.59650 0.23693 0.903
-0.36530 -0.21589 0.42030 0.59725 0.23881 0.849
-0.36576 -0.21616 0.42083 0.59800 0.24070 0.929
-0.36622 -0.21643 0.42135 0.59875 0.24258 0.919
-0.36667 -0.21670 0.42188 0.59949 0.24447 0.983
-0.36713 -0.21697 0.42241 0.60024 0.24635 0.994
-0.36759 -0.21724 0.42293 0.60099 0.24824 0.912
-0.36805 -0.21751 0.42346 0.60174 0.25012 1.035
-0.36850 -0.21778 0.42398 0.60248 0.25201 0.924
-0.36896 -0.21805 0.42451 0.60323 0.25389 1.075
-0.36942 -0.21832 0.42504 0.60398 0.25578 0.973
-0.36987 -0.21859 0.42556 0.60472 0.25766 0.874
-0.37033 -0.21886 0.42609 0.60547 0.25955 0.912
-0.37079 -0.21913 0.42661 0.60622 0.26144 0.986
-0.37125 -0.21940 0.42714 0.60697 0.26332 0.907
-0.37170 -0.21967 0.42767 0.60771 0.26521 0.913
-0.37216 -0.21994 0.42819 0.60846 0.26709 0.835
-0.37262 -0.22021 0.42872 0.60921 0.26898 0.947
-0.37307 -0.22048 0.42924 0.60996 0.27086 0.908
-0.37353 -0.22075 0.42977 0.61070 0.27275 0.968
-0.37399 -0.22102 0.43030 0.61145 0.27464 0.928
-0.37445 -0.22129 0.43082 0.61220 0.27652 0.936
-0.37490 -0.22156 0.43135 0.61295 0.27841 1.006
-0.37536 -0.22183 0.43187 0.61370 0.28029 1.056
-0.37582 -0.22210 0.43240 0.61444 0.28218 0.987
-0.37628 -0.22237 0.43293 0.61519 0.28407 0.999
-0.37673 -0.22264 0.43345 0.61594 0.28595 0.934
-0.37719 -0.22292 0.43398 0.61669 0.28784 0.923
-0.37765 -0.22319 0.43451 0.61743 0.28973 1.046
-0.37811 -0.22346 0.43503 0.61818 0.29161 0.953
-0.37856 -0.22373 0.43556 0.61893 0.29350 1.008
-0.37902 -0.22400 0.43608 0.61968 0.29539 1.059
-0.37948 -0.22427 0.43661 0.62043 0.29727 0.950
-0.37994 -0.22454 0.43714 0.62117 0.29916 1.003
-0.38039 -0.22481 0.43766 0.62192 0.30105 0.929
-0.38085 -0.22508 0.43819 0.62267 0.30293 0.929
-0.38131 -0.22535 0.43872 0.62342 0.30482 0.917
-0.38177 -0.22562 0.43924 0.62417 0.30671 0.872
-0.38222 -0.22589 0.43977 0.62491 0.30859 1.008
-0.38268 -0.22616 0.44030 0.62566 0.31048 0.993
-0.38314 -0.22643 0.44082 0.62641 0.31237 0.970
-0.38360 -0.22670 0.44135 0.62716 0.31426 0.955
-0.38405 -0.22697 0.44188 0.62791 0.31614 1.022
-0.38451 -0.22724 0.44240 0.62866 0.31803 0.989
-0.38497 -0.22751 0.44293 0.62940 0.31992 0.958
-0.38543 -0.22778 0.44346 0.63015 0.32181 0.978
-0.38588 -0.22805 0.44398 0.63090 0.32369 0.945
-0.38634 -0.22832 0.44451 0.63165 0.32558 0.984
-0.38680 -0.22859 0.44504 0.63240 0.32747 1.069
-0.38726 -0.22886 0.44556 0.63315 0.32936 0.998
-0.38771 -0.22914 0.44609 0.63389 0.33125 0.944
-0.38817 -0.22941 0.44662 0.63464 0.33313 1.016
-0.38863 -0.22968 0.44714 0.63539 0.33502 1.016
-0.38909 -0.22995 0.44767 0.63614 0.33691 1.011
-0.38955 -0.23022 0.44820 0.63689 0.33880 0.939
-0.39000 -0.23049 0.44872 0.63764 0.34069 1.157
-0.39046 -0.23076 0.44925 0.63838 0.34258 0.991
-0.39092 -0.23103 0.44978 0.63913 0.34446 0.948
-0.39138 -0.23130 0.45030 0.63988 0.34635 1.026
-0.39184 -0.23157 0.45083 0.64063 0.34824 1.044
-0.39229 -0.23184 0.45136 0.64138 0.35013 0.950
-0.39275 -0.23211 0.45188 0.64213 0.35202 1.015
-0.39321 -0.23238 0.45241 0.64288 0.35391 1.019
-0.39367 -0.23265 0.45294 0.64363 0.35580 0.996
-0.39413 -0.23292 0.45346 0.64437 0.35769 0.973
-0.39458 -0.23319 0.45399 0.64512 0.35957 0.962
-0.39504 -0.23347 0.45452 0.64587 0.36146 0.983
-0.39550 -0.23374 0.45505 0.64662 0.36335 0.901
-0.39596 -0.23401 0.45557 0.64737 0.36524 0.985
-0.39642 -0.23428 0.45610 0.64812 0.36713 1.000
-0.39687 -0.23455 0.45663 0.64887 0.36902 0.944
-0.39733 -0.23482 0.45715 0.64962 0.37091 0.921
-0.39779 -0.23509 0.45768 0.65037 0.37280 0.874
-0.39825 -0.23536 0.45821 0.65111 0.37469 0.883
-0.39871 -0.23563 0.45873 0.65186 0.37658 0.927
-0.39916 -0.23590 0.45926 0.65261 0.37847 0.946
-0.39962 -0.23617 0.45979 0.65336 0.38036 0.911
-0.40008 -0.23644 0.46032 0.65411 0.38225 0.939
-0.40054 -0.23671 0.46084 0.65486 0.38414 0.917
-0.40100 -0.23698 0.46137 0.65561 0.38603 0.899
-0.40146 -0.23726 0.46190 0.65636 0.38792 0.914
-0.40191 -0.23753 0.46243 0.65711 0.38981 0.976
-0.40237 -0.23780 0.46295 0.65786 0.39170 0.977
-0.40283 -0.23807 0.46348 0.65861 0.39359 0.942
-0.40329 -0.23834 0.46401 0.65936 0.39548 0.936
-0.40375 -0.23861 0.46453 0.66011 0.39737 0.845
-0.40421 -0.23888 0.46506 0.66085 0.39926 0.833
-0.40466 -0.23915 0.46559 0.66160 0.40115 0.940
-0.40512 -0.23942 0.46612 0.66235 0.40304 0.913
-0.40558 -0.23969 0.46664 0.66310 0.40493 0.865
-0.40604 -0.23996 0.46717 0.66385 0.40682 0.850
-0.40650 -0.24024 0.46770 0.66460 0.40871 0.891
-0.40696 -0.24051 0.46823 0.66535 0.41060 0.926
-0.40741 -0.24078 0.46875 0.66610 0.41249 0.883
-0.40787 -0.24105 0.46928 0.66685 0.41438 0.945
-0.40833 -0.24132 0.46981 0.66760 0.41628 0.882
-0.40879 -0.24159 0.47034 0.66835 0.41817 0.936
-0.40925 -0.24186 0.47086 0.66910 0.42006 0.929
