x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.21454 0.31623 0.32643 0.50258 0.00000 1.130 1236.115 0.01682
-0.21486 0.31670 0.32691 0.50333 0.00188 0.799 1236.145 0.01684
-0.21518 0.31717 0.32740 0.50407 0.00375 0.994 1236.175 0.01687
-0.21549 0.31764 0.32788 0.50481 0.00563 0.883 1236.205 0.01689
-0.21581 0.31811 0.32836 0.50556 0.00751 0.717 1236.235 0.01692
-0.21613 0.31857 0.32885 0.50630 0.00938 0.803 1236.265 0.01694
-0.21645 0.31904 0.32933 0.50705 0.01126 1.136 1236.295 0.01697
-0.21676 0.31951 0.32981 0.50779 0.01313 1.001 1236.325 0.01699
-0.21708 0.31998 0.33030 0.50853 0.01501 0.918 1236.355 0.01701
-0.21740 0.32045 0.33078 0.50928 0.01689 0.951 1236.384 0.01704
-0.21772 0.32092 0.33126 0.51002 0.01876 1.017 1236.414 0.01706
-0.21803 0.32138 0.33175 0.51077 0.02064 0.872 1236.444 0.01709
-0.21835 0.32185 0.33223 0.51151 0.02252 1.060 1236.474 0.01711
-0.21867 0.32232 0.33271 0.51225 0.02440 1.129 1236.504 0.01714
-0.21899 0.32279 0.33320 0.51300 0.02627 0.883 1236.534 0.01716
-0.21930 0.32326 0.33368 0.51374 0.02815 1.016 1236.564 0.01719
-0.21962 0.32372 0.33416 0.51449 0.03003 1.121 1236.594 0.01721
-0.21994 0.32419 0.33465 0.51523 0.03190 0.881 1236.623 0.01724
-0.22026 0.32466 0.33513 0.51597 0.03378 1.190 1236.653 0.01726
-0.22057 0.32513 0.33561 0.51672 0.03566 0.981 1236.683 0.01729
-0.22089 0.32560 0.33610 0.51746 0.03754 0.846 1236.713 0.01731
-0.22121 0.32607 0.33658 0.51821 0.03941 1.047 1236.743 0.01733
-0.22153 0.32653 0.33706 0.51895 0.04129 1.093 1236.773 0.01736
-0.22185 0.32700 0.33755 0.51970 0.04317 1.131 1236.803 0.01738
-0.22216 0.32747 0.33803 0.52044 0.04505 1.404 1236.833 0.01741
-0.22248 0.32794 0.33851 0.52118 0.04692 0.926 1236.862 0.01743
-0.22280 0.32841 0.33900 0.52193 0.04880 1.322 1236.892 0.01746
-0.22312 0.32888 0.33948 0.52267 0.05068 1.126 1236.922 0.01748
-0.22343 0.32934 0.33996 0.52342 0.05256 1.040 1236.952 0.01751
-0.22375 0.32981 0.34045 0.52416 0.05444 0.843 1236.982 0.01753
-0.22407 0.33028 0.34093 0.52491 0.05631 1.153 1237.012 0.01756
-0.22439 0.33075 0.34141 0.52565 0.05819 1.210 1237.042 0.01758
-0.22471 0.33122 0.34190 0.52640 0.06007 1.038 1237.072 0.01760
-0.22502 0.33169 0.34238 0.52714 0.06195 1.096 1237.101 0.01763
-0.22534 0.33216 0.34287 0.52788 0.06383 1.378 1237.131 0.01765
-0.22566 0.33262 0.34335 0.52863 0.06571 1.040 1237.161 0.01768
-0.22598 0.33309 0.34383 0.52937 0.06758 1.068 1237.191 0.01770
-0.22629 0.33356 0.34432 0.53012 0.06946 1.012 1237.221 0.01773
-0.22661 0.33403 0.34480 0.53086 0.07134 0.872 1237.251 0.01775
-0.22693 0.33450 0.34528 0.53161 0.07322 1.043 1237.281 0.01778
-0.22725 0.33497 0.34577 0.53235 0.07510 1.042 1237.311 0.01780
-0.22757 0.33544 0.34625 0.53310 0.07698 1.154 1237.341 0.01783
-0.22788 0.33590 0.34673 0.53384 0.07886 0.928 1237.370 0.01785
-0.22820 0.33637 0.34722 0.53459 0.08074 0.985 1237.400 0.01788
