x y z dist_scaled dist_frac absorption
-0.21447 0.31614 0.32633 0.50243 0.00000 0.184
-0.21479 0.31660 0.32681 0.50317 0.00188 0.243
-0.21511 0.31707 0.32730 0.50391 0.00375 0.073
-0.21543 0.31754 0.32778 0.50466 0.00563 0.074
-0.21574 0.31801 0.32826 0.50540 0.00750 0.101
-0.21606 0.31848 0.32875 0.50615 0.00938 0.016
-0.21638 0.31895 0.32923 0.50689 0.01126 0.156
-0.21670 0.31941 0.32971 0.50763 0.01313 -0.154
-0.21701 0.31988 0.33020 0.50838 0.01501 -0.040
-0.21733 0.32035 0.33068 0.50912 0.01689 0.208
-0.21765 0.32082 0.33116 0.50987 0.01876 0.088
-0.21797 0.32129 0.33165 0.51061 0.02064 0.197
-0.21829 0.32176 0.33213 0.51136 0.02252 0.052
-0.21860 0.32222 0.33261 0.51210 0.02440 -0.287
-0.21892 0.32269 0.33310 0.51285 0.02627 -0.113
-0.21924 0.32316 0.33358 0.51359 0.02815 0.029
-0.21956 0.32363 0.33406 0.51433 0.03003 0.183
-0.21987 0.32410 0.33455 0.51508 0.03190 -0.052
-0.22019 0.32457 0.33503 0.51582 0.03378 -0.271
-0.22051 0.32503 0.33551 0.51657 0.03566 0.024
-0.22083 0.32550 0.33600 0.51731 0.03754 0.036
-0.22115 0.32597 0.33648 0.51806 0.03941 0.034
-0.22146 0.32644 0.33697 0.51880 0.04129 -0.185
-0.22178 0.32691 0.33745 0.51955 0.04317 0.099
-0.22210 0.32738 0.33793 0.52029 0.04505 -0.122
-0.22242 0.32785 0.33842 0.52104 0.04692 -0.316
-0.22274 0.32831 0.33890 0.52178 0.04880 -0.206
-0.22305 0.32878 0.33938 0.52253 0.05068 -0.374
-0.22337 0.32925 0.33987 0.52327 0.05256 -0.120
-0.22369 0.32972 0.34035 0.52401 0.05444 0.331
-0.22401 0.33019 0.34084 0.52476 0.05631 0.021
-0.22432 0.33066 0.34132 0.52550 0.05819 -0.231
-0.22464 0.33113 0.34180 0.52625 0.06007 0.051
-0.22496 0.33160 0.34229 0.52699 0.06195 -0.144
-0.22528 0.33206 0.34277 0.52774 0.06383 -0.144
-0.22560 0.33253 0.34325 0.52848 0.06571 -0.255
-0.22591 0.33300 0.34374 0.52923 0.06758 -0.113
-0.22623 0.33347 0.34422 0.52997 0.06946 0.052
-0.22655 0.33394 0.34471 0.53072 0.07134 0.166
-0.22687 0.33441 0.34519 0.53146 0.07322 -0.144
-0.22719 0.33488 0.34567 0.53221 0.07510 -0.059
-0.22751 0.33535 0.34616 0.53295 0.07698 -0.086
-0.22782 0.33581 0.34664 0.53370 0.07886 -0.055
-0.22814 0.33628 0.34713 0.53445 0.08074 0.110
-0.22846 0.33675 0.34761 0.53519 0.08261 0.170
-0.22878 0.33722 0.34809 0.53594 0.08449 -0.084
-0.22910 0.33769 0.34858 0.53668 0.08637 0.000
-0.22941 0.33816 0.34906 0.53743 0.08825 -0.085
-0.22973 0.33863 0.34955 0.53817 0.09013 0.283
-0.23005 0.33910 0.35003 0.53892 0.09201 -0.110
-0.23037 0.33957 0.35051 0.53966 0.09389 -0.302
-0.23069 0.34004 0.35100 0.54041 0.09577 -0.052
-0.23100 0.34050 0.35148 0.54115 0.09765 -0.220
-0.23132 0.34097 0.35197 0.54190 0.09953 0.257
-0.23164 0.34144 0.35245 0.54264 0.10141 0.088
-0.23196 0.34191 0.35294 0.54339 0.10329 -0.271
-0.23228 0.34238 0.35342 0.54414 0.10517 0.061
-0.23260 0.34285 0.35390 0.54488 0.10705 0.172
-0.23291 0.34332 0.35439 0.54563 0.10893 -0.189
-0.23323 0.34379 0.35487 0.54637 0.11081 -0.133
-0.23355 0.34426 0.35536 0.54712 0.11269 -0.073
-0.23387 0.34473 0.35584 0.54786 0.11457 -0.075
-0.23419 0.34520 0.35633 0.54861 0.11645 0.205
-0.23451 0.34566 0.35681 0.54935 0.11833 0.148
-0.23482 0.34613 0.35729 0.55010 0.12021 -0.050
-0.23514 0.34660 0.35778 0.55085 0.12209 0.261
-0.23546 0.34707 0.35826 0.55159 0.12397 0.177
-0.23578 0.34754 0.35875 0.55234 0.12585 0.040
-0.23610 0.34801 0.35923 0.55308 0.12773 -0.156
-0.23642 0.34848 0.35972 0.55383 0.12961 -0.048
-0.23673 0.34895 0.36020 0.55458 0.13149 0.009
-0.23705 0.34942 0.36069 0.55532 0.13337 0.038
-0.23737 0.34989 0.36117 0.55607 0.13526 -0.046
-0.23769 0.35036 0.36165 0.55681 0.13714 0.204
-0.23801 0.35083 0.36214 0.55756 0.13902 -0.018
-0.23833 0.35130 0.36262 0.55831 0.14090 0.122
-0.23865 0.35177 0.36311 0.55905 0.14278 -0.159
-0.23896 0.35224 0.36359 0.55980 0.14466 0.008
-0.23928 0.35271 0.36408 0.56054 0.14654 0.146
-0.23960 0.35317 0.36456 0.56129 0.14842 -0.100
-0.23992 0.35364 0.36505 0.56204 0.15031 0.065
-0.24024 0.35411 0.36553 0.56278 0.15219 0.067
-0.24056 0.35458 0.36602 0.56353 0.15407 0.122
-0.24088 0.35505 0.36650 0.56428 0.15595 0.122
-0.24119 0.35552 0.36699 0.56502 0.15783 -0.013
-0.24151 0.35599 0.36747 0.56577 0.15971 0.012
-0.24183 0.35646 0.36796 0.56651 0.16160 0.316
-0.24215 0.35693 0.36844 0.56726 0.16348 0.373
-0.24247 0.35740 0.36892 0.56801 0.16536 0.155
