x y z dist_scaled dist_frac flux_norm
-0.07936 0.35940 0.34224 0.50258 0.00000 0.725
-0.07947 0.35993 0.34274 0.50333 0.00188 0.778
-0.07959 0.36046 0.34325 0.50407 0.00375 0.659
-0.07971 0.36099 0.34376 0.50481 0.00563 0.686
-0.07983 0.36152 0.34426 0.50556 0.00751 0.651
-0.07994 0.36206 0.34477 0.50630 0.00938 0.749
-0.08006 0.36259 0.34528 0.50705 0.01126 0.718
-0.08018 0.36312 0.34578 0.50779 0.01313 0.804
-0.08030 0.36365 0.34629 0.50853 0.01501 0.684
-0.08041 0.36418 0.34680 0.50928 0.01689 0.779
-0.08053 0.36471 0.34730 0.51002 0.01876 0.895
-0.08065 0.36525 0.34781 0.51077 0.02064 0.842
-0.08077 0.36578 0.34832 0.51151 0.02252 0.827
-0.08088 0.36631 0.34882 0.51225 0.02440 0.688
-0.08100 0.36684 0.34933 0.51300 0.02627 0.732
-0.08112 0.36738 0.34984 0.51374 0.02815 0.932
-0.08124 0.36791 0.35034 0.51449 0.03003 0.856
-0.08135 0.36844 0.35085 0.51523 0.03190 0.807
-0.08147 0.36897 0.35136 0.51597 0.03378 0.783
-0.08159 0.36950 0.35186 0.51672 0.03566 0.849
-0.08171 0.37004 0.35237 0.51746 0.03754 0.812
-0.08182 0.37057 0.35288 0.51821 0.03941 0.849
-0.08194 0.37110 0.35338 0.51895 0.04129 0.915
-0.08206 0.37163 0.35389 0.51970 0.04317 0.896
-0.08218 0.37217 0.35440 0.52044 0.04505 0.980
-0.08229 0.37270 0.35490 0.52118 0.04692 0.820
-0.08241 0.37323 0.35541 0.52193 0.04880 0.764
-0.08253 0.37376 0.35592 0.52267 0.05068 1.011
-0.08265 0.37429 0.35643 0.52342 0.05256 0.885
-0.08276 0.37483 0.35693 0.52416 0.05444 0.980
-0.08288 0.37536 0.35744 0.52491 0.05631 0.892
-0.08300 0.37589 0.35795 0.52565 0.05819 0.889
-0.08312 0.37642 0.35845 0.52640 0.06007 0.774
-0.08323 0.37696 0.35896 0.52714 0.06195 0.939
-0.08335 0.37749 0.35947 0.52788 0.06383 0.887
-0.08347 0.37802 0.35997 0.52863 0.06571 0.826
-0.08359 0.37855 0.36048 0.52937 0.06758 0.764
-0.08370 0.37909 0.36099 0.53012 0.06946 0.930
-0.08382 0.37962 0.36150 0.53086 0.07134 0.807
-0.08394 0.38015 0.36200 0.53161 0.07322 1.071
