x y z dist_scaled dist_frac flux_norm
0.19004 0.28489 0.36729 0.50218 0.00000 0.972
0.19032 0.28532 0.36784 0.50292 0.00188 1.103
0.19060 0.28574 0.36838 0.50367 0.00375 1.068
0.19088 0.28616 0.36893 0.50441 0.00563 1.026
0.19116 0.28658 0.36947 0.50515 0.00750 1.040
0.19145 0.28700 0.37001 0.50590 0.00938 1.042
0.19173 0.28743 0.37056 0.50664 0.01126 1.129
0.19201 0.28785 0.37110 0.50739 0.01313 0.933
0.19229 0.28827 0.37165 0.50813 0.01501 1.035
0.19257 0.28869 0.37219 0.50888 0.01689 0.882
0.19285 0.28912 0.37274 0.50962 0.01876 1.136
0.19314 0.28954 0.37328 0.51036 0.02064 1.051
0.19342 0.28996 0.37382 0.51111 0.02252 1.008
0.19370 0.29038 0.37437 0.51185 0.02440 0.952
0.19398 0.29081 0.37491 0.51260 0.02627 0.957
0.19426 0.29123 0.37546 0.51334 0.02815 1.019
0.19454 0.29165 0.37600 0.51409 0.03003 0.978
0.19483 0.29207 0.37655 0.51483 0.03190 1.074
0.19511 0.29249 0.37709 0.51558 0.03378 1.060
0.19539 0.29292 0.37764 0.51632 0.03566 0.996
0.19567 0.29334 0.37818 0.51706 0.03754 0.969
0.19595 0.29376 0.37872 0.51781 0.03941 0.980
0.19623 0.29418 0.37927 0.51855 0.04129 1.017
0.19652 0.29461 0.37981 0.51930 0.04317 1.033
0.19680 0.29503 0.38036 0.52004 0.04505 0.908
0.19708 0.29545 0.38090 0.52079 0.04692 0.921
0.19736 0.29587 0.38145 0.52153 0.04880 0.986
0.19764 0.29630 0.38199 0.52228 0.05068 1.045
0.19793 0.29672 0.38254 0.52302 0.05256 0.988
0.19821 0.29714 0.38308 0.52377 0.05444 0.993
0.19849 0.29756 0.38363 0.52451 0.05631 0.971
0.19877 0.29799 0.38417 0.52526 0.05819 0.892
0.19905 0.29841 0.38472 0.52600 0.06007 0.897
0.19933 0.29883 0.38526 0.52675 0.06195 0.884
0.19962 0.29925 0.38581 0.52749 0.06383 1.006
0.19990 0.29968 0.38635 0.52824 0.06571 0.937
0.20018 0.30010 0.38690 0.52898 0.06758 1.099
0.20046 0.30052 0.38744 0.52973 0.06946 1.036
0.20074 0.30095 0.38799 0.53047 0.07134 0.960
0.20103 0.30137 0.38853 0.53122 0.07322 1.016
0.20131 0.30179 0.38908 0.53196 0.07510 1.068
0.20159 0.30221 0.38962 0.53271 0.07698 1.091
0.20187 0.30264 0.39017 0.53345 0.07886 0.943
0.20215 0.30306 0.39071 0.53420 0.08074 0.964
0.20244 0.30348 0.39126 0.53494 0.08261 0.980
0.20272 0.30390 0.39180 0.53569 0.08449 0.939
0.20300 0.30433 0.39235 0.53643 0.08637 0.928
0.20328 0.30475 0.39289 0.53718 0.08825 1.041
0.20356 0.30517 0.39344 0.53792 0.09013 0.954
0.20385 0.30560 0.39398 0.53867 0.09201 0.984
0.20413 0.30602 0.39453 0.53941 0.09389 1.029
0.20441 0.30644 0.39507 0.54016 0.09577 0.989
0.20469 0.30686 0.39562 0.54090 0.09765 1.045
0.20498 0.30729 0.39616 0.54165 0.09953 1.007
0.20526 0.30771 0.39671 0.54240 0.10141 0.977
0.20554 0.30813 0.39725 0.54314 0.10329 1.025
0.20582 0.30856 0.39780 0.54389 0.10517 0.880
0.20610 0.30898 0.39834 0.54463 0.10705 0.972
0.20639 0.30940 0.39889 0.54538 0.10893 0.941
0.20667 0.30983 0.39943 0.54612 0.11081 1.067
0.20695 0.31025 0.39998 0.54687 0.11269 1.042
0.20723 0.31067 0.40052 0.54761 0.11457 0.991
0.20751 0.31109 0.40107 0.54836 0.11645 0.924
0.20780 0.31152 0.40162 0.54911 0.11833 1.026
0.20808 0.31194 0.40216 0.54985 0.12021 1.063
0.20836 0.31236 0.40271 0.55060 0.12209 0.904
0.20864 0.31279 0.40325 0.55134 0.12397 0.963
0.20893 0.31321 0.40380 0.55209 0.12585 1.022
0.20921 0.31363 0.40434 0.55284 0.12773 1.064
0.20949 0.31406 0.40489 0.55358 0.12961 1.038
0.20977 0.31448 0.40543 0.55433 0.13149 1.022
0.21005 0.31490 0.40598 0.55507 0.13337 1.002
0.21034 0.31533 0.40653 0.55582 0.13526 1.013
0.21062 0.31575 0.40707 0.55656 0.13714 1.034
0.21090 0.31617 0.40762 0.55731 0.13902 0.929
0.21118 0.31660 0.40816 0.55806 0.14090 1.042
0.21147 0.31702 0.40871 0.55880 0.14278 0.950
0.21175 0.31744 0.40925 0.55955 0.14466 1.066
0.21203 0.31786 0.40980 0.56030 0.14654 1.033
0.21231 0.31829 0.41035 0.56104 0.14842 1.102
0.21260 0.31871 0.41089 0.56179 0.15031 0.947
0.21288 0.31913 0.41144 0.56253 0.15219 0.875
0.21316 0.31956 0.41198 0.56328 0.15407 1.027
0.21344 0.31998 0.41253 0.56403 0.15595 0.986
0.21373 0.32041 0.41307 0.56477 0.15783 0.935
0.21401 0.32083 0.41362 0.56552 0.15971 0.943
0.21429 0.32125 0.41417 0.56627 0.16160 0.948
0.21457 0.32168 0.41471 0.56701 0.16348 0.929
0.21486 0.32210 0.41526 0.56776 0.16536 0.905
0.21514 0.32252 0.41580 0.56850 0.16724 0.884
0.21542 0.32295 0.41635 0.56925 0.16912 0.831
0.21570 0.32337 0.41690 0.57000 0.17101 0.844
0.21598 0.32379 0.41744 0.57074 0.17289 0.974
0.21627 0.32422 0.41799 0.57149 0.17477 0.939
0.21655 0.32464 0.41853 0.57224 0.17665 0.963
0.21683 0.32506 0.41908 0.57298 0.17854 0.923
0.21712 0.32549 0.41963 0.57373 0.18042 0.917
0.21740 0.32591 0.42017 0.57448 0.18230 0.909
0.21768 0.32633 0.42072 0.57522 0.18418 0.954
0.21796 0.32676 0.42126 0.57597 0.18607 1.002
0.21825 0.32718 0.42181 0.57672 0.18795 1.025
0.21853 0.32760 0.42236 0.57746 0.18983 0.969
0.21881 0.32803 0.42290 0.57821 0.19172 1.041
0.21909 0.32845 0.42345 0.57896 0.19360 0.966
0.21938 0.32888 0.42399 0.57970 0.19548 1.062
0.21966 0.32930 0.42454 0.58045 0.19737 0.965
0.21994 0.32972 0.42509 0.58120 0.19925 0.981
0.22022 0.33015 0.42563 0.58194 0.20113 0.936
0.22051 0.33057 0.42618 0.58269 0.20302 0.962
0.22079 0.33099 0.42673 0.58344 0.20490 1.064
0.22107 0.33142 0.42727 0.58419 0.20678 0.941
0.22135 0.33184 0.42782 0.58493 0.20867 0.984
0.22164 0.33227 0.42837 0.58568 0.21055 0.981
0.22192 0.33269 0.42891 0.58643 0.21243 1.046
0.22220 0.33311 0.42946 0.58717 0.21432 1.027
0.22249 0.33354 0.43000 0.58792 0.21620 0.957
0.22277 0.33396 0.43055 0.58867 0.21809 1.037
0.22305 0.33439 0.43110 0.58942 0.21997 1.015
0.22333 0.33481 0.43164 0.59016 0.22185 1.057
0.22362 0.33523 0.43219 0.59091 0.22374 0.930
0.22390 0.33566 0.43274 0.59166 0.22562 0.988
0.22418 0.33608 0.43328 0.59240 0.22751 1.086
0.22446 0.33650 0.43383 0.59315 0.22939 0.866
0.22475 0.33693 0.43438 0.59390 0.23127 0.985
0.22503 0.33735 0.43492 0.59465 0.23316 0.967
0.22531 0.33778 0.43547 0.59539 0.23504 0.911
0.22560 0.33820 0.43602 0.59614 0.23693 0.878
0.22588 0.33862 0.43656 0.59689 0.23881 0.878
0.22616 0.33905 0.43711 0.59764 0.24070 0.905
0.22644 0.33947 0.43766 0.59838 0.24258 1.003
0.22673 0.33990 0.43820 0.59913 0.24447 0.983
0.22701 0.34032 0.43875 0.59988 0.24635 0.883
0.22729 0.34075 0.43930 0.60063 0.24824 0.879
0.22758 0.34117 0.43984 0.60137 0.25012 1.009
0.22786 0.34159 0.44039 0.60212 0.25201 0.946
0.22814 0.34202 0.44094 0.60287 0.25389 1.037
0.22842 0.34244 0.44148 0.60362 0.25578 0.955
0.22871 0.34287 0.44203 0.60436 0.25766 1.048
0.22899 0.34329 0.44258 0.60511 0.25955 0.956
0.22927 0.34371 0.44313 0.60586 0.26143 0.900
0.22956 0.34414 0.44367 0.60661 0.26332 0.870
0.22984 0.34456 0.44422 0.60736 0.26521 0.902
0.23012 0.34499 0.44477 0.60810 0.26709 0.834
0.23041 0.34541 0.44531 0.60885 0.26898 0.879
0.23069 0.34584 0.44586 0.60960 0.27086 0.925
0.23097 0.34626 0.44641 0.61035 0.27275 0.978
0.23125 0.34668 0.44695 0.61109 0.27463 1.022
0.23154 0.34711 0.44750 0.61184 0.27652 0.957
0.23182 0.34753 0.44805 0.61259 0.27841 1.014
0.23210 0.34796 0.44860 0.61334 0.28029 0.998
0.23239 0.34838 0.44914 0.61409 0.28218 0.921
0.23267 0.34881 0.44969 0.61484 0.28407 1.056
0.23295 0.34923 0.45024 0.61558 0.28595 0.918
0.23324 0.34966 0.45078 0.61633 0.28784 1.004
0.23352 0.35008 0.45133 0.61708 0.28972 0.962
0.23380 0.35050 0.45188 0.61783 0.29161 1.046
0.23409 0.35093 0.45243 0.61858 0.29350 0.889
0.23437 0.35135 0.45297 0.61932 0.29538 1.012
0.23465 0.35178 0.45352 0.62007 0.29727 1.004
0.23494 0.35220 0.45407 0.62082 0.29916 0.848
0.23522 0.35263 0.45462 0.62157 0.30105 1.048
0.23550 0.35305 0.45516 0.62232 0.30293 0.921
0.23579 0.35348 0.45571 0.62307 0.30482 0.872
0.23607 0.35390 0.45626 0.62381 0.30671 0.926
0.23635 0.35432 0.45680 0.62456 0.30859 0.924
0.23663 0.35475 0.45735 0.62531 0.31048 0.979
0.23692 0.35517 0.45790 0.62606 0.31237 0.911
0.23720 0.35560 0.45845 0.62681 0.31426 1.011
0.23748 0.35602 0.45899 0.62756 0.31614 0.949
0.23777 0.35645 0.45954 0.62831 0.31803 1.041
0.23805 0.35687 0.46009 0.62905 0.31992 0.986
0.23833 0.35730 0.46064 0.62980 0.32181 0.999
0.23862 0.35772 0.46118 0.63055 0.32369 1.014
0.23890 0.35815 0.46173 0.63130 0.32558 0.951
0.23918 0.35857 0.46228 0.63205 0.32747 1.045
0.23947 0.35900 0.46283 0.63280 0.32936 1.034
0.23975 0.35942 0.46337 0.63355 0.33124 1.000
0.24003 0.35985 0.46392 0.63429 0.33313 0.989
0.24032 0.36027 0.46447 0.63504 0.33502 0.949
0.24060 0.36070 0.46502 0.63579 0.33691 0.877
0.24088 0.36112 0.46557 0.63654 0.33880 0.940
0.24117 0.36155 0.46611 0.63729 0.34069 0.967
0.24145 0.36197 0.46666 0.63804 0.34257 0.948
0.24173 0.36240 0.46721 0.63879 0.34446 1.084
0.24202 0.36282 0.46776 0.63954 0.34635 0.936
0.24230 0.36325 0.46830 0.64029 0.34824 1.016
0.24259 0.36367 0.46885 0.64104 0.35013 0.969
0.24287 0.36409 0.46940 0.64178 0.35202 0.956
0.24315 0.36452 0.46995 0.64253 0.35391 0.992
0.24344 0.36494 0.47050 0.64328 0.35580 0.973
0.24372 0.36537 0.47104 0.64403 0.35768 0.998
0.24400 0.36579 0.47159 0.64478 0.35957 0.917
0.24429 0.36622 0.47214 0.64553 0.36146 0.938
0.24457 0.36664 0.47269 0.64628 0.36335 0.926
0.24485 0.36707 0.47324 0.64703 0.36524 1.069
0.24514 0.36750 0.47378 0.64778 0.36713 0.954
0.24542 0.36792 0.47433 0.64853 0.36902 0.996
0.24570 0.36835 0.47488 0.64928 0.37091 0.823
0.24599 0.36877 0.47543 0.65003 0.37280 0.975
0.24627 0.36920 0.47598 0.65077 0.37469 0.940
0.24655 0.36962 0.47652 0.65152 0.37658 0.898
0.24684 0.37005 0.47707 0.65227 0.37847 0.961
0.24712 0.37047 0.47762 0.65302 0.38036 0.995
0.24741 0.37090 0.47817 0.65377 0.38225 0.990
0.24769 0.37132 0.47872 0.65452 0.38414 0.935
0.24797 0.37175 0.47926 0.65527 0.38603 1.009
0.24826 0.37217 0.47981 0.65602 0.38792 0.992
0.24854 0.37260 0.48036 0.65677 0.38981 1.039
0.24882 0.37302 0.48091 0.65752 0.39170 1.099
0.24911 0.37345 0.48146 0.65827 0.39359 1.024
0.24939 0.37387 0.48201 0.65902 0.39548 1.000
0.24967 0.37430 0.48255 0.65977 0.39737 0.840
0.24996 0.37472 0.48310 0.66052 0.39926 0.860
0.25024 0.37515 0.48365 0.66127 0.40115 0.954
0.25053 0.37557 0.48420 0.66202 0.40304 0.908
0.25081 0.37600 0.48475 0.66277 0.40493 0.957
0.25109 0.37643 0.48530 0.66352 0.40682 0.895
0.25138 0.37685 0.48585 0.66427 0.40871 1.001
0.25166 0.37728 0.48639 0.66502 0.41060 0.946
0.25194 0.37770 0.48694 0.66577 0.41249 0.939
0.25223 0.37813 0.48749 0.66652 0.41438 0.977
0.25251 0.37855 0.48804 0.66727 0.41627 0.960
0.25280 0.37898 0.48859 0.66802 0.41817 0.966
0.25308 0.37940 0.48914 0.66877 0.42006 0.912
