x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.21098 0.31692 0.32747 0.50218 0.00000 1.086 1236.099 0.01680
-0.21129 0.31739 0.32795 0.50292 0.00188 1.087 1236.129 0.01683
-0.21160 0.31786 0.32844 0.50367 0.00375 1.098 1236.159 0.01685
-0.21191 0.31833 0.32892 0.50441 0.00563 1.130 1236.189 0.01688
-0.21223 0.31880 0.32941 0.50515 0.00750 1.099 1236.219 0.01690
-0.21254 0.31927 0.32989 0.50590 0.00938 1.119 1236.249 0.01693
-0.21285 0.31974 0.33038 0.50664 0.01126 1.080 1236.279 0.01695
-0.21316 0.32021 0.33086 0.50739 0.01313 1.131 1236.308 0.01698
-0.21348 0.32067 0.33135 0.50813 0.01501 1.148 1236.338 0.01700
-0.21379 0.32114 0.33183 0.50888 0.01689 1.082 1236.368 0.01703
-0.21410 0.32161 0.33232 0.50962 0.01876 0.999 1236.398 0.01705
-0.21442 0.32208 0.33281 0.51036 0.02064 1.114 1236.428 0.01708
-0.21473 0.32255 0.33329 0.51111 0.02252 1.122 1236.458 0.01710
-0.21504 0.32302 0.33378 0.51185 0.02440 1.060 1236.488 0.01712
-0.21535 0.32349 0.33426 0.51260 0.02627 1.059 1236.518 0.01715
-0.21567 0.32396 0.33475 0.51334 0.02815 1.104 1236.548 0.01717
-0.21598 0.32443 0.33523 0.51409 0.03003 1.046 1236.577 0.01720
-0.21629 0.32490 0.33572 0.51483 0.03190 1.083 1236.607 0.01722
-0.21660 0.32537 0.33620 0.51558 0.03378 1.058 1236.637 0.01725
-0.21692 0.32584 0.33669 0.51632 0.03566 1.060 1236.667 0.01727
-0.21723 0.32631 0.33717 0.51706 0.03754 1.039 1236.697 0.01730
-0.21754 0.32678 0.33766 0.51781 0.03941 1.028 1236.727 0.01732
-0.21786 0.32725 0.33815 0.51855 0.04129 1.096 1236.757 0.01735
-0.21817 0.32772 0.33863 0.51930 0.04317 1.028 1236.787 0.01737
-0.21848 0.32819 0.33912 0.52004 0.04505 1.001 1236.817 0.01740
-0.21879 0.32866 0.33960 0.52079 0.04692 1.027 1236.847 0.01742
-0.21911 0.32913 0.34009 0.52153 0.04880 0.998 1236.876 0.01744
-0.21942 0.32960 0.34057 0.52228 0.05068 1.099 1236.906 0.01747
-0.21973 0.33007 0.34106 0.52302 0.05256 1.006 1236.936 0.01749
-0.22005 0.33054 0.34155 0.52377 0.05444 0.999 1236.966 0.01752
-0.22036 0.33101 0.34203 0.52451 0.05631 0.988 1236.996 0.01754
-0.22067 0.33148 0.34252 0.52526 0.05819 0.994 1237.026 0.01757
-0.22098 0.33195 0.34300 0.52600 0.06007 0.957 1237.056 0.01759
-0.22130 0.33242 0.34349 0.52675 0.06195 0.969 1237.086 0.01762
-0.22161 0.33289 0.34397 0.52749 0.06383 1.014 1237.116 0.01764
-0.22192 0.33336 0.34446 0.52824 0.06571 0.950 1237.145 0.01767
-0.22224 0.33383 0.34495 0.52898 0.06758 1.026 1237.175 0.01769
-0.22255 0.33430 0.34543 0.52973 0.06946 1.008 1237.205 0.01771
-0.22286 0.33477 0.34592 0.53047 0.07134 0.939 1237.235 0.01774
-0.22318 0.33524 0.34640 0.53122 0.07322 0.960 1237.265 0.01776
