x y z dist_scaled dist_frac absorption
-0.21098 0.31692 0.32747 0.50218 0.00000 0.104
-0.21129 0.31739 0.32795 0.50292 0.00188 0.097
-0.21160 0.31786 0.32844 0.50367 0.00375 0.081
-0.21191 0.31833 0.32892 0.50441 0.00563 0.048
-0.21223 0.31880 0.32941 0.50515 0.00750 0.067
-0.21254 0.31927 0.32989 0.50590 0.00938 0.044
-0.21285 0.31974 0.33038 0.50664 0.01126 0.072
-0.21316 0.32021 0.33086 0.50739 0.01313 0.022
-0.21348 0.32067 0.33135 0.50813 0.01501 0.001
-0.21379 0.32114 0.33183 0.50888 0.01689 0.053
-0.21410 0.32161 0.33232 0.50962 0.01876 0.120
-0.21442 0.32208 0.33281 0.51036 0.02064 0.013
-0.21473 0.32255 0.33329 0.51111 0.02252 0.000
-0.21504 0.32302 0.33378 0.51185 0.02440 0.050
-0.21535 0.32349 0.33426 0.51260 0.02627 0.046
-0.21567 0.32396 0.33475 0.51334 0.02815 -0.001
-0.21598 0.32443 0.33523 0.51409 0.03003 0.047
-0.21629 0.32490 0.33572 0.51483 0.03190 0.008
-0.21660 0.32537 0.33620 0.51558 0.03378 0.026
-0.21692 0.32584 0.33669 0.51632 0.03566 0.019
-0.21723 0.32631 0.33717 0.51706 0.03754 0.034
-0.21754 0.32678 0.33766 0.51781 0.03941 0.040
-0.21786 0.32725 0.33815 0.51855 0.04129 -0.029
-0.21817 0.32772 0.33863 0.51930 0.04317 0.030
-0.21848 0.32819 0.33912 0.52004 0.04505 0.052
-0.21879 0.32866 0.33960 0.52079 0.04692 0.022
-0.21911 0.32913 0.34009 0.52153 0.04880 0.045
-0.21942 0.32960 0.34057 0.52228 0.05068 -0.056
-0.21973 0.33007 0.34106 0.52302 0.05256 0.030
-0.22005 0.33054 0.34155 0.52377 0.05444 0.033
-0.22036 0.33101 0.34203 0.52451 0.05631 0.039
-0.22067 0.33148 0.34252 0.52526 0.05819 0.030
-0.22098 0.33195 0.34300 0.52600 0.06007 0.062
-0.22130 0.33242 0.34349 0.52675 0.06195 0.047
-0.22161 0.33289 0.34397 0.52749 0.06383 -0.002
-0.22192 0.33336 0.34446 0.52824 0.06571 0.058
-0.22224 0.33383 0.34495 0.52898 0.06758 -0.021
-0.22255 0.33430 0.34543 0.52973 0.06946 -0.006
-0.22286 0.33477 0.34592 0.53047 0.07134 0.059
-0.22318 0.33524 0.34640 0.53122 0.07322 0.034
-0.22349 0.33571 0.34689 0.53196 0.07510 0.012
-0.22380 0.33618 0.34737 0.53271 0.07698 0.022
-0.22411 0.33665 0.34786 0.53345 0.07886 0.006
-0.22443 0.33712 0.34835 0.53420 0.08074 -0.045
