x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.15792 0.30234 0.36855 0.50218 0.00000 0.929 0.019 1236.099 0.01680
-0.15816 0.30279 0.36910 0.50292 0.00188 0.923 0.019 1236.129 0.01683
-0.15839 0.30324 0.36964 0.50367 0.00375 0.914 0.019 1236.159 0.01685
-0.15863 0.30369 0.37019 0.50441 0.00563 0.983 0.020 1236.189 0.01688
-0.15886 0.30414 0.37074 0.50515 0.00750 0.971 0.019 1236.219 0.01690
-0.15909 0.30458 0.37128 0.50590 0.00938 0.916 0.019 1236.249 0.01693
-0.15933 0.30503 0.37183 0.50664 0.01126 0.968 0.019 1236.279 0.01695
-0.15956 0.30548 0.37238 0.50739 0.01313 1.019 0.020 1236.308 0.01698
-0.15980 0.30593 0.37292 0.50813 0.01501 1.005 0.020 1236.338 0.01700
-0.16003 0.30638 0.37347 0.50888 0.01689 0.952 0.019 1236.368 0.01703
-0.16026 0.30682 0.37401 0.50962 0.01876 0.949 0.019 1236.398 0.01705
-0.16050 0.30727 0.37456 0.51036 0.02064 0.958 0.019 1236.428 0.01708
-0.16073 0.30772 0.37511 0.51111 0.02252 0.956 0.019 1236.458 0.01710
-0.16097 0.30817 0.37565 0.51185 0.02440 1.013 0.020 1236.488 0.01712
-0.16120 0.30862 0.37620 0.51260 0.02627 0.995 0.020 1236.518 0.01715
-0.16143 0.30907 0.37675 0.51334 0.02815 1.017 0.020 1236.548 0.01717
-0.16167 0.30951 0.37729 0.51409 0.03003 0.974 0.019 1236.577 0.01720
-0.16190 0.30996 0.37784 0.51483 0.03190 0.978 0.019 1236.607 0.01722
-0.16214 0.31041 0.37838 0.51558 0.03378 0.969 0.019 1236.637 0.01725
-0.16237 0.31086 0.37893 0.51632 0.03566 0.966 0.019 1236.667 0.01727
-0.16261 0.31131 0.37948 0.51706 0.03754 0.975 0.019 1236.697 0.01730
-0.16284 0.31175 0.38002 0.51781 0.03941 0.945 0.019 1236.727 0.01732
-0.16307 0.31220 0.38057 0.51855 0.04129 0.985 0.019 1236.757 0.01735
-0.16331 0.31265 0.38112 0.51930 0.04317 0.944 0.019 1236.787 0.01737
-0.16354 0.31310 0.38166 0.52004 0.04505 0.971 0.019 1236.817 0.01740
-0.16378 0.31355 0.38221 0.52079 0.04692 0.951 0.019 1236.847 0.01742
-0.16401 0.31400 0.38276 0.52153 0.04880 0.955 0.019 1236.876 0.01744
-0.16424 0.31444 0.38330 0.52228 0.05068 0.971 0.019 1236.906 0.01747
-0.16448 0.31489 0.38385 0.52302 0.05256 0.949 0.019 1236.936 0.01749
-0.16471 0.31534 0.38440 0.52377 0.05444 0.973 0.019 1236.966 0.01752
-0.16495 0.31579 0.38494 0.52451 0.05631 0.969 0.019 1236.996 0.01754
-0.16518 0.31624 0.38549 0.52526 0.05819 1.013 0.019 1237.026 0.01757
-0.16542 0.31669 0.38604 0.52600 0.06007 1.027 0.020 1237.056 0.01759
-0.16565 0.31714 0.38658 0.52675 0.06195 1.025 0.019 1237.086 0.01762
-0.16588 0.31758 0.38713 0.52749 0.06383 0.995 0.019 1237.116 0.01764
-0.16612 0.31803 0.38768 0.52824 0.06571 0.982 0.019 1237.145 0.01767
-0.16635 0.31848 0.38822 0.52898 0.06758 0.975 0.019 1237.175 0.01769
-0.16659 0.31893 0.38877 0.52973 0.06946 0.989 0.019 1237.205 0.01771
-0.16682 0.31938 0.38932 0.53047 0.07134 1.008 0.019 1237.235 0.01774
-0.16706 0.31983 0.38986 0.53122 0.07322 1.001 0.019 1237.265 0.01776
-0.16729 0.32028 0.39041 0.53196 0.07510 1.028 0.019 1237.295 0.01779
-0.16752 0.32072 0.39096 0.53271 0.07698 1.006 0.019 1237.325 0.01781
-0.16776 0.32117 0.39150 0.53345 0.07886 1.011 0.019 1237.355 0.01784
-0.16799 0.32162 0.39205 0.53420 0.08074 0.997 0.019 1237.385 0.01786
-0.16823 0.32207 0.39260 0.53494 0.08261 0.980 0.019 1237.414 0.01789
-0.16846 0.32252 0.39315 0.53569 0.08449 1.020 0.019 1237.444 0.01791
-0.16870 0.32297 0.39369 0.53643 0.08637 1.031 0.019 1237.474 0.01794
-0.16893 0.32342 0.39424 0.53718 0.08825 1.015 0.019 1237.504 0.01796
-0.16916 0.32386 0.39479 0.53792 0.09013 1.043 0.019 1237.534 0.01799
-0.16940 0.32431 0.39533 0.53867 0.09201 1.045 0.019 1237.564 0.01801
-0.16963 0.32476 0.39588 0.53941 0.09389 1.015 0.019 1237.594 0.01803
-0.16987 0.32521 0.39643 0.54016 0.09577 0.989 0.019 1237.624 0.01806
-0.17010 0.32566 0.39697 0.54090 0.09765 0.952 0.018 1237.654 0.01808
-0.17034 0.32611 0.39752 0.54165 0.09953 0.969 0.019 1237.684 0.01811
-0.17057 0.32656 0.39807 0.54240 0.10141 1.007 0.019 1237.713 0.01813
-0.17081 0.32701 0.39862 0.54314 0.10329 0.971 0.019 1237.743 0.01816
-0.17104 0.32746 0.39916 0.54389 0.10517 0.956 0.018 1237.773 0.01818
-0.17127 0.32790 0.39971 0.54463 0.10705 0.982 0.019 1237.803 0.01821
-0.17151 0.32835 0.40026 0.54538 0.10893 0.999 0.019 1237.833 0.01823
-0.17174 0.32880 0.40080 0.54612 0.11081 0.999 0.019 1237.863 0.01826
-0.17198 0.32925 0.40135 0.54687 0.11269 0.978 0.019 1237.893 0.01828
-0.17221 0.32970 0.40190 0.54761 0.11457 0.973 0.018 1237.923 0.01830
-0.17245 0.33015 0.40245 0.54836 0.11645 0.954 0.018 1237.953 0.01833
-0.17268 0.33060 0.40299 0.54911 0.11833 0.997 0.019 1237.982 0.01835
-0.17292 0.33105 0.40354 0.54985 0.12021 0.975 0.018 1238.012 0.01838
-0.17315 0.33150 0.40409 0.55060 0.12209 0.974 0.018 1238.042 0.01840
-0.17339 0.33194 0.40464 0.55134 0.12397 0.972 0.018 1238.072 0.01843
-0.17362 0.33239 0.40518 0.55209 0.12585 0.973 0.018 1238.102 0.01845
-0.17385 0.33284 0.40573 0.55284 0.12773 0.943 0.018 1238.132 0.01848
-0.17409 0.33329 0.40628 0.55358 0.12961 0.922 0.018 1238.162 0.01850
-0.17432 0.33374 0.40683 0.55433 0.13149 0.923 0.018 1238.192 0.01853
-0.17456 0.33419 0.40737 0.55507 0.13337 0.903 0.018 1238.222 0.01855
-0.17479 0.33464 0.40792 0.55582 0.13526 0.896 0.018 1238.251 0.01858
-0.17503 0.33509 0.40847 0.55656 0.13714 0.908 0.018 1238.281 0.01860
-0.17526 0.33554 0.40901 0.55731 0.13902 0.890 0.017 1238.311 0.01862
-0.17550 0.33599 0.40956 0.55806 0.14090 0.921 0.018 1238.341 0.01865
-0.17573 0.33644 0.41011 0.55880 0.14278 0.878 0.017 1238.371 0.01867
-0.17597 0.33689 0.41066 0.55955 0.14466 0.881 0.017 1238.401 0.01870
-0.17620 0.33733 0.41121 0.56030 0.14654 0.868 0.017 1238.431 0.01872
-0.17643 0.33778 0.41175 0.56104 0.14842 0.892 0.017 1238.461 0.01875
-0.17667 0.33823 0.41230 0.56179 0.15031 0.888 0.017 1238.491 0.01877
-0.17690 0.33868 0.41285 0.56253 0.15219 0.864 0.017 1238.521 0.01880
-0.17714 0.33913 0.41340 0.56328 0.15407 0.814 0.017 1238.550 0.01882
-0.17737 0.33958 0.41394 0.56403 0.15595 0.856 0.017 1238.580 0.01885
-0.17761 0.34003 0.41449 0.56477 0.15783 0.805 0.016 1238.610 0.01887
-0.17784 0.34048 0.41504 0.56552 0.15971 0.838 0.017 1238.640 0.01889
-0.17808 0.34093 0.41559 0.56627 0.16160 0.865 0.017 1238.670 0.01892
-0.17831 0.34138 0.41613 0.56701 0.16348 0.869 0.017 1238.700 0.01894
-0.17855 0.34183 0.41668 0.56776 0.16536 0.866 0.017 1238.730 0.01897
-0.17878 0.34228 0.41723 0.56850 0.16724 0.847 0.017 1238.760 0.01899
-0.17902 0.34273 0.41778 0.56925 0.16912 0.858 0.017 1238.790 0.01902
-0.17925 0.34318 0.41833 0.57000 0.17101 0.867 0.017 1238.819 0.01904
-0.17949 0.34363 0.41887 0.57074 0.17289 0.932 0.018 1238.849 0.01907
-0.17972 0.34407 0.41942 0.57149 0.17477 0.915 0.017 1238.879 0.01909
-0.17996 0.34452 0.41997 0.57224 0.17665 0.960 0.018 1238.909 0.01912
-0.18019 0.34497 0.42052 0.57298 0.17854 0.944 0.018 1238.939 0.01914
-0.18043 0.34542 0.42107 0.57373 0.18042 0.924 0.017 1238.969 0.01917
-0.18066 0.34587 0.42161 0.57448 0.18230 0.951 0.018 1238.999 0.01919
-0.18089 0.34632 0.42216 0.57522 0.18418 0.947 0.018 1239.029 0.01921
-0.18113 0.34677 0.42271 0.57597 0.18607 0.952 0.018 1239.059 0.01924
-0.18136 0.34722 0.42326 0.57672 0.18795 0.984 0.018 1239.088 0.01926
-0.18160 0.34767 0.42381 0.57746 0.18983 1.000 0.018 1239.118 0.01929
