x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.02749 -0.15668 0.47674 0.50258 0.00000 1.072 0.101 1236.115 0.01682
-0.02753 -0.15691 0.47745 0.50333 0.00188 1.127 0.103 1236.145 0.01684
-0.02757 -0.15714 0.47815 0.50407 0.00375 0.974 0.096 1236.175 0.01687
-0.02761 -0.15738 0.47886 0.50481 0.00563 0.998 0.102 1236.205 0.01689
-0.02765 -0.15761 0.47957 0.50556 0.00751 1.006 0.098 1236.235 0.01692
-0.02769 -0.15784 0.48027 0.50630 0.00938 1.206 0.107 1236.265 0.01694
-0.02773 -0.15807 0.48098 0.50705 0.01126 0.982 0.102 1236.295 0.01697
-0.02777 -0.15830 0.48168 0.50779 0.01313 0.988 0.103 1236.325 0.01699
-0.02782 -0.15854 0.48239 0.50853 0.01501 0.921 0.094 1236.355 0.01701
-0.02786 -0.15877 0.48309 0.50928 0.01689 1.093 0.102 1236.384 0.01704
-0.02790 -0.15900 0.48380 0.51002 0.01876 0.903 0.093 1236.414 0.01706
-0.02794 -0.15923 0.48451 0.51077 0.02064 0.979 0.097 1236.444 0.01709
-0.02798 -0.15946 0.48521 0.51151 0.02252 0.950 0.101 1236.474 0.01711
-0.02802 -0.15970 0.48592 0.51225 0.02440 1.171 0.106 1236.504 0.01714
-0.02806 -0.15993 0.48662 0.51300 0.02627 1.009 0.098 1236.534 0.01716
-0.02810 -0.16016 0.48733 0.51374 0.02815 1.049 0.100 1236.564 0.01719
-0.02814 -0.16039 0.48803 0.51449 0.03003 1.068 0.101 1236.594 0.01721
-0.02818 -0.16062 0.48874 0.51523 0.03190 0.954 0.095 1236.623 0.01724
-0.02822 -0.16086 0.48945 0.51597 0.03378 0.906 0.099 1236.653 0.01726
-0.02826 -0.16109 0.49015 0.51672 0.03566 1.012 0.098 1236.683 0.01729
-0.02830 -0.16132 0.49086 0.51746 0.03754 0.839 0.095 1236.713 0.01731
-0.02834 -0.16155 0.49156 0.51821 0.03941 0.915 0.100 1236.743 0.01733
-0.02839 -0.16178 0.49227 0.51895 0.04129 1.176 0.106 1236.773 0.01736
-0.02843 -0.16202 0.49298 0.51970 0.04317 0.830 0.101 1236.803 0.01738
-0.02847 -0.16225 0.49368 0.52044 0.04505 1.003 0.104 1236.833 0.01741
-0.02851 -0.16248 0.49439 0.52118 0.04692 0.880 0.104 1236.862 0.01743
-0.02855 -0.16271 0.49509 0.52193 0.04880 0.975 0.102 1236.892 0.01746
-0.02859 -0.16294 0.49580 0.52267 0.05068 1.129 0.104 1236.922 0.01748
-0.02863 -0.16318 0.49651 0.52342 0.05256 1.101 0.103 1236.952 0.01751
-0.02867 -0.16341 0.49721 0.52416 0.05444 0.985 0.103 1236.982 0.01753
-0.02871 -0.16364 0.49792 0.52491 0.05631 0.997 0.104 1237.012 0.01756
-0.02875 -0.16387 0.49863 0.52565 0.05819 0.959 0.096 1237.042 0.01758
-0.02879 -0.16410 0.49933 0.52640 0.06007 1.091 0.102 1237.072 0.01760
-0.02883 -0.16434 0.50004 0.52714 0.06195 1.074 0.107 1237.101 0.01763
-0.02887 -0.16457 0.50074 0.52788 0.06383 0.988 0.103 1237.131 0.01765
-0.02891 -0.16480 0.50145 0.52863 0.06571 0.902 0.099 1237.161 0.01768
-0.02896 -0.16503 0.50216 0.52937 0.06758 0.824 0.107 1237.191 0.01770
-0.02900 -0.16527 0.50286 0.53012 0.06946 1.084 0.102 1237.221 0.01773
-0.02904 -0.16550 0.50357 0.53086 0.07134 1.026 0.105 1237.251 0.01775
-0.02908 -0.16573 0.50428 0.53161 0.07322 0.967 0.102 1237.281 0.01778
-0.02912 -0.16596 0.50498 0.53235 0.07510 0.987 0.097 1237.311 0.01780
