x y z dist_scaled dist_frac absorption
-0.02748 -0.15663 0.47660 0.50243 0.00000 -0.032
-0.02752 -0.15686 0.47730 0.50317 0.00188 -0.062
-0.02756 -0.15710 0.47801 0.50391 0.00375 -0.142
-0.02760 -0.15733 0.47871 0.50466 0.00563 -0.034
-0.02764 -0.15756 0.47942 0.50540 0.00750 0.031
-0.02768 -0.15779 0.48012 0.50615 0.00938 -0.170
-0.02773 -0.15802 0.48083 0.50689 0.01126 -0.132
-0.02777 -0.15826 0.48154 0.50763 0.01313 0.067
-0.02781 -0.15849 0.48224 0.50838 0.01501 0.038
-0.02785 -0.15872 0.48295 0.50912 0.01689 0.107
-0.02789 -0.15895 0.48365 0.50987 0.01876 -0.163
-0.02793 -0.15918 0.48436 0.51061 0.02064 0.010
-0.02797 -0.15942 0.48507 0.51136 0.02252 0.049
-0.02801 -0.15965 0.48577 0.51210 0.02440 0.067
-0.02805 -0.15988 0.48648 0.51285 0.02627 -0.076
-0.02809 -0.16011 0.48718 0.51359 0.02815 -0.067
-0.02813 -0.16034 0.48789 0.51433 0.03003 -0.232
-0.02817 -0.16058 0.48860 0.51508 0.03190 0.027
-0.02821 -0.16081 0.48930 0.51582 0.03378 0.018
-0.02825 -0.16104 0.49001 0.51657 0.03566 0.067
-0.02830 -0.16127 0.49072 0.51731 0.03754 0.085
-0.02834 -0.16151 0.49142 0.51806 0.03941 0.115
-0.02838 -0.16174 0.49213 0.51880 0.04129 0.095
-0.02842 -0.16197 0.49284 0.51955 0.04317 -0.050
-0.02846 -0.16220 0.49354 0.52029 0.04505 -0.049
-0.02850 -0.16243 0.49425 0.52104 0.04692 0.009
-0.02854 -0.16267 0.49495 0.52178 0.04880 -0.012
-0.02858 -0.16290 0.49566 0.52253 0.05068 0.113
-0.02862 -0.16313 0.49637 0.52327 0.05256 -0.147
-0.02866 -0.16336 0.49707 0.52401 0.05444 -0.098
-0.02870 -0.16359 0.49778 0.52476 0.05631 0.105
-0.02874 -0.16383 0.49849 0.52550 0.05819 -0.177
-0.02878 -0.16406 0.49919 0.52625 0.06007 0.123
-0.02883 -0.16429 0.49990 0.52699 0.06195 -0.061
-0.02887 -0.16452 0.50061 0.52774 0.06383 -0.032
-0.02891 -0.16476 0.50131 0.52848 0.06571 -0.059
-0.02895 -0.16499 0.50202 0.52923 0.06758 0.065
-0.02899 -0.16522 0.50273 0.52997 0.06946 0.161
-0.02903 -0.16545 0.50343 0.53072 0.07134 -0.079
-0.02907 -0.16569 0.50414 0.53146 0.07322 0.075
-0.02911 -0.16592 0.50485 0.53221 0.07510 0.066
-0.02915 -0.16615 0.50555 0.53295 0.07698 -0.088
-0.02919 -0.16638 0.50626 0.53370 0.07886 0.076
-0.02923 -0.16661 0.50697 0.53445 0.08074 0.056
-0.02927 -0.16685 0.50767 0.53519 0.08261 -0.195
-0.02931 -0.16708 0.50838 0.53594 0.08449 -0.080
-0.02935 -0.16731 0.50909 0.53668 0.08637 0.162
-0.02940 -0.16754 0.50980 0.53743 0.08825 0.123
-0.02944 -0.16778 0.51050 0.53817 0.09013 -0.031
-0.02948 -0.16801 0.51121 0.53892 0.09201 -0.032
-0.02952 -0.16824 0.51192 0.53966 0.09389 -0.081
-0.02956 -0.16847 0.51262 0.54041 0.09577 -0.197
-0.02960 -0.16871 0.51333 0.54115 0.09765 0.170
-0.02964 -0.16894 0.51404 0.54190 0.09953 -0.071
-0.02968 -0.16917 0.51475 0.54264 0.10141 0.054
-0.02972 -0.16940 0.51545 0.54339 0.10329 -0.099
-0.02976 -0.16964 0.51616 0.54414 0.10517 -0.022
-0.02980 -0.16987 0.51687 0.54488 0.10705 -0.031
-0.02984 -0.17010 0.51757 0.54563 0.10893 0.064
-0.02988 -0.17033 0.51828 0.54637 0.11081 0.034
-0.02993 -0.17057 0.51899 0.54712 0.11269 -0.015
-0.02997 -0.17080 0.51970 0.54786 0.11457 0.034
-0.03001 -0.17103 0.52040 0.54861 0.11645 -0.063
-0.03005 -0.17126 0.52111 0.54935 0.11833 -0.168
-0.03009 -0.17150 0.52182 0.55010 0.12021 -0.004
-0.03013 -0.17173 0.52253 0.55085 0.12209 -0.120
-0.03017 -0.17196 0.52323 0.55159 0.12397 -0.130
-0.03021 -0.17219 0.52394 0.55234 0.12585 -0.011
-0.03025 -0.17243 0.52465 0.55308 0.12773 0.094
-0.03029 -0.17266 0.52536 0.55383 0.12961 0.102
-0.03033 -0.17289 0.52606 0.55458 0.13149 0.103
-0.03037 -0.17312 0.52677 0.55532 0.13337 0.064
-0.03042 -0.17336 0.52748 0.55607 0.13526 0.082
-0.03046 -0.17359 0.52819 0.55681 0.13714 0.112
-0.03050 -0.17382 0.52889 0.55756 0.13902 0.025
-0.03054 -0.17405 0.52960 0.55831 0.14090 0.113
-0.03058 -0.17429 0.53031 0.55905 0.14278 0.123
-0.03062 -0.17452 0.53102 0.55980 0.14466 0.026
-0.03066 -0.17475 0.53173 0.56054 0.14654 0.035
-0.03070 -0.17498 0.53243 0.56129 0.14842 0.026
-0.03074 -0.17522 0.53314 0.56204 0.15031 -0.040
-0.03078 -0.17545 0.53385 0.56278 0.15219 0.017
-0.03082 -0.17568 0.53456 0.56353 0.15407 0.094
-0.03086 -0.17591 0.53526 0.56428 0.15595 0.055
-0.03091 -0.17615 0.53597 0.56502 0.15783 0.007
-0.03095 -0.17638 0.53668 0.56577 0.15971 0.326
-0.03099 -0.17661 0.53739 0.56651 0.16160 0.152
-0.03103 -0.17684 0.53810 0.56726 0.16348 0.230
-0.03107 -0.17708 0.53880 0.56801 0.16536 0.298
-0.03111 -0.17731 0.53951 0.56875 0.16724 0.202
-0.03115 -0.17754 0.54022 0.56950 0.16912 0.262
-0.03119 -0.17778 0.54093 0.57025 0.17101 0.434
-0.03123 -0.17801 0.54164 0.57099 0.17289 0.362
-0.03127 -0.17824 0.54234 0.57174 0.17477 0.097
-0.03131 -0.17847 0.54305 0.57249 0.17665 0.105
-0.03135 -0.17871 0.54376 0.57323 0.17854 0.042
-0.03140 -0.17894 0.54447 0.57398 0.18042 0.234
-0.03144 -0.17917 0.54518 0.57473 0.18230 0.215
-0.03148 -0.17940 0.54589 0.57547 0.18418 0.023
-0.03152 -0.17964 0.54659 0.57622 0.18607 0.116
-0.03156 -0.17987 0.54730 0.57697 0.18795 0.071
-0.03160 -0.18010 0.54801 0.57771 0.18983 -0.037
-0.03164 -0.18034 0.54872 0.57846 0.19172 0.090
-0.03168 -0.18057 0.54943 0.57921 0.19360 -0.047
-0.03172 -0.18080 0.55014 0.57995 0.19548 -0.088
-0.03176 -0.18103 0.55084 0.58070 0.19737 0.002
-0.03180 -0.18127 0.55155 0.58145 0.19925 0.087
-0.03184 -0.18150 0.55226 0.58219 0.20113 0.154
-0.03189 -0.18173 0.55297 0.58294 0.20302 0.039
-0.03193 -0.18197 0.55368 0.58369 0.20490 0.106
-0.03197 -0.18220 0.55439 0.58443 0.20678 0.173
-0.03201 -0.18243 0.55510 0.58518 0.20867 -0.009
-0.03205 -0.18266 0.55580 0.58593 0.21055 0.029
-0.03209 -0.18290 0.55651 0.58668 0.21243 -0.114
-0.03213 -0.18313 0.55722 0.58742 0.21432 0.030
-0.03217 -0.18336 0.55793 0.58817 0.21620 0.173
-0.03221 -0.18360 0.55864 0.58892 0.21809 0.116
-0.03225 -0.18383 0.55935 0.58966 0.21997 0.021
-0.03229 -0.18406 0.56006 0.59041 0.22185 0.077
-0.03233 -0.18430 0.56077 0.59116 0.22374 -0.202
-0.03238 -0.18453 0.56147 0.59191 0.22562 0.078
-0.03242 -0.18476 0.56218 0.59265 0.22751 0.069
-0.03246 -0.18499 0.56289 0.59340 0.22939 -0.036
-0.03250 -0.18523 0.56360 0.59415 0.23127 -0.045
-0.03254 -0.18546 0.56431 0.59490 0.23316 -0.038
-0.03258 -0.18569 0.56502 0.59564 0.23504 0.107
-0.03262 -0.18593 0.56573 0.59639 0.23693 0.068
-0.03266 -0.18616 0.56644 0.59714 0.23881 0.021
-0.03270 -0.18639 0.56715 0.59789 0.24070 0.155
-0.03274 -0.18663 0.56786 0.59863 0.24258 0.106
-0.03278 -0.18686 0.56856 0.59938 0.24447 0.137
-0.03283 -0.18709 0.56927 0.60013 0.24635 -0.045
-0.03287 -0.18732 0.56998 0.60088 0.24824 -0.026
-0.03291 -0.18756 0.57069 0.60162 0.25012 -0.083
-0.03295 -0.18779 0.57140 0.60237 0.25201 0.119
-0.03299 -0.18802 0.57211 0.60312 0.25389 0.070
-0.03303 -0.18826 0.57282 0.60387 0.25578 0.120
-0.03307 -0.18849 0.57353 0.60461 0.25766 0.099
-0.03311 -0.18872 0.57424 0.60536 0.25955 -0.055
-0.03315 -0.18896 0.57495 0.60611 0.26143 0.049
-0.03319 -0.18919 0.57566 0.60686 0.26332 -0.015
-0.03323 -0.18942 0.57637 0.60760 0.26521 0.169
-0.03328 -0.18966 0.57708 0.60835 0.26709 0.138
-0.03332 -0.18989 0.57779 0.60910 0.26898 -0.280
-0.03336 -0.19012 0.57849 0.60985 0.27086 0.081
-0.03340 -0.19035 0.57920 0.61060 0.27275 0.015
-0.03344 -0.19059 0.57991 0.61134 0.27463 -0.003
-0.03348 -0.19082 0.58062 0.61209 0.27652 0.149
-0.03352 -0.19105 0.58133 0.61284 0.27841 -0.014
-0.03356 -0.19129 0.58204 0.61359 0.28029 -0.244
-0.03360 -0.19152 0.58275 0.61434 0.28218 -0.004
-0.03364 -0.19175 0.58346 0.61508 0.28407 0.035
-0.03368 -0.19199 0.58417 0.61583 0.28595 0.159
-0.03373 -0.19222 0.58488 0.61658 0.28784 -0.217
