x y z dist_scaled dist_frac absorption
-0.13287 0.36810 0.31509 0.50243 0.00000 -0.042
-0.13307 0.36864 0.31556 0.50317 0.00188 -0.112
-0.13327 0.36919 0.31602 0.50391 0.00375 -0.075
-0.13346 0.36973 0.31649 0.50466 0.00563 -0.255
-0.13366 0.37028 0.31696 0.50540 0.00750 -0.148
-0.13386 0.37082 0.31742 0.50615 0.00938 -0.074
-0.13405 0.37137 0.31789 0.50689 0.01126 0.322
-0.13425 0.37191 0.31836 0.50763 0.01313 -0.074
-0.13445 0.37246 0.31882 0.50838 0.01501 -0.110
-0.13464 0.37300 0.31929 0.50912 0.01689 -0.146
-0.13484 0.37355 0.31976 0.50987 0.01876 0.144
-0.13504 0.37409 0.32022 0.51061 0.02064 0.181
-0.13524 0.37464 0.32069 0.51136 0.02252 0.181
-0.13543 0.37518 0.32116 0.51210 0.02440 -0.033
-0.13563 0.37573 0.32163 0.51285 0.02627 0.148
-0.13583 0.37627 0.32209 0.51359 0.02815 -0.067
-0.13602 0.37682 0.32256 0.51433 0.03003 0.039
-0.13622 0.37737 0.32303 0.51508 0.03190 0.184
-0.13642 0.37791 0.32349 0.51582 0.03378 0.185
-0.13661 0.37846 0.32396 0.51657 0.03566 0.116
-0.13681 0.37900 0.32443 0.51731 0.03754 0.009
-0.13701 0.37955 0.32489 0.51806 0.03941 -0.063
-0.13720 0.38009 0.32536 0.51880 0.04129 -0.277
-0.13740 0.38064 0.32583 0.51955 0.04317 0.082
-0.13760 0.38118 0.32629 0.52029 0.04505 0.047
-0.13780 0.38173 0.32676 0.52104 0.04692 0.118
-0.13799 0.38228 0.32723 0.52178 0.04880 0.120
-0.13819 0.38282 0.32770 0.52253 0.05068 -0.166
-0.13839 0.38337 0.32816 0.52327 0.05256 0.086
-0.13858 0.38391 0.32863 0.52401 0.05444 -0.093
-0.13878 0.38446 0.32910 0.52476 0.05631 -0.130
-0.13898 0.38500 0.32956 0.52550 0.05819 -0.128
-0.13917 0.38555 0.33003 0.52625 0.06007 -0.092
-0.13937 0.38610 0.33050 0.52699 0.06195 -0.163
-0.13957 0.38664 0.33097 0.52774 0.06383 0.014
-0.13977 0.38719 0.33143 0.52848 0.06571 0.051
-0.13996 0.38773 0.33190 0.52923 0.06758 0.265
-0.14016 0.38828 0.33237 0.52997 0.06946 -0.268
-0.14036 0.38882 0.33283 0.53072 0.07134 -0.196
-0.14055 0.38937 0.33330 0.53146 0.07322 0.197
-0.14075 0.38992 0.33377 0.53221 0.07510 -0.050
-0.14095 0.39046 0.33424 0.53295 0.07698 0.056
-0.14114 0.39101 0.33470 0.53370 0.07886 -0.086
-0.14134 0.39155 0.33517 0.53445 0.08074 -0.120
-0.14154 0.39210 0.33564 0.53519 0.08261 0.199
-0.14174 0.39265 0.33611 0.53594 0.08449 0.164
-0.14193 0.39319 0.33657 0.53668 0.08637 -0.299
-0.14213 0.39374 0.33704 0.53743 0.08825 -0.085
-0.14233 0.39428 0.33751 0.53817 0.09013 0.128
-0.14252 0.39483 0.33798 0.53892 0.09201 0.304
-0.14272 0.39538 0.33844 0.53966 0.09389 0.057
-0.14292 0.39592 0.33891 0.54041 0.09577 -0.189
-0.14312 0.39647 0.33938 0.54115 0.09765 0.128
-0.14331 0.39701 0.33985 0.54190 0.09953 -0.262
-0.14351 0.39756 0.34031 0.54264 0.10141 -0.047
-0.14371 0.39811 0.34078 0.54339 0.10329 0.058
-0.14390 0.39865 0.34125 0.54414 0.10517 -0.296
-0.14410 0.39920 0.34172 0.54488 0.10705 -0.080
-0.14430 0.39975 0.34218 0.54563 0.10893 -0.151
-0.14450 0.40029 0.34265 0.54637 0.11081 -0.258
-0.14469 0.40084 0.34312 0.54712 0.11269 -0.151
-0.14489 0.40138 0.34359 0.54786 0.11457 0.061
-0.14509 0.40193 0.34405 0.54861 0.11645 -0.078
-0.14528 0.40248 0.34452 0.54935 0.11833 -0.182
-0.14548 0.40302 0.34499 0.55010 0.12021 0.170
-0.14568 0.40357 0.34546 0.55085 0.12209 0.100
-0.14588 0.40412 0.34592 0.55159 0.12397 -0.042
-0.14607 0.40466 0.34639 0.55234 0.12585 -0.074
-0.14627 0.40521 0.34686 0.55308 0.12773 -0.072
-0.14647 0.40576 0.34733 0.55383 0.12961 0.207
-0.14667 0.40630 0.34780 0.55458 0.13149 -0.247
-0.14686 0.40685 0.34826 0.55532 0.13337 -0.247
-0.14706 0.40740 0.34873 0.55607 0.13526 0.174
-0.14726 0.40794 0.34920 0.55681 0.13714 0.068
-0.14745 0.40849 0.34967 0.55756 0.13902 -0.143
-0.14765 0.40903 0.35014 0.55831 0.14090 0.069
-0.14785 0.40958 0.35060 0.55905 0.14278 0.173
-0.14805 0.41013 0.35107 0.55980 0.14466 0.280
-0.14824 0.41067 0.35154 0.56054 0.14654 0.140
-0.14844 0.41122 0.35201 0.56129 0.14842 0.038
-0.14864 0.41177 0.35247 0.56204 0.15031 0.038
-0.14884 0.41231 0.35294 0.56278 0.15219 -0.066
-0.14903 0.41286 0.35341 0.56353 0.15407 -0.062
-0.14923 0.41341 0.35388 0.56428 0.15595 -0.166
-0.14943 0.41396 0.35435 0.56502 0.15783 0.354
-0.14963 0.41450 0.35481 0.56577 0.15971 0.215
-0.14982 0.41505 0.35528 0.56651 0.16160 -0.094
-0.15002 0.41560 0.35575 0.56726 0.16348 0.117
-0.15022 0.41614 0.35622 0.56801 0.16536 0.220
-0.15041 0.41669 0.35669 0.56875 0.16724 0.463
-0.15061 0.41724 0.35716 0.56950 0.16912 0.464
-0.15081 0.41778 0.35762 0.57025 0.17101 0.186
-0.15101 0.41833 0.35809 0.57099 0.17289 -0.157
-0.15120 0.41888 0.35856 0.57174 0.17477 0.396
-0.15140 0.41942 0.35903 0.57249 0.17665 0.120
-0.15160 0.41997 0.35950 0.57323 0.17854 0.291
-0.15180 0.42052 0.35996 0.57398 0.18042 0.224
-0.15199 0.42106 0.36043 0.57473 0.18230 0.086
-0.15219 0.42161 0.36090 0.57547 0.18418 0.053
-0.15239 0.42216 0.36137 0.57622 0.18607 -0.323
-0.15259 0.42271 0.36184 0.57697 0.18795 -0.013
-0.15278 0.42325 0.36231 0.57771 0.18983 0.021
-0.15298 0.42380 0.36277 0.57846 0.19172 0.041
-0.15318 0.42435 0.36324 0.57921 0.19360 -0.038
-0.15338 0.42489 0.36371 0.57995 0.19548 0.016
-0.15357 0.42544 0.36418 0.58070 0.19737 0.035
-0.15377 0.42599 0.36465 0.58145 0.19925 0.183
-0.15397 0.42654 0.36512 0.58219 0.20113 -0.088
-0.15417 0.42708 0.36558 0.58294 0.20302 -0.288
-0.15436 0.42763 0.36605 0.58369 0.20490 0.053
-0.15456 0.42818 0.36652 0.58443 0.20678 -0.062
-0.15476 0.42873 0.36699 0.58518 0.20867 -0.059
-0.15496 0.42927 0.36746 0.58593 0.21055 0.073
-0.15515 0.42982 0.36793 0.58668 0.21243 -0.011
-0.15535 0.43037 0.36840 0.58742 0.21432 -0.168
-0.15555 0.43091 0.36886 0.58817 0.21620 -0.170
