x y z dist_scaled dist_frac absorption
-0.00319 0.17799 0.46983 0.50243 0.00000 0.055
-0.00319 0.17825 0.47053 0.50317 0.00188 -0.055
-0.00320 0.17852 0.47122 0.50391 0.00375 -0.070
-0.00320 0.17878 0.47192 0.50466 0.00563 -0.033
-0.00321 0.17904 0.47262 0.50540 0.00750 0.058
-0.00321 0.17931 0.47331 0.50615 0.00938 0.002
-0.00322 0.17957 0.47401 0.50689 0.01126 0.073
-0.00322 0.17983 0.47470 0.50763 0.01313 0.008
-0.00323 0.18010 0.47540 0.50838 0.01501 0.091
-0.00323 0.18036 0.47609 0.50912 0.01689 0.200
-0.00323 0.18062 0.47679 0.50987 0.01876 0.280
-0.00324 0.18089 0.47749 0.51061 0.02064 0.200
-0.00324 0.18115 0.47818 0.51136 0.02252 0.345
-0.00325 0.18142 0.47888 0.51210 0.02440 0.287
-0.00325 0.18168 0.47958 0.51285 0.02627 0.352
-0.00326 0.18194 0.48027 0.51359 0.02815 0.479
-0.00326 0.18221 0.48097 0.51433 0.03003 0.532
-0.00327 0.18247 0.48166 0.51508 0.03190 0.529
-0.00327 0.18273 0.48236 0.51582 0.03378 0.579
-0.00328 0.18300 0.48306 0.51657 0.03566 0.589
-0.00328 0.18326 0.48375 0.51731 0.03754 0.707
-0.00329 0.18353 0.48445 0.51806 0.03941 0.657
-0.00329 0.18379 0.48515 0.51880 0.04129 0.654
-0.00330 0.18405 0.48584 0.51955 0.04317 0.607
-0.00330 0.18432 0.48654 0.52029 0.04505 0.642
-0.00331 0.18458 0.48723 0.52104 0.04692 0.568
-0.00331 0.18484 0.48793 0.52178 0.04880 0.522
-0.00332 0.18511 0.48863 0.52253 0.05068 0.466
-0.00332 0.18537 0.48932 0.52327 0.05256 0.554
-0.00332 0.18564 0.49002 0.52401 0.05444 0.548
-0.00333 0.18590 0.49072 0.52476 0.05631 0.481
-0.00333 0.18616 0.49141 0.52550 0.05819 0.599
-0.00334 0.18643 0.49211 0.52625 0.06007 0.558
-0.00334 0.18669 0.49281 0.52699 0.06195 0.511
-0.00335 0.18696 0.49350 0.52774 0.06383 0.505
-0.00335 0.18722 0.49420 0.52848 0.06571 0.508
-0.00336 0.18748 0.49490 0.52923 0.06758 0.449
-0.00336 0.18775 0.49559 0.52997 0.06946 0.502
-0.00337 0.18801 0.49629 0.53072 0.07134 0.505
-0.00337 0.18828 0.49699 0.53146 0.07322 0.394
-0.00338 0.18854 0.49768 0.53221 0.07510 0.385
-0.00338 0.18880 0.49838 0.53295 0.07698 0.479
-0.00339 0.18907 0.49908 0.53370 0.07886 0.444
-0.00339 0.18933 0.49977 0.53445 0.08074 0.433
-0.00340 0.18960 0.50047 0.53519 0.08261 0.503
-0.00340 0.18986 0.50117 0.53594 0.08449 0.439
-0.00341 0.19012 0.50186 0.53668 0.08637 0.350
-0.00341 0.19039 0.50256 0.53743 0.08825 0.353
-0.00341 0.19065 0.50326 0.53817 0.09013 0.310
-0.00342 0.19092 0.50396 0.53892 0.09201 0.234
-0.00342 0.19118 0.50465 0.53966 0.09389 0.284
-0.00343 0.19144 0.50535 0.54041 0.09577 0.319
-0.00343 0.19171 0.50605 0.54115 0.09765 0.124
-0.00344 0.19197 0.50674 0.54190 0.09953 0.215
-0.00344 0.19224 0.50744 0.54264 0.10141 0.197
-0.00345 0.19250 0.50814 0.54339 0.10329 0.150
-0.00345 0.19276 0.50884 0.54414 0.10517 0.139
-0.00346 0.19303 0.50953 0.54488 0.10705 0.154
-0.00346 0.19329 0.51023 0.54563 0.10893 0.175
-0.00347 0.19356 0.51093 0.54637 0.11081 0.055
-0.00347 0.19382 0.51162 0.54712 0.11269 0.108
-0.00348 0.19408 0.51232 0.54786 0.11457 0.081
-0.00348 0.19435 0.51302 0.54861 0.11645 0.099
-0.00349 0.19461 0.51372 0.54935 0.11833 -0.088
