x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.15055 0.15560 0.45355 0.50258 0.00000 0.745 1236.115 0.01682
-0.15077 0.15583 0.45423 0.50333 0.00188 0.758 1236.145 0.01684
-0.15099 0.15606 0.45490 0.50407 0.00375 0.855 1236.175 0.01687
-0.15122 0.15630 0.45557 0.50481 0.00563 0.921 1236.205 0.01689
-0.15144 0.15653 0.45624 0.50556 0.00751 0.889 1236.235 0.01692
-0.15166 0.15676 0.45691 0.50630 0.00938 1.136 1236.265 0.01694
-0.15188 0.15699 0.45758 0.50705 0.01126 0.988 1236.295 0.01697
-0.15211 0.15722 0.45825 0.50779 0.01313 1.089 1236.325 0.01699
-0.15233 0.15745 0.45893 0.50853 0.01501 1.097 1236.355 0.01701
-0.15255 0.15768 0.45960 0.50928 0.01689 1.039 1236.384 0.01704
-0.15278 0.15791 0.46027 0.51002 0.01876 1.250 1236.414 0.01706
-0.15300 0.15814 0.46094 0.51077 0.02064 1.046 1236.444 0.01709
-0.15322 0.15837 0.46161 0.51151 0.02252 1.133 1236.474 0.01711
-0.15344 0.15860 0.46228 0.51225 0.02440 1.052 1236.504 0.01714
-0.15367 0.15883 0.46295 0.51300 0.02627 1.192 1236.534 0.01716
-0.15389 0.15906 0.46363 0.51374 0.02815 0.910 1236.564 0.01719
-0.15411 0.15929 0.46430 0.51449 0.03003 1.246 1236.594 0.01721
-0.15434 0.15952 0.46497 0.51523 0.03190 1.048 1236.623 0.01724
-0.15456 0.15975 0.46564 0.51597 0.03378 1.131 1236.653 0.01726
-0.15478 0.15998 0.46631 0.51672 0.03566 1.078 1236.683 0.01729
-0.15500 0.16021 0.46698 0.51746 0.03754 1.186 1236.713 0.01731
-0.15523 0.16044 0.46765 0.51821 0.03941 1.018 1236.743 0.01733
-0.15545 0.16067 0.46833 0.51895 0.04129 1.061 1236.773 0.01736
-0.15567 0.16090 0.46900 0.51970 0.04317 1.078 1236.803 0.01738
-0.15590 0.16113 0.46967 0.52044 0.04505 1.086 1236.833 0.01741
-0.15612 0.16136 0.47034 0.52118 0.04692 1.102 1236.862 0.01743
-0.15634 0.16159 0.47101 0.52193 0.04880 1.032 1236.892 0.01746
-0.15657 0.16182 0.47169 0.52267 0.05068 1.052 1236.922 0.01748
-0.15679 0.16206 0.47236 0.52342 0.05256 0.990 1236.952 0.01751
-0.15701 0.16229 0.47303 0.52416 0.05444 0.903 1236.982 0.01753
-0.15723 0.16252 0.47370 0.52491 0.05631 0.720 1237.012 0.01756
-0.15746 0.16275 0.47437 0.52565 0.05819 0.602 1237.042 0.01758
-0.15768 0.16298 0.47504 0.52640 0.06007 0.424 1237.072 0.01760
-0.15790 0.16321 0.47572 0.52714 0.06195 0.307 1237.101 0.01763
-0.15813 0.16344 0.47639 0.52788 0.06383 0.211 1237.131 0.01765
-0.15835 0.16367 0.47706 0.52863 0.06571 0.207 1237.161 0.01768
-0.15857 0.16390 0.47773 0.52937 0.06758 0.185 1237.191 0.01770
-0.15880 0.16413 0.47840 0.53012 0.06946 0.194 1237.221 0.01773
-0.15902 0.16436 0.47908 0.53086 0.07134 0.228 1237.251 0.01775
-0.15924 0.16459 0.47975 0.53161 0.07322 0.258 1237.281 0.01778
-0.15946 0.16482 0.48042 0.53235 0.07510 0.438 1237.311 0.01780
