x y z dist_scaled dist_frac absorption
-0.37560 -0.05687 0.32882 0.50243 0.00000 -0.141
-0.37616 -0.05695 0.32930 0.50317 0.00188 -0.016
-0.37672 -0.05703 0.32979 0.50391 0.00375 0.017
-0.37727 -0.05712 0.33028 0.50466 0.00563 0.079
-0.37783 -0.05720 0.33076 0.50540 0.00750 -0.090
-0.37839 -0.05729 0.33125 0.50615 0.00938 0.027
-0.37894 -0.05737 0.33174 0.50689 0.01126 0.024
-0.37950 -0.05745 0.33222 0.50763 0.01313 -0.005
-0.38005 -0.05754 0.33271 0.50838 0.01501 -0.041
-0.38061 -0.05762 0.33320 0.50912 0.01689 -0.044
-0.38117 -0.05771 0.33369 0.50987 0.01876 0.067
-0.38172 -0.05779 0.33417 0.51061 0.02064 0.077
-0.38228 -0.05788 0.33466 0.51136 0.02252 -0.056
-0.38284 -0.05796 0.33515 0.51210 0.02440 0.035
-0.38339 -0.05804 0.33563 0.51285 0.02627 0.013
-0.38395 -0.05813 0.33612 0.51359 0.02815 -0.059
-0.38451 -0.05821 0.33661 0.51433 0.03003 0.033
-0.38506 -0.05830 0.33710 0.51508 0.03190 0.052
-0.38562 -0.05838 0.33758 0.51582 0.03378 -0.013
-0.38618 -0.05847 0.33807 0.51657 0.03566 -0.006
-0.38673 -0.05855 0.33856 0.51731 0.03754 0.010
-0.38729 -0.05863 0.33905 0.51806 0.03941 -0.029
-0.38785 -0.05872 0.33953 0.51880 0.04129 -0.096
-0.38840 -0.05880 0.34002 0.51955 0.04317 0.005
-0.38896 -0.05889 0.34051 0.52029 0.04505 -0.046
-0.38952 -0.05897 0.34099 0.52104 0.04692 -0.115
-0.39007 -0.05906 0.34148 0.52178 0.04880 0.035
-0.39063 -0.05914 0.34197 0.52253 0.05068 0.068
-0.39119 -0.05922 0.34246 0.52327 0.05256 0.026
-0.39174 -0.05931 0.34294 0.52401 0.05444 0.110
-0.39230 -0.05939 0.34343 0.52476 0.05631 0.013
-0.39286 -0.05948 0.34392 0.52550 0.05819 -0.017
