x y z dist_scaled dist_frac absorption
0.36265 0.07649 0.33885 0.50218 0.00000 -5.870
0.36318 0.07660 0.33935 0.50292 0.00188 -3.594
0.36372 0.07671 0.33986 0.50367 0.00375 -2.829
0.36426 0.07683 0.34036 0.50441 0.00563 -2.538
0.36479 0.07694 0.34086 0.50515 0.00750 -2.324
0.36533 0.07705 0.34136 0.50590 0.00938 -1.931
0.36587 0.07717 0.34186 0.50664 0.01126 -1.197
0.36641 0.07728 0.34237 0.50739 0.01313 -0.865
0.36694 0.07739 0.34287 0.50813 0.01501 0.211
0.36748 0.07751 0.34337 0.50888 0.01689 0.382
0.36802 0.07762 0.34387 0.50962 0.01876 0.473
0.36856 0.07773 0.34438 0.51036 0.02064 0.803
0.36909 0.07785 0.34488 0.51111 0.02252 0.900
0.36963 0.07796 0.34538 0.51185 0.02440 0.790
0.37017 0.07808 0.34588 0.51260 0.02627 0.908
0.37071 0.07819 0.34638 0.51334 0.02815 1.018
0.37124 0.07830 0.34689 0.51409 0.03003 0.914
0.37178 0.07842 0.34739 0.51483 0.03190 1.016
0.37232 0.07853 0.34789 0.51558 0.03378 0.871
0.37286 0.07864 0.34839 0.51632 0.03566 0.970
0.37340 0.07876 0.34890 0.51706 0.03754 0.995
0.37393 0.07887 0.34940 0.51781 0.03941 1.039
0.37447 0.07898 0.34990 0.51855 0.04129 1.015
0.37501 0.07910 0.35040 0.51930 0.04317 0.971
0.37555 0.07921 0.35091 0.52004 0.04505 1.013
0.37608 0.07932 0.35141 0.52079 0.04692 0.972
0.37662 0.07944 0.35191 0.52153 0.04880 0.953
0.37716 0.07955 0.35241 0.52228 0.05068 1.032
0.37770 0.07966 0.35292 0.52302 0.05256 1.012
0.37824 0.07978 0.35342 0.52377 0.05444 1.012
0.37877 0.07989 0.35392 0.52451 0.05631 0.993
0.37931 0.08000 0.35442 0.52526 0.05819 1.027
0.37985 0.08012 0.35493 0.52600 0.06007 0.974
0.38039 0.08023 0.35543 0.52675 0.06195 1.025
0.38093 0.08034 0.35593 0.52749 0.06383 1.007
0.38146 0.08046 0.35643 0.52824 0.06571 1.006
0.38200 0.08057 0.35694 0.52898 0.06758 0.973
0.38254 0.08068 0.35744 0.52973 0.06946 0.989
0.38308 0.08080 0.35794 0.53047 0.07134 0.973
0.38362 0.08091 0.35845 0.53122 0.07322 0.989
